GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G0500510","2012","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",96903,81647,8270,556,835,0,4085,1510,0,1510,"Garland County, Arkansas",0,688,330,505,210,184,688,731,184,731
"G0500690","2012","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",74723,31047,41544,34,594,0,199,1305,400,905,"Jefferson County, Arkansas",0,475,521,54,327,184,162,730,319,595
"G0500850","2012","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",,,,,,,,,,,"Lonoke County, Arkansas",,,,,,,,,,
"G0501190","2012","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",388953,231887,138962,1509,8787,0,1459,6349,188,6161,"Pulaski County, Arkansas",0,1905,1438,679,594,184,982,1897,196,1878
"G0501250","2012","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",111845,101653,6237,187,985,0,1055,1728,62,1666,"Saline County, Arkansas",0,990,790,223,422,184,941,906,106,912
"G0501310","2012","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",127304,104655,7712,2175,5710,238,1875,4939,332,4607,"Sebastian County, Arkansas",0,1391,1017,619,419,331,1072,1109,388,1118
"G0501430","2012","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",211411,164100,7639,1770,5314,4638,23132,4818,305,4513,"Washington County, Arkansas",0,4150,697,589,580,122,4224,1222,487,1115
"G0501450","2012","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",,,,,,,,,,,"White County, Arkansas",,,,,,,,,,
"G0600010","2012","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1554720,708878,184261,10634,415463,14201,122901,98382,19425,78957,"Alameda County, California",0,8061,3448,2166,4864,739,7475,6753,3450,6083
"G0600070","2012","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",221539,188102,3425,1892,10111,153,4273,13583,1625,11958,"Butte County, California",0,1785,636,584,821,223,1423,1918,697,1704
"G0600130","2012","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1079597,678464,97624,6624,159292,5336,70178,62079,8836,53243,"Contra Costa County, California",0,7646,3638,1552,3945,985,7553,6480,2005,6161
"G0600170","2012","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",180561,155511,1370,991,8152,0,8359,6178,696,5482,"El Dorado County, California",0,1775,412,668,1284,197,1827,1426,531,1262
"G0600190","2012","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",947895,527535,49545,10638,93292,1304,226954,38627,16406,22221,"Fresno County, California",0,12274,2175,2924,3085,333,11922,4855,3434,3281
"G0600230","2012","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",134827,111133,2240,6935,3904,412,2737,7466,1391,6075,"Humboldt County, California",0,1203,223,1241,433,223,1152,1510,739,1351
"G0600250","2012","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",176948,142527,5365,1100,2268,467,18783,6438,3417,3021,"Imperial County, California",0,4211,415,313,575,455,3873,1504,1283,880
"G0600290","2012","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",856158,612061,47122,12047,40221,1679,116262,26766,7953,18813,"Kern County, California",0,10123,3174,3067,1354,324,9978,4564,1831,4267
"G0600310","2012","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",151364,105685,9792,1330,6110,44,21873,6530,1841,4689,"Kings County, California",0,4614,773,449,1351,58,4620,1285,793,1097
"G0600330","2012","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",63983,51772,1683,1570,838,514,5394,2212,329,1883,"Lake County, California",0,1351,240,900,624,634,1429,772,367,696
"G0600370","2012","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",9962789,5321307,832875,44987,1384775,24486,1960300,394059,109326,284733,"Los Angeles County, California",0,32529,9980,3773,7304,1752,33736,15120,7201,13551
"G0600390","2012","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",152218,122012,6016,2936,3247,165,12876,4966,1677,3289,"Madera County, California",0,4080,1141,1115,414,163,3404,1856,858,1769
"G0600410","2012","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",256069,205171,5897,1044,15555,261,17383,10758,2632,8126,"Marin County, California",0,3078,872,724,1640,278,3596,2432,1822,1749
"G0600450","2012","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87428,72850,446,2976,1839,322,5130,3865,617,3248,"Mendocino County, California",0,2056,427,697,280,272,2110,972,579,732
"G0600470","2012","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",262305,157661,9337,2839,20014,1016,60222,11216,3420,7796,"Merced County, California",0,5636,936,1580,1540,1296,5455,2755,1595,1960
