GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G3400270","2018","NJ",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,,"05000US34027","Morris County, New Jersey",494228,403898,17669,833,51943,140,7460,12285,2333,9952,"Morris County, New Jersey",0,3437,1081,490,1632,137,2065,2494,1241,2331
"G3400290","2018","NJ",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,,"05000US34029","Ocean County, New Jersey",601651,545981,19746,827,11806,0,13320,9971,1037,8934,"Ocean County, New Jersey",0,5540,2185,614,1070,210,5753,2124,672,1976
"G3400310","2018","NJ",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,,"05000US34031","Passaic County, New Jersey",503310,314282,56572,754,27104,301,92278,12019,2561,9458,"Passaic County, New Jersey",0,7929,2246,594,1324,343,7746,2668,1287,2356
"G3400330","2018","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",62607,49612,9394,346,450,0,1832,973,154,819,"Salem County, New Jersey",0,1102,709,210,274,210,1388,622,215,599
"G3400350","2018","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",331164,220871,32082,500,61353,0,6981,9377,3142,6235,"Somerset County, New Jersey",0,3055,2218,347,1168,210,2622,2855,1974,1931
"G3400370","2018","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",140799,131040,3364,88,3090,66,999,2152,329,1823,"Sussex County, New Jersey",0,993,754,122,602,115,748,836,289,771
"G3400390","2018","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",558067,296375,119389,3687,31093,0,93810,13713,2903,10810,"Union County, New Jersey",0,8394,4814,3118,1010,210,9787,3918,1570,3544
"G3400410","2018","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",105779,91932,4847,205,2525,0,2872,3398,152,3246,"Warren County, New Jersey",0,1318,607,146,481,210,1336,1246,177,1226
"G3500010","2018","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",678701,530270,19806,31767,18763,176,47197,30722,10458,20264,"Bernalillo County, New Mexico",0,8394,2088,1952,1362,252,7358,4194,2999,2865
"G3500050","2018","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",64689,54650,1854,640,467,0,5432,1646,1106,540,"Chaves County, New Mexico",0,2512,741,649,585,201,2104,1183,1113,455
"G3500130","2018","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",217522,192259,4341,2650,2084,73,11526,4589,1300,3289,"Doña Ana County, New Mexico",0,3491,785,712,659,129,3040,1587,789,1404
"G3500250","2018","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",69611,63369,2597,546,732,0,1318,1049,427,622,"Lea County, New Mexico",0,952,770,321,731,201,669,643,432,440
"G3500310","2018","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",72290,8544,298,57633,797,66,3610,1342,360,982,"McKinley County, New Mexico",0,1508,221,1598,64,91,1375,901,424,782
"G3500350","2018","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",66781,53505,2225,4380,751,462,3293,2165,143,2022,"Otero County, New Mexico",0,1878,912,1026,504,718,1593,1191,188,1172
"G3500430","2018","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",145179,110577,3752,18073,2121,1007,6143,3506,969,2537,"Sandoval County, New Mexico",0,2401,286,905,590,721,2286,1215,524,1026
"G3500450","2018","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",125043,66111,1074,50058,1492,42,2785,3481,621,2860,"San Juan County, New Mexico",0,1908,461,1558,761,69,1202,1184,430,1082
"G3500490","2018","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",150056,124979,1781,4554,1720,102,11100,5820,2686,3134,"Santa Fe County, New Mexico",0,3045,661,635,359,142,2766,1647,1301,926
"G3500610","2018","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",76456,61354,1102,2564,508,0,7612,3316,741,2575,"Valencia County, New Mexico",0,2920,1069,1030,590,201,2735,1565,632,1277
"G3600010","2018","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",307117,228964,39649,282,21496,834,2771,13121,1006,12115,"Albany County, New York",0,1708,3076,202,903,1334,1029,2729,692,2704
"G3600050","2018","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",1432132,321890,509310,8717,54467,1945,473965,61838,27835,34003,"Bronx County, New York",0,14850,11365,1790,3012,1765,18196,7524,5468,5783
"G3600070","2018","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",191659,163081,10809,591,9341,99,3346,4392,159,4233,"Broome County, New York",0,1589,1249,246,298,179,1538,1397,266,1390
"G3600090","2018","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",76840,70431,1018,2539,481,0,589,1782,87,1695,"Cattaraugus County, New York",0,345,603,318,179,201,348,704,130,721
"G3600110","2018","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",77145,71045,3506,132,580,0,529,1353,0,1353,"Cayuga County, New York",0,453,484,123,121,201,412,534,201,534
"G3600130","2018","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",127939,116291,3434,394,716,157,4427,2520,111,2409,"Chautauqua County, New York",0,1329,803,350,353,226,1318,982,118,967
"G3600150","2018","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",84254,74324,4999,15,1174,0,501,3241,115,3126,"Chemung County, New York",0,534,1248,29,486,201,405,1401,122,1398
"G3600190","2018","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",80695,73115,3605,54,962,0,2439,520,0,520,"Clinton County, New York",0,517,285,99,404,201,591,350,201,350
"G3600270","2018","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",293718,229184,32319,1017,9867,23,10400,10908,1239,9669,"Dutchess County, New York",0,2480,1970,663,1261,46,2452,2539,693,2391
"G3600290","2018","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",919719,711887,121796,4117,34361,22,22467,25069,4447,20622,"Erie County, New York",0,2775,2629,953,1559,43,2784,3450,1639,3118
"G3600450","2018","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",111755,95447,6760,250,1516,217,2144,5421,514,4907,"Jefferson County, New York",0,1024,1092,180,448,220,718,1261,345,1190
"G3600470","2018","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",2582830,1125773,827041,7200,300232,1370,226874,94340,19582,74758,"Kings County, New York",0,11853,7587,1957,5847,553,11503,7755,3763,6433
"G3600510","2018","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",63227,58876,2109,180,515,0,314,1233,127,1106,"Livingston County, New York",0,407,196,276,208,201,244,305,166,264
"G3600530","2018","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",70795,66512,1211,62,1485,0,659,866,123,743,"Madison County, New York",0,329,462,93,463,201,517,453,164,469
"G3600550","2018","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",742474,560874,112272,3122,28479,171,15041,22515,2960,19555,"Monroe County, New York",0,3589,3547,1351,1277,234,2914,3607,1679,3110
"G3600590","2018","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",1358343,918655,162245,6223,135709,1093,97518,36900,7538,29362,"Nassau County, New York",0,10300,3656,2807,3453,966,10395,6197,2440,5782
"G3600610","2018","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",1628701,904573,236356,12359,200213,916,193696,80588,20272,60316,"New York County, New York",0,10588,7312,3569,3465,853,12052,10035,5472,8197
"G3600630","2018","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",210433,183349,15579,1496,2791,0,1587,5631,98,5533,"Niagara County, New York",0,904,1315,521,445,201,975,1581,128,1599
"G3600650","2018","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",229577,195773,15517,580,9806,0,2982,4919,1088,3831,"Oneida County, New York",0,1627,965,340,645,201,1129,1598,1007,1212
"G3600670","2018","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",461809,367730,55880,3251,15963,74,3690,15221,906,14315,"Onondaga County, New York",0,2082,1967,1244,1713,86,1433,2091,624,2075
"G3600690","2018","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",109864,101177,2638,230,1317,0,2118,2384,162,2222,"Ontario County, New York",0,915,818,242,395,201,1090,961,170,930
"G3600710","2018","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",381951,279314,43050,797,10935,403,31422,16030,2637,13393,"Orange County, New York",0,6146,2135,686,1080,369,6040,3809,2408,3100
"G3600750","2018","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",117898,112120,1609,158,971,31,667,2342,441,1901,"Oswego County, New York",0,674,405,152,262,62,578,569,448,500
"G3600790","2018","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",98892,83229,3496,164,1949,0,8379,1675,401,1274,"Putnam County, New York",0,1748,653,173,373,201,1860,773,355,640
"G3600810","2018","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",2278906,848180,419389,10219,588677,822,325379,86240,34813,51427,"Queens County, New York",0,14336,6208,2200,5393,713,16194,8042,5458,5750
"G3600830","2018","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",159442,136797,10611,192,4342,0,1114,6386,372,6014,"Rensselaer County, New York",0,1180,1068,113,524,201,572,1354,343,1358
"G3600850","2018","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",476179,347986,47098,451,48714,197,19649,12084,2108,9976,"Richmond County, New York",0,5600,2703,391,1356,238,5073,3285,974,3199
"G3600870","2018","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",325695,233051,38958,377,19660,0,23189,10460,2272,8188,"Rockland County, New York",0,3961,2487,508,876,201,4772,2627,1224,2414
"G3600890","2018","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",108047,99965,3066,841,1028,262,1470,1415,140,1275,"St. Lawrence County, New York",0,493,289,219,233,217,482,336,141,308
"G3600910","2018","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",230163,212657,4948,554,6005,0,1697,4302,207,4095,"Saratoga County, New York",0,1345,957,354,661,201,1008,944,199,982
"G3600930","2018","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",155350,118937,15413,1502,7111,220,4065,8102,1377,6725,"Schenectady County, New York",0,1759,2919,1444,988,349,1974,2328,1055,2197
"G3601010","2018","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",95796,90696,1347,37,1564,0,507,1645,47,1598,"Steuben County, New York",0,296,391,44,161,201,270,436,72,418
"G3601030","2018","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",1481093,1206349,116010,5501,59485,232,57155,36361,6419,29942,"Suffolk County, New York",0,9235,3670,2911,2007,239,8322,5948,2195,5605
"G3601050","2018","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",75498,61078,6663,312,1321,0,3860,2264,75,2189,"Sullivan County, New York",0,1655,831,412,217,201,1758,1070,96,1063
"G3601090","2018","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",102793,81512,4703,196,10518,0,2601,3263,120,3143,"Tompkins County, New York",0,839,657,207,974,201,1195,1043,211,1009
"G3601110","2018","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",178599,149143,10718,503,3026,0,5113,10096,3653,6443,"Ulster County, New York",0,2573,954,385,1146,201,1855,3186,2783,1527
"G3601130","2018","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",,,,,,,,,,,"Warren County, New York",,,,,,,,,,
"G3601170","2018","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",90064,84119,2042,7,640,0,886,2370,27,2343,"Wayne County, New York",0,474,570,23,217,201,508,604,45,603
"G3601190","2018","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",967612,610737,143734,2677,58946,223,121999,29296,6461,22835,"Westchester County, New York",0,8454,4281,940,1469,204,9823,4140,2000,3462
"G3700010","2018","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",166436,115202,32746,409,2829,190,11414,3646,810,2836,"Alamance County, North Carolina",0,2342,1505,209,617,254,2678,1206,627,1005
"G3700190","2018","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",136744,117105,14475,1221,513,0,1839,1591,69,1522,"Brunswick County, North Carolina",0,1137,815,514,557,210,1189,698,111,699
"G3700210","2018","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",259103,230685,16083,1007,2654,385,2428,5861,615,5246,"Buncombe County, North Carolina",0,1543,923,595,910,210,1501,1665,395,1518
"G3700230","2018","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",90382,77100,5663,691,3257,57,1582,2032,65,1967,"Burke County, North Carolina",0,1112,542,929,325,107,1198,688,110,691
"G3700250","2018","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",211342,148835,38874,116,8764,189,7208,7356,1519,5837,"Cabarrus County, North Carolina",0,3231,2144,154,931,175,2953,2755,1409,2626
"G3700270","2018","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",82029,72577,3770,0,465,0,2950,2267,494,1773,"Caldwell County, North Carolina",0,1621,1020,210,486,210,1587,1020,517,869
"G3700310","2018","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",69524,62764,3291,102,1092,0,42,2233,275,1958,"Carteret County, North Carolina",0,453,601,100,117,210,71,731,442,566
"G3700350","2018","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",158652,127259,13084,363,6575,0,7724,3647,804,2843,"Catawba County, North Carolina",0,2105,1178,361,857,210,2069,1473,1054,1321
"G3700370","2018","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",73139,58855,9046,118,1222,0,2656,1242,168,1074,"Chatham County, North Carolina",0,1759,754,149,300,210,1835,572,273,524
"G3700450","2018","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",97645,71358,21214,240,1103,133,2829,768,148,620,"Cleveland County, North Carolina",0,1154,792,330,46,246,1295,621,263,556
"G3700490","2018","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",102912,72552,23111,226,2375,463,1550,2635,47,2588,"Craven County, North Carolina",0,920,1207,244,1294,528,1044,1476,93,1462
"G3700510","2018","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",332330,164330,123982,4251,8571,1086,10049,20061,678,19383,"Cumberland County, North Carolina",0,2429,2173,810,939,196,2013,2731,486,2675
"G3700570","2018","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",166614,141780,15428,275,2864,0,3073,3194,282,2912,"Davidson County, North Carolina",0,1664,940,273,565,210,1729,1002,339,916
"G3700630","2018","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",316739,166094,113271,1101,15792,0,10795,9686,729,8957,"Durham County, North Carolina",0,3580,3028,472,1198,210,3659,2337,479,2272
"G3700670","2018","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",379099,246738,99830,1305,9574,1307,9610,10735,1615,9120,"Forsyth County, North Carolina",0,4320,3368,522,629,1929,3117,2628,1092,2576
"G3700690","2018","NC",,,"North Carolina","37","Franklin County","069",,,,,,,,,,,,,,,,,,"05000US37069","Franklin County, North Carolina",67560,44940,16790,148,460,0,3338,1884,740,1144,"Franklin County, North Carolina",0,1416,956,201,199,210,1427,1004,781,657
"G3700710","2018","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",222846,170312,37011,529,3628,104,4486,6776,162,6614,"Gaston County, North Carolina",0,1900,1655,511,545,146,1745,2117,140,2117
"G3700810","2018","NC",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,,"05000US37081","Guilford County, North Carolina",533670,291198,179585,3586,27077,51,16899,15274,1309,13965,"Guilford County, North Carolina",0,3688,3327,1269,1379,101,3505,2727,1013,2649
"G3700850","2018","NC",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,,"05000US37085","Harnett County, North Carolina",134214,92030,25909,1224,1757,624,5601,7069,346,6723,"Harnett County, North Carolina",0,2044,2383,592,521,694,1936,2213,370,2136
"G3700890","2018","NC",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,,"05000US37089","Henderson County, North Carolina",116748,106541,4352,286,1758,0,1940,1871,97,1774,"Henderson County, North Carolina",0,1638,1088,356,210,210,1561,1000,116,1001
"G3700970","2018","NC",,,"North Carolina","37","Iredell County","097",,,,,,,,,,,,,,,,,,"05000US37097","Iredell County, North Carolina",178435,144822,17120,1808,4624,344,2055,7662,200,7462,"Iredell County, North Carolina",0,1297,2085,1181,429,479,1109,2084,201,2076
"G3701010","2018","NC",,,"North Carolina","37","Johnston County","101",,,,,,,,,,,,,,,,,,"05000US37101","Johnston County, North Carolina",202675,155875,33049,737,1159,323,6674,4858,208,4650,"Johnston County, North Carolina",0,3114,1913,545,370,356,2869,1695,367,1497
"G3701090","2018","NC",,,"North Carolina","37","Lincoln County","109",,,,,,,,,,,,,,,,,,"05000US37109","Lincoln County, North Carolina",,,,,,,,,,,"Lincoln County, North Carolina",,,,,,,,,,
"G3701190","2018","NC",,,"North Carolina","37","Mecklenburg County","119",,,,,,,,,,,,,,,,,,"05000US37119","Mecklenburg County, North Carolina",1093901,573883,348940,4831,68138,309,68405,29395,2727,26668,"Mecklenburg County, North Carolina",0,6280,5007,1671,1790,292,7653,4816,922,4786
"G3701250","2018","NC",,,"North Carolina","37","Moore County","125",,,,,,,,,,,,,,,,,,"05000US37125","Moore County, North Carolina",98682,81692,10406,537,1672,1407,882,2086,141,1945,"Moore County, North Carolina",0,1036,1671,378,246,1783,907,1029,170,1012
"G3701270","2018","NC",,,"North Carolina","37","Nash County","127",,,,,,,,,,,,,,,,,,"05000US37127","Nash County, North Carolina",94016,48784,37190,767,854,86,3665,2670,310,2360,"Nash County, North Carolina",0,1316,1611,319,1094,155,1340,1315,502,1240
"G3701290","2018","NC",,,"North Carolina","37","New Hanover County","129",,,,,,,,,,,,,,,,,,"05000US37129","New Hanover County, North Carolina",232274,188476,32739,515,3650,0,2387,4507,0,4507,"New Hanover County, North Carolina",0,1801,1845,341,676,210,1587,1601,210,1601
"G3701330","2018","NC",,,"North Carolina","37","Onslow County","133",,,,,,,,,,,,,,,,,,"05000US37133","Onslow County, North Carolina",197683,146722,27738,1753,3952,178,3275,14065,2169,11896,"Onslow County, North Carolina",0,2296,2138,1261,996,222,1308,2676,1449,2460
"G3701350","2018","NC",,,"North Carolina","37","Orange County","135",,,,,,,,,,,,,,,,,,"05000US37135","Orange County, North Carolina",146027,108624,16500,1799,11390,0,3297,4417,195,4222,"Orange County, North Carolina",0,2132,1240,1806,1148,210,1945,1695,169,1667
"G3701470","2018","NC",,,"North Carolina","37","Pitt County","147",,,,,,,,,,,,,,,,,,"05000US37147","Pitt County, North Carolina",179914,103416,62463,967,3697,0,5354,4017,24,3993,"Pitt County, North Carolina",0,2442,1477,564,493,210,2502,1339,47,1338
"G3701510","2018","NC",,,"North Carolina","37","Randolph County","151",,,,,,,,,,,,,,,,,,"05000US37151","Randolph County, North Carolina",143351,121463,8133,885,1805,393,7063,3609,434,3175,"Randolph County, North Carolina",0,2922,890,760,358,547,2838,1172,470,983
"G3701550","2018","NC",,,"North Carolina","37","Robeson County","155",,,,,,,,,,,,,,,,,,"05000US37155","Robeson County, North Carolina",131831,36109,31788,53375,840,0,7093,2626,183,2443,"Robeson County, North Carolina",0,1230,1008,713,229,210,1553,914,223,841
"G3701570","2018","NC",,,"North Carolina","37","Rockingham County","157",,,,,,,,,,,,,,,,,,"05000US37157","Rockingham County, North Carolina",90690,67009,16571,110,387,0,4139,2474,108,2366,"Rockingham County, North Carolina",0,1339,1161,133,332,210,1360,1096,198,1066
"G3701590","2018","NC",,,"North Carolina","37","Rowan County","159",,,,,,,,,,,,,,,,,,"05000US37159","Rowan County, North Carolina",141262,109184,21442,381,1630,86,4789,3750,175,3575,"Rowan County, North Carolina",0,3572,1666,229,409,142,3561,1652,262,1656
"G3701610","2018","NC",,,"North Carolina","37","Rutherford County","161",,,,,,,,,,,,,,,,,,"05000US37161","Rutherford County, North Carolina",,,,,,,,,,,"Rutherford County, North Carolina",,,,,,,,,,
"G3701710","2018","NC",,,"North Carolina","37","Surry County","171",,,,,,,,,,,,,,,,,,"05000US37171","Surry County, North Carolina",,,,,,,,,,,"Surry County, North Carolina",,,,,,,,,,
"G3701790","2018","NC",,,"North Carolina","37","Union County","179",,,,,,,,,,,,,,,,,,"05000US37179","Union County, North Carolina",235908,190816,27967,174,7860,34,3696,5361,784,4577,"Union County, North Carolina",0,1946,1120,259,579,55,1712,1438,982,1116
"G3701830","2018","NC",,,"North Carolina","37","Wake County","183",,,,,,,,,,,,,,,,,,"05000US37183","Wake County, North Carolina",1092305,699803,220735,2466,78213,331,47511,43246,5621,37625,"Wake County, North Carolina",0,6782,5224,903,2885,339,6999,6145,2192,5710
"G3701910","2018","NC",,,"North Carolina","37","Wayne County","191",,,,,,,,,,,,,,,,,,"05000US37191","Wayne County, North Carolina",123248,79135,37652,22,1667,95,1285,3392,120,3272,"Wayne County, North Carolina",0,1006,1669,38,429,133,973,1791,122,1777
"G3701930","2018","NC",,,"North Carolina","37","Wilkes County","193",,,,,,,,,,,,,,,,,,"05000US37193","Wilkes County, North Carolina",68557,62850,3042,0,225,197,841,1402,596,806,"Wilkes County, North Carolina",0,818,543,210,237,359,552,683,467,422
"G3701950","2018","NC",,,"North Carolina","37","Wilson County","195",,,,,,,,,,,,,,,,,,"05000US37195","Wilson County, North Carolina",81455,40059,32253,400,787,0,4907,3049,173,2876,"Wilson County, North Carolina",0,1175,1871,395,784,210,1444,1642,248,1599
"G3800150","2018","ND",,,"North Dakota","38","Burleigh County","015",,,,,,,,,,,,,,,,,,"05000US38015","Burleigh County, North Dakota",95273,86062,2208,4210,572,0,602,1619,44,1575,"Burleigh County, North Dakota",0,672,494,787,248,161,456,818,65,806
"G3800170","2018","ND",,,"North Dakota","38","Cass County","017",,,,,,,,,,,,,,,,,,"05000US38017","Cass County, North Dakota",181516,155954,12097,2075,6669,0,838,3883,57,3826,"Cass County, North Dakota",0,818,534,902,473,161,461,1314,93,1282
"G3800350","2018","ND",,,"North Dakota","38","Grand Forks County","035",,,,,,,,,,,,,,,,,,"05000US38035","Grand Forks County, North Dakota",70770,58512,3512,1975,2235,107,2853,1576,15,1561,"Grand Forks County, North Dakota",0,1557,433,409,332,207,1635,848,29,850
"G3801010","2018","ND",,,"North Dakota","38","Ward County","101",,,,,,,,,,,,,,,,,,"05000US38101","Ward County, North Dakota",67744,58729,2863,1268,1224,167,786,2707,28,2679,"Ward County, North Dakota",0,1006,869,510,499,318,681,1130,42,1131
"G3900030","2018","OH",,,"Ohio","39","Allen County","003",,,,,,,,,,,,,,,,,,"05000US39003","Allen County, Ohio",102663,84580,11915,359,850,0,1145,3814,146,3668,"Allen County, Ohio",0,558,965,373,189,195,514,973,208,1021
"G3900070","2018","OH",,,"Ohio","39","Ashtabula County","007",,,,,,,,,,,,,,,,,,"05000US39007","Ashtabula County, Ohio",,,,,,,,,,,"Ashtabula County, Ohio",,,,,,,,,,
"G3900090","2018","OH",,,"Ohio","39","Athens County","009",,,,,,,,,,,,,,,,,,"05000US39009","Athens County, Ohio",65818,59700,1864,231,1699,86,111,2127,41,2086,"Athens County, Ohio",0,211,653,197,732,117,142,979,72,988
"G3900130","2018","OH",,,"Ohio","39","Belmont County","013",,,,,,,,,,,,,,,,,,"05000US39013","Belmont County, Ohio",67505,62729,1916,107,571,0,177,2005,225,1780,"Belmont County, Ohio",0,227,742,144,707,195,150,1026,253,962
"G3900170","2018","OH",,,"Ohio","39","Butler County","017",,,,,,,,,,,,,,,,,,"05000US39017","Butler County, Ohio",382378,318592,31642,781,13085,0,6419,11859,843,11016,"Butler County, Ohio",0,2626,1985,785,1204,195,2438,2522,512,2493
