GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G0400170","2018","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",110445,53702,892,49902,636,9,2787,2517,149,2368,"Navajo County, Arizona",0,1257,498,1295,291,16,925,830,183,791
"G0400190","2018","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",1039073,771880,37940,45440,30481,1431,91913,59988,10712,49276,"Pima County, Arizona",0,10649,2701,4671,1936,605,9464,7906,3209,7106
"G0400210","2018","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",447138,359718,19947,22140,7233,1487,16060,20553,2888,17665,"Pinal County, Arizona",0,6016,1593,4464,1033,718,3546,3475,1176,3383
"G0400250","2018","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",231993,209300,1876,2296,2581,367,7256,8317,1153,7164,"Yavapai County, Arizona",0,3364,405,1218,658,488,3214,2783,743,2905
"G0400270","2018","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",212128,185580,5942,2428,3254,91,8750,6083,1952,4131,"Yuma County, Arizona",0,2835,1699,571,411,83,2152,1387,897,1372
"G0500070","2018","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",272608,238256,5133,3587,10627,1835,5157,8013,492,7521,"Benton County, Arkansas",0,1833,956,1059,852,201,1779,1477,354,1436
"G0500310","2018","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",108558,85821,17485,326,660,0,3163,1103,34,1069,"Craighead County, Arkansas",0,1189,1415,435,596,201,1678,721,60,721
"G0500450","2018","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",124806,102041,13893,800,1626,0,2303,4143,150,3993,"Faulkner County, Arkansas",0,1010,1058,430,460,201,1170,1437,177,1373
"G0500510","2018","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",99154,85417,7374,1004,1048,0,778,3533,424,3109,"Garland County, Arkansas",0,914,1044,432,248,201,737,1293,425,1186
"G0500690","2018","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",68114,27109,39238,230,659,0,581,297,64,233,"Jefferson County, Arkansas",0,531,347,186,201,201,535,205,84,205
"G0500850","2018","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",73657,65323,5335,178,618,21,1076,1106,127,979,"Lonoke County, Arkansas",0,1104,712,219,293,41,1133,658,192,711
