GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SBME001,SBME002,SBME003,SBME004,SBME005,SBME006,SBME007,SBME008,SBME009,SBME010,NAME_M,SBMM001,SBMM002,SBMM003,SBMM004,SBMM005,SBMM006,SBMM007,SBMM008,SBMM009,SBMM010
"G0100830","2013","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",88845,73100,11174,478,854,200,505,2534,122,2412,"Limestone County, Alabama",0,1238,741,336,552,288,771,1145,225,1042
"G0100890","2013","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",346892,239945,85494,2147,9299,156,2625,7226,468,6758,"Madison County, Alabama",0,1583,955,876,544,212,1246,1522,433,1443
"G0100950","2013","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",94760,88365,1485,1200,264,0,860,2586,612,1974,"Marshall County, Alabama",0,1683,497,940,176,192,1067,1071,752,660
"G0100970","2013","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",414079,249194,144740,1845,8198,46,1323,8733,427,8306,"Mobile County, Alabama",0,1075,2045,710,809,76,785,2499,402,2406
"G0101010","2013","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226659,87348,127791,123,4982,0,3535,2880,1042,1838,"Montgomery County, Alabama",0,1501,818,161,1133,192,1473,1336,1159,782
"G0101030","2013","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119787,98139,14249,664,245,0,2737,3753,0,3753,"Morgan County, Alabama",0,1804,1509,543,227,192,1768,1570,192,1570
"G0101150","2013","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",86308,75053,8272,163,739,0,1191,890,0,890,"St. Clair County, Alabama",0,372,360,219,141,192,492,524,192,524
"G0101170","2013","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",204180,168130,24119,247,3911,0,4871,2902,445,2457,"Shelby County, Alabama",0,1927,518,389,626,192,1908,958,533,787
"G0101210","2013","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,
"G0101250","2013","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",200821,132348,61366,371,2915,0,1941,1880,0,1880,"Tuscaloosa County, Alabama",0,2183,575,280,226,192,2168,711,192,711
"G0101270","2013","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,
"G0200200","2013","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",300950,197183,17842,22764,24675,6800,5114,26572,1570,25002,"Anchorage Municipality, Alaska",0,2477,1425,2262,2387,288,2001,4104,1118,4071
"G0200900","2013","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",100436,77978,3911,6815,3426,196,201,7909,50,7859,"Fairbanks North Star Borough, Alaska",0,1105,1159,2024,567,246,235,2156,89,2141
"G0201700","2013","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",95192,79506,1021,4621,1249,85,1198,7512,205,7307,"Matanuska-Susitna Borough, Alaska",0,707,394,811,173,116,909,969,159,945
"G0400010","2013","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",71934,17178,395,51837,326,150,191,1857,27,1830,"Apache County, Arizona",0,661,279,1226,314,250,180,1249,52,1237
"G0400030","2013","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",129473,107321,5157,1530,2215,0,7644,5606,915,4691,"Cochise County, Arizona",0,2813,1362,599,478,203,2534,1746,558,1651
"G0400050","2013","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",136539,84389,2577,35829,1734,277,6133,5600,563,5037,"Coconino County, Arizona",0,1920,403,1588,526,355,2060,1429,341,1349
"G0400130","2013","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4009412,3202752,207145,74761,147957,8005,241330,127462,24432,103030,"Maricopa County, Arizona",0,15984,4665,4262,3979,889,15300,8665,3859,7820
"G0400150","2013","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",203030,184282,2612,4842,2556,162,3559,5017,515,4502,"Mohave County, Arizona",0,1841,605,679,623,165,1555,1425,462,1453
"G0400170","2013","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",107322,53703,655,45631,570,430,2245,4088,425,3663,"Navajo County, Arizona",0,1128,394,1298,338,634,839,1240,395,1107
"G0400190","2013","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",996554,775006,33917,31306,25044,1649,90384,39248,10981,28267,"Pima County, Arizona",0,8385,2065,3161,2201,345,7779,4372,2903,3684
"G0400210","2013","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",389350,319854,18157,19047,5735,1592,13494,11471,1890,9581,"Pinal County, Arizona",0,3822,985,1953,987,127,3017,2779,1078,2475
"G0400250","2013","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",215133,198393,1316,4282,1576,0,5080,4486,760,3726,"Yavapai County, Arizona",0,2784,254,455,786,203,2712,988,585,843
"G0400270","2013","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",201201,153889,4660,2297,2275,0,33299,4781,1797,2984,"Yuma County, Arizona",0,4726,527,484,396,203,4744,1132,929,822
"G0500070","2013","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",237297,209440,3514,3578,9000,57,5282,6426,1088,5338,"Benton County, Arkansas",0,2430,645,1058,847,91,2277,1502,792,1296
"G0500310","2013","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",101488,83248,13251,535,1083,0,1110,2261,140,2121,"Craighead County, Arkansas",0,593,1409,185,296,192,532,1448,224,1436
"G0500450","2013","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",119580,99966,13658,442,1105,0,2204,2205,31,2174,"Faulkner County, Arkansas",0,1773,273,366,564,192,1775,739,60,740
"G0500510","2013","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",97173,81149,8355,833,125,0,4535,2176,0,2176,"Garland County, Arkansas",0,585,925,508,194,192,652,1024,192,1024
"G0500690","2013","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",,,,,,,,,,,"Jefferson County, Arkansas",,,,,,,,,,
"G0500850","2013","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",70753,63431,4014,88,354,0,857,2009,386,1623,"Lonoke County, Arkansas",0,570,759,146,354,192,398,643,392,660
"G0501190","2013","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",391284,229381,138304,920,7553,182,4230,10714,345,10369,"Pulaski County, Arkansas",0,2480,2295,518,1387,300,2221,2653,368,2612
"G0501250","2013","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",114404,102693,5625,120,780,0,1042,4144,252,3892,"Saline County, Arkansas",0,933,656,175,538,192,967,992,277,931
"G0501310","2013","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",127342,106163,7735,1261,5706,49,1133,5295,332,4963,"Sebastian County, Arkansas",0,888,997,620,460,80,841,1221,340,1128
"G0501430","2013","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",216410,165063,11323,1970,5510,292,26253,5999,976,5023,"Washington County, Arkansas",0,3560,1595,777,718,472,3353,1979,740,1776
"G0501450","2013","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",78483,72086,3277,377,547,0,514,1682,247,1435,"White County, Arkansas",0,685,559,343,86,192,570,736,284,664
"G0600010","2013","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1578891,707895,184055,9864,430606,13157,129396,103918,21864,82054,"Alameda County, California",0,9722,3169,2150,4816,1196,9257,7102,4068,5995
"G0600070","2013","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",222090,185187,3336,1868,9970,321,7491,13917,1437,12480,"Butte County, California",0,2179,642,750,1035,353,2286,2156,629,2047
"G0600130","2013","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1094205,668252,96772,5635,164811,5340,87437,65958,13286,52672,"Contra Costa County, California",0,9390,3045,1477,4307,657,8716,6206,2936,5499
"G0600170","2013","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",181737,158602,3207,1132,7658,254,5367,5517,753,4764,"El Dorado County, California",0,2546,1234,697,904,316,2337,1408,465,1228
"G0600190","2013","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",955272,590833,48872,10938,95291,1574,170759,37005,13768,23237,"Fresno County, California",0,15613,1726,2299,2481,127,14969,5961,4756,3529
"G0600230","2013","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",134493,109863,1452,6864,3015,197,5104,7998,1281,6717,"Humboldt County, California",0,1699,443,1345,770,214,1735,1726,726,1599
"G0600250","2013","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",176584,122140,4604,1845,2621,81,33895,11398,7128,4270,"Imperial County, California",0,5719,378,541,423,95,5032,2900,2631,1543
"G0600290","2013","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",864124,646188,47749,8530,39322,992,94554,26789,8097,18692,"Kern County, California",0,11508,2015,1618,2217,667,11125,3747,2431,3045
"G0600310","2013","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",150960,100734,10111,1726,5400,406,26823,5760,1316,4444,"Kings County, California",0,4422,650,420,856,33,4277,1590,717,1309
"G0600330","2013","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",63860,49665,505,3036,1037,6,8343,1268,97,1171,"Lake County, California",0,1511,348,746,311,11,1533,708,116,706
"G0600370","2013","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",10017068,5361540,830729,65241,1409186,25719,1948425,376228,106105,270123,"Los Angeles County, California",0,41903,8408,6235,7478,1893,39705,13727,7706,10724
"G0600390","2013","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",152389,125984,5044,2627,3131,300,10872,4431,1167,3264,"Madera County, California",0,3341,656,736,719,302,2542,1767,598,1665
"G0600410","2013","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",258365,205262,6380,262,15306,710,20236,10209,1330,8879,"Marin County, California",0,3743,872,228,1417,298,3702,1742,726,1522
"G0600450","2013","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87192,70092,941,3491,1074,241,7738,3615,469,3146,"Mendocino County, California",0,2742,488,1043,702,317,2592,1151,427,1020
"G0600470","2013","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",263228,155090,8493,1509,21317,179,61310,15330,8118,7212,"Merced County, California",0,5341,813,592,928,213,5886,3541,2826,1916
"G0600530","2013","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",428826,333814,11376,4140,26772,2267,35464,14993,3027,11966,"Monterey County, California",0,6689,1642,1836,1458,193,5536,2558,1461,2236
"G0600550","2013","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",140326,101561,3074,1319,10765,122,18010,5475,1946,3529,"Napa County, California",0,3494,397,879,840,136,3455,1409,942,1058
"G0600570","2013","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",98200,89699,355,743,1361,128,2896,3018,306,2712,"Nevada County, California",0,1472,392,296,548,214,1499,672,326,598
"G0600590","2013","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3114363,1965346,53400,11397,586548,10909,376223,110540,20158,90382,"Orange County, California",0,16811,3367,1969,4990,1295,17309,7858,3268,6774
"G0600610","2013","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",367309,305729,4422,2395,23130,279,10717,20637,3113,17524,"Placer County, California",0,3609,1300,933,1824,333,3053,2641,1336,2466
"G0600650","2013","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2292507,1475763,141705,19221,140883,6729,401339,106867,33069,73798,"Riverside County, California",0,16653,3888,3449,3794,853,17077,8648,4927,7057
"G0600670","2013","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1462131,877383,145610,11298,216437,14750,97180,99473,17902,81571,"Sacramento County, California",0,10046,3846,2297,3932,1480,9428,7115,4182,6459
"G0600710","2013","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2088371,1339391,186471,14518,139116,7648,307968,93259,27243,66016,"San Bernardino County, California",0,19144,4970,2483,3731,1032,18059,8074,4532,6418
"G0600730","2013","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3211252,2293611,162450,20836,360899,15267,207408,150781,27229,123552,"San Diego County, California",0,15921,4267,3235,6840,1788,13857,8848,4392,8145
"G0600750","2013","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",837442,406041,47985,4079,280667,3481,57691,37498,6794,30704,"San Francisco County, California",0,6641,1458,1317,3049,773,6590,3246,1709,2600
"G0600770","2013","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",704379,390591,48252,3141,101669,4070,97839,58817,7225,51592,"San Joaquin County, California",0,8587,3068,1064,3472,588,7259,6905,1908,6730
"G0600790","2013","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",276443,236376,6348,2313,10506,115,11527,9258,1862,7396,"San Luis Obispo County, California",0,4108,875,1687,1090,102,3799,1887,1142,1417
"G0600810","2013","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",747373,415158,19611,1559,198260,10487,64835,37463,8067,29396,"San Mateo County, California",0,9889,1352,823,3754,1164,9129,4909,3209,3706
"G0600830","2013","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",435697,279064,8076,3761,22980,615,103275,17926,4602,13324,"Santa Barbara County, California",0,6973,1350,1048,1270,367,7455,3254,1869,2632
"G0600850","2013","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1862041,877220,50469,9091,622621,5689,209648,87303,20594,66709,"Santa Clara County, California",0,11662,3007,2419,4213,1422,12220,6661,4323,5562
"G0600870","2013","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",269419,217508,2086,1414,12556,40,23627,12188,2168,10020,"Santa Cruz County, California",0,6634,950,936,1538,70,6475,2717,1259,1870
"G0600890","2013","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",178980,154166,1609,4378,5121,59,6108,7539,1072,6467,"Shasta County, California",0,1780,412,1015,871,100,1779,1459,804,1323
"G0600950","2013","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",424788,226199,59988,2426,63983,3308,38854,30030,4370,25660,"Solano County, California",0,5707,1590,971,2795,810,5374,3955,1949,3374
"G0600970","2013","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",495025,379213,7290,6302,18448,1565,61081,21126,3307,17819,"Sonoma County, California",0,7922,1032,2650,1359,783,7942,2825,1420,2568
"G0600990","2013","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",525491,379477,14527,2994,30854,1367,72582,23690,6588,17102,"Stanislaus County, California",0,8329,1994,919,2473,746,8625,3812,2688,2917
"G0601010","2013","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",95350,69243,2198,460,14393,246,3446,5364,652,4712,"Sutter County, California",0,2002,301,351,1137,279,1688,1633,504,1489
"G0601070","2013","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",454143,383003,8277,6203,15776,546,28893,11445,2634,8811,"Tulare County, California",0,5467,2001,1608,937,334,4862,2615,920,2206
"G0601110","2013","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",839620,664232,14439,4990,58231,986,60320,36422,7769,28653,"Ventura County, California",0,9317,1215,1104,2059,673,7992,4617,2084,4087
"G0601130","2013","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",204593,137830,5683,1495,27760,296,20019,11510,1583,9927,"Yolo County, California",0,4412,1897,643,1098,227,4336,1949,926,1613
"G0601150","2013","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",73340,51529,2625,1262,4158,428,7585,5753,1279,4474,"Yuba County, California",0,2091,507,530,1034,575,2070,1286,858,1116
"G0800010","2013","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",469193,391348,14454,4616,17435,420,25310,15610,3968,11642,"Adams County, Colorado",0,5727,1727,1130,1512,503,4958,3002,1473,2579
"G0800050","2013","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",607070,440192,59572,2280,32987,1240,42869,27930,6196,21734,"Arapahoe County, Colorado",0,4790,2859,675,1220,496,4832,3442,2035,3273
"G0800130","2013","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",310048,269689,3382,2566,12770,585,12570,8486,876,7610,"Boulder County, Colorado",0,3471,967,1587,1105,534,3586,1581,725,1432
"G0800310","2013","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",649495,504146,64113,5214,21095,897,31041,22989,2979,20010,"Denver County, Colorado",0,5936,2298,1407,1631,805,5593,3065,1273,2619
"G0800350","2013","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",305963,277783,2374,271,13155,0,2845,9535,450,9085,"Douglas County, Colorado",0,1500,516,284,796,195,1097,1304,297,1259
"G0800410","2013","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",655044,522468,38082,3868,18275,2472,31384,38495,6405,32090,"El Paso County, Colorado",0,5334,3059,1234,1437,909,4463,4360,1804,3922
"G0800590","2013","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",551798,500315,5438,4507,13971,579,10564,16424,1824,14600,"Jefferson County, Colorado",0,3132,686,1842,1327,179,2323,2507,642,2520
"G0800690","2013","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",315988,287126,2263,1635,5693,229,8143,10899,2026,8873,"Larimer County, Colorado",0,2557,604,515,783,152,2266,2107,1428,1492
"G0800770","2013","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",147554,137705,1536,1107,701,0,2641,3864,412,3452,"Mesa County, Colorado",0,1508,300,821,247,195,1376,1091,320,1022
"G0801010","2013","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",161451,119340,4595,4800,1137,122,24594,6863,2508,4355,"Pueblo County, Colorado",0,3841,1614,2064,479,137,3868,1689,1096,1356
"G0801230","2013","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",269785,217193,3155,2116,4051,139,35956,7175,3193,3982,"Weld County, Colorado",0,4477,578,957,645,146,4777,1723,1330,1153
"G0900010","2013","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",939904,690752,104904,2759,44601,236,70423,26229,8396,17833,"Fairfield County, Connecticut",0,6810,3397,1002,2080,385,7153,3556,2394,2878
"G0900030","2013","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",898272,649107,121320,489,43202,140,51908,32106,10799,21307,"Hartford County, Connecticut",0,6550,4108,287,1960,168,6398,4823,2839,3315
"G0900050","2013","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",186924,173981,3094,131,3791,0,3937,1990,44,1946,"Litchfield County, Connecticut",0,1367,583,232,745,201,1561,890,54,887
"G0900070","2013","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",165562,146545,8690,202,4400,0,2510,3215,574,2641,"Middlesex County, Connecticut",0,1563,658,158,600,201,1450,1038,424,1006
"G0900090","2013","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",862287,653393,109998,1100,33213,101,45430,19052,6023,13029,"New Haven County, Connecticut",0,7531,3140,569,1493,167,7554,3268,2628,2073
"G0900110","2013","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",274150,223921,16303,2599,10862,44,6444,13977,1048,12929,"New London County, Connecticut",0,2559,2208,1987,1221,75,2154,2458,878,2369
"G0900130","2013","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",151377,135833,4663,99,6121,24,1435,3202,109,3093,"Tolland County, Connecticut",0,960,681,134,621,42,608,1204,132,1166
"G0900150","2013","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",117604,105149,2026,639,1380,0,3254,5156,254,4902,"Windham County, Connecticut",0,1489,949,595,286,201,1585,1414,276,1432
"G1000010","2013","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",169416,111974,41668,1821,3765,260,3078,6850,379,6471,"Kent County, Delaware",0,1191,1957,816,701,230,1225,2048,265,2071
