GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G0201700","2011","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",91946,78034,364,5661,1438,232,810,5407,34,5373,"Matanuska-Susitna Borough, Alaska",0,595,329,954,326,123,606,1067,61,1049
"G0400010","2011","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",72401,17330,339,51383,552,398,1332,1067,0,1067,"Apache County, Arizona",0,884,226,1137,520,420,988,732,229,732
"G0400030","2011","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",133289,97616,5101,1554,2327,384,16679,9628,4090,5538,"Cochise County, Arizona",0,3440,904,993,902,221,2987,2867,2223,1786
"G0400050","2011","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",134511,83427,1827,36926,1894,60,6083,4294,1858,2436,"Coconino County, Arizona",0,1900,411,823,477,84,1705,1317,1215,730
"G0400130","2011","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",3880244,3160235,194407,73511,133072,7880,206022,105117,22821,82296,"Maricopa County, Arizona",0,19217,6816,3343,4557,1306,17167,8950,3831,8708
"G0400150","2011","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",202351,178872,2525,4439,1383,209,3179,11744,2059,9685,"Mohave County, Arizona",0,3739,1064,1607,513,317,1264,3559,1446,2953
"G0400170","2011","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",107398,53175,426,46764,831,0,2388,3814,630,3184,"Navajo County, Arizona",0,1958,319,1905,90,229,1041,1613,659,1441
"G0400190","2011","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",989569,790968,37575,31790,26930,1657,72730,27919,8261,19658,"Pima County, Arizona",0,8776,3024,2638,2836,263,7333,4700,3022,3412
"G0400210","2011","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",382992,296684,17137,19500,5616,848,28510,14697,3706,10991,"Pinal County, Arizona",0,6813,1414,2094,1419,515,6564,4111,2245,3695
"G0400250","2011","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",211888,193972,1321,3932,1742,107,4068,6746,2355,4391,"Yavapai County, Arizona",0,4371,514,841,638,159,2714,2925,2059,1353
"G0400270","2011","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",200870,151897,4077,3543,2592,54,34602,4105,1167,2938,"Yuma County, Arizona",0,6230,697,866,448,97,6206,1468,701,1310
"G0500070","2011","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",227556,197847,2758,2482,6433,1392,9977,6667,684,5983,"Benton County, Arkansas",0,4324,993,920,1585,1585,4352,1451,619,1248
"G0500310","2011","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",98315,81188,13764,192,1179,195,374,1423,621,802,"Craighead County, Arkansas",0,907,652,251,441,292,448,762,520,634
"G0500450","2011","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",116342,98641,12793,429,888,31,1146,2414,238,2176,"Faulkner County, Arkansas",0,908,257,286,510,59,833,643,314,568
"G0500510","2011","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",97124,82215,9213,685,66,0,3251,1694,76,1618,"Garland County, Arkansas",0,830,485,540,83,192,1445,1022,175,998
"G0500690","2011","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",76246,32293,42432,95,314,487,137,488,0,488,"Jefferson County, Arkansas",0,435,493,106,212,563,168,171,192,171
"G0500850","2011","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",69341,61354,4584,637,734,0,1598,434,0,434,"Lonoke County, Arkansas",0,907,973,150,826,192,908,376,192,376
"G0501190","2011","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",386299,227320,136571,897,7356,163,6407,7585,534,7051,"Pulaski County, Arkansas",0,2704,2285,629,887,181,2551,2041,570,1989
"G0501250","2011","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",109526,100247,5676,652,959,0,402,1590,199,1391,"Saline County, Arkansas",0,445,424,346,303,192,369,680,244,627
"G0501310","2011","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",127127,104720,7589,1560,5525,227,1694,5812,1099,4713,"Sebastian County, Arkansas",0,1540,1202,865,241,357,1078,1667,768,1382
"G0501430","2011","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",207521,165071,6627,3260,4987,4039,17687,5850,586,5264,"Washington County, Arkansas",0,3551,668,1289,477,260,3790,1997,527,1884
"G0501450","2011","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",78167,70750,3275,156,0,0,1988,1998,0,1998,"White County, Arkansas",0,560,929,197,192,192,560,947,192,947
"G0600010","2011","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1529875,712457,188988,6567,406047,13018,118752,84046,20602,63444,"Alameda County, California",0,11682,3215,1673,4919,990,10871,8013,4422,5990
"G0600070","2011","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",220266,183279,3180,2411,9854,293,6127,15122,2321,12801,"Butte County, California",0,2680,691,867,986,250,1905,2672,1303,2355
"G0600130","2011","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1066096,680808,97747,6084,149806,5048,68003,58600,8791,49809,"Contra Costa County, California",0,10022,3792,1652,5979,780,8883,8390,2119,7339
"G0600170","2011","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",180938,156775,1474,3184,6925,56,6332,6192,719,5473,"El Dorado County, California",0,2415,512,1896,1498,87,1896,1757,641,1568
"G0600190","2011","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",942904,521076,46529,9999,90274,1855,235921,37250,12424,24826,"Fresno County, California",0,12628,2323,2073,2818,692,13130,5686,3032,4719
"G0600230","2011","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",134761,112161,1666,7113,2299,811,2986,7725,1133,6592,"Humboldt County, California",0,1484,355,1133,668,654,1240,1635,561,1515
"G0600250","2011","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",177057,117987,6061,3716,2723,104,39652,6814,2489,4325,"Imperial County, California",0,5488,436,1966,399,107,5306,2390,1525,1921
"G0600290","2011","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",851710,642708,49959,11778,36349,1021,81283,28612,7540,21072,"Kern County, California",0,10564,1961,2976,1854,626,9731,5468,2060,4671
"G0600310","2011","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",153765,114381,9022,2108,5620,1187,14140,7307,1565,5742,"Kings County, California",0,3083,1623,872,503,1546,2644,1380,785,1169
"G0600330","2011","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64323,52588,944,3998,939,233,4101,1520,652,868,"Lake County, California",0,1831,497,1239,211,246,1719,672,584,471
"G0600370","2011","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",9889056,5370000,826465,45496,1362032,27402,1889263,368398,105420,262978,"Los Angeles County, California",0,39648,7516,4555,8863,2406,39958,13550,9188,12691
"G0600390","2011","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",152925,126065,4772,2355,3285,1322,11573,3553,1349,2204,"Madera County, California",0,3594,1449,816,551,1451,3221,1535,939,1174
"G0600410","2011","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",255031,199725,7849,422,14746,277,22027,9985,2218,7767,"Marin County, California",0,3577,1222,278,1116,245,3742,2042,1746,1222
"G0600450","2011","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87553,71201,742,5361,1557,20,5701,2971,193,2778,"Mendocino County, California",0,2269,342,2003,286,35,2222,892,199,821
"G0600470","2011","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",259898,181378,9212,2394,19127,585,38094,9108,3121,5987,"Merced County, California",0,4106,828,1229,1341,251,4051,2097,1120,1827
"G0600530","2011","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",421898,309978,12540,2971,26257,2371,54135,13646,2738,10908,"Monterey County, California",0,8554,951,1312,1408,381,8293,2644,1021,2544
"G0600550","2011","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",138088,112259,2312,559,10323,88,7481,5066,1160,3906,"Napa County, California",0,2560,450,642,1024,110,2299,1429,696,1135
"G0600570","2011","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",98612,90377,400,614,1578,60,2744,2839,438,2401,"Nevada County, California",0,1454,408,532,652,121,1493,980,456,857
"G0600590","2011","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3055745,1945608,52328,11450,557905,8968,384592,94894,22653,72241,"Orange County, California",0,20510,2828,1753,4496,1302,20304,6098,3800,5923
"G0600610","2011","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",357138,301930,4163,2147,22533,273,10398,15694,2059,13635,"Placer County, California",0,3557,779,1061,2377,252,3226,2948,1211,2829
"G0600650","2011","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2239620,1493089,144097,24685,135636,7065,354858,80190,23828,56362,"Riverside County, California",0,17478,4897,4318,4376,1382,18279,9624,4943,6949
"G0600670","2011","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1436105,861504,142991,13358,206035,14090,104841,93286,12806,80480,"Sacramento County, California",0,12740,6005,2703,5354,1290,12102,7739,2368,7218
"G0600710","2011","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2065377,1289803,167475,17765,131737,6775,357451,94371,22124,72247,"San Bernardino County, California",0,23249,6478,3815,4840,836,21896,10038,4453,9174
"G0600730","2011","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3140069,2239511,157969,21539,346972,12682,211703,149693,26006,123687,"San Diego County, California",0,16398,5512,3232,6376,2048,14702,9942,4555,9427
"G0600750","2011","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",812826,408583,48564,2791,272088,3703,44329,32768,6011,26757,"San Francisco County, California",0,6618,2965,718,3331,309,6934,4282,1909,3537
"G0600770","2011","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",696214,426429,52901,6667,99119,4075,66352,40671,7973,32698,"San Joaquin County, California",0,9947,2803,2342,3049,982,8441,6378,2414,5685
"G0600790","2011","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",271969,227770,6407,2106,10608,43,16191,8844,866,7978,"San Luis Obispo County, California",0,4214,1024,755,1169,72,4109,2265,449,2169
"G0600810","2011","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",727209,427914,20120,1829,182693,10693,51024,32936,5228,27708,"San Mateo County, California",0,8120,1178,729,3338,548,7196,4011,1942,3587
"G0600830","2011","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",426878,327523,7605,3944,21178,821,47916,17891,5166,12725,"Santa Barbara County, California",0,7099,954,1047,1585,294,6774,2287,1460,2064
"G0600850","2011","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1809378,929773,48244,10991,582676,7115,150143,80436,15679,64757,"Santa Clara County, California",0,12064,2364,2522,5057,1089,12694,5568,3006,5233
"G0600870","2011","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",264298,218307,2861,1379,11806,133,20748,9064,1714,7350,"Santa Cruz County, California",0,4530,465,516,1222,151,4512,1789,820,1472
"G0600890","2011","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",177774,155742,1730,4543,3432,435,3840,8052,682,7370,"Shasta County, California",0,1971,588,1381,620,208,1775,1774,462,1592
"G0600950","2011","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",416471,223832,58367,2751,61718,3467,37706,28630,5751,22879,"Solano County, California",0,5320,2846,865,2807,546,5806,4240,2052,3703
"G0600970","2011","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",488116,394356,7425,6373,20438,1892,38942,18690,4176,14514,"Sonoma County, California",0,6540,1082,1879,1883,434,5917,2102,1579,1813
"G0600990","2011","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",518522,402051,15402,6342,28029,3552,39958,23188,6774,16414,"Stanislaus County, California",0,6523,1886,1817,1865,534,6163,4112,2110,3541
"G0601010","2011","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",94919,63062,2323,1332,13054,279,8939,5930,716,5214,"Sutter County, California",0,3166,787,715,1451,132,2754,2110,393,2089
"G0601070","2011","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",449253,360239,9100,6813,16694,78,39663,16666,6076,10590,"Tulare County, California",0,7024,1761,1746,1494,129,5651,3781,2689,2792
"G0601110","2011","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",831771,632500,16357,5733,58347,1343,81816,35675,8256,27419,"Ventura County, California",0,10225,1487,1444,2219,420,10565,4786,2046,4174
"G0601130","2011","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",202054,132716,6066,3580,26062,1340,19871,12419,3186,9233,"Yolo County, California",0,4297,1021,1970,1843,428,3805,2825,1855,1978
"G0601150","2011","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",72578,50201,2714,1192,4913,176,8446,4936,1303,3633,"Yuba County, California",0,2341,349,599,700,165,2499,1727,1111,1269
"G0800010","2011","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",451443,367203,14610,4316,18286,0,29363,17665,5537,12128,"Adams County, Colorado",0,6223,1118,1312,1808,201,5993,3370,2062,3315
"G0800050","2011","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",584948,440892,59327,4001,28339,1399,25151,25839,6664,19175,"Arapahoe County, Colorado",0,5444,1852,1648,1914,107,4951,3830,2192,3184
"G0800130","2011","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",299378,267138,2747,1108,11710,41,7211,9423,1129,8294,"Boulder County, Colorado",0,2712,750,557,1201,72,2622,1403,898,1187
"G0800310","2011","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",619968,445187,59801,8364,23046,765,60844,21961,5899,16062,"Denver County, Colorado",0,8472,2344,2027,996,122,8343,4406,2204,3818
"G0800350","2011","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",292167,266829,3302,1111,10953,75,1843,8054,604,7450,"Douglas County, Colorado",0,1566,897,614,1363,130,1115,1748,499,1603
"G0800410","2011","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",636963,521477,37949,3550,17519,2795,22897,30776,3647,27129,"El Paso County, Colorado",0,5562,2670,1225,1603,419,5196,3834,1222,3318
"G0800590","2011","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",539884,493900,5421,3342,13145,243,7512,16321,1754,14567,"Jefferson County, Colorado",0,2706,1047,1406,1476,298,1918,2618,850,2485
"G0800690","2011","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",305525,276672,2341,2328,7132,114,9116,7822,2199,5623,"Larimer County, Colorado",0,3105,800,1347,847,171,3059,1957,1207,1595
"G0800770","2011","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",147083,131832,1023,1403,1030,59,6776,4960,1587,3373,"Mesa County, Colorado",0,2728,264,777,423,97,2362,1349,1103,856
"G0801010","2011","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",160545,130748,3419,4901,1131,82,13839,6425,2625,3800,"Pueblo County, Colorado",0,3963,712,1999,284,159,3562,1630,1093,1236
"G0801230","2011","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",258638,235532,2828,2325,3862,143,8525,5423,1013,4410,"Weld County, Colorado",0,3237,552,1653,615,166,2731,1129,720,941
"G0900010","2011","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",925899,690728,101745,1488,45056,250,68650,17982,5880,12102,"Fairfield County, Connecticut",0,6471,2661,805,1585,225,6881,2764,1813,2254
"G0900030","2011","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",894705,653810,118106,2109,40331,570,55908,23871,5929,17942,"Hartford County, Connecticut",0,5675,2554,958,1015,428,5185,3160,2149,2726
"G0900050","2011","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",188789,178635,1744,463,2710,0,1367,3870,486,3384,"Litchfield County, Connecticut",0,1251,709,370,624,198,1154,1051,418,1003
"G0900070","2011","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",166043,147929,7861,0,3676,0,1526,5051,869,4182,"Middlesex County, Connecticut",0,1588,912,198,607,198,924,1761,574,1662
"G0900090","2011","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",861113,645740,106726,1897,31390,380,55633,19347,4756,14591,"New Haven County, Connecticut",0,6804,3777,951,1458,530,6878,3009,1474,2598
"G0900110","2011","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",273502,225704,14618,1406,11021,216,8445,12092,2361,9731,"New London County, Connecticut",0,2089,1501,697,993,234,1850,2038,1174,1953
"G0900130","2011","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",152507,136693,6150,0,5510,0,1771,2383,235,2148,"Tolland County, Connecticut",0,1301,1102,198,495,198,1053,857,205,779
"G0900150","2011","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",118151,107932,2733,118,1387,0,1993,3988,634,3354,"Windham County, Connecticut",0,1590,520,167,430,198,1117,1405,461,1162
