GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE2CE001,AE2CE002,AE2CE003,AE2CE004,AE2CE005,AE2CE006,AE2CE007,AE2CE008,AE2CE009,AE2CE010,NAME_M,AE2CM001,AE2CM002,AE2CM003,AE2CM004,AE2CM005,AE2CM006,AE2CM007,AE2CM008,AE2CM009,AE2CM010
"G0200900","2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",100605,75501,4385,7427,3875,503,2357,6557,207,6350,"Fairbanks North Star Borough, Alaska",0,1531,678,1428,810,251,1855,1794,245,1738
"G0201700","2016","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",104365,86314,1019,5455,1083,141,325,10028,490,9538,"Matanuska-Susitna Borough, Alaska",0,883,683,1338,424,214,219,1700,494,1551
"G0400010","2016","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",73112,16162,112,53520,106,54,694,2464,279,2185,"Apache County, Arizona",0,624,93,1098,130,94,453,1047,216,1035
"G0400030","2016","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",125770,109899,5077,1875,2783,434,1913,3789,565,3224,"Cochise County, Arizona",0,1329,679,538,286,204,909,1241,312,1197
"G0400050","2016","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",140908,91167,2166,37010,2670,163,2711,5021,484,4537,"Coconino County, Arizona",0,1617,419,1384,665,238,955,1495,404,1425
"G0400130","2016","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4242997,3227510,230642,82300,168720,9808,371556,152461,32753,119708,"Maricopa County, Arizona",0,16751,5475,4323,4167,954,17066,10384,6303,8121
"G0400150","2016","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",205249,187492,1614,4870,2029,231,3539,5474,387,5087,"Mohave County, Arizona",0,1975,537,703,721,217,1845,1546,339,1566
"G0400170","2016","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",110026,50543,755,49003,897,0,4536,4292,297,3995,"Navajo County, Arizona",0,1539,531,1322,77,204,1491,1251,306,1252
"G0400190","2016","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",1016206,774608,34344,32670,28713,1550,94614,49707,9993,39714,"Pima County, Arizona",0,9651,2361,2893,1809,609,8587,5881,2635,5660
"G0400210","2016","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",418540,337571,18679,21796,8568,1357,17937,12632,1240,11392,"Pinal County, Arizona",0,4815,2088,1697,585,620,3976,2611,767,2478
"G0400250","2016","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",225562,209960,1130,3491,2368,207,4025,4381,241,4140,"Yavapai County, Arizona",0,2008,330,704,627,312,1912,977,233,972
"G0400270","2016","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",205631,112651,3696,2926,2719,266,78192,5181,628,4553,"Yuma County, Arizona",0,5219,1174,987,429,298,5352,1581,434,1517
"G0500070","2016","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",258291,228649,3896,2656,9343,1350,3509,8888,940,7948,"Benton County, Arkansas",0,1633,625,789,920,197,1241,1536,421,1439
"G0500310","2016","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",105835,84134,15243,0,1394,0,2450,2614,330,2284,"Craighead County, Arkansas",0,1108,1170,197,122,197,1082,1222,388,1120
"G0500450","2016","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",122227,100295,12771,277,1404,739,2809,3932,479,3453,"Faulkner County, Arkansas",0,966,1095,224,462,885,1156,1275,751,961
"G0500510","2016","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",97477,84195,8471,989,1046,0,1347,1429,86,1343,"Garland County, Arkansas",0,833,1400,438,1190,197,844,871,167,846
"G0500690","2016","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",70016,28485,40177,46,291,0,435,582,0,582,"Jefferson County, Arkansas",0,317,527,77,266,197,317,446,197,446
"G0500850","2016","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",72228,63910,3884,292,1032,0,1309,1801,53,1748,"Lonoke County, Arkansas",0,952,685,277,107,197,1014,740,78,756
"G0501190","2016","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",393250,218346,142430,799,8604,33,9119,13919,4224,9695,"Pulaski County, Arkansas",0,2441,2299,457,875,54,2852,3431,2655,2434
"G0501250","2016","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",118703,106655,8393,887,1212,0,0,1556,0,1556,"Saline County, Arkansas",0,167,606,224,484,197,197,780,197,780
"G0501310","2016","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",127793,93101,8645,1893,5547,74,13978,4555,462,4093,"Sebastian County, Arkansas",0,1748,864,682,740,143,2025,1159,431,1117
"G0501430","2016","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",228049,174457,8608,2189,5402,4953,25446,6994,948,6046,"Washington County, Arkansas",0,2836,708,1004,879,439,2932,1623,738,1416
"G0501450","2016","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",,,,,,,,,,,"White County, Arkansas",,,,,,,,,,
"G0600010","2016","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1647704,688067,174855,10122,483856,13865,171152,105787,21795,83992,"Alameda County, California",0,9112,3980,2362,5403,1066,10622,6534,3744,5550
"G0600070","2016","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",226864,187892,3563,2567,10665,811,9577,11789,1724,10065,"Butte County, California",0,2607,796,739,1086,498,2534,1988,899,1723
"G0600130","2016","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1135127,658852,97413,3159,183849,4891,104400,82563,11558,71005,"Contra Costa County, California",0,10278,4203,1049,5126,1303,10356,7700,2856,7590
"G0600170","2016","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",185625,162495,1795,2379,8904,462,3745,5845,807,5038,"El Dorado County, California",0,2175,302,796,941,625,1717,1659,603,1634
"G0600190","2016","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",979915,640619,47646,10176,101993,1183,143649,34649,7523,27126,"Fresno County, California",0,11666,1868,2204,1767,640,11291,5110,2120,4569
"G0600230","2016","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",136646,110795,1172,7228,4212,0,3154,10085,681,9404,"Humboldt County, California",0,1826,545,1538,1001,206,1153,2014,901,1716
"G0600250","2016","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",180883,110971,4122,1808,2731,301,54515,6435,1827,4608,"Imperial County, California",0,6532,444,683,138,450,6397,1983,1012,1985
"G0600290","2016","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",884788,642077,47668,11936,40615,3142,106937,32413,8614,23799,"Kern County, California",0,11728,3254,4361,2200,2611,9374,4661,2060,3788
"G0600310","2016","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",149785,99706,10028,2083,5238,472,25665,6593,1629,4964,"Kings County, California",0,4650,1370,669,1183,416,4017,1995,869,1681
"G0600330","2016","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64116,49293,914,2815,343,0,8582,2169,201,1968,"Lake County, California",0,1711,725,1100,389,206,1804,1020,304,949
"G0600370","2016","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",10137915,5093898,826516,65370,1474575,26104,2258451,393001,106298,286703,"Los Angeles County, California",0,33145,8807,6706,7762,1971,32234,12340,6207,11179
"G0600390","2016","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",154697,109705,4535,3262,2748,312,28121,6014,1343,4671,"Madera County, California",0,5232,928,2146,636,466,5377,1682,1001,1415
"G0600410","2016","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",260651,200426,6114,274,13886,397,25607,13947,2192,11755,"Marin County, California",0,3755,1283,245,1329,433,4031,2261,1198,1837
"G0600450","2016","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87628,71202,412,3169,1125,231,5887,5602,530,5072,"Mendocino County, California",0,2564,332,1025,348,262,2641,1509,441,1401
"G0600470","2016","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",268672,149377,8492,2522,21156,32,77857,9236,4854,4382,"Merced County, California",0,7261,802,840,857,56,7468,2702,2026,1609
"G0600530","2016","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",435232,242774,11055,1903,24852,1086,135093,18469,3084,15385,"Monterey County, California",0,8535,996,767,1665,704,8640,2446,1322,2068
"G0600550","2016","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",142166,110943,2718,1160,11301,269,10439,5336,1282,4054,"Napa County, California",0,3409,541,550,771,110,3256,1211,759,926
"G0600570","2016","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",99107,91701,197,490,1742,0,1414,3563,210,3353,"Nevada County, California",0,1352,182,415,549,206,1243,672,233,559
"G0600590","2016","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3172532,1986194,53602,13443,637622,10791,352857,118023,20645,97378,"Orange County, California",0,19801,2886,2093,4687,1591,19663,7777,2979,7205
"G0600610","2016","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",380531,309901,5796,2292,26369,392,15303,20478,1794,18684,"Placer County, California",0,3759,867,1425,1895,281,3250,2823,784,2861
"G0600650","2016","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2387741,1406044,152433,20442,149105,7583,544724,107410,27678,79732,"Riverside County, California",0,18690,4274,4027,4509,1137,18100,8716,5038,6899
"G0600670","2016","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1514460,882763,148706,10265,230645,16214,117768,108099,15261,92838,"Sacramento County, California",0,10105,4325,2112,5067,1649,10471,6811,2724,5993
"G0600710","2016","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2140096,1314742,182864,15077,152270,6381,364338,104424,29165,75259,"San Bernardino County, California",0,15771,5421,3001,3157,1208,15183,9040,5126,8275
"G0600730","2016","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3317749,2385470,165878,24980,389369,14356,169165,168531,27220,141311,"San Diego County, California",0,13363,4873,4012,7045,2378,11416,9351,4102,8288
"G0600750","2016","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",870887,404410,43468,3054,300409,1967,70599,46980,7632,39348,"San Francisco County, California",0,5260,2007,923,3813,622,6070,3525,2021,3169
"G0600770","2016","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",733709,417952,52126,5428,111547,4697,74430,67529,9556,57973,"San Joaquin County, California",0,8981,1908,1925,3304,545,8657,6640,2438,6038
"G0600790","2016","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",282887,238692,5167,2262,10989,28,16126,9623,2051,7572,"San Luis Obispo County, California",0,4625,921,874,1132,51,4484,1989,804,1838
"G0600810","2016","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",764797,388724,17413,3102,214801,10756,85183,44818,10977,33841,"San Mateo County, California",0,8148,1505,1166,3512,665,8073,5557,3193,4016
"G0600830","2016","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",446170,341741,8202,4863,24802,94,46374,20094,3756,16338,"Santa Barbara County, California",0,8761,939,1784,1753,117,7599,2993,1392,2707
"G0600850","2016","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1919402,844820,47142,8787,683532,8602,227352,99167,21611,77556,"Santa Clara County, California",0,12614,2577,2588,5551,1083,12687,6847,4137,5660
"G0600870","2016","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",274673,203973,2908,1797,13692,43,40674,11586,2402,9184,"Santa Cruz County, California",0,6944,730,1006,1246,74,7208,2286,1331,1850
"G0600890","2016","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",179631,158293,1791,2942,6016,77,1522,8990,372,8618,"Shasta County, California",0,1181,496,822,877,124,651,1413,265,1385
"G0600950","2016","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",440207,219084,64438,1568,66560,3713,46315,38529,6189,32340,"Solano County, California",0,5523,2738,594,2461,722,5117,4374,1627,4049
"G0600970","2016","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",503070,371195,8632,4397,21487,1542,71200,24617,3407,21210,"Sonoma County, California",0,7398,1893,1312,1579,650,8437,4076,1730,3658
"G0600990","2016","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",541560,395715,17096,3427,30615,3166,68689,22852,5612,17240,"Stanislaus County, California",0,8826,1389,1152,1763,605,8789,3334,1584,3047
"G0601010","2016","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",96651,69300,1672,653,14849,501,3331,6345,408,5937,"Sutter County, California",0,1659,607,263,2382,135,1229,2791,280,2743
"G0601070","2016","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",460437,340284,6167,6233,20506,908,72610,13729,4245,9484,"Tulare County, California",0,8818,1041,1839,5985,349,7194,2347,1268,2052
"G0601110","2016","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",849738,681115,14929,5746,60772,1787,45523,39866,6241,33625,"Ventura County, California",0,6764,1203,2319,2453,739,6228,4606,1513,4443
"G0601130","2016","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",215802,151935,5476,1835,30155,836,11635,13930,1523,12407,"Yolo County, California",0,3886,864,1134,1727,503,3237,3140,835,3005
"G0601150","2016","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",75275,56042,2331,1046,3656,1376,3971,6853,190,6663,"Yuba County, California",0,2046,352,615,1468,989,1989,1808,193,1777
"G0800010","2016","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",498187,402970,15865,7677,19783,425,32370,19097,4046,15051,"Adams County, Colorado",0,6651,1245,2185,1318,524,5628,3445,1449,3116
"G0800050","2016","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",637068,452406,69336,3623,38563,1618,47841,23681,4303,19378,"Arapahoe County, Colorado",0,5911,3031,920,1539,233,6016,3673,1285,3600
"G0800130","2016","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",322226,288623,3453,927,15560,209,5652,7802,993,6809,"Boulder County, Colorado",0,2100,507,537,1005,224,1880,1381,557,1210
"G0800140","2016","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",66529,57480,727,316,3943,0,1812,2251,229,2022,"Broomfield County, Colorado",0,1148,424,250,658,195,1292,935,339,776
"G0800310","2016","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",693060,522284,68262,5462,25721,410,47322,23599,4456,19143,"Denver County, Colorado",0,7321,2868,1898,1555,265,7382,3361,1805,2853
"G0800350","2016","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",328632,294600,4667,1294,15524,205,3739,8603,1200,7403,"Douglas County, Colorado",0,1637,981,517,1118,208,1191,1777,784,1548
"G0800410","2016","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",688284,552441,43539,3588,18301,3009,25506,41900,7344,34556,"El Paso County, Colorado",0,4811,3984,1541,1654,507,4633,4920,2008,4597
"G0800590","2016","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",571837,519734,7314,3596,17174,273,9742,14004,2859,11145,"Jefferson County, Colorado",0,2790,1400,925,1156,229,2188,2009,1104,1690
"G0800690","2016","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",339993,307362,3351,2714,7489,516,6735,11826,2062,9764,"Larimer County, Colorado",0,2833,769,864,1038,344,2028,2512,889,2367
"G0800770","2016","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",150083,140112,465,1384,1263,467,2111,4281,700,3581,"Mesa County, Colorado",0,1348,344,585,251,466,1105,856,571,817
"G0801010","2016","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",165123,133330,4192,8264,1310,127,13092,4808,1054,3754,"Pueblo County, Colorado",0,3124,1048,2066,421,165,2764,1218,503,1077
"G0801230","2016","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",294932,271892,3435,970,4523,0,6937,7175,1606,5569,"Weld County, Colorado",0,2388,729,483,746,195,2096,1296,822,1007
"G0900010","2016","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",944177,696692,110693,2811,50381,695,52428,30477,8849,21628,"Fairfield County, Connecticut",0,7566,3655,1588,2263,481,6348,4175,2787,3032
"G0900030","2016","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",892389,636425,120762,2763,45365,82,57288,29704,7155,22549,"Hartford County, Connecticut",0,6408,3328,1423,1598,103,6311,4122,2633,3721
"G0900050","2016","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",182571,170796,3345,196,4476,0,1734,2024,91,1933,"Litchfield County, Connecticut",0,1034,999,234,385,200,930,934,141,912
"G0900070","2016","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",163329,145795,8763,5,4893,0,791,3082,433,2649,"Middlesex County, Connecticut",0,740,996,11,420,200,526,1091,445,997
"G0900090","2016","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",856875,635115,110901,1827,35579,423,45612,27418,4234,23184,"New Haven County, Connecticut",0,6494,4386,1568,1564,312,6241,4272,1626,3832
"G0900110","2016","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",269801,218961,15524,1730,12084,59,9528,11915,1413,10502,"New London County, Connecticut",0,2702,1751,666,875,76,2299,2713,745,2516
"G0900130","2016","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",151118,134939,5338,0,7366,0,1364,2111,248,1863,"Tolland County, Connecticut",0,814,502,200,465,200,817,706,350,654
