GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G0100970","2015","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",415395,246791,145156,3371,8444,0,3968,7665,599,7066,"Mobile County, Alabama",0,1559,2318,944,638,192,1984,2309,482,2208
"G0101010","2015","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226519,86467,128205,273,4930,100,1624,4920,734,4186,"Montgomery County, Alabama",0,1356,862,181,1174,139,1287,1344,488,1299
"G0101030","2015","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119565,99867,15507,276,1056,29,497,2333,0,2333,"Morgan County, Alabama",0,850,768,240,120,48,475,636,192,636
"G0101150","2015","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",87074,75170,8725,215,827,0,1360,777,33,744,"St. Clair County, Alabama",0,803,678,399,418,192,996,627,80,617
"G0101170","2015","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",208713,167146,25871,455,4540,118,8127,2456,63,2393,"Shelby County, Alabama",0,1561,950,369,557,155,1555,1184,76,1184
"G0101210","2015","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,
"G0101250","2015","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",203976,133226,63340,288,2904,275,1447,2496,0,2496,"Tuscaloosa County, Alabama",0,1123,874,238,571,449,1126,1011,192,1011
"G0101270","2015","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,
"G0200200","2015","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",298695,188025,18385,19466,29106,5556,9587,28570,2129,26441,"Anchorage Municipality, Alaska",0,2294,1519,2343,2220,1761,2764,3898,1379,3968
"G0200900","2015","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",99631,75321,4427,6741,2886,96,564,9596,0,9596,"Fairbanks North Star Borough, Alaska",0,1703,710,2005,759,167,410,1662,149,1662
"G0201700","2015","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",101095,83939,1275,4661,1383,291,572,8974,419,8555,"Matanuska-Susitna Borough, Alaska",0,652,312,910,425,134,422,1265,446,1199
"G0400010","2015","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,,,,,,,,,"Apache County, Arizona",,,,,,,,,,
"G0400030","2015","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",126427,106336,5812,1130,2729,194,4879,5347,336,5011,"Cochise County, Arizona",0,2379,721,377,523,292,2047,1626,371,1582
"G0400050","2015","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",139097,88124,1772,37506,2582,183,4698,4232,439,3793,"Coconino County, Arizona",0,1636,701,1140,832,218,1500,1083,469,1131
"G0400130","2015","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4167947,3257173,228439,80471,166727,8245,292856,134036,26969,107067,"Maricopa County, Arizona",0,16932,4905,3980,4453,989,15608,8169,4004,7632
"G0400150","2015","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",204737,184801,2453,5760,2743,130,4647,4203,1024,3179,"Mohave County, Arizona",0,2362,722,528,648,133,1932,1183,708,931
"G0400170","2015","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",108277,51800,1107,47730,674,0,4281,2685,139,2546,"Navajo County, Arizona",0,1258,649,739,165,201,1268,1050,138,1026
"G0400190","2015","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",1010025,776470,36666,37188,29545,1374,90312,38470,9561,28909,"Pima County, Arizona",0,9061,2433,4511,1617,662,9660,3713,2008,3491
"G0400210","2015","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",406584,314363,17831,21601,6433,587,29109,16660,4373,12287,"Pinal County, Arizona",0,6905,1668,2864,717,328,6576,3451,1661,3048
"G0400250","2015","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",222255,204325,1082,3586,2243,297,3908,6814,502,6312,"Yavapai County, Arizona",0,2660,448,1021,666,298,2156,1108,432,1027
"G0400270","2015","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",204275,153529,4512,3259,2723,198,35694,4360,980,3380,"Yuma County, Arizona",0,6050,907,1059,987,311,5884,1181,548,1126
"G0500070","2015","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",249672,219875,4698,3121,8876,1003,4419,7680,809,6871,"Benton County, Arkansas",0,2119,710,1000,666,190,1696,1562,534,1433
"G0500310","2015","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",104354,82830,13170,1473,1373,0,1842,3666,0,3666,"Craighead County, Arkansas",0,1126,1491,1216,170,190,956,1472,190,1472
"G0500450","2015","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",121552,100842,13615,436,1863,0,1990,2806,98,2708,"Faulkner County, Arkansas",0,1165,753,305,276,190,1184,798,95,794
"G0500510","2015","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",97177,84540,7660,395,479,0,976,3127,87,3040,"Garland County, Arkansas",0,516,1061,316,324,190,519,1016,171,965
"G0500690","2015","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",,,,,,,,,,,"Jefferson County, Arkansas",,,,,,,,,,
"G0500850","2015","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",71645,63099,4248,603,469,260,1786,1180,46,1134,"Lonoke County, Arkansas",0,822,517,235,331,423,858,508,87,501
"G0501190","2015","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",392664,226517,143424,1543,9264,141,5201,6574,1535,5039,"Pulaski County, Arkansas",0,2907,1522,611,924,180,2790,1767,1034,1364
"G0501250","2015","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",117460,105327,8105,497,1683,121,128,1599,148,1451,"Saline County, Arkansas",0,466,405,456,293,160,162,764,243,719
"G0501310","2015","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",127780,101037,9701,1739,5331,0,5896,4076,933,3143,"Sebastian County, Arkansas",0,2345,376,746,686,190,2408,1112,764,1044
"G0501430","2015","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",225477,176924,8076,1238,5454,5059,20624,8102,1072,7030,"Washington County, Arkansas",0,4094,1029,562,949,440,4211,1663,660,1636
"G0501450","2015","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",,,,,,,,,,,"White County, Arkansas",,,,,,,,,,
"G0600010","2015","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1638215,701135,180957,10588,474507,14524,157558,98946,16443,82503,"Alameda County, California",0,10438,3878,2590,4699,814,10760,6078,2686,5470
"G0600070","2015","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",225411,186531,2581,3154,10559,331,9240,13015,1720,11295,"Butte County, California",0,2787,858,1077,1303,325,2611,1945,842,1760
"G0600130","2015","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1126745,639657,100354,6112,182666,6127,124324,67505,14375,53130,"Contra Costa County, California",0,9203,2711,2107,4213,411,9767,6571,3478,5544
"G0600170","2015","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",184452,162276,1472,1608,7301,199,3801,7795,697,7098,"El Dorado County, California",0,1781,362,1171,1225,274,1690,1865,582,1811
"G0600190","2015","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",974861,630159,46705,9346,99606,1950,153441,33654,6819,26835,"Fresno County, California",0,11312,1918,2150,2366,1048,11405,4421,1654,3966
"G0600230","2015","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",135727,108203,1712,6951,4475,97,7056,7233,200,7033,"Humboldt County, California",0,2316,250,1110,596,156,2292,1623,217,1597
"G0600250","2015","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",180191,126599,5113,2557,3377,104,36062,6379,2935,3444,"Imperial County, California",0,5157,1289,831,920,169,5329,1902,1281,1353
"G0600290","2015","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",882176,684691,50286,7248,40891,2185,69878,26997,7867,19130,"Kern County, California",0,10973,2271,2177,2536,907,10536,4080,2132,3235
"G0600310","2015","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",150965,99811,9167,2316,7163,754,26474,5280,764,4516,"Kings County, California",0,3725,1139,622,1150,1024,3789,1776,429,1752
"G0600330","2015","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64591,50558,1005,2395,483,230,7631,2289,300,1989,"Lake County, California",0,1644,463,656,346,338,1689,966,268,921
"G0600370","2015","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",10170292,5285352,836460,71427,1471602,29126,2110314,366011,104681,261330,"Los Angeles County, California",0,34882,6360,6684,7403,1671,36737,13931,7391,11677
"G0600390","2015","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",154998,126455,4938,1446,2886,126,13191,5956,1906,4050,"Madera County, California",0,3791,570,553,725,204,3451,1624,1074,1037
"G0600410","2015","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",261221,202246,6976,961,15065,1062,22875,12036,2541,9495,"Marin County, California",0,3789,986,604,1355,1141,3756,2359,1292,1897
"G0600450","2015","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87649,74078,453,4243,2373,159,1788,4555,1056,3499,"Mendocino County, California",0,1783,274,1664,188,164,1196,989,640,881
"G0600470","2015","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",268455,154331,8873,1519,19689,660,70482,12901,3228,9673,"Merced County, California",0,5786,1734,782,2074,954,6378,2868,1234,2548
"G0600530","2015","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",433898,287032,10672,3036,24390,2048,86646,20074,3602,16472,"Monterey County, California",0,7533,1228,1157,1708,367,6982,2731,1317,2463
"G0600550","2015","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",142456,97452,2941,1115,12061,294,24842,3751,555,3196,"Napa County, California",0,3357,402,1297,572,268,3452,1062,365,991
"G0600570","2015","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",98877,90475,660,2498,1448,82,1473,2241,297,1944,"Nevada County, California",0,1755,181,1971,507,129,948,911,390,792
"G0600590","2015","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3169776,1982432,53969,14049,622001,10388,372652,114285,22660,91625,"Orange County, California",0,21509,2941,2658,5496,1411,21286,7375,3424,6799
"G0600610","2015","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",375391,307761,7119,1442,26067,800,12874,19328,2476,16852,"Placer County, California",0,3322,671,624,1673,456,3076,2621,895,2586
"G0600650","2015","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2361026,1485957,148768,18900,149939,6616,450803,100043,25716,74327,"Riverside County, California",0,19409,4279,3355,4241,1046,18793,8225,3707,7409
"G0600670","2015","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1501335,897925,147797,8889,233519,16679,94383,102143,16394,85749,"Sacramento County, California",0,9776,3991,2001,4048,952,8974,7530,2562,7276
"G0600710","2015","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2128133,1303554,177777,15455,149602,6867,378432,96446,29055,67391,"San Bernardino County, California",0,15022,6675,2353,3116,1018,14996,7843,4484,6393
"G0600730","2015","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3299521,2335380,168575,17356,387324,14434,218792,157660,28227,129433,"San Diego County, California",0,16276,3358,3103,6816,2046,13409,8862,4472,7793
"G0600750","2015","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",864816,409361,44843,2945,301034,3769,64455,38409,4986,33423,"San Francisco County, California",0,5245,2053,1437,3131,800,5833,4134,1521,3712
"G0600770","2015","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",726106,418597,48452,3606,110506,2624,67173,75148,8534,66614,"San Joaquin County, California",0,8672,2449,1105,3171,1461,7750,8641,2472,8183
"G0600790","2015","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",281401,237929,5614,2132,10000,569,16106,9051,894,8157,"San Luis Obispo County, California",0,4681,769,668,1246,616,4541,2096,611,2007
"G0600810","2015","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",765135,389719,18283,2314,213204,10614,93486,37515,5233,32282,"San Mateo County, California",0,6794,1249,955,3415,955,7874,3280,1509,3103
"G0600830","2015","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",444769,350900,9359,3294,25156,564,38693,16803,3916,12887,"Santa Barbara County, California",0,5467,993,1367,1385,402,5672,2731,1495,2173
"G0600850","2015","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1918044,869075,47419,8435,667182,9210,226309,90414,18198,72216,"Santa Clara County, California",0,13139,2280,1859,5479,2797,13950,7744,2893,6987
"G0600870","2015","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",274146,210341,2288,1985,12048,268,34287,12929,2316,10613,"Santa Cruz County, California",0,5323,676,1736,1245,286,5137,1978,1297,1464
"G0600890","2015","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",179533,155875,2539,4791,6066,34,2571,7657,2049,5608,"Shasta County, California",0,1548,532,1036,815,59,1215,1989,1145,1620
"G0600950","2015","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",436092,233286,61550,2367,67196,3673,37689,30331,4487,25844,"Solano County, California",0,5356,2418,989,2571,600,5361,3759,1434,3394
"G0600970","2015","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",502146,384475,7678,4403,19128,1061,52827,32574,8061,24513,"Sonoma County, California",0,7568,819,1625,1864,596,7262,4199,3240,3548
"G0600990","2015","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",538388,407401,14771,3860,30326,4218,55594,22218,5253,16965,"Stanislaus County, California",0,7561,1335,1176,1801,688,6685,3814,1815,3107
"G0601010","2015","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",96463,67966,1053,939,15125,362,4039,6979,699,6280,"Sutter County, California",0,1988,590,561,1173,162,1673,1810,504,1649
"G0601070","2015","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",459863,360593,6744,5240,16117,828,56988,13353,3851,9502,"Tulare County, California",0,7400,765,1849,1855,315,7268,2657,1349,2329
"G0601110","2015","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",850536,686076,14338,8213,62400,2044,43320,34145,5662,28483,"Ventura County, California",0,7703,1843,2949,2262,242,6206,4572,1366,4298
"G0601130","2015","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",213016,140351,5669,809,29518,606,24790,11273,1833,9440,"Yolo County, California",0,4339,911,589,1392,496,4483,2064,775,1984
"G0601150","2015","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",74492,52039,2375,504,5994,164,7168,6248,603,5645,"Yuba County, California",0,2177,758,347,651,206,2521,1716,383,1624
"G0800010","2015","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",491337,409072,15769,6146,18115,533,25364,16338,1967,14371,"Adams County, Colorado",0,5462,1337,2503,1882,421,4393,3223,988,2831
"G0800050","2015","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",631096,452681,64427,3056,34741,1413,41706,33072,5800,27272,"Arapahoe County, Colorado",0,5121,3204,943,2812,276,5713,4961,1964,4121
"G0800130","2015","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",319372,286798,2038,1203,14486,92,4488,10267,956,9311,"Boulder County, Colorado",0,2143,808,667,1088,119,1774,1534,581,1412
"G0800140","2015","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",65065,56289,564,43,4476,0,1641,2052,176,1876,"Broomfield County, Colorado",0,1354,241,78,619,193,1200,819,202,829
"G0800310","2015","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",682545,526428,64692,6897,23327,474,36631,24096,4296,19800,"Denver County, Colorado",0,6671,2361,2298,1681,384,6354,3103,1686,2844
"G0800350","2015","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",322387,287318,4276,1105,13399,833,5675,9781,1340,8441,"Douglas County, Colorado",0,2764,867,628,1093,809,2566,1582,713,1386
"G0800410","2015","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",674471,533295,45088,3949,19828,2813,34081,35417,4620,30797,"El Paso County, Colorado",0,5390,3000,1099,1913,199,5586,4490,1385,4123
"G0800590","2015","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",565524,511780,6755,3493,15012,210,10080,18194,3148,15046,"Jefferson County, Colorado",0,2802,1175,967,1287,209,2009,2451,968,2269
"G0800690","2015","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",333577,306923,3553,1448,6946,391,4082,10234,1454,8780,"Larimer County, Colorado",0,1825,724,647,1260,363,1258,1885,761,1801
"G0800770","2015","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",148513,140608,1338,294,739,1178,875,3481,334,3147,"Mesa County, Colorado",0,969,582,251,344,685,537,1041,363,990
"G0801010","2015","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",163591,128052,3707,7643,1905,0,15345,6939,1981,4958,"Pueblo County, Colorado",0,3608,784,1929,563,193,2778,1753,995,1533
"G0801230","2015","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",285174,260541,2742,3076,4172,61,6564,8018,2498,5520,"Weld County, Colorado",0,2675,746,830,848,85,2079,1591,1201,1346
"G0900010","2015","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",948053,698939,110503,1120,48626,405,56326,32134,9049,23085,"Fairfield County, Connecticut",0,6924,4180,524,2250,181,7527,4287,2803,3375
"G0900030","2015","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",895841,643989,124104,2820,43178,0,53287,28463,7615,20848,"Hartford County, Connecticut",0,5765,2788,1091,1586,198,6088,4168,2339,3041
"G0900050","2015","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",183603,171527,2936,373,3548,68,1669,3482,1392,2090,"Litchfield County, Connecticut",0,1708,512,562,721,123,1208,1663,1393,859
"G0900070","2015","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",164063,145227,8151,0,4775,0,2045,3865,405,3460,"Middlesex County, Connecticut",0,1259,946,198,518,198,1143,1098,356,1074
"G0900090","2015","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",859470,633320,112785,1794,36649,0,51792,23130,7672,15458,"New Haven County, Connecticut",0,6459,2890,875,991,198,6592,3480,2160,2633
"G0900110","2015","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",271863,217247,15220,1471,10957,0,9937,17031,1262,15769,"New London County, Connecticut",0,2321,2081,581,1082,198,2645,3122,747,2912
"G0900130","2015","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",151420,133224,4918,93,7032,0,2887,3266,624,2642,"Tolland County, Connecticut",0,1137,709,88,349,198,1096,1001,543,900
"G0900150","2015","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",116573,104470,1954,1222,1484,46,2164,5233,6,5227,"Windham County, Connecticut",0,1931,653,1041,379,79,1186,1580,13,1580
