GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G0600130","2019","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1153526,600481,101590,5863,205366,4625,162355,73246,17040,56206,"Contra Costa County, California",0,9082,3387,1860,4366,1525,10235,6710,3747,5727
"G0600170","2019","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",192843,167011,1644,2540,10114,125,4845,6564,1078,5486,"El Dorado County, California",0,2344,463,1123,885,153,2274,1397,687,1264
"G0600190","2019","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",999101,638792,47391,13588,104859,1953,152697,39821,9428,30393,"Fresno County, California",0,12728,2890,3115,3713,304,12404,3741,2483,3880
"G0600230","2019","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",135558,106738,2059,7073,3525,539,4906,10718,1372,9346,"Humboldt County, California",0,1981,644,1584,764,721,1822,2476,1227,2254
"G0600250","2019","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",181215,125807,3979,3791,2589,0,41162,3887,2128,1759,"Imperial County, California",0,6014,877,1540,378,216,5837,1590,1212,849
"G0600290","2019","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",900202,645240,46432,8906,42066,907,122148,34503,9236,25267,"Kern County, California",0,12102,3427,2818,2848,467,12288,6000,3366,5175
"G0600310","2019","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",152940,115128,8635,2804,5104,460,13840,6969,303,6666,"Kings County, California",0,3706,988,1341,885,661,3202,2008,212,2027
"G0600330","2019","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64386,50669,1247,2540,499,27,6062,3342,336,3006,"Lake County, California",0,2577,454,1251,425,50,2539,1748,379,1748
"G0600370","2019","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",10039107,5234081,811176,81491,1474713,26307,1997842,413497,119327,294170,"Los Angeles County, California",0,34078,9999,9004,9381,2362,37344,15421,8373,12386
"G0600390","2019","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",157327,107073,4138,1810,3838,1131,35503,3834,751,3083,"Madera County, California",0,6008,1439,661,586,1296,6007,1240,298,1166
"G0600410","2019","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",258826,204109,7058,1534,16663,273,18564,10625,714,9911,"Marin County, California",0,3833,1175,1450,1503,279,3812,2130,497,1966
"G0600450","2019","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",86749,73467,823,4610,1954,135,2696,3064,189,2875,"Mendocino County, California",0,2048,693,1238,270,166,1651,954,178,970
"G0600470","2019","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",277680,141038,9337,2821,20581,34,95138,8731,3429,5302,"Merced County, California",0,8057,907,1107,1225,58,8140,2167,1495,1648
"G0600530","2019","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",434061,196483,12231,2057,26860,1288,178002,17140,3416,13724,"Monterey County, California",0,7837,1095,800,1993,897,7908,2512,1460,2154
"G0600550","2019","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",137744,101380,3314,815,11552,271,14604,5808,1284,4524,"Napa County, California",0,3541,510,589,906,279,3606,1431,711,1181
"G0600570","2019","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",99755,92832,310,487,1243,342,314,4227,0,4227,"Nevada County, California",0,1195,280,491,712,479,319,1149,216,1149
"G0600590","2019","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3175692,1881453,55517,12961,672223,11166,410006,132366,22079,110287,"Orange County, California",0,18145,3229,2734,6075,1629,17970,9247,3450,8152
"G0600610","2019","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",398329,329697,7771,2238,32784,700,5421,19718,3400,16318,"Placer County, California",0,2636,1167,732,1783,430,1768,2576,1050,2537
"G0600650","2019","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2470546,1478117,163542,20934,172785,8695,517882,108591,30160,78431,"Riverside County, California",0,22778,5169,2970,5244,1351,22957,9088,5150,7439
"G0600670","2019","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1552058,859356,148840,11004,250836,19153,138724,124145,19860,104285,"Sacramento County, California",0,11020,6032,2577,5867,689,10391,9182,3984,8656
"G0600710","2019","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2180085,1351926,181122,17061,160336,8247,346772,114621,36975,77646,"San Bernardino County, California",0,19123,6792,2855,3361,1747,19715,10275,5655,8452
"G0600730","2019","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3338330,2368310,164475,23116,404836,13736,177471,186386,31692,154694,"San Diego County, California",0,14312,5632,3600,6462,1776,12542,11703,4576,10103
"G0600750","2019","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",881549,398662,48225,3568,307649,3785,69536,50124,10522,39602,"San Francisco County, California",0,6153,1820,1254,3361,410,6308,5134,3042,4268
"G0600770","2019","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",762148,431364,52493,4831,123090,5279,55774,89317,7429,81888,"San Joaquin County, California",0,10711,3126,1902,3823,472,8211,9790,2212,9778
"G0600790","2019","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",283111,242058,5107,3475,11041,253,11291,9886,808,9078,"San Luis Obispo County, California",0,3963,1010,2048,823,249,3543,1890,545,1792
"G0600810","2019","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",766573,381129,17625,3330,230398,9496,84658,39937,6987,32950,"San Mateo County, California",0,9053,1438,1382,3605,1288,8996,4238,1994,3937
"G0600830","2019","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",446499,343029,9809,5079,25843,447,46682,15610,2403,13207,"Santa Barbara County, California",0,7860,1339,2218,1211,359,7205,2795,892,2601
"G0600850","2019","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1927852,870226,49308,8607,726712,7082,163090,102827,16152,86675,"Santa Clara County, California",0,14395,2912,2085,5211,1059,13379,7806,3754,6193
"G0600870","2019","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",273213,210821,4743,1460,14422,212,27687,13868,1855,12013,"Santa Cruz County, California",0,6719,2526,983,1250,253,6338,2142,746,2102
"G0600890","2019","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",180080,154887,1878,4027,6316,550,4133,8289,580,7709,"Shasta County, California",0,1995,962,1069,792,732,1744,2068,338,2024
"G0600950","2019","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",447643,240947,61052,2450,69555,4125,35039,34475,3875,30600,"Solano County, California",0,6824,2549,1305,2557,712,5767,4698,1390,4233
"G0600970","2019","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",494336,364751,7410,4392,20748,1864,67532,27639,6394,21245,"Sonoma County, California",0,8080,1258,1790,2107,336,7729,4074,2580,3062
"G0600990","2019","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",550660,442681,16542,4230,32487,3363,29002,22355,6772,15583,"Stanislaus County, California",0,5311,1828,1347,1957,1397,4215,3464,2033,2827
"G0601010","2019","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",96971,65941,1793,906,15955,184,4888,7304,516,6788,"Sutter County, California",0,3134,481,423,1317,216,2302,2624,407,2492
"G0601030","2019","CA",,,"California","06","Tehama County","103",,,,,,,,,,,,,,,,,,"05000US06103","Tehama County, California",65084,55148,224,472,1166,46,3990,4038,918,3120,"Tehama County, California",0,2861,334,315,215,90,2793,1205,837,841
"G0601070","2019","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",466195,314748,6811,7103,16248,862,99210,21213,8811,12402,"Tulare County, California",0,11811,1782,2872,1230,159,11515,5023,3691,2989
"G0601110","2019","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",846006,678174,15510,5745,63728,1139,43078,38632,6859,31773,"Ventura County, California",0,8500,1364,2007,2383,641,7547,4660,1466,4495
"G0601130","2019","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",220500,158079,6192,2204,32179,1073,9238,11535,1937,9598,"Yolo County, California",0,2885,866,546,1746,233,2406,2192,954,1987
"G0601150","2019","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",78668,62576,2677,494,4235,645,1838,6203,187,6016,"Yuba County, California",0,1441,782,525,1325,526,1069,1491,190,1492
"G0800010","2019","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",517421,410925,18728,4884,20608,692,33151,28433,4359,24074,"Adams County, Colorado",0,7731,1405,2185,2235,427,6458,4376,1423,4476
"G0800050","2019","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",656590,467262,73012,5086,41348,1602,37364,30916,4432,26484,"Arapahoe County, Colorado",0,6379,3088,1892,2872,597,5871,5301,1486,5033
"G0800130","2019","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",326196,291979,3897,1000,16360,76,3827,9057,1833,7224,"Boulder County, Colorado",0,2205,852,612,1181,104,2036,1669,970,1326
"G0800140","2019","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",70465,60615,1019,300,5048,0,1310,2173,206,1967,"Broomfield County, Colorado",0,1197,438,270,433,206,1106,747,242,694
"G0800310","2019","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",727211,561365,62853,4596,26532,505,38352,33008,4255,28753,"Denver County, Colorado",0,8491,3331,1243,1279,692,8173,4168,1865,3575
"G0800350","2019","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",351154,309421,6114,1679,18465,0,5275,10200,1123,9077,"Douglas County, Colorado",0,1811,1422,476,1411,206,1562,2120,660,2063
"G0800410","2019","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",720403,570068,45784,6960,20001,2263,28083,47244,8231,39013,"El Paso County, Colorado",0,6586,3848,2316,1709,891,5715,5427,2641,4700
"G0800590","2019","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",582881,526137,6943,4885,15706,219,10103,18888,2058,16830,"Jefferson County, Colorado",0,3596,1359,1081,1428,185,2943,2914,833,2619
"G0800690","2019","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",356899,324847,3423,3996,7187,469,6105,10872,1892,8980,"Larimer County, Colorado",0,3519,985,1758,1113,334,2541,1955,808,1666
"G0800770","2019","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",154210,145148,836,1144,1634,0,1279,4169,553,3616,"Mesa County, Colorado",0,1079,500,605,368,206,876,1065,493,946
"G0801010","2019","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",168424,137775,4327,6434,1435,221,10552,7680,2011,5669,"Pueblo County, Colorado",0,4008,1334,2538,287,198,3068,1896,1012,1634
"G0801230","2019","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",324492,284067,4242,3074,4719,580,15071,12739,1972,10767,"Weld County, Colorado",0,5194,696,1737,840,576,3575,2085,1051,1897
"G0900010","2019","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",943332,678975,114682,984,50380,516,65164,32631,9209,23422,"Fairfield County, Connecticut",0,8100,3671,677,2344,596,7434,4890,2375,4854
"G0900030","2019","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",891720,609205,120195,3150,51618,532,64363,42657,8622,34035,"Hartford County, Connecticut",0,7678,4138,1181,1368,732,7023,5690,2398,5591
"G0900050","2019","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",180333,166674,2863,336,4049,0,2186,4225,814,3411,"Litchfield County, Connecticut",0,1466,655,212,974,213,1009,1424,660,1532
"G0900070","2019","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",162436,139811,10074,392,5148,0,3317,3694,385,3309,"Middlesex County, Connecticut",0,1713,1657,437,680,213,1568,1347,393,1321
"G0900090","2019","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",854757,613987,122987,1570,34348,41,51459,30365,5467,24898,"New Haven County, Connecticut",0,7934,5352,774,1891,70,7340,4350,2085,4185
"G0900110","2019","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",265206,213621,17205,2383,11608,0,9775,10614,949,9665,"New London County, Connecticut",0,2735,1998,831,1004,213,2556,2407,810,2383
"G0900130","2019","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",150721,131854,5462,103,7552,11,2245,3494,44,3450,"Tolland County, Connecticut",0,1217,1473,125,658,21,1236,1371,73,1377
