GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAA6E001,AAA6E002,AAA6E003,AAA6E004,AAA6E005,AAA6E006,AAA6E007,AAA6E008,AAA6E009,AAA6E010,NAME_M,AAA6M001,AAA6M002,AAA6M003,AAA6M004,AAA6M005,AAA6M006,AAA6M007,AAA6M008,AAA6M009,AAA6M010
"G0600670","2014","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1482026,871895,150307,10329,228084,16250,112118,93043,17449,75594,"Sacramento County, California",0,8170,3636,3187,5154,1198,8865,6881,2915,6503
"G0600710","2014","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2112619,1284478,175566,19770,143777,6956,396676,85396,21110,64286,"San Bernardino County, California",0,14280,5411,4168,3444,917,13278,6434,2989,5824
"G0600730","2014","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3263431,2314039,161603,15950,378006,14253,212047,167533,27817,139716,"San Diego County, California",0,15744,6101,2085,6164,2218,14095,11424,4354,9910
"G0600750","2014","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",852469,403610,45986,2382,289650,3665,65067,42109,6226,35883,"San Francisco County, California",0,5813,1930,638,3176,394,6784,3957,1967,3373
"G0600770","2014","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",715597,394950,52150,4827,109924,4233,90729,58784,9132,49652,"San Joaquin County, California",0,10164,2053,1224,2535,258,9632,6049,2496,5987
"G0600790","2014","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",279083,243548,5578,1188,11385,0,9046,8338,1162,7176,"San Luis Obispo County, California",0,2460,811,415,1019,200,2090,1679,669,1557
"G0600810","2014","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",758581,399957,19872,2463,206532,9814,83108,36835,6293,30542,"San Mateo County, California",0,7652,1633,996,3058,1415,7593,4521,1786,4311
"G0600830","2014","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",440668,339492,8498,3018,21108,1125,44387,23040,5029,18011,"Santa Barbara County, California",0,5932,1505,1128,1596,645,5517,3593,1909,2847
"G0600850","2014","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1894605,907866,48169,7894,651614,7155,185314,86593,17361,69232,"Santa Clara County, California",0,14222,1946,1773,4148,1777,14033,5386,2690,5404
"G0600870","2014","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",271804,218568,2398,724,12339,194,25971,11610,1989,9621,"Santa Cruz County, California",0,4611,638,394,1291,195,4431,1971,1030,1533
"G0600890","2014","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",179804,156618,2167,3047,3983,147,3281,10561,1089,9472,"Shasta County, California",0,1513,616,1126,1074,166,1438,1981,519,1887
"G0600950","2014","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",431131,234128,60256,2283,67746,3265,36229,27224,3977,23247,"Solano County, California",0,5169,2568,838,1841,1217,5091,4247,1803,3465
"G0600970","2014","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",500292,376299,7339,6750,19734,2210,61028,26932,4204,22728,"Sonoma County, California",0,7101,1360,3101,1592,690,7489,3751,1679,3073
"G0600990","2014","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",531997,405964,12774,4114,29521,3588,53423,22613,4837,17776,"Stanislaus County, California",0,7769,1467,1078,2487,706,7594,3423,1793,3234
"G0601010","2014","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",95847,68279,2585,837,13805,635,4195,5511,828,4683,"Sutter County, California",0,2019,509,240,1574,797,1811,1741,534,1528
"G0601070","2014","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",458198,377865,7757,5512,15247,131,36575,15111,5269,9842,"Tulare County, California",0,6190,1107,1617,1582,169,5203,3697,2555,2322
"G0601110","2014","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",846178,681601,13518,7959,60326,1684,44215,36875,7203,29672,"Ventura County, California",0,6478,1704,2637,2331,608,5263,4728,1813,3890
"G0601130","2014","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",207590,131402,6678,1654,28058,1001,27476,11321,2994,8327,"Yolo County, California",0,3491,1025,796,1183,251,3882,1648,1165,1271
"G0601150","2014","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",73966,52989,1794,1568,4285,273,5327,7730,1287,6443,"Yuba County, California",0,2327,525,1037,963,254,1892,1846,813,1520
"G0800010","2014","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",480718,403077,15119,7788,19265,181,21198,14090,2968,11122,"Adams County, Colorado",0,4972,1523,2780,1229,162,4328,2414,1202,2198
"G0800050","2014","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",618821,445668,64678,4354,32850,1240,41889,28142,5946,22196,"Arapahoe County, Colorado",0,6624,2545,1978,1779,263,6379,3276,1912,2729
"G0800130","2014","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",313333,276324,3253,2480,14136,236,8030,8874,1799,7075,"Boulder County, Colorado",0,2598,608,1385,1236,274,2207,2152,1328,1539
"G0800310","2014","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",663862,520398,62757,7326,24784,174,25722,22701,4122,18579,"Denver County, Colorado",0,5172,2413,2047,1139,294,4410,3085,1270,2919
"G0800350","2014","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",314638,282577,4025,713,12019,163,5323,9818,1200,8618,"Douglas County, Colorado",0,2423,723,492,1231,153,2380,1689,488,1556
"G0800410","2014","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",663519,524761,38303,3475,19301,1504,35017,41158,6341,34817,"El Paso County, Colorado",0,5405,2828,1017,1838,729,5538,3815,1726,3247
"G0800590","2014","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",558503,508531,6274,5199,14944,334,8766,14455,3255,11200,"Jefferson County, Colorado",0,2721,918,1249,1192,239,2064,2454,1385,2075
"G0800690","2014","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",324122,295280,3133,2664,6030,1418,6971,8626,729,7897,"Larimer County, Colorado",0,2424,555,1005,1099,1145,2673,1633,449,1461
"G0800770","2014","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",148255,139247,971,1621,1234,198,1648,3336,935,2401,"Mesa County, Colorado",0,1532,478,669,389,174,872,1299,943,804
"G0801010","2014","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",161875,124609,3470,3606,1246,0,22070,6874,1867,5007,"Pueblo County, Colorado",0,3466,477,1946,378,192,3785,1649,1109,1021
"G0801230","2014","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",277670,247795,2834,2035,3131,86,12345,9444,1712,7732,"Weld County, Colorado",0,3448,632,1160,656,109,2922,1660,893,1513
"G0900010","2014","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",945438,693016,103807,2090,48920,203,74202,23200,7813,15387,"Fairfield County, Connecticut",0,5749,3339,603,1978,237,6324,3635,2239,2766
"G0900030","2014","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",897985,651664,120884,2592,44427,612,50824,26982,7920,19062,"Hartford County, Connecticut",0,6690,3242,1099,1240,520,6299,3753,2389,3108
"G0900050","2014","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",184993,170839,4634,213,3620,0,3048,2639,662,1977,"Litchfield County, Connecticut",0,1438,1543,140,435,197,1184,867,505,625
"G0900070","2014","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",164943,146206,8378,173,5065,0,1725,3396,153,3243,"Middlesex County, Connecticut",0,1102,906,185,380,197,1042,1148,154,1141
"G0900090","2014","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",861277,641620,110111,816,31449,126,50605,26550,4750,21800,"New Haven County, Connecticut",0,5135,3515,551,2166,152,5521,4206,1784,3774
"G0900110","2014","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",273676,221316,16418,942,10926,0,10023,14051,2464,11587,"New London County, Connecticut",0,2739,1971,464,1261,197,2955,2882,1575,2542
"G0900130","2014","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",151367,134614,4678,0,5488,0,2376,4211,0,4211,"Tolland County, Connecticut",0,1325,1203,197,720,197,1460,1262,197,1262
"G0900150","2014","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",116998,104674,2947,259,1507,78,4729,2804,69,2735,"Windham County, Connecticut",0,1692,631,393,362,154,1696,655,77,652
