GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G0500510","2017","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",98658,83717,8358,537,271,0,2774,3001,125,2876,"Garland County, Arkansas",0,1360,822,530,305,201,1369,1012,217,1002
"G0500690","2017","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",69115,27334,39567,159,856,0,704,495,83,412,"Jefferson County, Arkansas",0,514,884,189,899,201,547,404,77,359
"G0500850","2017","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",72898,64934,5004,591,167,0,247,1955,427,1528,"Lonoke County, Arkansas",0,667,621,230,187,201,225,813,486,587
"G0501190","2017","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",393956,219468,144945,781,8976,208,8449,11129,1142,9987,"Pulaski County, Arkansas",0,2518,2359,670,1049,331,2886,2503,1159,2328
"G0501250","2017","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",119323,104856,8837,148,1505,194,1361,2422,167,2255,"Saline County, Arkansas",0,1253,562,195,298,323,1256,758,206,704
"G0501310","2017","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",128107,93998,7784,1115,5082,0,12232,7896,635,7261,"Sebastian County, Arkansas",0,1845,1262,395,1072,201,1848,1689,550,1650
"G0501430","2017","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",231996,175198,8058,1689,6459,4358,27208,9026,137,8889,"Washington County, Arkansas",0,3337,1052,715,957,1398,4686,2727,168,2709
"G0501450","2017","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",79016,71368,3402,455,500,0,1256,2035,115,1920,"White County, Arkansas",0,1128,482,334,126,201,1243,587,189,569
"G0600010","2017","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1663190,661879,174829,10993,502289,13090,189729,110381,23720,86661,"Alameda County, California",0,9261,4097,2019,5983,1046,9826,7895,4114,6287
"G0600070","2017","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",229294,185941,4188,3346,11961,228,11244,12386,1858,10528,"Butte County, California",0,2533,527,911,1303,183,2569,1871,1009,1583
"G0600130","2017","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1147439,655634,94211,5355,195332,5979,105520,85408,13320,72088,"Contra Costa County, California",0,9784,4516,1536,4546,1137,9971,8250,3083,7237
"G0600170","2017","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",188987,166729,1645,1448,8316,0,3211,7638,351,7287,"El Dorado County, California",0,1818,402,555,1168,210,1605,1527,266,1490
"G0600190","2017","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",989255,648874,46347,9657,102464,1622,138241,42050,10369,31681,"Fresno County, California",0,11405,2118,2060,2586,395,10679,4849,2312,4077
"G0600230","2017","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",136754,109593,1821,5216,4363,1707,5978,8076,472,7604,"Humboldt County, California",0,2316,941,1754,806,1429,2491,2170,395,2118
"G0600250","2017","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",182830,106980,4562,1575,2093,952,60234,6434,2409,4025,"Imperial County, California",0,7405,988,532,855,811,6901,2719,1049,2483
"G0600290","2017","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",893119,673299,47820,9145,45271,1518,89366,26700,6349,20351,"Kern County, California",0,8416,3205,2686,2400,257,8751,3689,1839,2837
"G0600310","2017","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",150101,100972,9297,2476,5937,23,25123,6273,648,5625,"Kings County, California",0,4112,1221,800,1061,35,4120,1457,324,1438
"G0600330","2017","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64246,48772,1388,2968,1062,49,8631,1376,205,1171,"Lake County, California",0,1619,870,795,221,89,1757,631,252,540
"G0600370","2017","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",10163507,5047869,823121,73839,1500637,27950,2310179,379912,103639,276273,"Los Angeles County, California",0,38090,7991,7454,9173,1955,38429,16510,8769,13197
"G0600390","2017","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",156890,105912,5644,3179,3730,25,35242,3158,1307,1851,"Madera County, California",0,5548,341,949,769,46,5583,1138,717,913
"G0600410","2017","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",260955,199666,4646,1001,15642,93,25778,14129,2007,12122,"Marin County, California",0,3777,1054,892,1027,107,4465,2703,1380,2171
"G0600450","2017","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",88018,72964,775,3574,1796,289,3939,4681,127,4554,"Mendocino County, California",0,2344,321,1477,409,298,1793,1473,157,1431
"G0600470","2017","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",272673,151255,7786,2883,21738,431,77373,11207,4216,6991,"Merced County, California",0,7554,1118,1407,1417,352,7627,2460,2042,2029
"G0600530","2017","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",437907,209568,11199,1627,24056,1678,170737,19042,3400,15642,"Monterey County, California",0,8214,1156,802,1833,335,8467,3178,1388,2579
"G0600550","2017","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",140973,104581,3362,949,11380,365,14483,5853,1302,4551,"Napa County, California",0,3621,615,656,1095,382,3501,1654,715,1540
"G0600570","2017","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",99814,93198,489,528,504,150,792,4153,50,4103,"Nevada County, California",0,853,339,498,429,239,669,973,72,977
"G0600590","2017","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3190400,1899657,56047,16541,657068,8477,417082,135528,28301,107227,"Orange County, California",0,19408,2522,3246,6230,1720,19354,7416,4820,6474
"G0600610","2017","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",386166,315315,6325,2183,29727,1695,13455,17466,1790,15676,"Placer County, California",0,4075,1185,779,1736,2062,3408,2518,958,2245
"G0600650","2017","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2423266,1371769,159227,19874,160820,6449,593615,111512,36116,75396,"Riverside County, California",0,22425,5891,3100,4428,2178,23106,9337,5709,7038
"G0600670","2017","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1530615,858852,148713,9918,237209,18242,138743,118938,16237,102701,"Sacramento County, California",0,10073,5131,2216,5344,715,8777,7926,2651,7897
"G0600710","2017","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2157404,1322703,175209,20073,157083,6396,368369,107571,29505,78066,"San Bernardino County, California",0,22356,6500,3807,3021,1325,21430,10820,4349,9341
"G0600730","2017","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3337685,2325134,165577,25433,403200,13884,224947,179510,29441,150069,"San Diego County, California",0,14893,4896,3755,6043,1704,13150,12134,4804,11241
"G0600750","2017","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",884363,402967,45815,3078,306459,3639,71647,50758,10525,40233,"San Francisco County, California",0,4706,1894,1385,3901,715,6371,5983,4160,4848
"G0600770","2017","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",745424,399989,53882,3933,114582,5136,75859,92043,8610,83433,"San Joaquin County, California",0,10252,2885,1358,3720,1071,8977,7644,2068,7146
"G0600790","2017","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",283405,244081,5364,3382,10291,254,8952,11081,2092,8989,"San Luis Obispo County, California",0,2701,1288,1270,1072,262,2397,1945,1030,1866
"G0600810","2017","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",771410,376719,18758,3712,221757,11254,94159,45051,7599,37452,"San Mateo County, California",0,7593,1807,1133,4094,889,7954,4586,1947,4421
"G0600830","2017","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",448150,344963,7803,3680,24908,337,46380,20079,3359,16720,"Santa Barbara County, California",0,6840,1184,1438,1838,320,6380,3047,1324,2557
"G0600850","2017","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1938153,846837,49943,11586,705366,6105,216455,101861,21052,80809,"Santa Clara County, California",0,12736,2138,2580,4995,1190,12614,6276,3902,5741
"G0600870","2017","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",275897,200879,2687,1887,13516,292,44257,12379,1509,10870,"Santa Cruz County, California",0,5543,846,1127,1211,265,5579,1915,769,1718
"G0600890","2017","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",179921,156292,2873,6853,5640,177,2671,5415,868,4547,"Shasta County, California",0,1498,168,1293,903,187,936,1165,647,1057
"G0600950","2017","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",445458,233792,60377,1951,70763,4314,44244,30017,4327,25690,"Solano County, California",0,6257,2082,1052,2088,543,6285,3507,1401,2996
"G0600970","2017","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",504217,366041,8256,5374,20424,2015,73770,28337,7535,20802,"Sonoma County, California",0,7535,1013,1634,1760,577,8233,3896,2563,3721
"G0600990","2017","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",547899,425003,17428,4161,29258,3683,45587,22779,6380,16399,"Stanislaus County, California",0,7144,1300,1327,2005,867,6590,3522,1838,2708
"G0601010","2017","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",96648,64783,2278,1496,16109,904,4796,6282,1380,4902,"Sutter County, California",0,2482,457,428,1055,759,1760,1984,893,1646
"G0601070","2017","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",464493,352858,7240,5390,14085,428,66511,17981,5436,12545,"Tulare County, California",0,9076,931,1467,2518,376,8702,3229,1886,2626
"G0601110","2017","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",854223,684452,17028,7610,65149,1150,42277,36557,5645,30912,"Ventura County, California",0,8477,2018,2588,4156,579,7132,3921,1653,3591
"G0601130","2017","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",219116,151351,5856,940,29363,1165,15163,15278,1863,13415,"Yolo County, California",0,3689,802,440,1855,245,3374,2578,869,2435
"G0601150","2017","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",77031,60488,3588,1199,4780,297,2333,4346,453,3893,"Yuba County, California",0,1590,559,724,961,141,1195,1270,406,1188
"G0800010","2017","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",503167,420960,17889,3940,22618,0,21561,16199,3370,12829,"Adams County, Colorado",0,4851,1565,1109,1135,200,3952,3361,1299,3087
"G0800050","2017","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",643052,464674,69675,4455,37969,1377,37922,26980,4799,22181,"Arapahoe County, Colorado",0,4731,2116,1727,1721,265,4893,3265,1756,2695
"G0800130","2017","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",322514,286516,3202,1445,14887,61,6296,10107,1296,8811,"Boulder County, Colorado",0,2228,746,896,1069,91,2029,1975,815,1620
"G0800140","2017","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",68341,58633,1028,330,4591,0,537,3222,597,2625,"Broomfield County, Colorado",0,1141,264,218,647,200,351,1245,532,1198
"G0800310","2017","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",704621,531343,64231,7422,27131,1165,49098,24231,4385,19846,"Denver County, Colorado",0,6930,2605,1745,1391,871,6234,3804,1120,3394
"G0800350","2017","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",335299,296679,4918,1140,16920,116,6477,9049,513,8536,"Douglas County, Colorado",0,2287,750,658,1301,141,2112,1670,331,1635
"G0800410","2017","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",699232,555428,42690,6463,18137,3077,31821,41616,6275,35341,"El Paso County, Colorado",0,6028,3780,1847,1683,997,6132,4708,1986,4377
"G0800590","2017","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",574613,521644,5801,4791,16249,294,9588,16246,2863,13383,"Jefferson County, Colorado",0,3233,850,1362,1070,282,2671,2389,1166,2076
"G0800690","2017","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",343976,316413,3881,3058,7315,488,3578,9243,659,8584,"Larimer County, Colorado",0,1870,709,1228,986,531,1377,2160,433,2020
"G0800770","2017","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",151616,142383,1147,1054,1802,626,2237,2367,223,2144,"Mesa County, Colorado",0,1229,846,714,1100,725,1081,959,231,954
"G0801010","2017","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",166475,132886,3050,6401,2051,160,14970,6957,1391,5566,"Pueblo County, Colorado",0,3667,909,1879,833,127,3313,1610,723,1435
"G0801230","2017","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",304633,277607,3539,1457,4851,377,9464,7338,1471,5867,"Weld County, Colorado",0,2693,994,690,735,200,2563,1333,739,1259
"G0900010","2017","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",949921,694002,103404,2828,52069,219,69625,27774,5761,22013,"Fairfield County, Connecticut",0,7717,3557,1329,1519,283,8160,4326,1845,3523
"G0900030","2017","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",895388,633375,124617,2841,48514,85,55633,30323,7241,23082,"Hartford County, Connecticut",0,6577,3376,1199,1588,140,6962,4517,2309,4002
"G0900050","2017","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",182177,168874,4349,391,3511,0,2571,2481,533,1948,"Litchfield County, Connecticut",0,1498,780,245,536,207,1129,996,626,814
"G0900070","2017","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",163410,143959,10147,928,5172,0,724,2480,381,2099,"Middlesex County, Connecticut",0,1319,1573,789,520,207,461,982,330,908
"G0900090","2017","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",860435,632057,116220,1202,34333,142,46999,29482,7871,21611,"New Haven County, Connecticut",0,7504,3997,584,1921,235,6617,4377,2796,3899
"G0900110","2017","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",269033,216598,13584,2446,11426,79,7872,17028,3725,13303,"New London County, Connecticut",0,3247,1953,852,942,97,2292,2796,1499,2647
"G0900130","2017","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",151461,131854,5563,52,7171,0,3108,3713,282,3431,"Tolland County, Connecticut",0,1769,852,93,581,207,1884,1081,338,1011
