GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFR5E001,AFR5E002,AFR5E003,NAME_M,AFR5M001,AFR5M002,AFR5M003
"G0600570","2016","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",53538,38708,14830,"Nevada County, California",325,1911,1875
"G0600590","2016","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1090121,1032218,57903,"Orange County, California",993,5228,5263
"G0600610","2016","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",161422,139104,22318,"Placer County, California",299,2002,2022
"G0600650","2016","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",831404,715040,116364,"Riverside County, California",996,4938,4759
"G0600670","2016","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",565813,535090,30723,"Sacramento County, California",1049,3201,3112
"G0600710","2016","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",714364,633173,81191,"San Bernardino County, California",1597,4114,3746
"G0600730","2016","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1202397,1110568,91829,"San Diego County, California",1966,6697,6238
"G0600750","2016","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",392823,358703,34120,"San Francisco County, California",1425,4561,4507
"G0600770","2016","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",240618,227186,13432,"San Joaquin County, California",668,2066,2042
"G0600790","2016","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",120866,106312,14554,"San Luis Obispo County, California",1018,2380,2254
"G0600810","2016","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",275947,263445,12502,"San Mateo County, California",479,2321,2317
"G0600830","2016","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",155962,142449,13513,"Santa Barbara County, California",633,2099,2065
"G0600850","2016","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",665098,635687,29411,"Santa Clara County, California",824,3094,3078
"G0600870","2016","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",105635,96257,9378,"Santa Cruz County, California",640,1860,1643
"G0600890","2016","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",78303,72095,6208,"Shasta County, California",455,1299,1295
"G0600950","2016","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",156826,149172,7654,"Solano County, California",474,1723,1627
"G0600970","2016","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",208153,187504,20649,"Sonoma County, California",522,2620,2565
"G0600990","2016","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",180822,172881,7941,"Stanislaus County, California",352,1805,1754
"G0601010","2016","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",34294,32345,1949,"Sutter County, California",172,817,807
"G0601070","2016","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",147537,135648,11889,"Tulare County, California",236,1649,1638
"G0601110","2016","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",286905,268091,18814,"Ventura County, California",644,2469,2490
"G0601130","2016","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",77166,73055,4111,"Yolo County, California",481,1314,1271
"G0601150","2016","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",28360,26699,1661,"Yuba County, California",284,679,680
"G0800010","2016","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",168792,163122,5670,"Adams County, Colorado",433,1428,1368
"G0800050","2016","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",246715,235942,10773,"Arapahoe County, Colorado",1144,2086,1818
"G0800130","2016","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",133775,123820,9955,"Boulder County, Colorado",776,2004,1791
"G0800140","2016","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",27090,26269,821,"Broomfield County, Colorado",157,479,453
"G0800310","2016","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",311480,292003,19477,"Denver County, Colorado",1000,2724,2462
"G0800350","2016","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",124753,120125,4628,"Douglas County, Colorado",314,1373,1393
"G0800410","2016","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",272537,257508,15029,"El Paso County, Colorado",755,2763,2728
"G0800590","2016","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",237205,230890,6315,"Jefferson County, Colorado",817,1877,1579
"G0800690","2016","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",143273,131407,11866,"Larimer County, Colorado",839,1911,1815
"G0800770","2016","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",65247,60188,5059,"Mesa County, Colorado",378,1483,1428
"G0801010","2016","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",70286,62275,8011,"Pueblo County, Colorado",441,1632,1617
"G0801230","2016","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",105461,102087,3374,"Weld County, Colorado",564,1317,1134
"G0900010","2016","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",368010,335318,32692,"Fairfield County, Connecticut",814,3387,3411
"G0900030","2016","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",375137,350369,24768,"Hartford County, Connecticut",991,2526,2543
"G0900050","2016","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",87337,74105,13232,"Litchfield County, Connecticut",266,1681,1747
"G0900070","2016","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",75536,66002,9534,"Middlesex County, Connecticut",464,1801,1833
"G0900090","2016","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",363122,327560,35562,"New Haven County, Connecticut",868,3536,3423
"G0900110","2016","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",121911,105113,16798,"New London County, Connecticut",470,2058,1959
"G0900130","2016","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",58920,54068,4852,"Tolland County, Connecticut",715,1539,1418
"G0900150","2016","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49172,44734,4438,"Windham County, Connecticut",519,1183,1129
"G1000010","2016","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",69742,64452,5290,"Kent County, Delaware",366,1537,1466
"G1000030","2016","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",222991,203782,19209,"New Castle County, Delaware",401,2314,2315
"G1000050","2016","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",133421,82851,50570,"Sussex County, Delaware",226,2545,2539
"G1100010","2016","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",313703,281241,32462,"District of Columbia, District of Columbia",112,3152,3150
"G1200010","2016","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",115533,94428,21105,"Alachua County, Florida",1387,3539,2875
"G1200050","2016","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",101368,70330,31038,"Bay County, Florida",276,2729,2691
"G1200090","2016","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",274559,226021,48538,"Brevard County, Florida",411,4123,4084
"G1200110","2016","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",822980,681474,141506,"Broward County, Florida",871,7066,7086
"G1200150","2016","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",102717,75147,27570,"Charlotte County, Florida",454,2941,2899
"G1200170","2016","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",77904,63581,14323,"Citrus County, Florida",661,2500,2362
"G1200190","2016","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",78994,74130,4864,"Clay County, Florida",280,1242,1307
"G1200210","2016","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",210147,139522,70625,"Collier County, Florida",508,4307,4196
"G1200230","2016","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",28251,24215,4036,"Columbia County, Florida",418,1165,1018
"G1200310","2016","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",402358,353946,48412,"Duval County, Florida",1170,4959,4965
"G1200330","2016","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",140176,118702,21474,"Escambia County, Florida",934,2712,2556
"G1200350","2016","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",50574,41311,9263,"Flagler County, Florida",145,1902,1881
"G1200530","2016","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",85066,74262,10804,"Hernando County, Florida",585,2002,1892
"G1200550","2016","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",54842,38808,16034,"Highlands County, Florida",406,2109,2087
"G1200570","2016","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",568828,514487,54341,"Hillsborough County, Florida",725,5129,5112
"G1200610","2016","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",78629,55427,23202,"Indian River County, Florida",191,2857,2858
"G1200690","2016","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",151045,128888,22157,"Lake County, Florida",444,3114,3039
"G1200710","2016","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",385106,261735,123371,"Lee County, Florida",705,5295,5311
"G1200730","2016","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",128084,112119,15965,"Leon County, Florida",1123,2406,2016
"G1200810","2016","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",185263,142465,42798,"Manatee County, Florida",435,2824,2853
"G1200830","2016","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",164414,134239,30175,"Marion County, Florida",622,3539,3478
"G1200850","2016","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",79520,62976,16544,"Martin County, Florida",559,2406,2288
"G1200860","2016","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",1021650,880766,140884,"Miami-Dade County, Florida",1425,6091,5794
"G1200870","2016","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",53129,30318,22811,"Monroe County, Florida",438,1827,1770
"G1200890","2016","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",37463,30547,6916,"Nassau County, Florida",317,1471,1423
"G1200910","2016","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",96052,76102,19950,"Okaloosa County, Florida",398,2334,2262
"G1200950","2016","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",525260,468515,56745,"Orange County, Florida",1190,4842,4774
"G1200970","2016","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",143516,97569,45947,"Osceola County, Florida",186,3624,3617
"G1200990","2016","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",683543,536446,147097,"Palm Beach County, Florida",1461,6570,6487
"G1201010","2016","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",236491,195628,40863,"Pasco County, Florida",472,2957,2919
"G1201030","2016","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",507472,407268,100204,"Pinellas County, Florida",960,5562,5616
"G1201050","2016","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",286488,226429,60059,"Polk County, Florida",440,3850,3821
"G1201070","2016","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",36392,28025,8367,"Putnam County, Florida",251,1357,1342
"G1201090","2016","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",102292,84187,18105,"St. Johns County, Florida",338,2400,2422
"G1201110","2016","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",139046,111617,27429,"St. Lucie County, Florida",373,3321,3390
"G1201130","2016","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",69670,61817,7853,"Santa Rosa County, Florida",570,1845,1694
"G1201150","2016","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",235707,176191,59516,"Sarasota County, Florida",529,4327,4177
