GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJKWE001,AJKWE002,AJKWE003,NAME_M,AJKWM001,AJKWM002,AJKWM003
"G1201090","2018","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",110837,90109,20728,"St. Johns County, Florida",388,3058,3071
"G1201110","2018","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",142774,118768,24006,"St. Lucie County, Florida",708,3239,3163
"G1201130","2018","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",73056,63891,9165,"Santa Rosa County, Florida",1140,2129,2060
"G1201150","2018","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",244020,183721,60299,"Sarasota County, Florida",610,3804,3727
"G1201170","2018","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",192255,179274,12981,"Seminole County, Florida",494,2475,2388
"G1201190","2018","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",72372,62854,9518,"Sumter County, Florida",899,2590,2483
"G1201270","2018","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",262107,218423,43684,"Volusia County, Florida",764,4087,3963
"G1201310","2018","FL",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,"05000US12131","Walton County, Florida",53376,28770,24606,"Walton County, Florida",202,2180,2168
"G1300130","2018","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",28952,27525,1427,"Barrow County, Georgia",103,714,723
"G1300150","2018","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",41529,35506,6023,"Bartow County, Georgia",447,1553,1485
"G1300210","2018","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",70058,57905,12153,"Bibb County, Georgia",440,1802,1816
"G1300310","2018","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",31413,27097,4316,"Bulloch County, Georgia",991,1613,1202
"G1300450","2018","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",45537,41197,4340,"Carroll County, Georgia",452,1480,1405
"G1300470","2018","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",27528,24722,2806,"Catoosa County, Georgia",223,1260,1230
"G1300510","2018","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",125687,107921,17766,"Chatham County, Georgia",820,2645,2601
"G1300570","2018","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",94241,89974,4267,"Cherokee County, Georgia",264,1560,1513
"G1300590","2018","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",53144,49698,3446,"Clarke County, Georgia",791,1441,1170
"G1300630","2018","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",105874,96286,9588,"Clayton County, Georgia",709,2093,1973
"G1300670","2018","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",302644,283094,19550,"Cobb County, Georgia",719,3547,3413
"G1300730","2018","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",58740,47167,11573,"Columbia County, Georgia",103,2238,2250
"G1300770","2018","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",55387,52114,3273,"Coweta County, Georgia",275,1333,1331
"G1300890","2018","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",314314,287001,27313,"DeKalb County, Georgia",1058,3281,3213
"G1300950","2018","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40590,33717,6873,"Dougherty County, Georgia",897,1752,1424
"G1300970","2018","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",53044,49534,3510,"Douglas County, Georgia",295,1582,1517
"G1301130","2018","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",43032,39366,3666,"Fayette County, Georgia",401,1116,1213
"G1301150","2018","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40639,34672,5967,"Floyd County, Georgia",516,1416,1321
"G1301170","2018","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",84113,81353,2760,"Forsyth County, Georgia",189,873,871
"G1301210","2018","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",480354,417157,63197,"Fulton County, Georgia",1572,5974,5612
"G1301270","2018","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",43518,34634,8884,"Glynn County, Georgia",531,1563,1481
"G1301350","2018","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",312905,297658,15247,"Gwinnett County, Georgia",291,2747,2715
"G1301390","2018","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",74431,64990,9441,"Hall County, Georgia",187,1594,1535
"G1301510","2018","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",82826,75926,6900,"Henry County, Georgia",471,1908,1822
"G1301530","2018","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",63959,58155,5804,"Houston County, Georgia",372,1653,1626
"G1301570","2018","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",26070,23640,2430,"Jackson County, Georgia",212,877,848
"G1301850","2018","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",48525,41734,6791,"Lowndes County, Georgia",431,1535,1432
"G1302150","2018","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",85018,72862,12156,"Muscogee County, Georgia",774,2063,1832
"G1302170","2018","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",39691,38436,1255,"Newton County, Georgia",378,794,708
"G1302230","2018","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",58043,53630,4413,"Paulding County, Georgia",216,1664,1703
"G1302450","2018","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",89098,70534,18564,"Richmond County, Georgia",744,2579,2482
"G1302470","2018","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",33852,31460,2392,"Rockdale County, Georgia",241,985,971
"G1302550","2018","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",27580,25659,1921,"Spalding County, Georgia",471,1135,1052
"G1302850","2018","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28636,25417,3219,"Troup County, Georgia",395,1114,1056
"G1302950","2018","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",30460,26895,3565,"Walker County, Georgia",432,1290,1210
"G1302970","2018","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",34263,32624,1639,"Walton County, Georgia",270,792,770
"G1303130","2018","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",40145,36658,3487,"Whitfield County, Georgia",464,1376,1306
"G1500010","2018","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",88548,71565,16983,"Hawaii County, Hawaii",220,2191,2168
"G1500030","2018","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",352582,308208,44374,"Honolulu County, Hawaii",618,3354,3154
"G1500070","2018","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",31242,22685,8557,"Kauai County, Hawaii",235,1210,1216
"G1500090","2018","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",73786,52794,20992,"Maui County, Hawaii",584,1950,1869
"G1600010","2018","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",186486,178712,7774,"Ada County, Idaho",757,2497,2288
"G1600050","2018","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",34441,30635,3806,"Bannock County, Idaho",367,1217,1141
"G1600190","2018","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",43773,40224,3549,"Bonneville County, Idaho",225,1153,1140
"G1600270","2018","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",77888,74520,3368,"Canyon County, Idaho",285,1350,1270
"G1600550","2018","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",72500,64955,7545,"Kootenai County, Idaho",288,1328,1375
"G1600830","2018","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",33711,32041,1670,"Twin Falls County, Idaho",266,930,882
"G1700010","2018","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",30269,26397,3872,"Adams County, Illinois",235,972,993
"G1700190","2018","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",93407,84290,9117,"Champaign County, Illinois",929,2237,1940
"G1700310","2018","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2200296,1981796,218500,"Cook County, Illinois",2256,8626,8411
"G1700370","2018","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",41250,38849,2401,"DeKalb County, Illinois",537,1227,969
"G1700430","2018","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",361414,345714,15700,"DuPage County, Illinois",683,2259,2206
"G1700890","2018","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",189475,183633,5842,"Kane County, Illinois",473,1334,1295
"G1700910","2018","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",45644,40642,5002,"Kankakee County, Illinois",673,1411,1182
"G1700930","2018","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",42209,40716,1493,"Kendall County, Illinois",90,1134,1142
"G1700970","2018","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",265149,246620,18529,"Lake County, Illinois",562,2599,2552
"G1700990","2018","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",50149,44714,5435,"LaSalle County, Illinois",320,1263,1171
"G1701110","2018","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",118810,114544,4266,"McHenry County, Illinois",378,1268,1207
"G1701130","2018","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",72676,65998,6678,"McLean County, Illinois",828,1534,1467
"G1701150","2018","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",50405,44562,5843,"Macon County, Illinois",539,1294,1179
"G1701190","2018","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",119625,108977,10648,"Madison County, Illinois",633,2233,2181
"G1701430","2018","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",83650,71506,12144,"Peoria County, Illinois",541,1717,1606
"G1701610","2018","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",66180,61009,5171,"Rock Island County, Illinois",615,1278,1051
"G1701630","2018","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",120612,104803,15809,"St. Clair County, Illinois",441,2310,2269
"G1701670","2018","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",91928,83006,8922,"Sangamon County, Illinois",414,1728,1650
"G1701790","2018","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",59053,54123,4930,"Tazewell County, Illinois",628,1441,1279
"G1701830","2018","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",36125,30166,5959,"Vermilion County, Illinois",376,1113,1052
"G1701970","2018","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",245197,231647,13550,"Will County, Illinois",421,2201,2189
"G1701990","2018","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",31375,27815,3560,"Williamson County, Illinois",410,1041,950
"G1702010","2018","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",125731,114337,11394,"Winnebago County, Illinois",475,1684,1739
"G1800030","2018","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",159269,147638,11631,"Allen County, Indiana",722,1587,1493
"G1800050","2018","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",34532,31891,2641,"Bartholomew County, Indiana",213,1053,1014
"G1800110","2018","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",27548,24808,2740,"Boone County, Indiana",174,1211,1200
"G1800190","2018","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",51096,45905,5191,"Clark County, Indiana",225,1254,1265
"G1800350","2018","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",52731,45311,7420,"Delaware County, Indiana",533,1941,1808
"G1800390","2018","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",79495,73660,5835,"Elkhart County, Indiana",419,1927,1775
"G1800430","2018","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",33022,30300,2722,"Floyd County, Indiana",305,992,938
"G1800530","2018","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",30494,26923,3571,"Grant County, Indiana",537,973,900
"G1800570","2018","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",129530,122876,6654,"Hamilton County, Indiana",282,1759,1752
"G1800590","2018","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",30586,29605,981,"Hancock County, Indiana",150,726,705
"G1800630","2018","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",63172,60368,2804,"Hendricks County, Indiana",417,1368,1298
"G1800670","2018","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",39559,35139,4420,"Howard County, Indiana",481,1401,1361
"G1800810","2018","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",61792,57504,4288,"Johnson County, Indiana",328,1377,1371
"G1800850","2018","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",38744,30798,7946,"Kosciusko County, Indiana",356,1441,1408
"G1800890","2018","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",213773,186769,27004,"Lake County, Indiana",685,2797,2641
"G1800910","2018","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",49209,43122,6087,"LaPorte County, Indiana",630,1279,1200
"G1800950","2018","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",59141,50426,8715,"Madison County, Indiana",466,1409,1317
"G1800970","2018","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",424396,373634,50762,"Marion County, Indiana",948,3704,3651
"G1801050","2018","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",62067,57102,4965,"Monroe County, Indiana",753,1586,1491
"G1801090","2018","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",28476,25968,2508,"Morgan County, Indiana",287,910,916
"G1801270","2018","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",69387,66144,3243,"Porter County, Indiana",448,1137,1084
"G1801410","2018","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",117089,107730,9359,"St. Joseph County, Indiana",532,1563,1517
"G1801570","2018","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",76740,70446,6294,"Tippecanoe County, Indiana",833,1881,1685
"G1801630","2018","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",84494,75058,9436,"Vanderburgh County, Indiana",614,2145,2027
"G1801670","2018","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",47525,43262,4263,"Vigo County, Indiana",671,1224,1153
"G1801770","2018","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",31442,28338,3104,"Wayne County, Indiana",412,1083,1011
"G1900130","2018","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",58321,53386,4935,"Black Hawk County, Iowa",416,1370,1318
"G1900490","2018","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",38276,35492,2784,"Dallas County, Iowa",146,987,1047
"G1900610","2018","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",41514,38501,3013,"Dubuque County, Iowa",387,857,885
"G1901030","2018","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",65024,60868,4156,"Johnson County, Iowa",954,1735,1399
"G1901130","2018","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",98067,91747,6320,"Linn County, Iowa",414,1599,1578
"G1901530","2018","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",204626,189546,15080,"Polk County, Iowa",609,2460,2326
"G1901550","2018","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",40007,36635,3372,"Pottawattamie County, Iowa",369,1191,1042
"G1901630","2018","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",74655,66905,7750,"Scott County, Iowa",393,1553,1461
"G1901690","2018","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",40766,37290,3476,"Story County, Iowa",617,1491,1407
"G1901930","2018","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",42434,39253,3181,"Woodbury County, Iowa",311,1082,1039
"G2000150","2018","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",27082,24692,2390,"Butler County, Kansas",337,1097,1039
"G2000450","2018","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",51068,48907,2161,"Douglas County, Kansas",573,1134,957
"G2000910","2018","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",244476,231184,13292,"Johnson County, Kansas",450,2411,2491
"G2001030","2018","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",29998,26654,3344,"Leavenworth County, Kansas",432,1178,1052
"G2001610","2018","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",31340,26617,4723,"Riley County, Kansas",563,1379,1234
"G2001730","2018","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",220923,198024,22899,"Sedgwick County, Kansas",399,2622,2746
"G2001770","2018","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",80187,72788,7399,"Shawnee County, Kansas",617,1776,1602
"G2002090","2018","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",68301,60708,7593,"Wyandotte County, Kansas",319,1357,1345
"G2100150","2018","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",50035,47684,2351,"Boone County, Kentucky",364,1188,1126
"G2100290","2018","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",31948,29789,2159,"Bullitt County, Kentucky",190,1053,1019
"G2100370","2018","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",40545,36992,3553,"Campbell County, Kentucky",667,1272,1004
"G2100470","2018","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",30004,26114,3890,"Christian County, Kentucky",408,1284,1203
"G2100590","2018","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",43375,39590,3785,"Daviess County, Kentucky",293,1165,1130
"G2100670","2018","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",142688,131067,11621,"Fayette County, Kentucky",1040,2335,2156
"G2100930","2018","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",47058,41625,5433,"Hardin County, Kentucky",508,1438,1339
"G2101110","2018","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",347119,311263,35856,"Jefferson County, Kentucky",1175,3624,3416
"G2101170","2018","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",69858,64611,5247,"Kenton County, Kentucky",542,1348,1123
"G2101450","2018","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",32270,27650,4620,"McCracken County, Kentucky",365,1360,1288
"G2101510","2018","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",37060,33396,3664,"Madison County, Kentucky",447,1260,1187
"G2101850","2018","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",22293,21237,1056,"Oldham County, Kentucky",244,722,679
"G2102270","2018","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",53976,48843,5133,"Warren County, Kentucky",591,1450,1331
"G2200050","2018","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",48685,45102,3583,"Ascension Parish, Louisiana",370,1416,1374
"G2200150","2018","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",57836,50099,7737,"Bossier Parish, Louisiana",669,1937,1845
"G2200170","2018","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",113387,94778,18609,"Caddo Parish, Louisiana",446,2026,1986
"G2200190","2018","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",92041,78351,13690,"Calcasieu Parish, Louisiana",344,2393,2372
"G2200330","2018","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",195199,163274,31925,"East Baton Rouge Parish, Louisiana",472,3664,3607
"G2200450","2018","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",30735,25386,5349,"Iberia Parish, Louisiana",248,1277,1284
"G2200510","2018","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",188663,167596,21067,"Jefferson Parish, Louisiana",334,2590,2513
"G2200550","2018","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",104041,94002,10039,"Lafayette Parish, Louisiana",651,2365,2188
"G2200570","2018","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",41623,35838,5785,"Lafourche Parish, Louisiana",245,1635,1598
