GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJKWE001,AJKWE002,AJKWE003,NAME_M,AJKWM001,AJKWM002,AJKWM003
"G0101030","2018","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",52284,45851,6433,"Morgan County, Alabama",484,1482,1361
"G0101150","2018","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",37190,30765,6425,"St. Clair County, Alabama",282,1596,1549
"G0101170","2018","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",88393,80944,7449,"Shelby County, Alabama",537,1588,1568
"G0101210","2018","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",37906,31219,6687,"Talladega County, Alabama",429,1460,1387
"G0101250","2018","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",93002,74053,18949,"Tuscaloosa County, Alabama",714,2334,2210
"G0101270","2018","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",31249,24870,6379,"Walker County, Alabama",212,1142,1157
"G0200200","2018","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",118233,105285,12948,"Anchorage Municipality, Alaska",522,2132,2179
"G0200900","2018","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",44307,36378,7929,"Fairbanks North Star Borough, Alaska",405,1770,1655
"G0201700","2018","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",41986,32198,9788,"Matanuska-Susitna Borough, Alaska",427,833,623
"G0400010","2018","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",32942,21936,11006,"Apache County, Arizona",106,1023,1031
"G0400030","2018","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",61318,49751,11567,"Cochise County, Arizona",506,1727,1708
"G0400050","2018","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",66838,47275,19563,"Coconino County, Arizona",997,2211,1947
"G0400130","2018","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1762981,1582464,180517,"Maricopa County, Arizona",1610,7714,7566
"G0400150","2018","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",115269,90270,24999,"Mohave County, Arizona",672,2972,2839
"G0400170","2018","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",58164,34285,23879,"Navajo County, Arizona",211,1984,1973
"G0400190","2018","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",462778,402323,60455,"Pima County, Arizona",1232,4369,4066
"G0400210","2018","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",177186,147936,29250,"Pinal County, Arizona",1069,3458,3440
"G0400250","2018","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",118410,100836,17574,"Yavapai County, Arizona",513,2498,2513
"G0400270","2018","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",93571,74532,19039,"Yuma County, Arizona",677,2212,2130
"G0500070","2018","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",108481,100128,8353,"Benton County, Arkansas",370,1660,1680
"G0500310","2018","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",46254,42631,3623,"Craighead County, Arkansas",387,1302,1198
"G0500450","2018","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",50520,43701,6819,"Faulkner County, Arkansas",466,1747,1686
"G0500510","2018","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",51025,40407,10618,"Garland County, Arkansas",414,1643,1562
"G0500690","2018","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33382,25689,7693,"Jefferson County, Arkansas",664,1314,1174
"G0500850","2018","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",29747,28132,1615,"Lonoke County, Arkansas",134,566,569
"G0501190","2018","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",185967,157678,28289,"Pulaski County, Arkansas",665,2932,2789
"G0501250","2018","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",49326,43496,5830,"Saline County, Arkansas",280,1418,1430
"G0501310","2018","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",57229,51739,5490,"Sebastian County, Arkansas",451,1476,1469
"G0501430","2018","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",95013,90001,5012,"Washington County, Arkansas",660,1627,1530
"G0501450","2018","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",33954,29577,4377,"White County, Arkansas",301,1291,1259
"G0600010","2018","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",615129,575410,39719,"Alameda County, California",634,4162,4018
"G0600070","2018","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",100038,88636,11402,"Butte County, California",380,1728,1815
"G0600130","2018","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",415955,396133,19822,"Contra Costa County, California",330,3132,3119
"G0600170","2018","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",91094,72774,18320,"El Dorado County, California",263,1878,1828
