GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MDGE001,MDGE002,MDGE003,NAME_M,MDGM001,MDGM002,MDGM003
"G0101010","2011","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",101473,86531,14942,"Montgomery County, Alabama",1132,3072,2849
"G0101030","2011","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",51306,45310,5996,"Morgan County, Alabama",332,1527,1482
"G0101150","2011","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",37000,33274,3726,"St. Clair County, Alabama",1251,1395,1281
"G0101170","2011","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",81698,74648,7050,"Shelby County, Alabama",330,1333,1291
"G0101210","2011","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",37135,32044,5091,"Talladega County, Alabama",601,1438,1358
"G0101250","2011","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",85567,67669,17898,"Tuscaloosa County, Alabama",776,2292,2162
"G0101270","2011","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",30453,26204,4249,"Walker County, Alabama",199,1077,1024
"G0200200","2011","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",113461,106651,6810,"Anchorage Municipality, Alaska",432,1720,1676
"G0200900","2011","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",42740,37016,5724,"Fairbanks North Star Borough, Alaska",307,1619,1595
"G0201700","2011","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",43249,33328,9921,"Matanuska-Susitna Borough, Alaska",260,1215,1195
"G0400010","2011","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",32477,19881,12596,"Apache County, Arizona",128,970,963
"G0400030","2011","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",59469,47402,12067,"Cochise County, Arizona",1095,2394,2347
"G0400050","2011","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",64024,44826,19198,"Coconino County, Arizona",581,2122,1979
"G0400130","2011","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1650565,1407161,243404,"Maricopa County, Arizona",1282,9954,9715
"G0400150","2011","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",111844,78977,32867,"Mohave County, Arizona",730,3519,3625
"G0400170","2011","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",57135,33305,23830,"Navajo County, Arizona",196,2217,2189
"G0400190","2011","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",442471,379801,62670,"Pima County, Arizona",925,4931,4894
"G0400210","2011","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",162509,122782,39727,"Pinal County, Arizona",1409,6222,5821
"G0400250","2011","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",111090,91407,19683,"Yavapai County, Arizona",491,3678,3693
"G0400270","2011","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",88142,71490,16652,"Yuma County, Arizona",861,2808,2724
"G0500070","2011","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",95121,82695,12426,"Benton County, Arkansas",339,2830,2770
"G0500310","2011","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",40981,37957,3024,"Craighead County, Arkansas",488,1008,893
"G0500450","2011","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",48336,43249,5087,"Faulkner County, Arkansas",586,1506,1425
"G0500510","2011","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",50993,38087,12906,"Garland County, Arkansas",253,1850,1848
"G0500690","2011","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",32705,28905,3800,"Jefferson County, Arkansas",543,948,830
"G0500850","2011","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",27711,25583,2128,"Lonoke County, Arkansas",170,910,967
"G0501190","2011","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",176336,152393,23943,"Pulaski County, Arkansas",414,2633,2632
"G0501250","2011","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",45733,42447,3286,"Saline County, Arkansas",408,952,794
"G0501310","2011","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",55369,47119,8250,"Sebastian County, Arkansas",229,1842,1817
