GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MDGE001,MDGE002,MDGE003,NAME_M,MDGM001,MDGM002,MDGM003
"G1201150","2011","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",229355,173368,55987,"Sarasota County, Florida",548,4338,4305
"G1201170","2011","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",182628,144095,38533,"Seminole County, Florida",541,4067,4082
"G1201190","2011","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",55982,44917,11065,"Sumter County, Florida",3663,3896,2621
"G1201270","2011","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",254988,190074,64914,"Volusia County, Florida",587,5090,4966
"G1300130","2011","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",26140,23270,2870,"Barrow County, Georgia",998,1333,1156
"G1300150","2011","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",40105,33661,6444,"Bartow County, Georgia",173,1952,1947
"G1300210","2011","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",69274,56645,12629,"Bibb County, Georgia",761,2311,2208
"G1300310","2011","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",28967,25535,3432,"Bulloch County, Georgia",564,1035,912
"G1300450","2011","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",44378,38674,5704,"Carroll County, Georgia",324,1581,1555
"G1300510","2011","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",120476,100091,20385,"Chatham County, Georgia",793,2507,2513
"G1300570","2011","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",82789,77388,5401,"Cherokee County, Georgia",294,1585,1551
"G1300590","2011","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",51106,40177,10929,"Clarke County, Georgia",675,1793,1714
"G1300630","2011","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",104309,86747,17562,"Clayton County, Georgia",529,2579,2481
"G1300670","2011","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",287477,260577,26900,"Cobb County, Georgia",662,3929,4000
"G1300730","2011","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",50335,47312,3023,"Columbia County, Georgia",121,1065,1062
"G1300770","2011","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",50775,47424,3351,"Coweta County, Georgia",196,1689,1694
"G1300890","2011","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",303765,262162,41603,"DeKalb County, Georgia",768,4495,4262
"G1300950","2011","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40639,36123,4516,"Dougherty County, Georgia",394,1056,991
"G1300970","2011","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",51977,47239,4738,"Douglas County, Georgia",389,1487,1449
"G1301130","2011","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",40989,38450,2539,"Fayette County, Georgia",195,959,940
"G1301150","2011","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40589,34919,5670,"Floyd County, Georgia",429,1350,1278
"G1301170","2011","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",64868,48268,16600,"Forsyth County, Georgia",168,3646,3593
"G1301210","2011","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",435919,367228,68691,"Fulton County, Georgia",984,5119,5256
"G1301270","2011","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",41165,31081,10084,"Glynn County, Georgia",416,2099,2057
"G1301350","2011","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",292418,264233,28185,"Gwinnett County, Georgia",246,4796,4816
"G1301390","2011","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",69429,60043,9386,"Hall County, Georgia",189,1845,1872
"G1301510","2011","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",77033,70805,6228,"Henry County, Georgia",317,2549,2485
"G1301530","2011","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",58841,52603,6238,"Houston County, Georgia",357,2057,2025
"G1301790","2011","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",27314,24578,2736,"Liberty County, Georgia",208,1011,1017
"G1301850","2011","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",44136,38178,5958,"Lowndes County, Georgia",359,1480,1403
"G1302150","2011","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",82698,70724,11974,"Muscogee County, Georgia",876,1790,1717
"G1302170","2011","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",38390,33298,5092,"Newton County, Georgia",335,1938,1881
"G1302230","2011","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",52338,48994,3344,"Paulding County, Georgia",244,1726,1691
"G1302450","2011","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",86538,71262,15276,"Richmond County, Georgia",524,2182,2113
"G1302470","2011","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",33477,28789,4688,"Rockdale County, Georgia",230,1479,1432
"G1302850","2011","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28484,24744,3740,"Troup County, Georgia",249,1302,1242
"G1302950","2011","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",30233,27224,3009,"Walker County, Georgia",336,1103,1088
"G1302970","2011","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",32508,28979,3529,"Walton County, Georgia",188,1111,1104
"G1303130","2011","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",40461,34637,5824,"Whitfield County, Georgia",234,1446,1403
"G1500010","2011","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",83183,64605,18578,"Hawaii County, Hawaii",250,2821,2816
"G1500030","2011","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",337528,308495,29033,"Honolulu County, Hawaii",407,3443,3485
"G1500070","2011","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",30273,22874,7399,"Kauai County, Hawaii",135,1183,1171
"G1500090","2011","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",71213,52549,18664,"Maui County, Hawaii",330,2376,2370
"G1600010","2011","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",161086,151755,9331,"Ada County, Idaho",545,2485,2315
"G1600050","2011","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",33398,30177,3221,"Bannock County, Idaho",553,1035,897
"G1600190","2011","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",40063,36538,3525,"Bonneville County, Idaho",313,950,982
"G1600270","2011","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",69777,63358,6419,"Canyon County, Idaho",307,2132,2167
"G1600550","2011","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",64305,56226,8079,"Kootenai County, Idaho",343,1777,1782
"G1600830","2011","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",31014,28196,2818,"Twin Falls County, Idaho",1062,1322,897
"G1700010","2011","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",29826,25964,3862,"Adams County, Illinois",250,1071,1072
"G1700190","2011","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",88130,78993,9137,"Champaign County, Illinois",1218,2228,1954
"G1700310","2011","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2176057,1916910,259147,"Cook County, Illinois",1691,8494,8394
"G1700370","2011","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",41381,36774,4607,"DeKalb County, Illinois",708,1539,1290
"G1700430","2011","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",355638,335379,20259,"DuPage County, Illinois",629,3006,2873
"G1700890","2011","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",183190,168340,14850,"Kane County, Illinois",506,3251,3166
"G1700910","2011","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",45330,41149,4181,"Kankakee County, Illinois",729,1483,1230
"G1700930","2011","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",41310,37049,4261,"Kendall County, Illinois",60,1829,1835
"G1700970","2011","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",261161,240051,21110,"Lake County, Illinois",573,2244,2181
"G1700990","2011","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",49974,43854,6120,"LaSalle County, Illinois",259,1266,1267
"G1701110","2011","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",116222,108186,8036,"McHenry County, Illinois",259,2035,1995
"G1701130","2011","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",70195,63240,6955,"McLean County, Illinois",466,1685,1568
"G1701150","2011","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",50197,43604,6593,"Macon County, Illinois",462,1333,1267
"G1701190","2011","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",117249,106535,10714,"Madison County, Illinois",509,2225,2120
"G1701430","2011","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",83071,75933,7138,"Peoria County, Illinois",464,1674,1601
"G1701610","2011","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",65742,61259,4483,"Rock Island County, Illinois",432,1377,1231
"G1701630","2011","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",117002,101789,15213,"St. Clair County, Illinois",430,2240,2223
"G1701670","2011","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",89905,82704,7201,"Sangamon County, Illinois",687,1670,1506
"G1701790","2011","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",57712,54647,3065,"Tazewell County, Illinois",223,1181,1162
"G1701830","2011","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",36183,31414,4769,"Vermilion County, Illinois",296,1193,1146
"G1701970","2011","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",238362,220536,17826,"Will County, Illinois",401,3016,2979
"G1701990","2011","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",30495,26648,3847,"Williamson County, Illinois",293,1216,1159
"G1702010","2011","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",125883,112221,13662,"Winnebago County, Illinois",378,2059,1981
"G1800030","2011","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",152458,136723,15735,"Allen County, Indiana",373,1959,1916
"G1800050","2011","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",33320,29086,4234,"Bartholomew County, Indiana",223,1021,1006
"G1800190","2011","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",47971,42156,5815,"Clark County, Indiana",316,1564,1577
"G1800350","2011","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",52185,45477,6708,"Delaware County, Indiana",684,1564,1391
"G1800390","2011","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",77688,70795,6893,"Elkhart County, Indiana",464,1854,1701
"G1800430","2011","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",32071,28934,3137,"Floyd County, Indiana",213,1211,1198
"G1800530","2011","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",30253,27758,2495,"Grant County, Indiana",391,949,797
"G1800570","2011","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",109447,103706,5741,"Hamilton County, Indiana",220,1905,1912
"G1800590","2011","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",28411,26130,2281,"Hancock County, Indiana",180,1124,1142
"G1800630","2011","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",56049,52921,3128,"Hendricks County, Indiana",319,1644,1660
"G1800670","2011","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",38569,34259,4310,"Howard County, Indiana",273,1032,1020
"G1800810","2011","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",57333,51512,5821,"Johnson County, Indiana",237,1797,1762
"G1800850","2011","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",37238,28664,8574,"Kosciusko County, Indiana",219,1462,1480
"G1800890","2011","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",208700,181198,27502,"Lake County, Indiana",467,2739,2630
"G1800910","2011","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",48455,42075,6380,"LaPorte County, Indiana",571,1471,1322
"G1800950","2011","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",58920,49713,9207,"Madison County, Indiana",369,2027,1932
"G1800970","2011","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",417809,358552,59257,"Marion County, Indiana",771,4389,4338
"G1801050","2011","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",59424,53620,5804,"Monroe County, Indiana",977,1518,1344
"G1801090","2011","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",27624,24900,2724,"Morgan County, Indiana",223,1046,1053
"G1801270","2011","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",66300,61046,5254,"Porter County, Indiana",351,1413,1405
"G1801410","2011","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",114845,102401,12444,"St. Joseph County, Indiana",598,2183,2165
"G1801570","2011","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",71829,66480,5349,"Tippecanoe County, Indiana",1015,1724,1282
"G1801630","2011","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",83208,74063,9145,"Vanderburgh County, Indiana",458,1901,1828
"G1801670","2011","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",45772,37764,8008,"Vigo County, Indiana",619,1659,1657
"G1801770","2011","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",31192,28274,2918,"Wayne County, Indiana",262,753,772
"G1900130","2011","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",56139,51917,4222,"Black Hawk County, Iowa",511,1079,993
"G1900490","2011","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",28067,26131,1936,"Dallas County, Iowa",90,819,818
"G1900610","2011","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",39274,37646,1628,"Dubuque County, Iowa",329,914,813
"G1901030","2011","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",56569,53910,2659,"Johnson County, Iowa",956,1446,1178
"G1901130","2011","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",93146,86507,6639,"Linn County, Iowa",405,1724,1599
"G1901530","2011","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",183277,168589,14688,"Polk County, Iowa",475,2193,2112
"G1901550","2011","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",39337,36091,3246,"Pottawattamie County, Iowa",405,1017,899
"G1901630","2011","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",72275,66355,5920,"Scott County, Iowa",317,1365,1320
"G1901690","2011","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",37091,34794,2297,"Story County, Iowa",797,1114,876
"G1901930","2011","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",41377,39265,2112,"Woodbury County, Iowa",293,985,907
"G2000150","2011","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",26147,23681,2466,"Butler County, Kansas",280,837,798
"G2000450","2011","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",46999,43371,3628,"Douglas County, Kansas",417,1297,1258
"G2000910","2011","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",229073,216252,12821,"Johnson County, Kansas",443,2546,2514
"G2001030","2011","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",28409,25192,3217,"Leavenworth County, Kansas",1001,1149,903
"G2001610","2011","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",28822,25207,3615,"Riley County, Kansas",582,989,902
"G2001730","2011","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",213053,191715,21338,"Sedgwick County, Kansas",503,2870,2781
"G2001770","2011","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",79333,71584,7749,"Shawnee County, Kansas",428,1363,1341
"G2002090","2011","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",66548,56908,9640,"Wyandotte County, Kansas",275,1471,1509
"G2100150","2011","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",46704,42281,4423,"Boone County, Kentucky",294,1457,1442
"G2100290","2011","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",29628,27773,1855,"Bullitt County, Kentucky",130,1024,1014
"G2100370","2011","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",39723,34466,5257,"Campbell County, Kentucky",452,1406,1336
"G2100470","2011","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",29529,25793,3736,"Christian County, Kentucky",434,1325,1237
"G2100590","2011","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",41421,35484,5937,"Daviess County, Kentucky",211,1431,1434
"G2100670","2011","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",136197,122746,13451,"Fayette County, Kentucky",777,2283,2225
"G2100930","2011","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",43491,38447,5044,"Hardin County, Kentucky",511,1485,1348
"G2101110","2011","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",338500,298236,40264,"Jefferson County, Kentucky",656,4032,3894
"G2101170","2011","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",68878,60523,8355,"Kenton County, Kentucky",363,1759,1680
"G2101450","2011","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",30970,26329,4641,"McCracken County, Kentucky",304,1482,1457
"G2101510","2011","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",35395,31221,4174,"Madison County, Kentucky",521,1393,1256
"G2101950","2011","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",29984,26354,3630,"Pike County, Kentucky",361,1027,954
"G2102270","2011","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",47648,43892,3756,"Warren County, Kentucky",583,1557,1398
"G2200050","2011","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",41704,37217,4487,"Ascension Parish, Louisiana",263,1518,1508
"G2200150","2011","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",50359,44584,5775,"Bossier Parish, Louisiana",345,1547,1468
"G2200170","2011","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",112002,99541,12461,"Caddo Parish, Louisiana",345,1872,1923
"G2200190","2011","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",82982,72417,10565,"Calcasieu Parish, Louisiana",334,1951,1963
"G2200330","2011","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",187719,167457,20262,"East Baton Rouge Parish, Louisiana",543,2805,2774
"G2200450","2011","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",29781,26740,3041,"Iberia Parish, Louisiana",331,1005,949
"G2200510","2011","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",190205,166626,23579,"Jefferson Parish, Louisiana",441,2620,2608
"G2200550","2011","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",94719,86746,7973,"Lafayette Parish, Louisiana",480,1810,1738
"G2200570","2011","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",38891,34670,4221,"Lafourche Parish, Louisiana",333,1127,1072
"G2200630","2011","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",51610,46576,5034,"Livingston Parish, Louisiana",403,1742,1702
"G2200710","2011","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",194141,147786,46355,"Orleans Parish, Louisiana",662,2745,2630
"G2200730","2011","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",64693,58259,6434,"Ouachita Parish, Louisiana",830,1630,1171
"G2200790","2011","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",55863,45309,10554,"Rapides Parish, Louisiana",507,1548,1456
"G2200970","2011","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",35404,31238,4166,"St. Landry Parish, Louisiana",173,933,895
"G2201030","2011","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",95751,86530,9221,"St. Tammany Parish, Louisiana",378,2206,2188
