GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RP8E001,RP8E002,RP8E003,NAME_M,RP8M001,RP8M002,RP8M003
"G3400090","2005-2009","NJ",,,"New Jersey","34","Cape May County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34009","Cape May County, New Jersey",101027,46709,54318,"Cape May County, New Jersey",553,1041,929
"G3400110","2005-2009","NJ",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34011","Cumberland County, New Jersey",55279,50773,4506,"Cumberland County, New Jersey",318,567,453
"G3400130","2005-2009","NJ",,,"New Jersey","34","Essex County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34013","Essex County, New Jersey",310379,278722,31657,"Essex County, New Jersey",797,1514,1256
"G3400150","2005-2009","NJ",,,"New Jersey","34","Gloucester County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34015","Gloucester County, New Jersey",106284,100680,5604,"Gloucester County, New Jersey",366,795,654
"G3400170","2005-2009","NJ",,,"New Jersey","34","Hudson County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34017","Hudson County, New Jersey",254164,230449,23715,"Hudson County, New Jersey",451,1279,1182
"G3400190","2005-2009","NJ",,,"New Jersey","34","Hunterdon County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34019","Hunterdon County, New Jersey",48686,46786,1900,"Hunterdon County, New Jersey",418,531,312
"G3400210","2005-2009","NJ",,,"New Jersey","34","Mercer County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34021","Mercer County, New Jersey",140279,127437,12842,"Mercer County, New Jersey",520,1039,879
"G3400230","2005-2009","NJ",,,"New Jersey","34","Middlesex County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34023","Middlesex County, New Jersey",286628,271722,14906,"Middlesex County, New Jersey",1096,1724,1153
"G3400250","2005-2009","NJ",,,"New Jersey","34","Monmouth County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34025","Monmouth County, New Jersey",254886,231057,23829,"Monmouth County, New Jersey",601,1228,1093
"G3400270","2005-2009","NJ",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34027","Morris County, New Jersey",184220,174940,9280,"Morris County, New Jersey",477,995,886
"G3400290","2005-2009","NJ",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34029","Ocean County, New Jersey",272815,220656,52159,"Ocean County, New Jersey",510,1380,1313
"G3400310","2005-2009","NJ",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34031","Passaic County, New Jersey",171984,159616,12368,"Passaic County, New Jersey",506,1052,868
"G3400330","2005-2009","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",27459,25194,2265,"Salem County, New Jersey",232,388,320
"G3400350","2005-2009","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",121030,113514,7516,"Somerset County, New Jersey",250,767,683
"G3400370","2005-2009","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",60347,55079,5268,"Sussex County, New Jersey",138,533,495
"G3400390","2005-2009","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",196744,183687,13057,"Union County, New Jersey",313,972,881
"G3400410","2005-2009","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",45268,42376,2892,"Warren County, New Jersey",299,489,410
"G3500010","2005-2009","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",276183,255627,20556,"Bernalillo County, New Mexico",927,1533,1075
"G3500030","2005-2009","NM",,,"New Mexico","35","Catron County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35003","Catron County, New Mexico",2976,1773,1203,"Catron County, New Mexico",135,111,115
"G3500050","2005-2009","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",26383,23102,3281,"Chaves County, New Mexico",490,621,437
"G3500060","2005-2009","NM",,,"New Mexico","35","Cibola County","006",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35006","Cibola County, New Mexico",10868,8040,2828,"Cibola County, New Mexico",196,314,274
"G3500070","2005-2009","NM",,,"New Mexico","35","Colfax County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35007","Colfax County, New Mexico",9426,5776,3650,"Colfax County, New Mexico",96,311,285
"G3500090","2005-2009","NM",,,"New Mexico","35","Curry County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35009","Curry County, New Mexico",20476,17699,2777,"Curry County, New Mexico",165,426,423
"G3500110","2005-2009","NM",,,"New Mexico","35","De Baca County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35011","De Baca County, New Mexico",1375,899,476,"De Baca County, New Mexico",103,77,92
"G3500130","2005-2009","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",76526,69544,6982,"Doña Ana County, New Mexico",310,785,683
"G3500150","2005-2009","NM",,,"New Mexico","35","Eddy County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35015","Eddy County, New Mexico",22420,19423,2997,"Eddy County, New Mexico",207,510,442
"G3500170","2005-2009","NM",,,"New Mexico","35","Grant County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35017","Grant County, New Mexico",14318,12022,2296,"Grant County, New Mexico",146,386,344
"G3500190","2005-2009","NM",,,"New Mexico","35","Guadalupe County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35019","Guadalupe County, New Mexico",2069,1416,653,"Guadalupe County, New Mexico",172,152,117
"G3500210","2005-2009","NM",,,"New Mexico","35","Harding County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35021","Harding County, New Mexico",573,307,266,"Harding County, New Mexico",43,41,35
"G3500230","2005-2009","NM",,,"New Mexico","35","Hidalgo County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35023","Hidalgo County, New Mexico",2680,1876,804,"Hidalgo County, New Mexico",194,165,172
"G3500250","2005-2009","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",24240,21271,2969,"Lea County, New Mexico",217,367,333
"G3500270","2005-2009","NM",,,"New Mexico","35","Lincoln County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35027","Lincoln County, New Mexico",16602,8057,8545,"Lincoln County, New Mexico",138,483,478
"G3500280","2005-2009","NM",,,"New Mexico","35","Los Alamos County","028",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35028","Los Alamos County, New Mexico",8570,7803,767,"Los Alamos County, New Mexico",72,233,223
"G3500290","2005-2009","NM",,,"New Mexico","35","Luna County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35029","Luna County, New Mexico",11841,9723,2118,"Luna County, New Mexico",94,274,282
"G3500310","2005-2009","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",26895,18130,8765,"McKinley County, New Mexico",206,504,455
"G3500330","2005-2009","NM",,,"New Mexico","35","Mora County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35033","Mora County, New Mexico",3282,2136,1146,"Mora County, New Mexico",251,237,181
"G3500350","2005-2009","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",30707,24477,6230,"Otero County, New Mexico",111,631,621
"G3500370","2005-2009","NM",,,"New Mexico","35","Quay County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35037","Quay County, New Mexico",5691,3852,1839,"Quay County, New Mexico",60,196,186
"G3500390","2005-2009","NM",,,"New Mexico","35","Rio Arriba County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35039","Rio Arriba County, New Mexico",18294,13886,4408,"Rio Arriba County, New Mexico",262,418,323
"G3500410","2005-2009","NM",,,"New Mexico","35","Roosevelt County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35041","Roosevelt County, New Mexico",7973,6737,1236,"Roosevelt County, New Mexico",182,275,239
"G3500430","2005-2009","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",47543,42891,4652,"Sandoval County, New Mexico",236,510,460
"G3500450","2005-2009","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",45565,39264,6301,"San Juan County, New Mexico",168,526,523
"G3500470","2005-2009","NM",,,"New Mexico","35","San Miguel County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35047","San Miguel County, New Mexico",14539,10852,3687,"San Miguel County, New Mexico",283,441,357
"G3500490","2005-2009","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",63687,54604,9083,"Santa Fe County, New Mexico",365,714,635
"G3500510","2005-2009","NM",,,"New Mexico","35","Sierra County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35051","Sierra County, New Mexico",8979,5486,3493,"Sierra County, New Mexico",72,351,354
"G3500530","2005-2009","NM",,,"New Mexico","35","Socorro County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35053","Socorro County, New Mexico",7943,6243,1700,"Socorro County, New Mexico",142,274,242
"G3500550","2005-2009","NM",,,"New Mexico","35","Taos County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35055","Taos County, New Mexico",17729,11978,5751,"Taos County, New Mexico",75,411,409
"G3500570","2005-2009","NM",,,"New Mexico","35","Torrance County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35057","Torrance County, New Mexico",7402,5618,1784,"Torrance County, New Mexico",185,339,289
"G3500590","2005-2009","NM",,,"New Mexico","35","Union County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35059","Union County, New Mexico",2138,1535,603,"Union County, New Mexico",164,133,114
"G3500610","2005-2009","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",26628,24583,2045,"Valencia County, New Mexico",126,389,355
"G3600010","2005-2009","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",133501,122525,10976,"Albany County, New York",996,1283,789
"G3600030","2005-2009","NY",,,"New York","36","Allegany County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36003","Allegany County, New York",25047,18646,6401,"Allegany County, New York",336,452,327
"G3600050","2005-2009","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",508895,472913,35982,"Bronx County, New York",1294,1863,1601
"G3600070","2005-2009","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",89117,80207,8910,"Broome County, New York",465,875,700
"G3600090","2005-2009","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",40612,32639,7973,"Cattaraugus County, New York",274,462,348
"G3600110","2005-2009","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",36062,31760,4302,"Cayuga County, New York",626,733,358
"G3600130","2005-2009","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",65907,54457,11450,"Chautauqua County, New York",497,802,661
"G3600150","2005-2009","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",38116,35230,2886,"Chemung County, New York",554,621,400
"G3600170","2005-2009","NY",,,"New York","36","Chenango County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36017","Chenango County, New York",24373,19992,4381,"Chenango County, New York",220,384,368
"G3600190","2005-2009","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",34633,30389,4244,"Clinton County, New York",251,442,368
"G3600210","2005-2009","NY",,,"New York","36","Columbia County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36021","Columbia County, New York",31875,25359,6516,"Columbia County, New York",1028,1221,512
"G3600230","2005-2009","NY",,,"New York","36","Cortland County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36023","Cortland County, New York",20397,17877,2520,"Cortland County, New York",277,461,333
"G3600250","2005-2009","NY",,,"New York","36","Delaware County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36025","Delaware County, New York",29727,19101,10626,"Delaware County, New York",195,431,440
"G3600270","2005-2009","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",112204,102856,9348,"Dutchess County, New York",650,968,647
"G3600290","2005-2009","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",423285,380565,42720,"Erie County, New York",1220,2005,1622
"G3600310","2005-2009","NY",,,"New York","36","Essex County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36031","Essex County, New York",24380,15639,8741,"Essex County, New York",505,655,379
"G3600330","2005-2009","NY",,,"New York","36","Franklin County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36033","Franklin County, New York",24544,18795,5749,"Franklin County, New York",360,504,304
"G3600350","2005-2009","NY",,,"New York","36","Fulton County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36035","Fulton County, New York",28165,22551,5614,"Fulton County, New York",251,437,375
"G3600370","2005-2009","NY",,,"New York","36","Genesee County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36037","Genesee County, New York",24571,23208,1363,"Genesee County, New York",221,309,213
"G3600390","2005-2009","NY",,,"New York","36","Greene County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36039","Greene County, New York",28202,18211,9991,"Greene County, New York",252,451,432
"G3600410","2005-2009","NY",,,"New York","36","Hamilton County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36041","Hamilton County, New York",8283,2406,5877,"Hamilton County, New York",105,143,114
"G3600430","2005-2009","NY",,,"New York","36","Herkimer County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36043","Herkimer County, New York",32632,25513,7119,"Herkimer County, New York",520,709,437
"G3600450","2005-2009","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",57257,43938,13319,"Jefferson County, New York",312,658,633
"G3600470","2005-2009","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",961271,885197,76074,"Kings County, New York",1341,2508,2056
"G3600490","2005-2009","NY",,,"New York","36","Lewis County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36049","Lewis County, New York",16108,11121,4987,"Lewis County, New York",142,275,226
"G3600510","2005-2009","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",25066,22664,2402,"Livingston County, New York",292,480,345
"G3600530","2005-2009","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",29612,25881,3731,"Madison County, New York",363,513,355
"G3600550","2005-2009","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",313630,286327,27303,"Monroe County, New York",846,1600,1355
"G3600570","2005-2009","NY",,,"New York","36","Montgomery County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36057","Montgomery County, New York",22630,19857,2773,"Montgomery County, New York",128,356,309
"G3600590","2005-2009","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",458626,435764,22862,"Nassau County, New York",675,1499,1310
"G3600610","2005-2009","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",845057,742486,102571,"New York County, New York",2338,3533,2936
"G3600630","2005-2009","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",98112,87854,10258,"Niagara County, New York",486,831,680
"G3600650","2005-2009","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",103749,92544,11205,"Oneida County, New York",517,843,700
"G3600670","2005-2009","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",202258,183481,18777,"Onondaga County, New York",493,1009,941
"G3600690","2005-2009","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",45483,41469,4014,"Ontario County, New York",315,477,372
"G3600710","2005-2009","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",133932,123349,10583,"Orange County, New York",469,899,863
"G3600730","2005-2009","NY",,,"New York","36","Orleans County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36073","Orleans County, New York",17591,15243,2348,"Orleans County, New York",186,327,287
"G3600750","2005-2009","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",54166,46566,7600,"Oswego County, New York",351,671,544
"G3600770","2005-2009","NY",,,"New York","36","Otsego County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36077","Otsego County, New York",30646,25271,5375,"Otsego County, New York",333,470,369
"G3600790","2005-2009","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",36464,33864,2600,"Putnam County, New York",439,594,400
"G3600810","2005-2009","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",836112,779776,56336,"Queens County, New York",769,2406,2160
"G3600830","2005-2009","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",68951,61211,7740,"Rensselaer County, New York",340,704,665
"G3600850","2005-2009","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",178237,166783,11454,"Richmond County, New York",866,1324,897
"G3600870","2005-2009","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",98610,94154,4456,"Rockland County, New York",1133,1280,507
"G3600890","2005-2009","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",50836,40819,10017,"St. Lawrence County, New York",497,616,486
"G3600910","2005-2009","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",94748,84165,10583,"Saratoga County, New York",388,822,707
"G3600930","2005-2009","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",66283,58188,8095,"Schenectady County, New York",604,883,650
"G3600950","2005-2009","NY",,,"New York","36","Schoharie County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36095","Schoharie County, New York",16552,12349,4203,"Schoharie County, New York",275,422,282
"G3600970","2005-2009","NY",,,"New York","36","Schuyler County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36097","Schuyler County, New York",9451,7612,1839,"Schuyler County, New York",142,223,176
"G3600990","2005-2009","NY",,,"New York","36","Seneca County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36099","Seneca County, New York",14927,12229,2698,"Seneca County, New York",211,322,224
"G3601010","2005-2009","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",47072,39397,7675,"Steuben County, New York",183,540,501
"G3601030","2005-2009","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",543628,478858,64770,"Suffolk County, New York",1498,2048,1464
"G3601050","2005-2009","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",48369,29389,18980,"Sullivan County, New York",786,1037,579
"G3601070","2005-2009","NY",,,"New York","36","Tioga County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36107","Tioga County, New York",21833,20124,1709,"Tioga County, New York",85,330,294
"G3601090","2005-2009","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",40689,37807,2882,"Tompkins County, New York",471,684,491
"G3601110","2005-2009","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",81613,69867,11746,"Ulster County, New York",452,859,772
"G3601130","2005-2009","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",37467,27425,10042,"Warren County, New York",243,488,475
"G3601150","2005-2009","NY",,,"New York","36","Washington County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36115","Washington County, New York",28395,24400,3995,"Washington County, New York",166,429,342
"G3601170","2005-2009","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",40126,36048,4078,"Wayne County, New York",262,498,416
"G3601190","2005-2009","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",360130,338527,21603,"Westchester County, New York",1316,1801,1304
"G3601210","2005-2009","NY",,,"New York","36","Wyoming County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36121","Wyoming County, New York",17331,15058,2273,"Wyoming County, New York",193,294,238
"G3601230","2005-2009","NY",,,"New York","36","Yates County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US36123","Yates County, New York",12489,9112,3377,"Yates County, New York",191,339,279
"G3700010","2005-2009","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",63843,57865,5978,"Alamance County, North Carolina",409,779,674
"G3700030","2005-2009","NC",,,"North Carolina","37","Alexander County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37003","Alexander County, North Carolina",15399,13139,2260,"Alexander County, North Carolina",40,368,364
"G3700050","2005-2009","NC",,,"North Carolina","37","Alleghany County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37005","Alleghany County, North Carolina",7185,4793,2392,"Alleghany County, North Carolina",872,936,248
"G3700070","2005-2009","NC",,,"North Carolina","37","Anson County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37007","Anson County, North Carolina",10594,8892,1702,"Anson County, North Carolina",292,438,296
"G3700090","2005-2009","NC",,,"North Carolina","37","Ashe County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37009","Ashe County, North Carolina",15302,11339,3963,"Ashe County, North Carolina",108,461,449
"G3700110","2005-2009","NC",,,"North Carolina","37","Avery County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37011","Avery County, North Carolina",13471,7067,6404,"Avery County, North Carolina",200,385,329
"G3700130","2005-2009","NC",,,"North Carolina","37","Beaufort County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37013","Beaufort County, North Carolina",23803,19248,4555,"Beaufort County, North Carolina",228,501,415
"G3700150","2005-2009","NC",,,"North Carolina","37","Bertie County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37015","Bertie County, North Carolina",9394,7766,1628,"Bertie County, North Carolina",66,279,277
"G3700170","2005-2009","NC",,,"North Carolina","37","Bladen County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37017","Bladen County, North Carolina",16052,12769,3283,"Bladen County, North Carolina",206,477,430
"G3700190","2005-2009","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",72441,44295,28146,"Brunswick County, North Carolina",256,914,892
"G3700210","2005-2009","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",107414,96465,10949,"Buncombe County, North Carolina",597,1150,962
"G3700230","2005-2009","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",39513,33964,5549,"Burke County, North Carolina",205,598,573
"G3700250","2005-2009","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",66969,61504,5465,"Cabarrus County, North Carolina",193,670,660
"G3700270","2005-2009","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",36080,30876,5204,"Caldwell County, North Carolina",258,642,633
"G3700290","2005-2009","NC",,,"North Carolina","37","Camden County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37029","Camden County, North Carolina",3849,3484,365,"Camden County, North Carolina",18,175,175
"G3700310","2005-2009","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",45722,27409,18313,"Carteret County, North Carolina",179,604,573
"G3700330","2005-2009","NC",,,"North Carolina","37","Caswell County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37033","Caswell County, North Carolina",10254,8670,1584,"Caswell County, North Carolina",160,317,254
"G3700350","2005-2009","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",67084,59297,7787,"Catawba County, North Carolina",173,716,694
"G3700370","2005-2009","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",25558,23105,2453,"Chatham County, North Carolina",133,393,380
