GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RP8E001,RP8E002,RP8E003,NAME_M,RP8M001,RP8M002,RP8M003
"G0101150","2005-2009","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",31099,26355,4744,"St. Clair County, Alabama",250,642,550
"G0101170","2005-2009","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",76523,69779,6744,"Shelby County, Alabama",281,622,572
"G0101190","2005-2009","AL",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01119","Sumter County, Alabama",7181,5334,1847,"Sumter County, Alabama",73,267,269
"G0101210","2005-2009","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",36310,30715,5595,"Talladega County, Alabama",232,562,511
"G0101230","2005-2009","AL",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01123","Tallapoosa County, Alabama",21259,15983,5276,"Tallapoosa County, Alabama",118,357,360
"G0101250","2005-2009","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",81419,69685,11734,"Tuscaloosa County, Alabama",483,963,812
"G0101270","2005-2009","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",33644,27943,5701,"Walker County, Alabama",113,480,452
"G0101290","2005-2009","AL",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01129","Washington County, Alabama",8426,6634,1792,"Washington County, Alabama",91,257,245
"G0101310","2005-2009","AL",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01131","Wilcox County, Alabama",6443,4366,2077,"Wilcox County, Alabama",75,250,247
"G0101330","2005-2009","AL",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01133","Winston County, Alabama",12922,9376,3546,"Winston County, Alabama",332,570,438
