GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S25E001,S25E002,S25E003,NAME_M,S25M001,S25M002,S25M003
"G1201150","2013","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",228948,170628,58320,"Sarasota County, Florida",684,3695,3677
"G1201170","2013","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",183785,148259,35526,"Seminole County, Florida",577,3964,3881
"G1201190","2013","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",60504,49672,10832,"Sumter County, Florida",697,2586,2401
"G1201270","2013","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",254238,200107,54131,"Volusia County, Florida",1309,4635,4336
"G1300130","2013","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",26443,23626,2817,"Barrow County, Georgia",107,826,825
"G1300150","2013","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",39598,34649,4949,"Bartow County, Georgia",189,1388,1374
"G1300210","2013","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",69944,54441,15503,"Bibb County, Georgia",510,2022,1909
"G1300310","2013","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",29505,25010,4495,"Bulloch County, Georgia",800,1512,1303
"G1300450","2013","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",44366,40898,3468,"Carroll County, Georgia",497,1086,1071
"G1300470","2013","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",26618,24808,1810,"Catoosa County, Georgia",189,845,830
"G1300510","2013","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",121514,103748,17766,"Chatham County, Georgia",846,2533,2378
"G1300570","2013","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",84062,76627,7435,"Cherokee County, Georgia",178,1956,1979
"G1300590","2013","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",51255,44541,6714,"Clarke County, Georgia",733,1617,1551
"G1300630","2013","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",104345,89106,15239,"Clayton County, Georgia",682,2118,1952
"G1300670","2013","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",290198,266851,23347,"Cobb County, Georgia",548,3104,3135
"G1300730","2013","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",52100,42147,9953,"Columbia County, Georgia",119,1945,1942
"G1300770","2013","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",51017,47841,3176,"Coweta County, Georgia",258,1252,1198
"G1300890","2013","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",305331,268239,37092,"DeKalb County, Georgia",565,4034,3949
"G1300950","2013","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40603,34219,6384,"Dougherty County, Georgia",710,1632,1523
"G1300970","2013","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",51571,46770,4801,"Douglas County, Georgia",290,1768,1739
"G1301130","2013","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",40952,37885,3067,"Fayette County, Georgia",239,1172,1155
"G1301150","2013","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40326,33099,7227,"Floyd County, Georgia",396,1495,1466
"G1301170","2013","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",68250,64465,3785,"Forsyth County, Georgia",167,1030,1044
"G1301210","2013","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",441090,379281,61809,"Fulton County, Georgia",1102,4751,4569
"G1301270","2013","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",41263,31502,9761,"Glynn County, Georgia",285,1702,1729
"G1301350","2013","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",295158,269361,25797,"Gwinnett County, Georgia",282,3943,3860
"G1301390","2013","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",68786,60937,7849,"Hall County, Georgia",198,1691,1682
"G1301510","2013","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",76793,70852,5941,"Henry County, Georgia",312,1899,1775
"G1301530","2013","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",59708,53186,6522,"Houston County, Georgia",315,1696,1683
"G1301790","2013","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",26947,22980,3967,"Liberty County, Georgia",181,1050,1019
"G1301850","2013","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",45227,40848,4379,"Lowndes County, Georgia",355,1006,1010
"G1302150","2013","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",83282,71861,11421,"Muscogee County, Georgia",792,1863,1737
"G1302170","2013","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",38210,33490,4720,"Newton County, Georgia",296,1362,1336
"G1302230","2013","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",52477,48447,4030,"Paulding County, Georgia",213,1642,1647
"G1302450","2013","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",86547,70968,15579,"Richmond County, Georgia",520,2388,2300
"G1302470","2013","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",33201,29150,4051,"Rockdale County, Georgia",238,1147,1141
"G1302850","2013","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28110,24412,3698,"Troup County, Georgia",371,1162,1162
"G1302950","2013","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",29908,25077,4831,"Walker County, Georgia",251,1403,1359
"G1302970","2013","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",32307,28817,3490,"Walton County, Georgia",211,1160,1163
"G1303130","2013","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",39530,33892,5638,"Whitfield County, Georgia",295,1306,1300
"G1500010","2013","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",84457,64929,19528,"Hawaii County, Hawaii",268,2453,2461
"G1500030","2013","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",340416,308800,31616,"Honolulu County, Hawaii",416,2879,2912
"G1500070","2013","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",30195,22386,7809,"Kauai County, Hawaii",125,966,942
"G1500090","2013","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",71147,53946,17201,"Maui County, Hawaii",349,1937,1926
"G1600010","2013","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",163886,155434,8452,"Ada County, Idaho",527,2338,2298
"G1600050","2013","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",33178,30265,2913,"Bannock County, Idaho",508,1052,906
"G1600190","2013","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",40251,36806,3445,"Bonneville County, Idaho",377,1008,981
"G1600270","2013","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",70226,65923,4303,"Canyon County, Idaho",388,1603,1535
"G1600550","2013","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",64779,55836,8943,"Kootenai County, Idaho",247,1867,1866
"G1600830","2013","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",31392,28811,2581,"Twin Falls County, Idaho",242,1164,1182
"G1700010","2013","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",29868,27182,2686,"Adams County, Illinois",240,839,830
"G1700190","2013","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",88547,78521,10026,"Champaign County, Illinois",973,1981,1875
"G1700310","2013","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2170278,1939894,230384,"Cook County, Illinois",1458,9336,9086
"G1700370","2013","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",40909,37526,3383,"DeKalb County, Illinois",443,1219,1105
"G1700430","2013","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",356234,338778,17456,"DuPage County, Illinois",653,2510,2476
"G1700890","2013","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",182866,171973,10893,"Kane County, Illinois",523,2081,1951
"G1700910","2013","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",44987,41822,3165,"Kankakee County, Illinois",730,1194,893
"G1700930","2013","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",40843,37663,3180,"Kendall County, Illinois",100,1698,1705
"G1700970","2013","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",260532,244935,15597,"Lake County, Illinois",655,2134,2131
"G1700990","2013","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",49780,43647,6133,"LaSalle County, Illinois",290,1407,1407
"G1701110","2013","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",116707,109032,7675,"McHenry County, Illinois",275,1571,1594
"G1701130","2013","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",70713,65231,5482,"McLean County, Illinois",491,1521,1440
"G1701150","2013","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",50248,44965,5283,"Macon County, Illinois",622,1153,1113
"G1701190","2013","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",117606,107186,10420,"Madison County, Illinois",514,2049,2058
"G1701430","2013","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",83317,75671,7646,"Peoria County, Illinois",487,1547,1524
"G1701610","2013","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",65596,59810,5786,"Rock Island County, Illinois",598,1398,1344
"G1701630","2013","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",117592,103920,13672,"St. Clair County, Illinois",380,2113,2093
"G1701670","2013","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",90164,82761,7403,"Sangamon County, Illinois",379,1604,1534
"G1701790","2013","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",57761,54161,3600,"Tazewell County, Illinois",275,1252,1251
"G1701830","2013","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",35946,31482,4464,"Vermilion County, Illinois",314,1041,976
"G1701970","2013","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",238684,223508,15176,"Will County, Illinois",461,2212,2116
"G1701990","2013","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",30595,26724,3871,"Williamson County, Illinois",333,1321,1309
"G1702010","2013","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",125453,113248,12205,"Winnebago County, Illinois",414,2138,2090
"G1800030","2013","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",153541,142535,11006,"Allen County, Indiana",394,1568,1514
"G1800050","2013","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",33278,30359,2919,"Bartholomew County, Indiana",216,991,971
"G1800190","2013","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",48405,42192,6213,"Clark County, Indiana",405,1509,1405
"G1800350","2013","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",52198,46431,5767,"Delaware County, Indiana",524,1562,1411
"G1800390","2013","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",77550,71056,6494,"Elkhart County, Indiana",554,1478,1396
"G1800430","2013","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",32113,28343,3770,"Floyd County, Indiana",203,994,966
"G1800530","2013","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",30219,27003,3216,"Grant County, Indiana",565,968,939
"G1800570","2013","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",112716,107904,4812,"Hamilton County, Indiana",247,1676,1655
"G1800590","2013","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",28551,26072,2479,"Hancock County, Indiana",154,1241,1239
"G1800630","2013","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",57283,55273,2010,"Hendricks County, Indiana",210,1018,965
"G1800670","2013","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",38510,34435,4075,"Howard County, Indiana",311,1253,1218
"G1800810","2013","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",58021,52838,5183,"Johnson County, Indiana",218,1423,1371
"G1800850","2013","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",37233,28649,8584,"Kosciusko County, Indiana",215,1345,1343
"G1800890","2013","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",209353,186553,22800,"Lake County, Indiana",442,1860,1824
"G1800910","2013","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",48628,42746,5882,"LaPorte County, Indiana",621,1264,1078
"G1800950","2013","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",58649,51877,6772,"Madison County, Indiana",421,1675,1580
"G1800970","2013","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",417973,361596,56377,"Marion County, Indiana",944,4466,4357
"G1801050","2013","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",59542,53577,5965,"Monroe County, Indiana",769,1856,1580
"G1801090","2013","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",27794,25704,2090,"Morgan County, Indiana",233,701,734
"G1801270","2013","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",66534,62471,4063,"Porter County, Indiana",420,1239,1221
"G1801410","2013","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",115136,103404,11732,"St. Joseph County, Indiana",548,1732,1734
"G1801570","2013","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",72797,68442,4355,"Tippecanoe County, Indiana",861,1608,1283
"G1801630","2013","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",83055,72659,10396,"Vanderburgh County, Indiana",527,1970,1785
"G1801670","2013","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",46231,39311,6920,"Vigo County, Indiana",837,1727,1523
"G1801770","2013","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",31086,27425,3661,"Wayne County, Indiana",428,1003,866
"G1900130","2013","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",56519,52312,4207,"Black Hawk County, Iowa",622,1129,1041
"G1900490","2013","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",28960,27287,1673,"Dallas County, Iowa",84,682,671
"G1900610","2013","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",39988,36801,3187,"Dubuque County, Iowa",380,928,915
"G1901030","2013","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",57689,55807,1882,"Johnson County, Iowa",826,1201,824
"G1901130","2013","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",93718,87137,6581,"Linn County, Iowa",428,1502,1464
"G1901530","2013","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",188666,178026,10640,"Polk County, Iowa",482,2493,2466
"G1901550","2013","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",39434,36249,3185,"Pottawattamie County, Iowa",420,1074,984
"G1901630","2013","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",72680,67314,5366,"Scott County, Iowa",410,1348,1260
"G1901690","2013","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",37530,36340,1190,"Story County, Iowa",591,814,591
"G1901930","2013","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",41327,38812,2515,"Woodbury County, Iowa",372,882,764
"G2000150","2013","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",26223,24308,1915,"Butler County, Kansas",257,812,747
"G2000450","2013","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",47672,42470,5202,"Douglas County, Kansas",396,1568,1518
"G2000910","2013","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",229869,220432,9437,"Johnson County, Kansas",431,1674,1669
"G2001030","2013","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",28877,27311,1566,"Leavenworth County, Kansas",542,892,715
"G2001610","2013","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",29437,26776,2661,"Riley County, Kansas",647,1042,951
"G2001730","2013","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",213023,192654,20369,"Sedgwick County, Kansas",562,2721,2648
"G2001770","2013","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",79237,70732,8505,"Shawnee County, Kansas",545,1532,1443
"G2002090","2013","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",66825,57141,9684,"Wyandotte County, Kansas",275,1478,1398
"G2100150","2013","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",47406,45559,1847,"Boone County, Kentucky",342,985,891
"G2100290","2013","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",30130,27796,2334,"Bullitt County, Kentucky",130,901,893
"G2100370","2013","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",39655,34947,4708,"Campbell County, Kentucky",505,1460,1352
"G2100470","2013","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",29612,24344,5268,"Christian County, Kentucky",452,1455,1280
"G2100590","2013","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",42005,38210,3795,"Daviess County, Kentucky",346,1038,1031
"G2100670","2013","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",137908,125138,12770,"Fayette County, Kentucky",703,2330,2198
"G2100930","2013","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",45257,41187,4070,"Hardin County, Kentucky",484,1438,1278
"G2101110","2013","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",339177,309533,29644,"Jefferson County, Kentucky",769,2892,2878
"G2101170","2013","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",69279,61930,7349,"Kenton County, Kentucky",434,1554,1493
"G2101450","2013","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",31219,25886,5333,"McCracken County, Kentucky",303,1469,1470
"G2101510","2013","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",35521,32298,3223,"Madison County, Kentucky",350,1006,965
"G2101950","2013","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",30067,25658,4409,"Pike County, Kentucky",291,1154,1092
"G2102270","2013","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",49178,45541,3637,"Warren County, Kentucky",498,1778,1668
"G2200050","2013","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",42973,40762,2211,"Ascension Parish, Louisiana",184,842,848
"G2200150","2013","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",52577,47151,5426,"Bossier Parish, Louisiana",638,1749,1576
"G2200170","2013","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",112203,98570,13633,"Caddo Parish, Louisiana",405,2133,2026
"G2200190","2013","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",84302,76601,7701,"Calcasieu Parish, Louisiana",434,1567,1627
"G2200330","2013","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",189859,168824,21035,"East Baton Rouge Parish, Louisiana",670,2617,2569
"G2200450","2013","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",29828,26536,3292,"Iberia Parish, Louisiana",191,1099,1087
"G2200510","2013","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",188740,167442,21298,"Jefferson Parish, Louisiana",409,2792,2693
"G2200550","2013","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",95867,88453,7414,"Lafayette Parish, Louisiana",573,1872,1793
"G2200570","2013","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",39167,34469,4698,"Lafourche Parish, Louisiana",330,1177,1144
"G2200630","2013","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",52703,47465,5238,"Livingston Parish, Louisiana",253,1722,1641
"G2200710","2013","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",191565,158354,33211,"Orleans Parish, Louisiana",766,2391,2288
"G2200730","2013","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",65496,56477,9019,"Ouachita Parish, Louisiana",653,2103,1877
"G2200790","2013","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",56569,48074,8495,"Rapides Parish, Louisiana",489,1647,1595
"G2200970","2013","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",35868,31698,4170,"St. Landry Parish, Louisiana",180,1005,972
"G2201030","2013","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",97369,88248,9121,"St. Tammany Parish, Louisiana",443,2067,1976
