GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G3700490","2019","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",47681,42221,5460,"Craven County, North Carolina",611,1600,1521
"G3700510","2019","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",147330,128135,19195,"Cumberland County, North Carolina",1267,2243,1983
"G3700570","2019","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",76060,69938,6122,"Davidson County, North Carolina",209,1667,1682
"G3700630","2019","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",142012,131140,10872,"Durham County, North Carolina",1380,2711,2247
"G3700670","2019","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",168800,148151,20649,"Forsyth County, North Carolina",599,2664,2628
"G3700690","2019","NC",,,"North Carolina","37","Franklin County","069",,,,,,,,,,,,,,,,,,"05000US37069","Franklin County, North Carolina",29726,26720,3006,"Franklin County, North Carolina",248,1244,1269
"G3700710","2019","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",94983,85705,9278,"Gaston County, North Carolina",506,1578,1511
"G3700810","2019","NC",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,,"05000US37081","Guilford County, North Carolina",231631,206950,24681,"Guilford County, North Carolina",905,3305,3161
"G3700850","2019","NC",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,,"05000US37085","Harnett County, North Carolina",53046,46416,6630,"Harnett County, North Carolina",211,1461,1436
"G3700890","2019","NC",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,,"05000US37089","Henderson County, North Carolina",58795,51115,7680,"Henderson County, North Carolina",242,1508,1581
"G3700970","2019","NC",,,"North Carolina","37","Iredell County","097",,,,,,,,,,,,,,,,,,"05000US37097","Iredell County, North Carolina",77448,68145,9303,"Iredell County, North Carolina",228,1701,1776
"G3701010","2019","NC",,,"North Carolina","37","Johnston County","101",,,,,,,,,,,,,,,,,,"05000US37101","Johnston County, North Carolina",79857,73567,6290,"Johnston County, North Carolina",243,1982,1999
"G3701090","2019","NC",,,"North Carolina","37","Lincoln County","109",,,,,,,,,,,,,,,,,,"05000US37109","Lincoln County, North Carolina",37535,34418,3117,"Lincoln County, North Carolina",172,1246,1223
"G3701190","2019","NC",,,"North Carolina","37","Mecklenburg County","119",,,,,,,,,,,,,,,,,,"05000US37119","Mecklenburg County, North Carolina",466955,426313,40642,"Mecklenburg County, North Carolina",915,4517,4447
"G3701250","2019","NC",,,"North Carolina","37","Moore County","125",,,,,,,,,,,,,,,,,,"05000US37125","Moore County, North Carolina",48629,41530,7099,"Moore County, North Carolina",162,1339,1330
"G3701270","2019","NC",,,"North Carolina","37","Nash County","127",,,,,,,,,,,,,,,,,,"05000US37127","Nash County, North Carolina",43327,37574,5753,"Nash County, North Carolina",271,1750,1721
"G3701290","2019","NC",,,"North Carolina","37","New Hanover County","129",,,,,,,,,,,,,,,,,,"05000US37129","New Hanover County, North Carolina",114851,100189,14662,"New Hanover County, North Carolina",722,2499,2362
"G3701330","2019","NC",,,"North Carolina","37","Onslow County","133",,,,,,,,,,,,,,,,,,"05000US37133","Onslow County, North Carolina",81076,63604,17472,"Onslow County, North Carolina",970,2606,2668
"G3701350","2019","NC",,,"North Carolina","37","Orange County","135",,,,,,,,,,,,,,,,,,"05000US37135","Orange County, North Carolina",60272,55259,5013,"Orange County, North Carolina",993,1600,1282
"G3701470","2019","NC",,,"North Carolina","37","Pitt County","147",,,,,,,,,,,,,,,,,,"05000US37147","Pitt County, North Carolina",81250,70926,10324,"Pitt County, North Carolina",611,2307,2127
"G3701510","2019","NC",,,"North Carolina","37","Randolph County","151",,,,,,,,,,,,,,,,,,"05000US37151","Randolph County, North Carolina",62922,56117,6805,"Randolph County, North Carolina",270,1793,1787
"G3701550","2019","NC",,,"North Carolina","37","Robeson County","155",,,,,,,,,,,,,,,,,,"05000US37155","Robeson County, North Carolina",53398,46272,7126,"Robeson County, North Carolina",302,863,806
"G3701570","2019","NC",,,"North Carolina","37","Rockingham County","157",,,,,,,,,,,,,,,,,,"05000US37157","Rockingham County, North Carolina",44419,38462,5957,"Rockingham County, North Carolina",226,1483,1477
"G3701590","2019","NC",,,"North Carolina","37","Rowan County","159",,,,,,,,,,,,,,,,,,"05000US37159","Rowan County, North Carolina",62494,55241,7253,"Rowan County, North Carolina",503,1463,1539
"G3701610","2019","NC",,,"North Carolina","37","Rutherford County","161",,,,,,,,,,,,,,,,,,"05000US37161","Rutherford County, North Carolina",34576,27970,6606,"Rutherford County, North Carolina",176,1392,1401
"G3701710","2019","NC",,,"North Carolina","37","Surry County","171",,,,,,,,,,,,,,,,,,"05000US37171","Surry County, North Carolina",34417,28408,6009,"Surry County, North Carolina",203,1215,1169
"G3701790","2019","NC",,,"North Carolina","37","Union County","179",,,,,,,,,,,,,,,,,,"05000US37179","Union County, North Carolina",84005,77954,6051,"Union County, North Carolina",223,1511,1517
"G3701830","2019","NC",,,"North Carolina","37","Wake County","183",,,,,,,,,,,,,,,,,,"05000US37183","Wake County, North Carolina",453362,419361,34001,"Wake County, North Carolina",1045,3766,3761
"G3701910","2019","NC",,,"North Carolina","37","Wayne County","191",,,,,,,,,,,,,,,,,,"05000US37191","Wayne County, North Carolina",54736,48482,6254,"Wayne County, North Carolina",242,1541,1495
"G3701930","2019","NC",,,"North Carolina","37","Wilkes County","193",,,,,,,,,,,,,,,,,,"05000US37193","Wilkes County, North Carolina",33765,28376,5389,"Wilkes County, North Carolina",146,1523,1518
"G3701950","2019","NC",,,"North Carolina","37","Wilson County","195",,,,,,,,,,,,,,,,,,"05000US37195","Wilson County, North Carolina",36495,32384,4111,"Wilson County, North Carolina",272,1354,1239
"G3800150","2019","ND",,,"North Dakota","38","Burleigh County","015",,,,,,,,,,,,,,,,,,"05000US38015","Burleigh County, North Dakota",43442,38438,5004,"Burleigh County, North Dakota",261,1461,1457
"G3800170","2019","ND",,,"North Dakota","38","Cass County","017",,,,,,,,,,,,,,,,,,"05000US38017","Cass County, North Dakota",85452,78736,6716,"Cass County, North Dakota",290,1627,1589
"G3800350","2019","ND",,,"North Dakota","38","Grand Forks County","035",,,,,,,,,,,,,,,,,,"05000US38035","Grand Forks County, North Dakota",33498,31506,1992,"Grand Forks County, North Dakota",411,911,849
"G3801010","2019","ND",,,"North Dakota","38","Ward County","101",,,,,,,,,,,,,,,,,,"05000US38101","Ward County, North Dakota",33164,28908,4256,"Ward County, North Dakota",270,1521,1492
"G3900030","2019","OH",,,"Ohio","39","Allen County","003",,,,,,,,,,,,,,,,,,"05000US39003","Allen County, Ohio",45188,40460,4728,"Allen County, Ohio",357,1224,1155
"G3900070","2019","OH",,,"Ohio","39","Ashtabula County","007",,,,,,,,,,,,,,,,,,"05000US39007","Ashtabula County, Ohio",46268,39490,6778,"Ashtabula County, Ohio",365,1420,1363
"G3900090","2019","OH",,,"Ohio","39","Athens County","009",,,,,,,,,,,,,,,,,,"05000US39009","Athens County, Ohio",26669,22659,4010,"Athens County, Ohio",495,1283,1127
"G3900130","2019","OH",,,"Ohio","39","Belmont County","013",,,,,,,,,,,,,,,,,,"05000US39013","Belmont County, Ohio",32236,25651,6585,"Belmont County, Ohio",378,1482,1402
"G3900170","2019","OH",,,"Ohio","39","Butler County","017",,,,,,,,,,,,,,,,,,"05000US39017","Butler County, Ohio",153275,140141,13134,"Butler County, Ohio",555,2045,2015
"G3900230","2019","OH",,,"Ohio","39","Clark County","023",,,,,,,,,,,,,,,,,,"05000US39023","Clark County, Ohio",61251,54406,6845,"Clark County, Ohio",301,1390,1387
"G3900250","2019","OH",,,"Ohio","39","Clermont County","025",,,,,,,,,,,,,,,,,,"05000US39025","Clermont County, Ohio",84158,80041,4117,"Clermont County, Ohio",324,1391,1354
"G3900290","2019","OH",,,"Ohio","39","Columbiana County","029",,,,,,,,,,,,,,,,,,"05000US39029","Columbiana County, Ohio",46852,40560,6292,"Columbiana County, Ohio",328,1529,1521
"G3900350","2019","OH",,,"Ohio","39","Cuyahoga County","035",,,,,,,,,,,,,,,,,,"05000US39035","Cuyahoga County, Ohio",617202,549471,67731,"Cuyahoga County, Ohio",1287,4331,4113
"G3900410","2019","OH",,,"Ohio","39","Delaware County","041",,,,,,,,,,,,,,,,,,"05000US39041","Delaware County, Ohio",76155,73290,2865,"Delaware County, Ohio",237,1137,1114
"G3900430","2019","OH",,,"Ohio","39","Erie County","043",,,,,,,,,,,,,,,,,,"05000US39043","Erie County, Ohio",37900,30308,7592,"Erie County, Ohio",218,1638,1631
"G3900450","2019","OH",,,"Ohio","39","Fairfield County","045",,,,,,,,,,,,,,,,,,"05000US39045","Fairfield County, Ohio",62206,59031,3175,"Fairfield County, Ohio",414,1166,1158
"G3900490","2019","OH",,,"Ohio","39","Franklin County","049",,,,,,,,,,,,,,,,,,"05000US39049","Franklin County, Ohio",564363,522383,41980,"Franklin County, Ohio",1091,4463,4455
"G3900550","2019","OH",,,"Ohio","39","Geauga County","055",,,,,,,,,,,,,,,,,,"05000US39055","Geauga County, Ohio",37422,35439,1983,"Geauga County, Ohio",160,730,771
"G3900570","2019","OH",,,"Ohio","39","Greene County","057",,,,,,,,,,,,,,,,,,"05000US39057","Greene County, Ohio",71316,66154,5162,"Greene County, Ohio",457,1441,1398
"G3900610","2019","OH",,,"Ohio","39","Hamilton County","061",,,,,,,,,,,,,,,,,,"05000US39061","Hamilton County, Ohio",380778,347235,33543,"Hamilton County, Ohio",854,3728,3594
"G3900630","2019","OH",,,"Ohio","39","Hancock County","063",,,,,,,,,,,,,,,,,,"05000US39063","Hancock County, Ohio",34544,32490,2054,"Hancock County, Ohio",298,1063,984
"G3900810","2019","OH",,,"Ohio","39","Jefferson County","081",,,,,,,,,,,,,,,,,,"05000US39081","Jefferson County, Ohio",32411,27515,4896,"Jefferson County, Ohio",303,1087,1059
"G3900850","2019","OH",,,"Ohio","39","Lake County","085",,,,,,,,,,,,,,,,,,"05000US39085","Lake County, Ohio",103499,96967,6532,"Lake County, Ohio",322,1727,1650
"G3900890","2019","OH",,,"Ohio","39","Licking County","089",,,,,,,,,,,,,,,,,,"05000US39089","Licking County, Ohio",71199,66604,4595,"Licking County, Ohio",411,1282,1187
"G3900930","2019","OH",,,"Ohio","39","Lorain County","093",,,,,,,,,,,,,,,,,,"05000US39093","Lorain County, Ohio",132804,120299,12505,"Lorain County, Ohio",524,2470,2292
"G3900950","2019","OH",,,"Ohio","39","Lucas County","095",,,,,,,,,,,,,,,,,,"05000US39095","Lucas County, Ohio",203795,182105,21690,"Lucas County, Ohio",847,2681,2472
"G3900990","2019","OH",,,"Ohio","39","Mahoning County","099",,,,,,,,,,,,,,,,,,"05000US39099","Mahoning County, Ohio",111251,100057,11194,"Mahoning County, Ohio",859,2085,1951
"G3901010","2019","OH",,,"Ohio","39","Marion County","101",,,,,,,,,,,,,,,,,,"05000US39101","Marion County, Ohio",27877,25013,2864,"Marion County, Ohio",408,1085,1069
"G3901030","2019","OH",,,"Ohio","39","Medina County","103",,,,,,,,,,,,,,,,,,"05000US39103","Medina County, Ohio",73569,70450,3119,"Medina County, Ohio",245,1101,1066
