GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G0600550","2019","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",55659,48107,7552,"Napa County, California",328,1441,1378
"G0600570","2019","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",54825,39365,15460,"Nevada County, California",231,2247,2229
"G0600590","2019","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1118148,1044280,73868,"Orange County, California",1172,6750,6428
"G0600610","2019","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",168942,147236,21706,"Placer County, California",369,1902,1895
"G0600650","2019","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",857222,734948,122274,"Riverside County, California",881,6129,6005
"G0600670","2019","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",578966,556752,22214,"Sacramento County, California",849,2991,2829
"G0600710","2019","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",731393,644758,86635,"San Bernardino County, California",941,4633,4339
"G0600730","2019","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1233923,1132434,101489,"San Diego County, California",1533,6683,6612
"G0600750","2019","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",406399,365851,40548,"San Francisco County, California",1432,4759,4399
"G0600770","2019","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",248673,230241,18432,"San Joaquin County, California",895,2816,2610
"G0600790","2019","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",123969,106512,17457,"San Luis Obispo County, California",657,2641,2691
"G0600810","2019","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",280500,265003,15497,"San Mateo County, California",606,2718,2610
"G0600830","2019","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",159286,146466,12820,"Santa Barbara County, California",800,2271,2031
"G0600850","2019","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",686306,643637,42669,"Santa Clara County, California",926,4477,4270
"G0600870","2019","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",107137,97710,9427,"Santa Cruz County, California",734,2076,1822
"G0600890","2019","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",78621,72714,5907,"Shasta County, California",428,1501,1405
"G0600950","2019","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",159804,150393,9411,"Solano County, California",423,1826,1803
"G0600970","2019","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",208293,190689,17604,"Sonoma County, California",559,2478,2429
"G0600990","2019","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",182987,174698,8289,"Stanislaus County, California",272,2116,2100
"G0601010","2019","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",34577,33039,1538,"Sutter County, California",167,731,724
"G0601030","2019","CA",,,"California","06","Tehama County","103",,,,,,,,,,,,,,,,,,"05000US06103","Tehama County, California",27848,25310,2538,"Tehama County, California",230,1013,1018
"G0601070","2019","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",151599,144109,7490,"Tulare County, California",288,1768,1711
"G0601110","2019","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",291547,268524,23023,"Ventura County, California",731,3070,3218
"G0601130","2019","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",79252,76075,3177,"Yolo County, California",564,1259,1176
"G0601150","2019","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",29051,26827,2224,"Yuba County, California",283,921,895
"G0800010","2019","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",178517,171977,6540,"Adams County, Colorado",581,1803,1673
"G0800050","2019","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",257364,246302,11062,"Arapahoe County, Colorado",513,1972,1927
"G0800130","2019","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",140554,131854,8700,"Boulder County, Colorado",749,2047,1890
"G0800140","2019","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",29677,28062,1615,"Broomfield County, Colorado",202,748,758
"G0800310","2019","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",338346,318445,19901,"Denver County, Colorado",923,3441,3326
"G0800350","2019","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",132247,127476,4771,"Douglas County, Colorado",365,1510,1487
"G0800410","2019","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",280730,265798,14932,"El Paso County, Colorado",870,2654,2567
"G0800590","2019","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",245121,236496,8625,"Jefferson County, Colorado",913,1962,1752
"G0800690","2019","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",154407,146638,7769,"Larimer County, Colorado",1038,1931,1591
"G0800770","2019","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",68118,63644,4474,"Mesa County, Colorado",398,1525,1517
"G0801010","2019","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",71897,66111,5786,"Pueblo County, Colorado",317,1293,1268
"G0801230","2019","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",115917,111298,4619,"Weld County, Colorado",557,1402,1280
"G0900010","2019","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",375368,340557,34811,"Fairfield County, Connecticut",656,3374,3510
"G0900030","2019","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",381396,353234,28162,"Hartford County, Connecticut",855,3169,3199
"G0900050","2019","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",88414,73969,14445,"Litchfield County, Connecticut",301,2002,2003
"G0900070","2019","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",76652,66884,9768,"Middlesex County, Connecticut",413,2293,2245
"G0900090","2019","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",368680,329006,39674,"New Haven County, Connecticut",981,3626,3443
"G0900110","2019","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",124208,109752,14456,"New London County, Connecticut",469,1830,1824
"G0900130","2019","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",60281,56749,3532,"Tolland County, Connecticut",837,1338,1105
"G0900150","2019","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49960,47015,2945,"Windham County, Connecticut",777,1253,1081
"G1000010","2019","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",74455,68023,6432,"Kent County, Delaware",426,1807,1810
"G1000030","2019","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",225246,211592,13654,"New Castle County, Delaware",450,2204,2138
"G1000050","2019","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",144063,96624,47439,"Sussex County, Delaware",286,2680,2701
"G1100010","2019","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",322814,291570,31244,"District of Columbia, District of Columbia",133,3959,4011
"G1200010","2019","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",120226,103024,17202,"Alachua County, Florida",1068,2847,2431
"G1200050","2019","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",104764,69195,35569,"Bay County, Florida",256,2744,2737
"G1200090","2019","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",282830,230043,52787,"Brevard County, Florida",360,4772,4716
"G1200110","2019","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",828571,705472,123099,"Broward County, Florida",844,7707,7770
"G1200150","2019","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",107124,76589,30535,"Charlotte County, Florida",304,3272,3218
"G1200170","2019","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",80902,64448,16454,"Citrus County, Florida",406,2659,2698
"G1200190","2019","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",82630,75793,6837,"Clay County, Florida",271,1945,1950
"G1200210","2019","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",222289,140578,81711,"Collier County, Florida",636,5062,5042
"G1200230","2019","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",29285,25240,4045,"Columbia County, Florida",393,1483,1410
"G1200310","2019","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",418735,368668,50067,"Duval County, Florida",1390,4596,4352
"G1200330","2019","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",143225,120618,22607,"Escambia County, Florida",992,3101,2812
"G1200350","2019","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",53832,44464,9368,"Flagler County, Florida",174,1735,1720
"G1200530","2019","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",88713,78755,9958,"Hernando County, Florida",725,1776,1662
"G1200550","2019","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",56119,43351,12768,"Highlands County, Florida",507,2443,2460
"G1200570","2019","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",599503,541584,57919,"Hillsborough County, Florida",848,4189,4195
"G1200610","2019","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",82262,63917,18345,"Indian River County, Florida",239,2654,2642
"G1200690","2019","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",163587,139192,24395,"Lake County, Florida",382,3527,3492
"G1200710","2019","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",408569,286887,121682,"Lee County, Florida",1083,5798,5550
"G1200730","2019","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",132780,116283,16497,"Leon County, Florida",1228,2781,2412
"G1200810","2019","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",198824,145171,53653,"Manatee County, Florida",368,4572,4535
"G1200830","2019","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",173200,145622,27578,"Marion County, Florida",754,4007,3791
"G1200850","2019","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",80779,65014,15765,"Martin County, Florida",508,2055,2000
"G1200860","2019","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",1040743,912805,127938,"Miami-Dade County, Florida",1635,5898,5703
"G1200870","2019","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",53896,32839,21057,"Monroe County, Florida",630,2048,1932
"G1200890","2019","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",41245,35212,6033,"Nassau County, Florida",360,1465,1413
"G1200910","2019","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",98624,76097,22527,"Okaloosa County, Florida",419,2603,2598
"G1200950","2019","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",556898,457949,98949,"Orange County, Florida",1390,6978,6911
"G1200970","2019","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",162677,111539,51138,"Osceola County, Florida",163,4304,4300
"G1200990","2019","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",693183,568915,124268,"Palm Beach County, Florida",1179,6021,6106
"G1201010","2019","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",250659,212856,37803,"Pasco County, Florida",372,4410,4402
"G1201030","2019","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",511777,395286,116491,"Pinellas County, Florida",1174,6581,6605
"G1201050","2019","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",304440,238629,65811,"Polk County, Florida",644,5267,5022
"G1201070","2019","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",37599,30866,6733,"Putnam County, Florida",258,1415,1389
"G1201090","2019","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",116381,94761,21620,"St. Johns County, Florida",457,2990,3003
"G1201110","2019","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",146060,116900,29160,"St. Lucie County, Florida",948,4160,4083
"G1201130","2019","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",74441,66187,8254,"Santa Rosa County, Florida",430,2766,2676
"G1201150","2019","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",249428,187411,62017,"Sarasota County, Florida",631,4122,4138
"G1201170","2019","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",193938,181142,12796,"Seminole County, Florida",492,2623,2637
"G1201190","2019","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",74248,59458,14790,"Sumter County, Florida",1023,3085,2962
"G1201270","2019","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",264145,219451,44694,"Volusia County, Florida",641,3752,3886
"G1201310","2019","FL",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,"05000US12131","Walton County, Florida",54815,26475,28340,"Walton County, Florida",191,2685,2661
"G1300130","2019","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",29788,27765,2023,"Barrow County, Georgia",103,833,823
"G1300150","2019","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",42301,39742,2559,"Bartow County, Georgia",272,1150,1126
"G1300210","2019","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",70014,56726,13288,"Bibb County, Georgia",377,1984,1969
"G1300310","2019","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",31847,28660,3187,"Bulloch County, Georgia",871,1370,1042
"G1300450","2019","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",46015,42798,3217,"Carroll County, Georgia",345,1323,1274
"G1300470","2019","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",27732,24130,3602,"Catoosa County, Georgia",148,1401,1394
"G1300510","2019","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",127435,107987,19448,"Chatham County, Georgia",746,2721,2586
"G1300570","2019","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",97493,93441,4052,"Cherokee County, Georgia",271,1407,1371
"G1300590","2019","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",53647,52124,1523,"Clarke County, Georgia",1190,1282,656
"G1300630","2019","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",106352,97030,9322,"Clayton County, Georgia",640,1802,1731
"G1300670","2019","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",304843,286952,17891,"Cobb County, Georgia",685,3167,3229
"G1300730","2019","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",59833,46890,12943,"Columbia County, Georgia",98,2705,2692
"G1300770","2019","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",56538,53640,2898,"Coweta County, Georgia",267,1356,1326
"G1300890","2019","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",317672,289829,27843,"DeKalb County, Georgia",867,3342,3263
"G1300950","2019","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40518,32630,7888,"Dougherty County, Georgia",450,1314,1319
"G1300970","2019","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",53380,48899,4481,"Douglas County, Georgia",285,1680,1674
"G1301130","2019","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",43492,41253,2239,"Fayette County, Georgia",234,1092,1066
"G1301150","2019","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40764,35443,5321,"Floyd County, Georgia",450,1365,1341
"G1301170","2019","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",87530,81765,5765,"Forsyth County, Georgia",184,1731,1689
"G1301210","2019","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",488640,439578,49062,"Fulton County, Georgia",1316,4514,4516
"G1301270","2019","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",44005,34614,9391,"Glynn County, Georgia",458,1867,1720
"G1301350","2019","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",316342,301471,14871,"Gwinnett County, Georgia",330,3216,3256
"G1301390","2019","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",76167,65625,10542,"Hall County, Georgia",184,2079,2095
"G1301510","2019","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",84528,79550,4978,"Henry County, Georgia",283,1820,1842
"G1301530","2019","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",65038,58417,6621,"Houston County, Georgia",330,1868,1850
"G1301570","2019","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",26774,25180,1594,"Jackson County, Georgia",252,831,770
"G1301850","2019","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",49488,42639,6849,"Lowndes County, Georgia",434,1440,1511
"G1302150","2019","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",85251,73134,12117,"Muscogee County, Georgia",581,1814,1876
"G1302170","2019","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",40255,37867,2388,"Newton County, Georgia",372,1008,1077
"G1302230","2019","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",59627,56476,3151,"Paulding County, Georgia",268,1811,1785
"G1302450","2019","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",89447,68361,21086,"Richmond County, Georgia",566,3137,2990
"G1302470","2019","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",34078,32792,1286,"Rockdale County, Georgia",277,684,691
"G1302550","2019","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",27795,25339,2456,"Spalding County, Georgia",487,994,927
"G1302850","2019","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28736,24436,4300,"Troup County, Georgia",387,1100,1025
"G1302950","2019","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",30535,26760,3775,"Walker County, Georgia",423,1208,1163
"G1302970","2019","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",34794,33350,1444,"Walton County, Georgia",302,1012,987
"G1303130","2019","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",40368,34518,5850,"Whitfield County, Georgia",450,1533,1440
"G1500010","2019","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",89361,71193,18168,"Hawaii County, Hawaii",300,2209,2250
"G1500030","2019","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",354719,316456,38263,"Honolulu County, Hawaii",577,3394,3378
"G1500070","2019","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",31577,22898,8679,"Kauai County, Hawaii",232,1313,1291
"G1500090","2019","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",74569,54744,19825,"Maui County, Hawaii",496,2300,2306
"G1600010","2019","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",192646,184160,8486,"Ada County, Idaho",491,2215,2124
"G1600050","2019","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",34845,32010,2835,"Bannock County, Idaho",446,947,937
"G1600190","2019","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",44559,40776,3783,"Bonneville County, Idaho",230,1151,1106
"G1600270","2019","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",80065,77449,2616,"Canyon County, Idaho",277,1213,1177
"G1600550","2019","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",74620,65283,9337,"Kootenai County, Idaho",423,1428,1450
"G1600830","2019","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",34190,31850,2340,"Twin Falls County, Idaho",173,1040,1015
"G1700010","2019","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",30255,26993,3262,"Adams County, Illinois",266,1143,1119
"G1700190","2019","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",94700,81764,12936,"Champaign County, Illinois",947,2599,2458
"G1700310","2019","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2204152,1985613,218539,"Cook County, Illinois",1831,7470,7403
"G1700370","2019","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",41304,39330,1974,"DeKalb County, Illinois",611,1037,956
"G1700430","2019","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",362207,342195,20012,"DuPage County, Illinois",642,2951,2747
"G1700890","2019","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",190969,182223,8746,"Kane County, Illinois",560,2420,2372
"G1700910","2019","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",45753,39583,6170,"Kankakee County, Illinois",546,1246,1201
"G1700930","2019","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",42901,41364,1537,"Kendall County, Illinois",95,1022,1015
"G1700970","2019","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",265517,247661,17856,"Lake County, Illinois",679,2713,2679
"G1700990","2019","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",50187,45411,4776,"LaSalle County, Illinois",283,1145,1100
"G1701110","2019","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",119181,112669,6512,"McHenry County, Illinois",451,1850,1802
