GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G0600010","2012","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",583618,548274,35344,"Alameda County, California",925,3439,3281
"G0600070","2012","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",96000,85388,10612,"Butte County, California",707,1774,1656
"G0600130","2012","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",401397,380397,21000,"Contra Costa County, California",438,3088,3020
"G0600170","2012","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",88109,65558,22551,"El Dorado County, California",239,2265,2282
"G0600190","2012","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",318451,292280,26171,"Fresno County, California",592,2681,2575
"G0600230","2012","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",61659,52241,9418,"Humboldt County, California",418,1821,1731
"G0600250","2012","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",56117,46747,9370,"Imperial County, California",412,1674,1562
"G0600290","2012","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",285867,255967,29900,"Kern County, California",822,3215,3191
"G0600310","2012","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",44193,40376,3817,"Kings County, California",446,1216,1153
"G0600330","2012","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",35272,26228,9044,"Lake County, California",261,1561,1544
"G0600370","2012","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3444644,3231660,212984,"Los Angeles County, California",1999,7188,7189
"G0600390","2012","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",49422,41035,8387,"Madera County, California",382,1666,1648
"G0600410","2012","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",111083,102427,8656,"Marin County, California",517,1729,1638
"G0600450","2012","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",40336,35203,5133,"Mendocino County, California",220,1046,1070
"G0600470","2012","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",83571,76451,7120,"Merced County, California",1069,1882,1340
"G0600530","2012","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",138871,124171,14700,"Monterey County, California",517,1866,1847
"G0600550","2012","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",54736,48224,6512,"Napa County, California",595,1493,1394
"G0600570","2012","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",52623,41632,10991,"Nevada County, California",327,1877,1832
"G0600590","2012","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1052535,995368,57167,"Orange County, California",959,4462,4389
"G0600610","2012","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",154382,133093,21289,"Placer County, California",432,1903,1870
"G0600650","2012","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",805050,685260,119790,"Riverside County, California",953,5695,5608
"G0600670","2012","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",556314,516645,39669,"Sacramento County, California",887,4256,3984
"G0600710","2012","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",700200,600688,99512,"San Bernardino County, California",1009,4919,4888
"G0600730","2012","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1169225,1079653,89572,"San Diego County, California",1389,5725,5419
"G0600750","2012","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",376899,346842,30057,"San Francisco County, California",1449,3718,3407
"G0600770","2012","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",234605,215761,18844,"San Joaquin County, California",581,2366,2279
"G0600790","2012","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",117552,101897,15655,"San Luis Obispo County, California",845,2448,2099
