GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G1201070","2012","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",36992,28230,8762,"Putnam County, Florida",234,1247,1254
"G1201090","2012","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",92356,78295,14061,"St. Johns County, Florida",532,2817,2647
"G1201110","2012","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",137097,109526,27571,"St. Lucie County, Florida",281,3272,3233
"G1201130","2012","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",65809,58336,7473,"Santa Rosa County, Florida",470,1838,1852
"G1201150","2012","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",228884,172973,55911,"Sarasota County, Florida",558,4382,4318
"G1201170","2012","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",182926,148858,34068,"Seminole County, Florida",368,3370,3419
"G1201190","2012","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",58035,45122,12913,"Sumter County, Florida",1312,2707,2590
"G1201270","2012","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",254784,197599,57185,"Volusia County, Florida",1163,3845,3863
"G1300130","2012","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",26450,24234,2216,"Barrow County, Georgia",118,898,894
"G1300150","2012","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",39825,36079,3746,"Bartow County, Georgia",363,1280,1247
"G1300210","2012","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",69874,56034,13840,"Bibb County, Georgia",480,1998,1997
"G1300310","2012","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",29353,26718,2635,"Bulloch County, Georgia",819,1171,842
"G1300450","2012","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",44654,39890,4764,"Carroll County, Georgia",382,1519,1415
"G1300470","2012","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",26679,22741,3938,"Catoosa County, Georgia",178,1249,1208
"G1300510","2012","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",120965,104634,16331,"Chatham County, Georgia",792,2531,2301
"G1300570","2012","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",83136,75774,7362,"Cherokee County, Georgia",210,1932,1947
"G1300590","2012","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",51128,40788,10340,"Clarke County, Georgia",691,1820,1739
"G1300630","2012","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",104583,86800,17783,"Clayton County, Georgia",476,2469,2348
"G1300670","2012","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",288506,265001,23505,"Cobb County, Georgia",1259,3422,3124
"G1300730","2012","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",51167,44096,7071,"Columbia County, Georgia",124,1925,1924
"G1300770","2012","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",50785,47878,2907,"Coweta County, Georgia",210,1133,1109
"G1300890","2012","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",305041,261147,43894,"DeKalb County, Georgia",770,3465,3345
"G1300950","2012","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40714,35636,5078,"Dougherty County, Georgia",434,1412,1292
"G1300970","2012","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",51636,45541,6095,"Douglas County, Georgia",283,1787,1734
"G1301130","2012","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",40856,37101,3755,"Fayette County, Georgia",240,1268,1246
"G1301150","2012","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40485,34373,6112,"Floyd County, Georgia",355,1224,1192
"G1301170","2012","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",66268,58456,7812,"Forsyth County, Georgia",194,1660,1681
"G1301210","2012","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",438708,374091,64617,"Fulton County, Georgia",1143,4722,4526
"G1301270","2012","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",41141,31621,9520,"Glynn County, Georgia",536,1950,1998
"G1301350","2012","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",293198,270550,22648,"Gwinnett County, Georgia",260,3154,3159
"G1301390","2012","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",68919,60500,8419,"Hall County, Georgia",228,1629,1610
"G1301510","2012","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",76850,69114,7736,"Henry County, Georgia",348,1998,1962
"G1301530","2012","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",59469,52832,6637,"Houston County, Georgia",281,1332,1353
"G1301790","2012","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",26954,22518,4436,"Liberty County, Georgia",167,1185,1153
"G1301850","2012","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",45185,40155,5030,"Lowndes County, Georgia",259,1315,1300
"G1302150","2012","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",83060,71719,11341,"Muscogee County, Georgia",807,2110,1901
"G1302170","2012","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",38307,34195,4112,"Newton County, Georgia",311,1335,1309
"G1302230","2012","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",52456,47476,4980,"Paulding County, Georgia",200,1506,1472
"G1302450","2012","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",86605,73031,13574,"Richmond County, Georgia",484,2135,2088
"G1302470","2012","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",33254,29427,3827,"Rockdale County, Georgia",211,1280,1292
"G1302850","2012","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28204,24539,3665,"Troup County, Georgia",348,1250,1167
"G1302950","2012","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",30054,25781,4273,"Walker County, Georgia",319,1252,1270
"G1302970","2012","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",32381,29455,2926,"Walton County, Georgia",232,1254,1212
"G1303130","2012","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",39783,33891,5892,"Whitfield County, Georgia",263,1326,1346
"G1500010","2012","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",83969,64925,19044,"Hawaii County, Hawaii",296,2319,2283
"G1500030","2012","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",339422,308072,31350,"Honolulu County, Hawaii",429,2917,2843
"G1500070","2012","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",30129,22569,7560,"Kauai County, Hawaii",171,1084,1070
"G1500090","2012","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",70763,52120,18643,"Maui County, Hawaii",381,1977,1902
"G1600010","2012","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",161876,154725,7151,"Ada County, Idaho",574,2004,1924
"G1600050","2012","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",33235,30593,2642,"Bannock County, Idaho",430,837,750
"G1600190","2012","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",40107,36076,4031,"Bonneville County, Idaho",286,972,966
"G1600270","2012","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",69781,63789,5992,"Canyon County, Idaho",497,1433,1474
"G1600550","2012","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",64288,55848,8440,"Kootenai County, Idaho",292,1822,1816
"G1600830","2012","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",31303,27749,3554,"Twin Falls County, Idaho",340,1213,1150
"G1700010","2012","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",29920,26675,3245,"Adams County, Illinois",223,907,854
"G1700190","2012","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",88240,80050,8190,"Champaign County, Illinois",1253,1930,1446
"G1700310","2012","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2174376,1936001,238375,"Cook County, Illinois",1374,8686,8572
"G1700370","2012","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",41020,38193,2827,"DeKalb County, Illinois",769,1206,991
"G1700430","2012","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",356235,333950,22285,"DuPage County, Illinois",504,2707,2621
"G1700890","2012","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",182306,170806,11500,"Kane County, Illinois",538,2734,2695
"G1700910","2012","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",45152,41267,3885,"Kankakee County, Illinois",487,1131,1046
"G1700930","2012","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",40666,39512,1154,"Kendall County, Illinois",78,781,772
"G1700970","2012","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",260684,241819,18865,"Lake County, Illinois",486,2183,2100
"G1700990","2012","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",49883,44793,5090,"LaSalle County, Illinois",216,1029,998
"G1701110","2012","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",116373,108969,7404,"McHenry County, Illinois",242,1604,1584
"G1701130","2012","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",70476,65744,4732,"McLean County, Illinois",464,1082,992
"G1701150","2012","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",50403,46336,4067,"Macon County, Illinois",530,989,896
"G1701190","2012","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",117568,107488,10080,"Madison County, Illinois",467,1583,1539
"G1701430","2012","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",83292,76268,7024,"Peoria County, Illinois",501,1459,1245
"G1701610","2012","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",65710,61513,4197,"Rock Island County, Illinois",582,1203,1028
"G1701630","2012","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",117515,100031,17484,"St. Clair County, Illinois",308,2217,2238
"G1701670","2012","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",90244,82223,8021,"Sangamon County, Illinois",364,1547,1605
"G1701790","2012","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",57653,54359,3294,"Tazewell County, Illinois",297,1163,1197
"G1701830","2012","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",36152,31714,4438,"Vermilion County, Illinois",268,1024,972
"G1701970","2012","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",238043,220938,17105,"Will County, Illinois",361,2472,2463
"G1701990","2012","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",30573,26863,3710,"Williamson County, Illinois",283,1017,977
"G1702010","2012","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",125766,112942,12824,"Winnebago County, Illinois",290,1548,1544
"G1800030","2012","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",152964,138507,14457,"Allen County, Indiana",390,2030,2054
"G1800050","2012","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",33239,29640,3599,"Bartholomew County, Indiana",193,1065,1036
"G1800190","2012","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",48151,42802,5349,"Clark County, Indiana",395,1594,1466
"G1800350","2012","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",52175,46572,5603,"Delaware County, Indiana",705,1323,1130
"G1800390","2012","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",77735,70857,6878,"Elkhart County, Indiana",415,1522,1527
"G1800430","2012","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",32082,29144,2938,"Floyd County, Indiana",202,845,821
"G1800530","2012","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",30340,26803,3537,"Grant County, Indiana",608,1197,1004
"G1800570","2012","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",110816,105029,5787,"Hamilton County, Indiana",259,1823,1882
"G1800590","2012","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",28433,25526,2907,"Hancock County, Indiana",165,1152,1148
"G1800630","2012","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",56820,52547,4273,"Hendricks County, Indiana",226,1490,1493
"G1800670","2012","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",38523,33901,4622,"Howard County, Indiana",312,1372,1235
"G1800810","2012","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",57617,52658,4959,"Johnson County, Indiana",255,1378,1336
"G1800850","2012","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",37242,29592,7650,"Kosciusko County, Indiana",256,1294,1298
"G1800890","2012","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",209219,177540,31679,"Lake County, Indiana",408,2859,2815
"G1800910","2012","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",48552,43468,5084,"LaPorte County, Indiana",595,1337,1090
"G1800950","2012","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",58864,49124,9740,"Madison County, Indiana",413,1413,1377
"G1800970","2012","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",418629,363157,55472,"Marion County, Indiana",905,3858,3850
"G1801050","2012","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",59381,53974,5407,"Monroe County, Indiana",881,1419,1110
"G1801090","2012","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",27806,26442,1364,"Morgan County, Indiana",223,559,555
"G1801270","2012","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",66427,61661,4766,"Porter County, Indiana",433,1451,1385
"G1801410","2012","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",114966,101613,13353,"St. Joseph County, Indiana",503,1918,1953
"G1801570","2012","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",72506,67977,4529,"Tippecanoe County, Indiana",792,1659,1505
"G1801630","2012","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",83097,74334,8763,"Vanderburgh County, Indiana",604,1721,1656
"G1801670","2012","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",46231,40277,5954,"Vigo County, Indiana",560,1408,1276
"G1801770","2012","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",31219,27849,3370,"Wayne County, Indiana",401,956,909
"G1900130","2012","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",56259,51942,4317,"Black Hawk County, Iowa",635,1093,1002
"G1900490","2012","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",28381,27428,953,"Dallas County, Iowa",85,469,464
"G1900610","2012","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",39773,37726,2047,"Dubuque County, Iowa",416,964,854
"G1901030","2012","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",57105,55354,1751,"Johnson County, Iowa",939,1320,954
"G1901130","2012","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",93309,84305,9004,"Linn County, Iowa",459,1897,1878
"G1901530","2012","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",185879,174383,11496,"Polk County, Iowa",581,2112,2117
"G1901550","2012","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",39421,36552,2869,"Pottawattamie County, Iowa",382,930,925
"G1901630","2012","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",72481,67107,5374,"Scott County, Iowa",390,1303,1244
"G1901690","2012","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",37250,35541,1709,"Story County, Iowa",557,902,660
"G1901930","2012","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",41397,37548,3849,"Woodbury County, Iowa",321,1039,971
"G2000150","2012","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",26229,24511,1718,"Butler County, Kansas",313,709,663
"G2000450","2012","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",47371,43992,3379,"Douglas County, Kansas",557,1270,1103
"G2000910","2012","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",228626,219044,9582,"Johnson County, Kansas",490,2059,2063
"G2001030","2012","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",28852,26884,1968,"Leavenworth County, Kansas",584,982,779
"G2001610","2012","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",29158,26568,2590,"Riley County, Kansas",658,1183,880
"G2001730","2012","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",212726,192294,20432,"Sedgwick County, Kansas",574,2583,2615
"G2001770","2012","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",79280,71099,8181,"Shawnee County, Kansas",508,1494,1469
"G2002090","2012","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",66647,58573,8074,"Wyandotte County, Kansas",263,1530,1477
"G2100150","2012","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",47022,44619,2403,"Boone County, Kentucky",299,1112,1091
"G2100290","2012","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",29983,27657,2326,"Bullitt County, Kentucky",203,898,871
"G2100370","2012","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",39657,36005,3652,"Campbell County, Kentucky",468,975,811
"G2100470","2012","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",29595,25943,3652,"Christian County, Kentucky",440,1081,984
"G2100590","2012","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",41910,39251,2659,"Daviess County, Kentucky",288,971,954
"G2100670","2012","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",136447,122920,13527,"Fayette County, Kentucky",883,2069,1950
"G2100930","2012","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",45037,39116,5921,"Hardin County, Kentucky",389,1503,1517
"G2101110","2012","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",338125,307870,30255,"Jefferson County, Kentucky",840,3374,3368
"G2101170","2012","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",69216,62202,7014,"Kenton County, Kentucky",386,1468,1360
"G2101450","2012","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",31237,27718,3519,"McCracken County, Kentucky",352,1026,1041
"G2101510","2012","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",35448,30794,4654,"Madison County, Kentucky",465,1326,1199
"G2101950","2012","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",30323,25716,4607,"Pike County, Kentucky",261,1065,1017
"G2102270","2012","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",48496,45890,2606,"Warren County, Kentucky",701,1167,832
"G2200050","2012","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",42375,39794,2581,"Ascension Parish, Louisiana",317,871,868
"G2200150","2012","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",51565,46685,4880,"Bossier Parish, Louisiana",310,1375,1344
"G2200170","2012","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",112330,96648,15682,"Caddo Parish, Louisiana",376,2111,2076
"G2200190","2012","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",84199,74708,9491,"Calcasieu Parish, Louisiana",427,1751,1659
"G2200330","2012","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",189293,167731,21562,"East Baton Rouge Parish, Louisiana",636,3344,3366
"G2200450","2012","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",29911,26359,3552,"Iberia Parish, Louisiana",306,1185,1153
"G2200510","2012","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",189030,166492,22538,"Jefferson Parish, Louisiana",411,2246,2243
"G2200550","2012","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",95062,88097,6965,"Lafayette Parish, Louisiana",586,1632,1488
"G2200570","2012","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",39082,35392,3690,"Lafourche Parish, Louisiana",346,976,938
"G2200630","2012","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",52084,47228,4856,"Livingston Parish, Louisiana",233,1302,1248
"G2200710","2012","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",191251,151735,39516,"Orleans Parish, Louisiana",799,2526,2389
