GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G0900010","2017","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",373039,336433,36606,"Fairfield County, Connecticut",718,3586,3644
"G0900030","2017","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",379764,347565,32199,"Hartford County, Connecticut",896,3228,2986
"G0900050","2017","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",88289,73709,14580,"Litchfield County, Connecticut",322,1790,1755
"G0900070","2017","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",76332,67227,9105,"Middlesex County, Connecticut",492,1912,1907
"G0900090","2017","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",367217,324837,42380,"New Haven County, Connecticut",873,3662,3453
"G0900110","2017","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",123404,107229,16175,"New London County, Connecticut",500,2683,2682
"G0900130","2017","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",59714,55939,3775,"Tolland County, Connecticut",706,1391,1237
"G0900150","2017","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",49736,43823,5913,"Windham County, Connecticut",621,1624,1384
"G1000010","2017","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",71619,63807,7812,"Kent County, Delaware",369,1705,1606
"G1000030","2017","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",223225,206101,17124,"New Castle County, Delaware",431,2034,2080
"G1000050","2017","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",138009,88029,49980,"Sussex County, Delaware",246,2693,2645
"G1100010","2017","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",314843,281475,33368,"District of Columbia, District of Columbia",99,3302,3311
