GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G1201090","2017","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",106548,87096,19452,"St. Johns County, Florida",352,2888,2834
"G1201110","2017","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",141040,114043,26997,"St. Lucie County, Florida",348,3131,3073
"G1201130","2017","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",71608,62216,9392,"Santa Rosa County, Florida",428,2354,2324
"G1201150","2017","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",240089,184614,55475,"Sarasota County, Florida",656,4152,4169
"G1201170","2017","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",190325,176017,14308,"Seminole County, Florida",624,2709,2670
"G1201190","2017","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",70572,55097,15475,"Sumter County, Florida",704,2776,2654
"G1201270","2017","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",260511,217632,42879,"Volusia County, Florida",1307,3372,3300
"G1201310","2017","FL",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,"05000US12131","Walton County, Florida",52171,29463,22708,"Walton County, Florida",239,2421,2462
"G1300130","2017","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",28270,26893,1377,"Barrow County, Georgia",102,625,627
"G1300150","2017","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",41049,38765,2284,"Bartow County, Georgia",479,1030,1045
"G1300210","2017","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",70123,56272,13851,"Bibb County, Georgia",378,1770,1705
"G1300310","2017","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",31072,27802,3270,"Bulloch County, Georgia",958,1615,1165
"G1300450","2017","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",45355,42897,2458,"Carroll County, Georgia",492,1114,1091
"G1300470","2017","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",27408,25153,2255,"Catoosa County, Georgia",191,967,951
"G1300510","2017","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",125100,107754,17346,"Chatham County, Georgia",776,2203,2083
"G1300570","2017","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",92065,89510,2555,"Cherokee County, Georgia",307,1418,1420
"G1300590","2017","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",52883,48257,4626,"Clarke County, Georgia",925,1617,1283
"G1300630","2017","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",105623,94199,11424,"Clayton County, Georgia",602,2084,2010
"G1300670","2017","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",300570,277609,22961,"Cobb County, Georgia",591,3623,3588
"G1300730","2017","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",57472,43990,13482,"Columbia County, Georgia",91,2227,2234
"G1300770","2017","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",54624,52796,1828,"Coweta County, Georgia",259,998,960
"G1300890","2017","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",311279,278249,33030,"DeKalb County, Georgia",686,3395,3196
"G1300950","2017","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40700,34179,6521,"Dougherty County, Georgia",578,1340,1284
"G1300970","2017","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",52702,49962,2740,"Douglas County, Georgia",446,1073,1057
"G1301130","2017","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",42503,40484,2019,"Fayette County, Georgia",234,851,875
"G1301150","2017","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40591,36927,3664,"Floyd County, Georgia",488,1233,1251
"G1301170","2017","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",81256,78299,2957,"Forsyth County, Georgia",175,925,902
"G1301210","2017","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",473206,410408,62798,"Fulton County, Georgia",1129,5779,5606
"G1301270","2017","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",43043,34380,8663,"Glynn County, Georgia",490,1833,1685
"G1301350","2017","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",309255,292679,16576,"Gwinnett County, Georgia",572,3132,3029
"G1301390","2017","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",73090,62164,10926,"Hall County, Georgia",144,1853,1865
"G1301510","2017","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",81355,77170,4185,"Henry County, Georgia",218,1577,1604
"G1301530","2017","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",62911,56860,6051,"Houston County, Georgia",297,2116,2091
"G1301570","2017","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",25348,23785,1563,"Jackson County, Georgia",198,852,847
"G1301850","2017","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",47568,41585,5983,"Lowndes County, Georgia",267,1515,1462
"G1302150","2017","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",84742,70306,14436,"Muscogee County, Georgia",761,1831,1773
"G1302170","2017","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",39137,37519,1618,"Newton County, Georgia",374,850,828
"G1302230","2017","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",56450,52707,3743,"Paulding County, Georgia",228,1442,1441
"G1302450","2017","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",88641,71411,17230,"Richmond County, Georgia",603,2564,2549
"G1302470","2017","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",33627,29849,3778,"Rockdale County, Georgia",244,1103,1105
"G1302550","2017","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",27410,25151,2259,"Spalding County, Georgia",305,997,907
"G1302850","2017","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28534,24716,3818,"Troup County, Georgia",359,1176,1150
"G1302950","2017","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",30372,26270,4102,"Walker County, Georgia",340,1292,1263
"G1302970","2017","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",33739,31114,2625,"Walton County, Georgia",256,1089,1043
"G1303130","2017","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",39956,35824,4132,"Whitfield County, Georgia",422,1363,1321
"G1500010","2017","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",88107,68857,19250,"Hawaii County, Hawaii",285,2122,2096
"G1500030","2017","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",350819,312625,38194,"Honolulu County, Hawaii",425,3402,3418
"G1500070","2017","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",30952,22980,7972,"Kauai County, Hawaii",126,1082,1055
"G1500090","2017","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",72984,53560,19424,"Maui County, Hawaii",303,1854,1838
"G1600010","2017","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",180734,171009,9725,"Ada County, Idaho",844,2623,2309
"G1600050","2017","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",34225,31384,2841,"Bannock County, Idaho",426,910,924
"G1600190","2017","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",42804,41118,1686,"Bonneville County, Idaho",338,725,689
"G1600270","2017","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",76122,72684,3438,"Canyon County, Idaho",411,1211,1127
"G1600550","2017","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",70758,60383,10375,"Kootenai County, Idaho",296,1911,1898
"G1600830","2017","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",33259,30845,2414,"Twin Falls County, Idaho",289,1022,998
"G1700010","2017","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",30229,27160,3069,"Adams County, Illinois",254,805,796
"G1700190","2017","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",92736,83080,9656,"Champaign County, Illinois",1221,2094,1719
"G1700310","2017","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2193202,1948373,244829,"Cook County, Illinois",1864,8743,8336
"G1700370","2017","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",41205,38324,2881,"DeKalb County, Illinois",378,1032,1001
"G1700430","2017","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",360199,341845,18354,"DuPage County, Illinois",624,2595,2503
"G1700890","2017","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",187801,180787,7014,"Kane County, Illinois",548,2077,1986
"G1700910","2017","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",45495,39628,5867,"Kankakee County, Illinois",461,1191,1117
"G1700930","2017","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",41926,40930,996,"Kendall County, Illinois",122,889,883
"G1700970","2017","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",263790,247720,16070,"Lake County, Illinois",523,2414,2279
"G1700990","2017","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",50134,44625,5509,"LaSalle County, Illinois",298,1200,1171
"G1701110","2017","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",118501,112193,6308,"McHenry County, Illinois",332,1712,1701
"G1701130","2017","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",72378,65146,7232,"McLean County, Illinois",437,1738,1617
"G1701150","2017","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",50433,42977,7456,"Macon County, Illinois",440,1505,1455
"G1701190","2017","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",119352,107212,12140,"Madison County, Illinois",605,1923,1964
"G1701430","2017","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",83739,71371,12368,"Peoria County, Illinois",544,1961,1905
"G1701610","2017","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",66179,60438,5741,"Rock Island County, Illinois",589,1471,1274
"G1701630","2017","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",120210,102793,17417,"St. Clair County, Illinois",446,2202,2211
"G1701670","2017","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",91745,84583,7162,"Sangamon County, Illinois",460,1744,1673
"G1701790","2017","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",59002,54253,4749,"Tazewell County, Illinois",300,1483,1432
"G1701830","2017","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",36084,30241,5843,"Vermilion County, Illinois",406,1213,1091
"G1701970","2017","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",243986,228366,15620,"Will County, Illinois",417,2621,2550
"G1701990","2017","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",31276,26845,4431,"Williamson County, Illinois",321,1315,1316
"G1702010","2017","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",125730,113789,11941,"Winnebago County, Illinois",679,2013,1873
"G1800030","2017","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",157976,143105,14871,"Allen County, Indiana",617,2368,2316
"G1800050","2017","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",34350,31498,2852,"Bartholomew County, Indiana",195,1173,1122
"G1800110","2017","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",27046,25699,1347,"Boone County, Indiana",182,744,749
"G1800190","2017","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",50578,44957,5621,"Clark County, Indiana",441,1396,1392
"G1800350","2017","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",52728,46588,6140,"Delaware County, Indiana",553,1453,1345
"G1800390","2017","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",79000,73363,5637,"Elkhart County, Indiana",372,1396,1477
"G1800430","2017","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",32838,28614,4224,"Floyd County, Indiana",281,1058,994
"G1800530","2017","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",30473,25878,4595,"Grant County, Indiana",436,1360,1255
"G1800570","2017","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",126621,118666,7955,"Hamilton County, Indiana",320,2268,2264
"G1800590","2017","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",30102,29239,863,"Hancock County, Indiana",126,511,521
"G1800630","2017","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",61743,58285,3458,"Hendricks County, Indiana",358,1380,1284
"G1800670","2017","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",39521,34243,5278,"Howard County, Indiana",258,1399,1353
"G1800810","2017","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",60756,58648,2108,"Johnson County, Indiana",223,1070,1067
"G1800850","2017","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",38489,30000,8489,"Kosciusko County, Indiana",257,1395,1405
"G1800890","2017","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",212708,184206,28502,"Lake County, Indiana",667,2966,2848
"G1800910","2017","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",49126,42385,6741,"LaPorte County, Indiana",554,1508,1490
"G1800950","2017","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",59041,50751,8290,"Madison County, Indiana",429,1478,1428
"G1800970","2017","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",423414,369122,54292,"Marion County, Indiana",647,3641,3628
"G1801050","2017","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",61550,57047,4503,"Monroe County, Indiana",784,1605,1331
"G1801090","2017","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",28340,26441,1899,"Morgan County, Indiana",259,737,748
"G1801270","2017","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",68787,64722,4065,"Porter County, Indiana",459,1325,1246
"G1801410","2017","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",116475,98705,17770,"St. Joseph County, Indiana",481,2519,2389
"G1801570","2017","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",75907,69502,6405,"Tippecanoe County, Indiana",738,1763,1578
"G1801630","2017","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",84328,77174,7154,"Vanderburgh County, Indiana",568,1582,1396
"G1801670","2017","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",47357,41933,5424,"Vigo County, Indiana",628,1490,1354
"G1801770","2017","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",31391,26521,4870,"Wayne County, Indiana",308,1088,1040
"G1900130","2017","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",57864,52928,4936,"Black Hawk County, Iowa",393,1125,1061
"G1900490","2017","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",36847,34197,2650,"Dallas County, Iowa",88,1149,1172
"G1900610","2017","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",41331,37785,3546,"Dubuque County, Iowa",344,966,931
"G1901030","2017","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",63867,59190,4677,"Johnson County, Iowa",751,1546,1233
"G1901130","2017","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",97260,89183,8077,"Linn County, Iowa",433,1953,1883
"G1901530","2017","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",200638,186777,13861,"Polk County, Iowa",457,2360,2325
"G1901550","2017","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",39963,36662,3301,"Pottawattamie County, Iowa",411,991,945
"G1901630","2017","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",74196,64251,9945,"Scott County, Iowa",401,1693,1664
"G1901690","2017","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",39931,37689,2242,"Story County, Iowa",589,1211,1070
"G1901930","2017","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",42337,39020,3317,"Woodbury County, Iowa",268,1213,1181
"G2000150","2017","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",26912,24385,2527,"Butler County, Kansas",362,919,862
"G2000450","2017","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",50841,47643,3198,"Douglas County, Kansas",507,1418,1375
"G2000910","2017","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",241416,229030,12386,"Johnson County, Kansas",473,2177,2127
"G2001030","2017","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",29790,27350,2440,"Leavenworth County, Kansas",550,1077,891
"G2001610","2017","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",31217,27067,4150,"Riley County, Kansas",656,1389,1336
"G2001730","2017","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",218980,196053,22927,"Sedgwick County, Kansas",422,2870,2821
"G2001770","2017","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",80088,73724,6364,"Shawnee County, Kansas",547,1633,1495
"G2002090","2017","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",68103,60737,7366,"Wyandotte County, Kansas",241,1377,1380
"G2100150","2017","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",49455,46388,3067,"Boone County, Kentucky",339,1225,1156
"G2100290","2017","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",31513,29715,1798,"Bullitt County, Kentucky",182,725,744
"G2100370","2017","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",40392,35740,4652,"Campbell County, Kentucky",607,1488,1275
"G2100470","2017","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",29963,25584,4379,"Christian County, Kentucky",461,1236,1025
"G2100590","2017","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",43212,40920,2292,"Daviess County, Kentucky",370,960,908
"G2100670","2017","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",141630,129140,12490,"Fayette County, Kentucky",901,2283,2056
"G2100930","2017","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",46698,42911,3787,"Hardin County, Kentucky",434,1212,1125
"G2101110","2017","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",344854,312747,32107,"Jefferson County, Kentucky",1206,3307,3015
"G2101170","2017","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",69742,63679,6063,"Kenton County, Kentucky",311,1401,1411
"G2101450","2017","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",32207,26803,5404,"McCracken County, Kentucky",341,1272,1257
"G2101510","2017","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",36801,33104,3697,"Madison County, Kentucky",405,1048,1044
"G2101850","2017","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",22013,20840,1173,"Oldham County, Kentucky",348,637,566
"G2102270","2017","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",52808,47996,4812,"Warren County, Kentucky",582,1815,1570
"G2200050","2017","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",47533,44319,3214,"Ascension Parish, Louisiana",383,1239,1193
"G2200150","2017","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",57092,49615,7477,"Bossier Parish, Louisiana",275,1917,1902
"G2200170","2017","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",113298,95793,17505,"Caddo Parish, Louisiana",422,2440,2488
"G2200190","2017","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",90198,78305,11893,"Calcasieu Parish, Louisiana",477,2270,2264
"G2200330","2017","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",194380,162627,31753,"East Baton Rouge Parish, Louisiana",433,3066,3073
"G2200450","2017","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",30679,26345,4334,"Iberia Parish, Louisiana",286,1063,1051
"G2200510","2017","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",188645,168031,20614,"Jefferson Parish, Louisiana",332,2032,1982
"G2200550","2017","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",102771,89465,13306,"Lafayette Parish, Louisiana",546,2670,2597
"G2200570","2017","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",41298,36420,4878,"Lafourche Parish, Louisiana",286,1175,1132
