GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADAVE001,ADAVE002,ADAVE003,NAME_M,ADAVM001,ADAVM002,ADAVM003
"G1201130","2015","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",68580,60861,7719,"Santa Rosa County, Florida",425,1910,1833
"G1201150","2015","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",232612,177807,54805,"Sarasota County, Florida",650,3612,3497
"G1201170","2015","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",186622,162739,23883,"Seminole County, Florida",581,2735,2737
"G1201190","2015","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",66838,51170,15668,"Sumter County, Florida",1330,3126,2829
"G1201270","2015","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",256967,209657,47310,"Volusia County, Florida",519,3139,3101
"G1300130","2015","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",27230,24100,3130,"Barrow County, Georgia",112,1060,1013
"G1300150","2015","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",39948,37016,2932,"Bartow County, Georgia",212,1119,1076
"G1300210","2015","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",70258,59795,10463,"Bibb County, Georgia",461,1428,1303
"G1300310","2015","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",30200,26495,3705,"Bulloch County, Georgia",773,1394,1113
"G1300450","2015","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",44738,41251,3487,"Carroll County, Georgia",445,1303,1152
"G1300470","2015","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",26883,24900,1983,"Catoosa County, Georgia",201,742,781
"G1300510","2015","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",123677,108249,15428,"Chatham County, Georgia",745,2559,2390
"G1300570","2015","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",87483,82664,4819,"Cherokee County, Georgia",444,1576,1554
"G1300590","2015","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",52228,46556,5672,"Clarke County, Georgia",634,1439,1248
"G1300630","2015","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",104731,90373,14358,"Clayton County, Georgia",497,2455,2396
"G1300670","2015","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",295632,274468,21164,"Cobb County, Georgia",680,2387,2242
"G1300730","2015","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",54563,46821,7742,"Columbia County, Georgia",111,1840,1837
"G1300770","2015","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",52660,50353,2307,"Coweta County, Georgia",213,1067,1048
"G1300890","2015","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",308133,276631,31502,"DeKalb County, Georgia",668,3434,3323
"G1300950","2015","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",40698,35226,5472,"Dougherty County, Georgia",572,1316,1123
"G1300970","2015","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",52019,48493,3526,"Douglas County, Georgia",311,1326,1237
"G1301130","2015","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",41626,39707,1919,"Fayette County, Georgia",219,900,870
"G1301150","2015","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",40413,34931,5482,"Floyd County, Georgia",461,1462,1393
"G1301170","2015","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",74086,70033,4053,"Forsyth County, Georgia",191,1252,1234
"G1301210","2015","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",456018,392794,63224,"Fulton County, Georgia",1293,4407,4309
"G1301270","2015","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",42062,34518,7544,"Glynn County, Georgia",333,1265,1254
"G1301350","2015","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",301822,284631,17191,"Gwinnett County, Georgia",350,2842,2789
"G1301390","2015","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",70098,63989,6109,"Hall County, Georgia",191,1346,1332
"G1301510","2015","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",78484,71681,6803,"Henry County, Georgia",349,2077,2056
"G1301530","2015","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",61014,56042,4972,"Houston County, Georgia",199,1345,1342
"G1301790","2015","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",27372,22282,5090,"Liberty County, Georgia",198,1105,1048
"G1301850","2015","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",45939,37760,8179,"Lowndes County, Georgia",251,1668,1647
"G1302150","2015","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",84283,73961,10322,"Muscogee County, Georgia",809,1704,1548
"G1302170","2015","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",38470,35397,3073,"Newton County, Georgia",292,1129,1076
"G1302230","2015","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",53939,50671,3268,"Paulding County, Georgia",208,1399,1352
"G1302450","2015","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",87612,71156,16456,"Richmond County, Georgia",584,2423,2307
"G1302470","2015","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",33369,31231,2138,"Rockdale County, Georgia",261,1007,960
"G1302850","2015","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",28319,25092,3227,"Troup County, Georgia",396,995,885
"G1302950","2015","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",30094,24966,5128,"Walker County, Georgia",329,1202,1156
"G1302970","2015","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",32741,30369,2372,"Walton County, Georgia",243,1015,999
"G1303130","2015","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",39640,34544,5096,"Whitfield County, Georgia",290,1359,1327
"G1500010","2015","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",86023,64201,21822,"Hawaii County, Hawaii",418,2195,2123
"G1500030","2015","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",344075,307703,36372,"Honolulu County, Hawaii",568,3156,3144
"G1500070","2015","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",30476,21862,8614,"Kauai County, Hawaii",153,1023,980
"G1500090","2015","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",71712,52080,19632,"Maui County, Hawaii",354,2105,2069
"G1600010","2015","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",170856,163585,7271,"Ada County, Idaho",488,1808,1711
"G1600050","2015","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",33456,30174,3282,"Bannock County, Idaho",397,842,780
"G1600190","2015","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",41028,36702,4326,"Bonneville County, Idaho",396,1167,1046
"G1600270","2015","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",72286,68220,4066,"Canyon County, Idaho",337,1393,1316
"G1600550","2015","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",67022,58675,8347,"Kootenai County, Idaho",401,1631,1519
"G1600830","2015","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",32041,30177,1864,"Twin Falls County, Idaho",272,846,790
"G1700010","2015","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",29992,26743,3249,"Adams County, Illinois",312,804,718
"G1700190","2015","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",90482,79673,10809,"Champaign County, Illinois",1014,2240,1924
"G1700310","2015","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",2178368,1954712,223656,"Cook County, Illinois",1469,8436,8402
"G1700370","2015","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",40973,36946,4027,"DeKalb County, Illinois",531,1220,1124
"G1700430","2015","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",358143,338852,19291,"DuPage County, Illinois",660,2553,2383
"G1700890","2015","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",184941,175512,9429,"Kane County, Illinois",494,2200,2103
"G1700910","2015","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",45182,38755,6427,"Kankakee County, Illinois",723,1242,1179
"G1700930","2015","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",41445,38557,2888,"Kendall County, Illinois",117,1302,1330
"G1700970","2015","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",262353,242179,20174,"Lake County, Illinois",786,2739,2538
"G1700990","2015","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",49894,44951,4943,"LaSalle County, Illinois",313,1162,1102
"G1701110","2015","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",117366,111124,6242,"McHenry County, Illinois",267,1567,1551
"G1701130","2015","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",71552,66340,5212,"McLean County, Illinois",389,1333,1288
"G1701150","2015","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",50307,44429,5878,"Macon County, Illinois",449,1372,1289
"G1701190","2015","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",118474,106573,11901,"Madison County, Illinois",1208,2769,2425
"G1701430","2015","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",83568,75317,8251,"Peoria County, Illinois",513,1454,1395
"G1701610","2015","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",65867,60000,5867,"Rock Island County, Illinois",810,1483,1391
"G1701630","2015","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",118842,101743,17099,"St. Clair County, Illinois",510,1957,2006
"G1701670","2015","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",90789,83023,7766,"Sangamon County, Illinois",402,1404,1370
"G1701790","2015","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",58594,53902,4692,"Tazewell County, Illinois",689,1286,1016
"G1701830","2015","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",35941,30927,5014,"Vermilion County, Illinois",334,1106,1030
"G1701970","2015","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",240820,224646,16174,"Will County, Illinois",428,2136,2073
"G1701990","2015","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",30872,25680,5192,"Williamson County, Illinois",760,1324,1216
"G1702010","2015","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",125450,113695,11755,"Winnebago County, Illinois",311,1812,1782
"G1800030","2015","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",155307,142476,12831,"Allen County, Indiana",544,1969,1891
"G1800050","2015","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",33735,31131,2604,"Bartholomew County, Indiana",188,983,976
"G1800190","2015","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",49412,44263,5149,"Clark County, Indiana",452,1454,1410
"G1800350","2015","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",52482,45278,7204,"Delaware County, Indiana",495,1357,1343
"G1800390","2015","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",78023,68498,9525,"Elkhart County, Indiana",489,1832,1836
"G1800430","2015","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",32404,29246,3158,"Floyd County, Indiana",252,861,853
"G1800530","2015","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",30279,25137,5142,"Grant County, Indiana",387,1413,1268
"G1800570","2015","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",119806,113267,6539,"Hamilton County, Indiana",289,1800,1743
"G1800590","2015","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",29199,27593,1606,"Hancock County, Indiana",174,966,957
"G1800630","2015","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",59370,56088,3282,"Hendricks County, Indiana",282,1206,1170
"G1800670","2015","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",38748,34714,4034,"Howard County, Indiana",311,1199,1160
"G1800810","2015","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",59305,54458,4847,"Johnson County, Indiana",266,1506,1497
"G1800850","2015","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",37716,29867,7849,"Kosciusko County, Indiana",272,1382,1354
"G1800890","2015","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",210884,186564,24320,"Lake County, Indiana",475,2143,2127
"G1800910","2015","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",48768,43169,5599,"LaPorte County, Indiana",613,1241,1047
"G1800950","2015","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",58724,51421,7303,"Madison County, Indiana",458,1413,1393
"G1800970","2015","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",419851,365296,54555,"Marion County, Indiana",794,3665,3665
"G1801050","2015","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",60539,54598,5941,"Monroe County, Indiana",842,1849,1680
"G1801090","2015","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",28024,25033,2991,"Morgan County, Indiana",308,1110,1054
"G1801270","2015","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",67392,62424,4968,"Porter County, Indiana",371,1169,1152
"G1801410","2015","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",115777,98835,16942,"St. Joseph County, Indiana",573,2398,2266
"G1801570","2015","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",74803,69857,4946,"Tippecanoe County, Indiana",899,1818,1574
"G1801630","2015","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",83550,73991,9559,"Vanderburgh County, Indiana",420,1686,1643
"G1801670","2015","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",46656,41981,4675,"Vigo County, Indiana",1131,1638,1164
"G1801770","2015","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",31162,24238,6924,"Wayne County, Indiana",288,1497,1445
"G1900130","2015","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",57073,52253,4820,"Black Hawk County, Iowa",558,1192,1069
"G1900490","2015","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",31160,29188,1972,"Dallas County, Iowa",80,753,754
"G1900610","2015","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",40589,37784,2805,"Dubuque County, Iowa",354,981,894
"G1901030","2015","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",59794,55711,4083,"Johnson County, Iowa",717,1448,1270
"G1901130","2015","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",95324,89164,6160,"Linn County, Iowa",410,1774,1699
"G1901530","2015","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",195133,182948,12185,"Polk County, Iowa",463,2350,2409
"G1901550","2015","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",39628,37126,2502,"Pottawattamie County, Iowa",402,813,816
"G1901630","2015","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",73279,68835,4444,"Scott County, Iowa",376,1295,1189
"G1901690","2015","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",38558,37264,1294,"Story County, Iowa",944,1098,552
"G1901930","2015","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",41570,38023,3547,"Woodbury County, Iowa",312,978,924
"G2000150","2015","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",26458,25546,912,"Butler County, Kansas",373,532,401
"G2000450","2015","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",48537,42817,5720,"Douglas County, Kansas",523,1358,1228
"G2000910","2015","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",235549,222277,13272,"Johnson County, Kansas",408,2409,2359
"G2001030","2015","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",29252,27298,1954,"Leavenworth County, Kansas",494,987,842
"G2001610","2015","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",30146,26438,3708,"Riley County, Kansas",683,1234,1094
"G2001730","2015","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",215199,193145,22054,"Sedgwick County, Kansas",381,2542,2575
"G2001770","2015","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",79558,71370,8188,"Shawnee County, Kansas",580,2161,1914
"G2002090","2015","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",67682,59281,8401,"Wyandotte County, Kansas",280,1293,1269
"G2100150","2015","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",48243,45831,2412,"Boone County, Kentucky",352,1200,1159
"G2100290","2015","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",30651,28860,1791,"Bullitt County, Kentucky",186,721,670
"G2100370","2015","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",39950,35682,4268,"Campbell County, Kentucky",625,1320,1088
"G2100470","2015","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",29761,25346,4415,"Christian County, Kentucky",483,1226,1161
"G2100590","2015","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",42790,39395,3395,"Daviess County, Kentucky",421,1130,1080
"G2100670","2015","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",139840,129088,10752,"Fayette County, Kentucky",653,1852,1738
"G2100930","2015","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",46005,41389,4616,"Hardin County, Kentucky",413,1227,1165
"G2101110","2015","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",343243,308588,34655,"Jefferson County, Kentucky",785,3358,3237
"G2101170","2015","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",69706,63060,6646,"Kenton County, Kentucky",487,1684,1634
"G2101450","2015","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",31543,27857,3686,"McCracken County, Kentucky",357,1132,1022
"G2101510","2015","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",36016,32363,3653,"Madison County, Kentucky",456,1252,1129
"G2101950","2015","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",30325,25561,4764,"Pike County, Kentucky",307,1035,982
"G2102270","2015","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",50293,45771,4522,"Warren County, Kentucky",534,1522,1413
"G2200050","2015","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",45021,40610,4411,"Ascension Parish, Louisiana",336,1694,1643
"G2200150","2015","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",55370,48942,6428,"Bossier Parish, Louisiana",305,1545,1539
"G2200170","2015","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",112877,95857,17020,"Caddo Parish, Louisiana",461,2450,2330
"G2200190","2015","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",86928,77182,9746,"Calcasieu Parish, Louisiana",529,2120,1985
"G2200330","2015","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",192441,168609,23832,"East Baton Rouge Parish, Louisiana",622,3222,3117
"G2200450","2015","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",30173,26167,4006,"Iberia Parish, Louisiana",157,1286,1272
"G2200510","2015","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",189190,168889,20301,"Jefferson Parish, Louisiana",499,2433,2432
"G2200550","2015","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",99225,90285,8940,"Lafayette Parish, Louisiana",656,2022,2114
"G2200570","2015","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",40011,36907,3104,"Lafourche Parish, Louisiana",336,1001,979
"G2200630","2015","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",54453,48320,6133,"Livingston Parish, Louisiana",383,1651,1657
"G2200710","2015","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",193041,156591,36450,"Orleans Parish, Louisiana",592,2068,2042
"G2200730","2015","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",66962,56858,10104,"Ouachita Parish, Louisiana",360,1657,1587
"G2200790","2015","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",57323,47411,9912,"Rapides Parish, Louisiana",424,1487,1488
"G2200970","2015","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",36265,30512,5753,"St. Landry Parish, Louisiana",139,1268,1264
