GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G06002553","2015","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",96276,65115,11373,599,5938,0,7949,5302,935,4367,"Arden-Arcade CDP, California",5413,5443,3121,409,1827,201,2543,1411,631,1254
"G06003526","2015","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",373627,263245,31245,3791,29215,783,33263,12085,4764,7321,"Bakersfield city, California",62,7596,3791,1822,3500,625,6514,3062,1869,2266
"G06003666","2015","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",77056,35892,1504,237,14954,0,22904,1565,1446,119,"Baldwin Park city, California",57,5294,1312,231,3505,201,5255,1051,1057,120
"G06004982","2015","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",78434,21887,12191,486,10080,151,31732,1907,651,1256,"Bellflower city, California",46,3047,2851,412,2651,254,4171,918,467,833
"G06006000","2015","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",120971,76218,9122,666,22282,100,4788,7795,1217,6578,"Berkeley city, California",32,3952,2333,395,2755,117,1774,1476,628,1367
"G06008786","2015","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",83264,46459,790,158,23363,1856,8102,2536,925,1611,"Buena Park city, California",39,5158,529,201,4005,2011,3018,1043,622,874
"G06008954","2015","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",105314,75789,2842,525,12866,0,8726,4566,633,3933,"Burbank city, California",30,4341,1318,690,2780,201,2769,1706,551,1680
"G06010046","2015","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",67623,56522,919,28,5247,0,1501,3406,621,2785,"Camarillo city, California",57,2557,802,52,1542,201,845,1418,455,1419
"G06011194","2015","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",113466,96043,513,540,10219,223,2584,3344,501,2843,"Carlsbad city, California",55,3383,460,416,2943,207,1610,1348,520,1261
"G06011390","2015","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",63215,50066,3123,210,1617,268,2021,5910,179,5731,"Carmichael CDP, California",5205,4661,1475,253,798,313,1909,2527,207,2526
"G06011530","2015","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",93296,26187,18859,1579,29489,2389,10763,4030,1472,2558,"Carson city, California",51,4190,3934,1191,4939,1513,3482,1311,745,982
"G06013014","2015","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",90336,75512,1191,879,4554,134,2777,5289,519,4770,"Chico city, California",76,2127,645,756,1775,195,831,1328,456,1209
