GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G12014400","2015","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",129502,87562,25860,146,5359,125,6502,3948,785,3163,"Coral Springs city, Florida",64,5236,4994,155,1807,205,3299,1536,574,1408
"G12016475","2015","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",100894,78456,10313,247,3912,341,5969,1656,323,1333,"Davie town, Florida",56,4436,3478,250,1443,437,2805,725,364,730
"G12016725","2015","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",79769,50932,23792,52,1073,54,1538,2328,227,2101,"Deerfield Beach city, Florida",35,3924,4015,88,618,74,1087,1108,220,1124
"G12017100","2015","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",66261,39939,20422,56,926,297,2969,1652,219,1433,"Delray Beach city, Florida",31,3694,3906,93,591,463,1734,870,357,795
"G12017200","2015","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",88474,72517,10597,0,390,0,1471,3499,1149,2350,"Deltona city, Florida",31,2929,2744,217,287,217,719,1562,791,1467
"G12024000","2015","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",178587,106090,60732,218,3251,97,3898,4301,795,3506,"Fort Lauderdale city, Florida",40,6334,5758,289,1948,179,2070,1855,632,1803
"G12024125","2015","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",74015,48937,16783,0,3216,0,3847,1232,80,1152,"Fort Myers city, Florida",34,4005,2830,217,1857,217,2325,677,134,671
"G12025175","2015","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",130133,83842,29840,466,11202,119,346,4318,457,3861,"Gainesville city, Florida",30,3225,2793,244,1972,64,224,1244,365,1169
"G12030000","2015","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",237082,219076,5100,71,1012,0,10826,997,355,642,"Hialeah city, Florida",49,4038,2220,116,859,217,3310,683,363,569
"G12032000","2015","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",149721,101663,29681,371,3555,108,6863,7480,1098,6382,"Hollywood city, Florida",43,5601,4393,325,1681,167,2830,2379,538,2417
"G12032275","2015","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",66500,46807,16199,0,109,0,1372,2013,584,1429,"Homestead city, Florida",24,4497,3992,217,177,217,881,989,600,786
"G12035000","2015","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",868031,518114,268763,1220,39933,1121,9372,29508,2925,26583,"Jacksonville city, Florida",24,4381,3700,505,2742,217,2813,4194,1489,3779
"G12036100","2015","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",76466,69695,2429,0,3364,0,81,897,471,426,"Kendall CDP, Florida",6628,6624,1119,217,1615,217,136,625,521,311
"G12036950","2015","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",69152,49689,5684,0,2571,0,9320,1888,986,902,"Kissimmee city, Florida",25,4055,2200,217,1585,217,3491,1118,699,857
"G12038250","2015","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",104410,74187,23980,216,2872,0,1476,1679,56,1623,"Lakeland city, Florida",53,4253,3813,199,1449,217,870,886,96,879
"G12039425","2015","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",81007,70728,4406,602,2106,0,289,2876,25,2851,"Largo city, Florida",42,2703,1802,700,1120,217,260,1695,39,1689
"G12039550","2015","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",71574,9297,56591,179,998,0,1609,2900,1409,1491,"Lauderhill city, Florida",34,1911,3577,190,1095,217,1113,2366,1966,1225
"G12039925","2015","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",119480,82392,27683,68,888,0,3852,4597,681,3916,"Lehigh Acres CDP, Florida",8417,7913,4181,84,630,217,1445,1908,627,1832
"G12043975","2015","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",80136,62581,9874,34,4145,0,453,3049,233,2816,"Melbourne city, Florida",42,3335,2909,63,2175,217,378,1664,378,1618
"G12045000","2015","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",440989,331087,83318,216,2631,224,14364,9149,3740,5409,"Miami city, Florida",53,8128,7108,253,1098,370,3390,2666,1775,2043
"G12045025","2015","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",92311,70792,3503,46,2555,0,14027,1388,237,1151,"Miami Beach city, Florida",33,3334,1079,77,1724,217,3284,681,202,655
"G12045060","2015","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,
"G12045975","2015","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",137115,56441,63399,72,10844,0,2817,3542,1255,2287,"Miramar city, Florida",71,7223,7342,121,4954,217,1471,1748,1141,1532
"G12053000","2015","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",270917,172492,63894,929,8734,0,16646,8222,1660,6562,"Orlando city, Florida",74,7558,5520,896,2802,217,4222,1982,1029,1833
"G12054000","2015","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",107895,81888,19093,923,656,0,2581,2754,690,2064,"Palm Bay city, Florida",35,5006,4824,730,586,217,1465,1462,715,1338
"G12054200","2015","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",82121,65209,10183,325,2058,0,2171,2175,296,1879,"Palm Coast city, Florida",2968,2853,1186,311,781,217,1149,1118,270,1085
"G12055775","2015","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",166624,110866,31573,471,11620,27,7825,4242,1223,3019,"Pembroke Pines city, Florida",59,5997,5237,422,3472,51,3666,1767,750,1413
"G12056825","2015","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",76081,9264,55689,253,2032,0,6395,2448,1047,1401,"Pine Hills CDP, Florida",8187,2362,7839,288,1712,217,2618,1387,914,994
"G12057425","2015","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",92555,65097,17927,100,2883,0,4011,2537,408,2129,"Plantation city, Florida",35,4325,4055,166,1263,217,1941,1229,322,1200
"G12057900","2015","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",73943,42780,23569,1187,796,0,2280,3331,1503,1828,"Poinciana CDP, Florida",10458,10246,6578,1420,750,217,1939,2312,1382,1767
"G12058050","2015","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",107771,64605,36879,446,1089,0,1469,3283,306,2977,"Pompano Beach city, Florida",41,5032,5134,457,790,217,1056,1396,211,1360
"G12058715","2015","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",179410,132849,28856,1254,4831,0,6115,5505,1262,4243,"Port St. Lucie city, Florida",32,5265,3990,1097,1315,217,4022,4471,1177,4272
"G12060950","2015","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",89746,58136,14105,152,2241,0,11515,3597,1507,2090,"Riverview CDP, Florida",8065,6355,4153,255,1302,217,4934,1586,1316,812
"G12063000","2015","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",257088,173419,63792,719,9671,128,2528,6831,935,5896,"St. Petersburg city, Florida",42,4606,4186,341,1998,167,1404,1759,838,1560
"G12068350","2015","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",103197,89482,6813,49,1866,78,2374,2535,236,2299,"Spring Hill CDP, Florida",4546,4525,1431,90,606,133,1434,1124,292,1106
"G12069700","2015","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",92706,52759,32714,0,2929,0,1936,2368,280,2088,"Sunrise city, Florida",35,4421,4479,217,1057,217,1022,1074,326,1015
"G12070600","2015","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",189894,108384,65887,204,8354,101,1642,5322,200,5122,"Tallahassee city, Florida",47,3656,3626,236,1198,169,1184,1542,274,1462
"G12071000","2015","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",369028,249668,86460,855,12609,0,8525,10911,2636,8275,"Tampa city, Florida",159,7249,6397,549,2250,217,2274,2211,1369,1774
"G12071625","2015","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",,,,,,,,,,,"The Villages CDP, Florida",,,,,,,,,,
"G12072145","2015","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",78996,62046,7477,537,3154,0,2607,3175,403,2772,"Town 'n' Country CDP, Florida",7048,6353,2828,528,1538,217,2380,1903,372,1839
"G12076582","2015","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",69947,59988,3305,83,3843,38,1657,1033,309,724,"Weston city, Florida",45,2977,1952,117,2104,62,1311,872,380,798
"G12076600","2015","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",106782,59541,38472,0,2986,0,4509,1274,154,1120,"West Palm Beach city, Florida",41,5194,5127,217,1584,217,2086,676,153,649
"G13001052","2015","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",71109,16714,52909,340,461,4,26,655,39,616,"Albany city, Georgia",3247,1723,3201,353,412,7,43,399,67,386
"G13003440","2015","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",122563,77353,33239,58,4998,257,3839,2819,81,2738,"Athens-Clarke County unified government (balance), Georgia",486,1923,824,106,715,416,1758,1026,133,1014
"G13004000","2015","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",463875,189153,240599,1303,20416,463,2547,9394,934,8460,"Atlanta city, Georgia",50,6518,7068,566,2475,605,1194,2026,759,1668
"G13004204","2015","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",196579,74229,110075,469,3770,0,3446,4590,1562,3028,"Augusta-Richmond County consolidated government (balance), Georgia",1604,1939,1726,387,442,214,1443,1552,1189,1078
"G13019000","2015","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",200579,90995,90408,676,4487,665,5598,7750,1017,6733,"Columbus city, Georgia",0,1852,1675,384,816,978,1837,2262,652,2124
"G13042425","2015","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",83339,46676,10477,531,22769,0,639,2247,122,2125,"Johns Creek city, Georgia",31,4001,3689,662,3424,214,594,1195,207,1166
"G13049008","2015","GA",,,"Georgia","13",,,"Macon-Bibb County","49008",,,,,,,,,,,,,,,,"16000US1349008","Macon-Bibb County, Georgia",153459,63165,84206,195,2898,0,1647,1348,205,1143,"Macon-Bibb County, Georgia",227,872,946,187,258,214,1045,699,214,649
"G13067284","2015","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",94496,67622,14020,462,6440,0,3654,2298,0,2298,"Roswell city, Georgia",31,4652,4529,407,2662,214,2721,2109,214,2109
"G13068516","2015","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",105347,77402,14298,1073,7298,0,3474,1802,0,1802,"Sandy Springs city, Georgia",63,4923,3628,1171,1988,214,2406,749,214,749
"G13069000","2015","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",145684,53948,79319,848,4881,0,2317,4371,915,3456,"Savannah city, Georgia",37,3560,3462,582,1601,214,1357,1372,587,1233
"G13080508","2015","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",74002,39114,27651,170,2166,0,1092,3809,1231,2578,"Warner Robins city, Georgia",1060,3711,3113,208,1326,214,1299,1559,1327,1090
"G15071550","2015","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",352766,67139,6660,358,193580,22750,2274,60005,2282,57723,"Urban Honolulu CDP, Hawaii",39,4102,2005,340,6296,3997,864,4747,1025,4588
"G16008830","2015","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",218280,197253,3227,1375,6733,124,1908,7660,878,6782,"Boise City city, Idaho",30,3815,1408,763,1608,152,1081,2090,860,1764
"G16052120","2015","ID",,,"Idaho","16",,,"Meridian city","52120",,,,,,,,,,,,,,,,"16000US1652120","Meridian city, Idaho",90753,83313,1809,492,2166,336,1325,1312,192,1120,"Meridian city, Idaho",52,2470,1288,462,1741,559,864,961,317,879
"G16056260","2015","ID",,,"Idaho","16",,,"Nampa city","56260",,,,,,,,,,,,,,,,"16000US1656260","Nampa city, Idaho",89850,76866,238,676,721,694,6560,4095,80,4015,"Nampa city, Idaho",42,3284,141,875,722,620,3002,1488,138,1480
"G17002154","2015","IL",,,"Illinois","17",,,"Arlington Heights village","02154",,,,,,,,,,,,,,,,"16000US1702154","Arlington Heights village, Illinois",76996,65211,1127,46,9019,117,340,1136,53,1083,"Arlington Heights village, Illinois",2133,2348,785,78,2438,140,333,815,89,810
"G17003012","2015","IL",,,"Illinois","17",,,"Aurora city","03012",,,,,,,,,,,,,,,,"16000US1703012","Aurora city, Illinois",203715,112341,20846,633,15900,0,48946,5049,1560,3489,"Aurora city, Illinois",7162,8623,3802,738,3537,182,5877,1810,990,1497
"G17006613","2015","IL",,,"Illinois","17",,,"Bloomington city","06613",,,,,,,,,,,,,,,,"16000US1706613","Bloomington city, Illinois",78295,59378,10421,77,5673,0,1120,1626,271,1355,"Bloomington city, Illinois",30,1854,1812,86,1256,182,699,788,465,693
"G17007133","2015","IL",,,"Illinois","17",,,"Bolingbrook village","07133",,,,,,,,,,,,,,,,"16000US1707133","Bolingbrook village, Illinois",72096,38698,11770,67,8636,0,10454,2471,873,1598,"Bolingbrook village, Illinois",2994,4173,2764,126,2228,182,3480,1167,814,819
"G17012385","2015","IL",,,"Illinois","17",,,"Champaign city","12385",,,,,,,,,,,,,,,,"16000US1712385","Champaign city, Illinois",86086,56335,15141,55,10804,0,1706,2045,281,1764,"Champaign city, Illinois",40,2566,2422,101,1664,182,1101,836,445,783
"G17014000","2015","IL",,,"Illinois","17",,,"Chicago city","14000",,,,,,,,,,,,,,,,"16000US1714000","Chicago city, Illinois",2720556,1316927,844768,8982,168744,689,310823,69623,15356,54267,"Chicago city, Illinois",67,20619,12770,2242,8420,518,17202,5716,3089,5350
"G17014351","2015","IL",,,"Illinois","17",,,"Cicero town","14351",,,,,,,,,,,,,,,,"16000US1714351","Cicero town, Illinois",83867,29745,2643,680,861,0,48691,1247,660,587,"Cicero town, Illinois",70,4681,1314,498,710,182,4927,837,689,453
"G17018823","2015","IL",,,"Illinois","17",,,"Decatur city","18823",,,,,,,,,,,,,,,,"16000US1718823","Decatur city, Illinois",72856,52496,14727,19,602,0,1089,3923,0,3923,"Decatur city, Illinois",2667,2442,1594,37,347,182,656,1057,182,1057
"G17023074","2015","IL",,,"Illinois","17",,,"Elgin city","23074",,,,,,,,,,,,,,,,"16000US1723074","Elgin city, Illinois",111076,73789,6934,10,7064,0,20593,2686,847,1839,"Elgin city, Illinois",4868,5912,2645,20,2159,182,4387,1370,1064,957
"G17024582","2015","IL",,,"Illinois","17",,,"Evanston city","24582",,,,,,,,,,,,,,,,"16000US1724582","Evanston city, Illinois",75523,51794,10910,22,7339,0,2478,2980,468,2512,"Evanston city, Illinois",27,2905,2480,47,1666,182,1588,1034,549,966
"G17038570","2015","IL",,,"Illinois","17",,,"Joliet city","38570",,,,,,,,,,,,,,,,"16000US1738570","Joliet city, Illinois",150025,101876,26112,42,1686,56,15738,4515,1252,3263,"Joliet city, Illinois",5280,6491,3579,84,924,95,3642,1539,1262,1284
"G17051622","2015","IL",,,"Illinois","17",,,"Naperville city","51622",,,,,,,,,,,,,,,,"16000US1751622","Naperville city, Illinois",147159,105589,7974,191,28852,0,930,3623,124,3499,"Naperville city, Illinois",1309,3936,2863,184,3642,182,571,1424,150,1402
"G17057225","2015","IL",,,"Illinois","17",,,"Palatine village","57225",,,,,,,,,,,,,,,,"16000US1757225","Palatine village, Illinois",69269,45153,1253,0,6625,0,14375,1863,308,1555,"Palatine village, Illinois",33,4490,960,182,2332,182,4762,1006,515,822
"G17059000","2015","IL",,,"Illinois","17",,,"Peoria city","59000",,,,,,,,,,,,,,,,"16000US1759000","Peoria city, Illinois",118661,71113,31525,149,5699,56,3718,6401,424,5977,"Peoria city, Illinois",3292,3354,2633,164,1223,94,1401,2437,436,2393
"G17065000","2015","IL",,,"Illinois","17",,,"Rockford city","65000",,,,,,,,,,,,,,,,"16000US1765000","Rockford city, Illinois",149346,102639,29239,1074,4779,0,6484,5131,214,4917,"Rockford city, Illinois",2195,4367,2377,1013,1010,182,2849,1671,174,1652
"G17068003","2015","IL",,,"Illinois","17",,,"Schaumburg village","68003",,,,,,,,,,,,,,,,"16000US1768003","Schaumburg village, Illinois",75811,41629,1610,633,20443,686,8311,2499,1350,1149,"Schaumburg village, Illinois",2565,4025,821,619,3992,809,4320,1311,1183,662
"G17070122","2015","IL",,,"Illinois","17",,,"Skokie village","70122",,,,,,,,,,,,,,,,"16000US1770122","Skokie village, Illinois",64819,37834,4816,139,18129,0,937,2964,437,2527,"Skokie village, Illinois",27,3641,2456,207,3172,182,692,1500,505,1432
"G17072000","2015","IL",,,"Illinois","17",,,"Springfield city","72000",,,,,,,,,,,,,,,,"16000US1772000","Springfield city, Illinois",117809,86966,21381,117,3349,0,1186,4810,94,4716,"Springfield city, Illinois",1328,1938,1534,121,544,182,742,1349,114,1361
"G17079293","2015","IL",,,"Illinois","17",,,"Waukegan city","79293",,,,,,,,,,,,,,,,"16000US1779293","Waukegan city, Illinois",88347,63475,10060,129,4247,8,7752,2676,391,2285,"Waukegan city, Illinois",3249,4560,1945,133,1156,17,2451,994,277,975
"G18005860","2015","IN",,,"Indiana","18",,,"Bloomington city","05860",,,,,,,,,,,,,,,,"16000US1805860","Bloomington city, Indiana",83815,68032,3518,143,8561,0,135,3426,482,2944,"Bloomington city, Indiana",2724,2515,974,211,1032,189,160,1292,526,1183
"G18010342","2015","IN",,,"Indiana","18",,,"Carmel city","10342",,,,,,,,,,,,,,,,"16000US1810342","Carmel city, Indiana",,,,,,,,,,,"Carmel city, Indiana",,,,,,,,,,
"G18022000","2015","IN",,,"Indiana","18",,,"Evansville city","22000",,,,,,,,,,,,,,,,"16000US1822000","Evansville city, Indiana",117679,96413,14893,69,954,0,1665,3685,65,3620,"Evansville city, Indiana",2622,2787,1282,82,659,189,1219,1228,68,1217
"G18023278","2015","IN",,,"Indiana","18",,,"Fishers town","23278",,,,,,,,,,,,,,,,"16000US1823278","Fishers town, Indiana",86071,70703,5329,0,5714,0,504,3821,1163,2658,"Fishers town, Indiana",3041,3428,1768,189,2556,189,477,2277,1413,1793
"G18025000","2015","IN",,,"Indiana","18",,,"Fort Wayne city","25000",,,,,,,,,,,,,,,,"16000US1825000","Fort Wayne city, Indiana",258144,192349,38066,872,11179,602,2314,12762,1716,11046,"Fort Wayne city, Indiana",3921,4067,2327,382,1529,939,850,2502,1384,2394
"G18027000","2015","IN",,,"Indiana","18",,,"Gary city","27000",,,,,,,,,,,,,,,,"16000US1827000","Gary city, Indiana",77354,11887,59741,0,352,0,3250,2124,379,1745,"Gary city, Indiana",3266,2441,3648,189,340,189,1780,1116,438,1058
"G18031000","2015","IN",,,"Indiana","18",,,"Hammond city","31000",,,,,,,,,,,,,,,,"16000US1831000","Hammond city, Indiana",77610,38721,18949,98,1096,0,15144,3602,970,2632,"Hammond city, Indiana",34,3545,3101,160,625,189,3111,1144,617,1054
"G18036003","2015","IN",,,"Indiana","18",,,"Indianapolis city (balance)","36003",,,,,,,,,,,,,,,,"16000US1836003","Indianapolis city (balance), Indiana",848423,534462,236414,2765,25280,0,25929,23573,1511,22062,"Indianapolis city (balance), Indiana",4348,6262,6316,786,1590,189,4597,4435,670,4359
"G18040788","2015","IN",,,"Indiana","18",,,"Lafayette city","40788",,,,,,,,,,,,,,,,"16000US1840788","Lafayette city, Indiana",71170,61705,5403,169,1126,0,1207,1560,108,1452,"Lafayette city, Indiana",2796,3149,1218,197,681,189,810,746,196,719
"G18051876","2015","IN",,,"Indiana","18",,,"Muncie city","51876",,,,,,,,,,,,,,,,"16000US1851876","Muncie city, Indiana",,,,,,,,,,,"Muncie city, Indiana",,,,,,,,,,
"G18071000","2015","IN",,,"Indiana","18",,,"South Bend city","71000",,,,,,,,,,,,,,,,"16000US1871000","South Bend city, Indiana",103757,66559,25812,183,1377,161,4465,5200,625,4575,"South Bend city, Indiana",3221,4009,1974,168,844,128,1606,1549,407,1493
"G19001855","2015","IA",,,"Iowa","19",,,"Ames city","01855",,,,,,,,,,,,,,,,"16000US1901855","Ames city, Iowa",65052,54595,703,114,7817,0,261,1562,0,1562,"Ames city, Iowa",33,1144,336,214,1293,155,239,790,155,790
"G19012000","2015","IA",,,"Iowa","19",,,"Cedar Rapids city","12000",,,,,,,,,,,,,,,,"16000US1912000","Cedar Rapids city, Iowa",130405,111571,7397,650,3280,40,984,6483,468,6015,"Cedar Rapids city, Iowa",26,2741,2091,352,1519,70,1062,2497,416,2399
"G19019000","2015","IA",,,"Iowa","19",,,"Davenport city","19000",,,,,,,,,,,,,,,,"16000US1919000","Davenport city, Iowa",102577,84478,10828,274,2297,29,895,3776,576,3200,"Davenport city, Iowa",23,2011,1544,311,1213,50,651,1074,610,912
"G19021000","2015","IA",,,"Iowa","19",,,"Des Moines city","21000",,,,,,,,,,,,,,,,"16000US1921000","Des Moines city, Iowa",210317,161279,22581,2323,13004,182,3546,7402,295,7107,"Des Moines city, Iowa",255,3921,2737,1582,2130,307,1961,1504,266,1461
"G19038595","2015","IA",,,"Iowa","19",,,"Iowa City city","38595",,,,,,,,,,,,,,,,"16000US1938595","Iowa City city, Iowa",74227,58305,6839,244,4195,406,2405,1833,48,1785,"Iowa City city, Iowa",35,2049,1367,220,1186,577,1664,834,88,828
"G19073335","2015","IA",,,"Iowa","19",,,"Sioux City city","73335",,,,,,,,,,,,,,,,"16000US1973335","Sioux City city, Iowa",82776,69391,3353,1307,2996,289,4076,1364,298,1066,"Sioux City city, Iowa",3126,3811,729,599,309,463,2299,891,295,790
"G19082425","2015","IA",,,"Iowa","19",,,"Waterloo city","82425",,,,,,,,,,,,,,,,"16000US1982425","Waterloo city, Iowa",68457,50068,10996,292,1511,0,4335,1255,99,1156,"Waterloo city, Iowa",23,1564,1274,166,658,155,797,547,134,542
"G20036000","2015","KS",,,"Kansas","20",,,"Kansas City city","36000",,,,,,,,,,,,,,,,"16000US2036000","Kansas City city, Kansas",151261,89987,36348,638,6641,23,10751,6873,1576,5297,"Kansas City city, Kansas",2153,3246,1787,405,239,39,2386,1714,920,1446
"G20038900","2015","KS",,,"Kansas","20",,,"Lawrence city","38900",,,,,,,,,,,,,,,,"16000US2038900","Lawrence city, Kansas",93916,76643,4425,2929,5064,0,1119,3736,177,3559,"Lawrence city, Kansas",19,1641,1018,854,946,168,876,1366,257,1322
"G20052575","2015","KS",,,"Kansas","20",,,"Olathe city","52575",,,,,,,,,,,,,,,,"16000US2052575","Olathe city, Kansas",134316,114787,6686,569,4841,443,1335,5655,108,5547,"Olathe city, Kansas",54,3445,2112,665,1589,711,857,1600,116,1571
"G20053775","2015","KS",,,"Kansas","20",,,"Overland Park city","53775",,,,,,,,,,,,,,,,"16000US2053775","Overland Park city, Kansas",186511,156864,8122,424,15073,73,1208,4747,75,4672,"Overland Park city, Kansas",41,3499,2105,431,2231,126,635,1632,123,1650
"G20064500","2015","KS",,,"Kansas","20",,,"Shawnee city","64500",,,,,,,,,,,,,,,,"16000US2064500","Shawnee city, Kansas",65058,53570,5576,0,2491,0,951,2470,119,2351,"Shawnee city, Kansas",48,3428,2153,168,1585,168,945,1658,182,1646
"G20071000","2015","KS",,,"Kansas","20",,,"Topeka city","71000",,,,,,,,,,,,,,,,"16000US2071000","Topeka city, Kansas",127257,102787,11283,1520,2360,268,2723,6316,241,6075,"Topeka city, Kansas",34,2738,1836,554,429,409,1227,2083,274,2060
"G20079000","2015","KS",,,"Kansas","20",,,"Wichita city","79000",,,,,,,,,,,,,,,,"16000US2079000","Wichita city, Kansas",389955,295195,46253,4628,23902,239,7976,11762,1455,10307,"Wichita city, Kansas",53,4313,2709,1886,1473,303,2859,2518,720,2406
