GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLTE001,ANLTE002,ANLTE003,ANLTE004,ANLTE005,ANLTE006,ANLTE007,ANLTE008,ANLTE009,ANLTE010,NAME_M,ANLTM001,ANLTM002,ANLTM003,ANLTM004,ANLTM005,ANLTM006,ANLTM007,ANLTM008,ANLTM009,ANLTM010
"G06011964","2021","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"1600000US0611964","0611964","Castro Valley CDP, California",66408,22342,6158,241,27153,217,2345,7952,5392,2560,"Castro Valley CDP, California",6155,3504,2437,294,4968,345,1179,2215,1918,1244
"G06013014","2021","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"1600000US0613014","0613014","Chico city, California",102340,72629,1474,1147,5678,414,7633,13365,7325,6040,"Chico city, California",26,2981,869,846,1342,349,1952,2246,1939,1418
"G06013210","2021","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"1600000US0613210","0613210","Chino city, California",92988,21138,6153,599,18857,0,25963,20278,16613,3665,"Chino city, California",58,4384,2703,488,4070,218,4445,4687,3957,1716
"G06013214","2021","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"1600000US0613214","0613214","Chino Hills city, California",78675,17318,3553,333,34240,101,9223,13907,10574,3333,"Chino Hills city, California",46,3635,2667,460,4550,169,3400,3386,3409,1667
"G06013392","2021","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"1600000US0613392","0613392","Chula Vista city, California",277211,60775,11743,3172,39003,876,50306,111336,91591,19745,"Chula Vista city, California",64,7548,4602,1821,6970,546,8219,9478,9487,5157
"G06013588","2021","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"1600000US0613588","0613588","Citrus Heights city, California",87411,62093,3074,536,6808,89,6721,8090,3863,4227,"Citrus Heights city, California",45,4052,1273,451,3887,107,2657,1869,1281,1252
"G06014218","2021","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"1600000US0614218","0614218","Clovis city, California",122985,60324,5282,1402,15598,420,14158,25801,19818,5983,"Clovis city, California",49,5806,2606,1003,3467,529,3972,4718,4326,1698
"G06015044","2021","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"1600000US0615044","0615044","Compton city, California",93584,5677,25021,399,657,0,24740,37090,35673,1417,"Compton city, California",47,2301,3215,413,615,218,4066,4888,4960,764
"G06016000","2021","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"1600000US0616000","0616000","Concord city, California",124091,57785,5869,2432,18801,75,16656,22473,16542,5931,"Concord city, California",66,5104,2417,1742,3531,127,3932,3856,3495,1891
"G06016350","2021","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"1600000US0616350","0616350","Corona city, California",159749,57131,5152,3073,18337,457,44170,31429,23022,8407,"Corona city, California",50,5694,1889,2207,3882,694,6478,4730,4498,2257
