GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G06022804","2011","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",146021,120742,3320,388,9247,130,8977,3217,607,2610,"Escondido city, California",51,5097,1223,276,2672,143,3706,1254,485,1100
"G06023182","2011","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",106116,47394,19159,314,18445,1316,11733,7755,2642,5113,"Fairfield city, California",44,4430,3819,278,3405,779,3898,2377,1663,1889
"G06024477","2011","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",68626,49622,4426,257,53,0,13612,656,471,185,"Florence-Graham CDP, California",6477,5973,1711,425,87,208,3940,453,425,155
"G06024638","2011","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",72991,54934,2937,90,7396,112,4794,2728,67,2661,"Folsom city, California",38,5196,607,93,2972,127,3976,1521,111,1515
"G06024680","2011","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",199024,127543,16583,640,10410,42,33733,10073,3357,6716,"Fontana city, California",41,9077,4675,521,3138,73,6712,3859,1795,3209
"G06026000","2011","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",216912,66993,8247,1291,105587,600,20528,13666,5961,7705,"Fremont city, California",39,5548,3195,863,7118,435,5594,3828,3026,1905
"G06027000","2011","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",501365,249032,35612,4221,63800,1561,122426,24713,7904,16809,"Fresno city, California",54,10526,3173,1917,4834,807,10110,4922,2897,4349
"G06028000","2011","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",137174,75831,2718,730,32675,150,18506,6564,2609,3955,"Fullerton city, California",42,5949,1232,522,4614,202,5526,2307,2000,1241
"G06029000","2011","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",173490,81697,3308,872,70470,1894,12655,2594,819,1775,"Garden Grove city, California",72,6518,1694,621,5916,1179,3832,875,498,720
"G06030000","2011","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",193113,152920,1640,846,29563,52,3616,4476,946,3530,"Glendale city, California",39,4389,693,771,4239,86,1501,1220,533,1066
"G06032548","2011","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",84897,49766,21299,243,3435,1047,6229,2878,536,2342,"Hawthorne city, California",42,4647,3912,331,1227,1036,2494,1217,501,1129
"G06033000","2011","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",146083,57244,15970,349,33303,6321,24710,8186,2735,5451,"Hayward city, California",58,6461,2877,290,4816,1553,5173,2419,1673,1815
"G06033182","2011","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",80459,57209,4550,671,2091,79,12012,3847,589,3258,"Hemet city, California",39,4103,1819,445,1361,122,4052,2267,642,2130
"G06033434","2011","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",91549,59072,8980,1903,1417,130,17183,2864,734,2130,"Hesperia city, California",56,4904,3350,1466,1010,226,4518,1207,625,1051
