GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G05050450","2019","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",65899,32455,27574,132,893,0,2500,2345,0,2345,"North Little Rock city, Arkansas",30,2943,3306,188,675,206,2273,1409,206,1409
"G05060410","2019","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",68674,60808,1020,610,1668,1894,1279,1395,166,1229,"Rogers city, Arkansas",34,2035,835,491,940,133,740,926,171,913
"G05066080","2019","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",80454,54969,2731,0,1365,6285,13264,1840,1096,744,"Springdale city, Arkansas",2308,5142,1561,206,1369,791,4462,957,923,479
"G06000562","2019","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",77630,34922,6467,418,25234,96,4025,6468,721,5747,"Alameda city, California",35,3649,2201,317,3139,113,1880,1529,477,1474
"G06000884","2019","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",83732,17800,2361,540,45339,0,14799,2893,1015,1878,"Alhambra city, California",73,2513,1421,461,4602,216,3991,1108,717,907
"G06002000","2019","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",350351,228882,12032,2545,63812,2336,29529,11215,2404,8811,"Anaheim city, California",74,8675,2382,1790,6679,1973,6864,2143,826,2044
"G06002252","2019","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",111506,40859,23551,563,18317,762,19182,8272,3332,4940,"Antioch city, California",37,4730,5752,776,5214,913,5134,2872,1938,2415
"G06002364","2019","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",73464,57296,4292,712,1189,479,5615,3881,437,3444,"Apple Valley town, California",43,4624,2785,601,1022,730,3787,2229,337,2196
"G06002553","2019","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",108227,64503,11352,422,6910,1653,9897,13490,1392,12098,"Arden-Arcade CDP, California",8080,6495,3547,427,1894,1559,4016,4697,1084,4352
"G06003526","2019","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",384159,259241,26672,4369,29637,844,46814,16582,3320,13262,"Bakersfield city, California",62,10201,3810,2403,4211,486,9178,4321,2313,3961
