GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APKGE001,APKGE002,APKGE003,APKGE004,APKGE005,APKGE006,APKGE007,APKGE008,APKGE009,APKGE010,NAME_M,APKGM001,APKGM002,APKGM003,APKGM004,APKGM005,APKGM006,APKGM007,APKGM008,APKGM009,APKGM010
"G06011530","2022","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"1600000US0611530","0611530","Carson city, California",92391,11918,19543,1363,23023,2890,17269,16385,9859,6526,"Carson city, California",40,2806,3896,1285,4239,1783,4083,3737,3370,2174
"G06011964","2022","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"1600000US0611964","0611964","Castro Valley CDP, California",66506,26618,3155,1138,22061,74,5378,8082,3041,5041,"Castro Valley CDP, California",4697,4492,1782,1101,4606,124,2361,2820,1807,2016
"G06013014","2022","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"1600000US0613014","0613014","Chico city, California",101304,73067,1855,545,7289,825,4388,13335,8169,5166,"Chico city, California",30,3267,605,458,1889,1227,1507,2980,2238,1890
"G06013210","2022","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"1600000US0613210","0613210","Chino city, California",93149,22222,5064,1243,20722,0,21806,22092,16446,5646,"Chino city, California",58,4536,1757,1356,4064,218,5167,4124,4229,2214
"G06013214","2022","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"1600000US0613214","0613214","Chino Hills city, California",77923,15013,2075,214,32953,0,12357,15311,12722,2589,"Chino Hills city, California",91,2819,937,327,4601,218,4889,4116,4126,1090
"G06013392","2022","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"1600000US0613392","0613392","Chula Vista city, California",279158,70112,13981,5676,35191,1323,64251,88624,70478,18146,"Chula Vista city, California",48,7980,4308,2614,5329,948,9350,9048,9140,4342
"G06013588","2022","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"1600000US0613588","0613588","Citrus Heights city, California",86440,58155,3726,715,3879,483,10949,8533,3886,4647,"Citrus Heights city, California",38,4121,1633,390,1745,750,4007,2447,1596,1718
"G06014218","2022","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"1600000US0614218","0614218","Clovis city, California",124546,63530,1957,2042,14497,61,16636,25823,20168,5655,"Clovis city, California",48,5324,1370,1093,3553,105,4498,5246,5116,1907
"G06015044","2022","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"1600000US0615044","0615044","Compton city, California",91979,3690,22233,912,708,36,33231,31169,29853,1316,"Compton city, California",37,2167,3817,675,659,60,5550,6056,6025,711
"G06016000","2022","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"1600000US0616000","0616000","Concord city, California",122616,50826,3808,1084,20140,609,20025,26124,18838,7286,"Concord city, California",48,4715,1483,751,3409,694,4366,3940,3807,2129
"G06016350","2022","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"1600000US0616350","0616350","Corona city, California",159534,55286,6277,1962,18106,346,47656,29901,23995,5906,"Corona city, California",112,6579,2588,995,3678,313,8201,5943,5718,1559
"G06016532","2022","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"1600000US0616532","0616532","Costa Mesa city, California",109527,60029,1173,2269,8087,157,13064,24748,18904,5844,"Costa Mesa city, California",43,4335,740,1298,2049,240,3675,4797,4890,1554
"G06017918","2022","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"1600000US0617918","0617918","Daly City city, California",99990,12891,2217,526,61065,2463,9250,11578,8746,2832,"Daly City city, California",71,2935,1373,420,4720,2026,2882,3814,3818,1138
"G06018100","2022","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"1600000US0618100","0618100","Davis city, California",67057,34278,1606,596,17527,129,5107,7814,3565,4249,"Davis city, California",38,2478,1082,570,2152,254,2032,1637,1275,1194
"G06019766","2022","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"1600000US0619766","0619766","Downey city, California",109908,15692,5224,1945,9970,256,40833,35988,34000,1988,"Downey city, California",92,2825,2141,1221,3018,237,5041,4806,4696,913
"G06020018","2022","CA",,,"California","06",,,"Dublin city","20018",,,,,,,,,,,,,,,,"1600000US0620018","0620018","Dublin city, California",72061,16179,3080,1044,37972,65,2631,11090,3842,7248,"Dublin city, California",29,3395,1095,865,4086,118,1829,4608,1910,4101
"G06020802","2022","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"1600000US0620802","0620802","East Los Angeles CDP, California",112965,8299,489,3304,1676,161,76851,22185,20903,1282,"East Los Angeles CDP, California",8470,2366,357,2180,929,279,7420,4123,4022,948
"G06021230","2022","CA",,,"California","06",,,"Eastvale city","21230",,,,,,,,,,,,,,,,"1600000US0621230","0621230","Eastvale city, California",71015,12743,8632,1169,19625,87,16782,11977,9832,2145,"Eastvale city, California",40,3847,3706,1286,4692,161,6300,4363,4299,1217
"G06021712","2022","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"1600000US0621712","0621712","El Cajon city, California",104417,52826,5873,1320,3551,1313,15684,23850,16382,7468,"El Cajon city, California",39,4495,2633,1140,1318,1409,4617,4969,4890,1810
"G06022020","2022","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"1600000US0622020","0622020","Elk Grove city, California",177558,45727,22326,797,63259,3048,15088,27313,15766,11547,"Elk Grove city, California",49,4743,5005,492,6488,1115,5142,5058,3929,2695
"G06022230","2022","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"1600000US0622230","0622230","El Monte city, California",105307,5975,724,2331,26498,170,41874,27735,26977,758,"El Monte city, California",41,2684,397,1402,3995,239,5746,5060,5061,486
"G06022804","2022","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"1600000US0622804","0622804","Escondido city, California",150258,62040,4599,3342,9196,480,28961,41640,36188,5452,"Escondido city, California",56,6091,2255,1627,2272,472,4751,5588,5490,1897
"G06023182","2022","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"1600000US0623182","0623182","Fairfield city, California",119333,42118,12783,189,21414,2046,21401,19382,10140,9242,"Fairfield city, California",34,5070,3233,279,3675,1383,4654,3892,3351,2303
"G06024638","2022","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"1600000US0624638","0624638","Folsom city, California",83273,50454,3813,927,15398,80,1545,11056,4524,6532,"Folsom city, California",29,3588,1901,822,3463,66,781,2475,1545,2202
"G06024680","2022","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"1600000US0624680","0624680","Fontana city, California",212448,37179,18187,2005,16618,522,97355,40582,31207,9375,"Fontana city, California",91,5486,4529,1643,3718,501,9391,6086,5374,3457
"G06026000","2022","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"1600000US0626000","0626000","Fremont city, California",223859,40377,7196,1166,139633,1325,17949,16213,7397,8816,"Fremont city, California",52,5277,2518,652,6050,871,3949,2673,1957,1962
"G06027000","2022","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"1600000US0627000","0627000","Fresno city, California",545564,159923,35885,9992,72610,482,124215,142457,114522,27935,"Fresno city, California",59,9053,3898,2553,5558,442,11887,11387,10146,5234
"G06028000","2022","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"1600000US0628000","0628000","Fullerton city, California",140552,54111,2696,779,39066,604,24426,18870,14895,3975,"Fullerton city, California",51,5759,1158,837,5374,573,6642,4101,3921,1365
"G06029000","2022","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"1600000US0629000","0629000","Garden Grove city, California",169265,35562,1861,1802,74508,781,28434,26317,22765,3552,"Garden Grove city, California",73,4666,1282,1032,5994,959,5277,4459,4681,1471
"G06030000","2022","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"1600000US0630000","0630000","Glendale city, California",189228,122045,4104,665,24375,554,20751,16734,9564,7170,"Glendale city, California",41,6543,1502,414,3534,523,4498,3667,3299,1962
"G06032548","2022","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"1600000US0632548","0632548","Hawthorne city, California",84564,10198,18744,1168,6832,104,25205,22313,17576,4737,"Hawthorne city, California",32,2487,3796,838,2444,127,4620,4187,3935,1880
"G06033000","2022","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"1600000US0633000","0633000","Hayward city, California",156773,26539,14673,2088,46647,5265,40760,20801,12236,8565,"Hayward city, California",69,4399,3832,1289,5702,2158,5768,4674,3733,2805
"G06033182","2022","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"1600000US0633182","0633182","Hemet city, California",90688,34801,7305,2157,2837,56,25065,18467,11168,7299,"Hemet city, California",32,5029,2818,1815,1207,94,5299,4373,3303,3403
"G06033434","2022","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"1600000US0633434","0633434","Hesperia city, California",100766,35146,4957,823,895,0,25603,33342,28709,4633,"Hesperia city, California",74,5455,1908,701,701,218,5954,6129,6252,2085
"G06036000","2022","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"1600000US0636000","0636000","Huntington Beach city, California",194306,121463,1732,934,25907,1007,10840,32423,18998,13425,"Huntington Beach city, California",41,5822,839,499,4449,803,4227,4724,4503,2369
"G06036448","2022","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"1600000US0636448","0636448","Indio city, California",91991,28243,2211,1677,4638,36,12660,42526,39890,2636,"Indio city, California",47,4389,1225,1644,2021,64,3799,5389,5602,1296
"G06036546","2022","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"1600000US0636546","0636546","Inglewood city, California",103628,9190,35921,1622,3505,78,34460,18852,14001,4851,"Inglewood city, California",42,2831,4544,990,2477,95,4958,3537,3270,1623
"G06036770","2022","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"1600000US0636770","0636770","Irvine city, California",313705,113376,6138,676,137660,1362,14859,39634,16303,23331,"Irvine city, California",67,9526,2301,365,9273,1184,4631,5031,4339,3761
"G06037692","2022","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"1600000US0637692","0637692","Jurupa Valley city, California",107603,20441,3878,819,4128,808,58633,18896,16792,2104,"Jurupa Valley city, California",38,4377,1641,387,1638,1362,6785,5213,4951,951
"G06039486","2022","CA",,,"California","06",,,"Lake Elsinore city","39486",,,,,,,,,,,,,,,,"1600000US0639486","0639486","Lake Elsinore city, California",71905,27042,2055,948,5341,81,17276,19162,15762,3400,"Lake Elsinore city, California",36,5509,997,885,2499,148,4616,4554,4768,1389
"G06039496","2022","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"1600000US0639496","0639496","Lake Forest city, California",85635,44735,1711,429,17757,1460,4881,14662,10471,4191,"Lake Forest city, California",35,4551,1682,384,3964,1507,2357,3618,3556,1740
"G06039892","2022","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"1600000US0639892","0639892","Lakewood city, California",79042,24729,7324,1147,13558,1330,14244,16710,11971,4739,"Lakewood city, California",75,3580,2631,907,3009,1187,3362,3521,3559,1462
