GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G11050000","2017","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",693972,284536,318220,1690,28499,302,40116,20609,2786,17823,"Washington city, District of Columbia",0,4734,3042,463,1656,209,5076,3240,1193,3031
"G12000410","2017","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",88496,60229,9343,191,6232,0,6973,5528,573,4955,"Alafaya CDP, Florida",11283,9571,4329,287,3354,226,4948,4099,882,4031
"G12007300","2017","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",98153,85721,4812,0,3088,0,2980,1552,544,1008,"Boca Raton city, Florida",33,3699,1919,226,1326,226,3231,957,674,673
"G12007875","2017","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",77704,44961,29359,84,1891,0,747,662,183,479,"Boynton Beach city, Florida",31,5010,5122,127,1595,226,687,348,190,320
"G12008150","2017","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",121190,81500,23599,391,6828,0,3997,4875,818,4057,"Brandon CDP, Florida",8687,7550,4726,442,1895,226,2071,1694,540,1630
"G12010275","2017","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",183356,167835,6610,793,3598,33,1508,2979,0,2979,"Cape Coral city, Florida",42,4293,3244,623,1747,67,1218,2122,226,2122
"G12012875","2017","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",115501,87730,14777,1531,2478,31,6335,2619,82,2537,"Clearwater city, Florida",44,4544,3463,2089,1158,53,2549,1224,99,1229
"G12014400","2017","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",133058,86855,27453,281,9323,0,2701,6445,928,5517,"Coral Springs city, Florida",76,6841,6008,373,3713,226,1022,3303,1016,2795
"G12016475","2017","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",105146,73530,15394,51,4499,434,6425,4813,1002,3811,"Davie town, Florida",35,5472,6181,89,1530,663,3413,2090,860,1929
"G12016525","2017","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",68055,39313,23172,352,2124,83,1104,1907,83,1824,"Daytona Beach city, Florida",31,3263,3212,322,1405,129,722,1042,104,1034
"G12016725","2017","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",80572,50274,23990,87,2945,0,786,2490,491,1999,"Deerfield Beach city, Florida",34,5039,5778,103,2459,226,564,1425,461,1359
"G12017100","2017","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",68749,43064,22319,0,1941,0,840,585,51,534,"Delray Beach city, Florida",24,3603,3878,226,1170,226,926,413,88,405
"G12017200","2017","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",90743,67034,10523,394,1151,0,10118,1523,221,1302,"Deltona city, Florida",28,4765,3548,532,736,226,3427,1577,262,1548
"G12024000","2017","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",180071,108703,59911,64,1795,32,6299,3267,136,3131,"Fort Lauderdale city, Florida",35,8527,7114,95,677,68,5022,1236,228,1224
"G12024125","2017","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",79941,49867,17224,48,3900,77,7227,1598,161,1437,"Fort Myers city, Florida",35,4101,2993,99,1957,129,3022,902,261,880
"G12025175","2017","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",132253,87784,27229,272,8438,194,2112,6224,897,5327,"Gainesville city, Florida",36,3858,3675,248,1236,270,931,1820,750,1584
"G12030000","2017","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",239682,223904,4939,0,2108,0,7425,1306,503,803,"Hialeah city, Florida",47,4022,2423,226,1317,226,2894,792,388,600
"G12032000","2017","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",153625,103684,28054,545,4804,0,12378,4160,1258,2902,"Hollywood city, Florida",30,7475,5458,648,2233,226,4464,1673,622,1465
"G12032275","2017","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",69909,53691,11323,853,759,0,1577,1706,767,939,"Homestead city, Florida",25,4837,4235,1442,815,226,1113,1080,891,623
"G12035000","2017","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",892064,516074,281757,1709,47503,101,17915,27005,3271,23734,"Jacksonville city, Florida",22,4948,4241,1035,1954,122,4651,3923,1432,3603
"G12036100","2017","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",73805,62083,3712,0,1641,0,4658,1711,616,1095,"Kendall CDP, Florida",7636,6731,2173,226,978,226,3172,1255,455,1147
"G12036950","2017","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",71103,45673,7408,308,3598,43,8240,5833,1961,3872,"Kissimmee city, Florida",23,4666,2751,376,1867,70,2921,2667,1907,2012
"G12038250","2017","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",108051,78858,22501,273,2953,184,1627,1655,233,1422,"Lakeland city, Florida",33,4050,3718,235,1818,297,1337,880,341,794
"G12039425","2017","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",84768,73210,5782,169,2220,146,1388,1853,775,1078,"Largo city, Florida",54,2622,2229,219,1026,253,857,1046,589,840
"G12039550","2017","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",71976,9650,58858,406,438,0,1487,1137,364,773,"Lauderhill city, Florida",41,2685,3137,580,365,226,1531,654,393,501
"G12039925","2017","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",132618,92966,26204,0,1789,137,6321,5201,1572,3629,"Lehigh Acres CDP, Florida",7922,7664,4168,226,1409,177,3688,2965,1349,2742
"G12043975","2017","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",82003,63105,7984,213,5545,0,2014,3142,348,2794,"Melbourne city, Florida",44,3193,2599,290,1662,226,1421,1261,277,1223
"G12045000","2017","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",463354,343909,83411,2232,6411,79,17658,9654,3146,6508,"Miami city, Florida",53,8144,7066,2617,1763,130,3974,2685,1471,2511
"G12045025","2017","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",92319,68408,4312,439,536,0,16000,2624,1268,1356,"Miami Beach city, Florida",59,4406,1904,512,412,226,3721,1000,732,666
"G12045060","2017","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",113743,29850,77908,152,1701,0,2665,1467,325,1142,"Miami Gardens city, Florida",44,5254,5966,250,1561,226,2005,1112,535,925
"G12045975","2017","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",140323,64174,62207,375,4524,0,3070,5973,1543,4430,"Miramar city, Florida",37,7568,7466,585,2546,226,1934,5172,1367,4998
"G12049675","2017","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",,,,,,,,,,,"North Port city, Florida",,,,,,,,,,
"G12053000","2017","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",280258,158310,77172,310,11963,78,21084,11341,2941,8400,"Orlando city, Florida",50,8575,8623,236,2931,132,5446,2866,2150,1852
"G12054000","2017","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",111660,84902,17211,1072,1992,0,4116,2367,382,1985,"Palm Bay city, Florida",34,5228,4775,482,1133,226,2437,1172,631,897
"G12054200","2017","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",88394,70157,11663,291,3064,0,2078,1141,0,1141,"Palm Coast city, Florida",2910,3006,1051,233,317,226,1591,976,226,976
"G12055775","2017","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",170703,105038,39865,810,10827,190,6551,7422,1220,6202,"Pembroke Pines city, Florida",44,7242,6114,791,3132,246,3337,2443,726,2347
"G12056825","2017","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",76847,11543,53759,265,3649,0,4755,2876,1002,1874,"Pine Hills CDP, Florida",8875,3813,7537,286,1730,226,2560,1857,756,1778
"G12057425","2017","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",93922,65799,16070,152,3963,0,3052,4886,1039,3847,"Plantation city, Florida",56,5011,4393,251,1703,226,1828,2449,1094,2237
"G12057900","2017","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",71694,41340,18007,1485,1798,508,3775,4781,601,4180,"Poinciana CDP, Florida",10606,10308,5197,1795,863,822,2523,2565,1028,2404
"G12058050","2017","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",110464,67285,37644,83,711,0,1648,3093,360,2733,"Pompano Beach city, Florida",44,4851,4936,109,631,226,1176,1508,353,1501
"G12058350","2017","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",,,,,,,,,,,"Port Charlotte CDP, Florida",,,,,,,,,,
"G12058715","2017","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",189331,142385,34890,466,4875,0,3002,3713,301,3412,"Port St. Lucie city, Florida",54,4629,4513,377,1255,226,2024,2057,352,2020
"G12060950","2017","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",90538,63997,16176,157,4354,0,1069,4785,968,3817,"Riverview CDP, Florida",9817,8554,4549,181,1865,226,835,1688,631,1529
"G12063000","2017","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",263252,184415,56947,591,9879,0,2590,8830,834,7996,"St. Petersburg city, Florida",38,5051,5233,469,2135,226,1039,2741,529,2731
"G12068350","2017","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",113508,99136,6346,1099,2099,0,2055,2773,43,2730,"Spring Hill CDP, Florida",4466,4409,1342,379,836,226,1181,975,73,972
"G12069700","2017","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",94313,52088,31494,446,4668,45,3344,2228,702,1526,"Sunrise city, Florida",53,5657,5914,533,2132,123,2175,925,381,840
"G12070600","2017","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",191039,109980,64649,229,7811,0,3344,5026,329,4697,"Tallahassee city, Florida",45,3209,3639,267,1373,226,1362,1623,332,1598
"G12070675","2017","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",65683,38318,21585,49,3483,0,1590,658,192,466,"Tamarac city, Florida",52,4369,4063,85,1878,226,936,491,227,422
"G12071000","2017","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",385423,256273,91940,886,16438,84,4991,14811,1930,12881,"Tampa city, Florida",56,7364,7272,836,2483,138,1865,3698,860,3348
"G12071569","2017","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",68457,58386,3083,0,3387,0,3101,500,173,327,"The Hammocks CDP, Florida",9056,8785,1484,226,2435,226,2493,389,178,350
"G12071625","2017","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",,,,,,,,,,,"The Villages CDP, Florida",,,,,,,,,,
"G12072145","2017","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",89143,67323,10977,76,3843,0,3561,3363,540,2823,"Town 'n' Country CDP, Florida",8831,7047,4481,125,1436,226,1852,2064,600,2015
"G12076582","2017","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",70927,55928,5016,0,4355,126,1553,3949,620,3329,"Weston city, Florida",67,3944,3345,226,2022,333,998,1828,1004,1727
"G12076600","2017","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",110219,64388,38133,37,2536,0,3807,1318,305,1013,"West Palm Beach city, Florida",40,4842,4698,74,1307,226,2107,741,294,612
"G13001052","2017","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",,,,,,,,,,,"Albany city, Georgia",,,,,,,,,,
"G13001696","2017","GA",,,"Georgia","13",,,"Alpharetta city","01696",,,,,,,,,,,,,,,,"16000US1301696","Alpharetta city, Georgia",65774,38578,7822,28,13480,0,963,4903,219,4684,"Alpharetta city, Georgia",88,4394,3199,52,3047,224,1412,3057,259,3066
"G13003440","2017","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",125929,78877,34634,0,4979,0,3308,4131,623,3508,"Athens-Clarke County unified government (balance), Georgia",444,1772,1044,224,741,224,1704,1471,557,1286
"G13004000","2017","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",486299,190415,256888,704,19551,0,6538,12203,910,11293,"Atlanta city, Georgia",54,7619,8197,344,2945,224,1932,2330,786,2179
"G13004204","2017","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",195678,70088,112673,336,3910,103,1883,6685,265,6420,"Augusta-Richmond County consolidated government (balance), Georgia",1775,2292,2487,265,556,184,1509,2187,231,2159
"G13019000","2017","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",194058,84356,90141,261,4864,164,6291,7981,1408,6573,"Columbus city, Georgia",0,1862,2151,295,953,135,1985,2165,902,2062
"G13042425","2017","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",,,,,,,,,,,"Johns Creek city, Georgia",,,,,,,,,,
"G13049008","2017","GA",,,"Georgia","13",,,"Macon-Bibb County","49008",,,,,,,,,,,,,,,,"16000US1349008","Macon-Bibb County, Georgia",152646,61664,83882,396,3191,63,490,2960,1052,1908,"Macon-Bibb County, Georgia",154,1118,607,149,369,107,286,1231,853,1172
"G13067284","2017","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",94792,70004,14550,207,2882,0,3011,4138,0,4138,"Roswell city, Georgia",37,4727,4473,271,1299,224,2538,2621,224,2621
"G13068516","2017","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",106742,78719,15691,800,8743,0,803,1986,229,1757,"Sandy Springs city, Georgia",27,4242,3443,972,2515,224,817,1035,198,1040
"G13069000","2017","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",146449,53571,81766,132,2539,1341,1661,5439,2006,3433,"Savannah city, Georgia",32,4437,5037,121,1261,1991,708,2361,2111,1413
"G13080508","2017","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",75675,38782,28625,81,2572,0,538,5077,710,4367,"Warner Robins city, Georgia",1218,3794,3901,97,1616,224,586,2277,838,2012
"G15071550","2017","HI",,,"Hawaii","15",,,"Urban Honolulu CDP","71550",,,,,,,,,,,,,,,,"16000US1571550","Urban Honolulu CDP, Hawaii",350388,56481,7082,545,192699,22833,4756,65992,2563,63429,"Urban Honolulu CDP, Hawaii",46,4028,1895,380,6950,3803,2035,5585,1220,5511
"G16008830","2017","ID",,,"Idaho","16",,,"Boise City city","08830",,,,,,,,,,,,,,,,"16000US1608830","Boise City city, Idaho",226567,201009,4659,697,6275,181,3834,9912,484,9428,"Boise City city, Idaho",33,4814,2266,414,2147,223,2008,3556,391,3441
"G16052120","2017","ID",,,"Idaho","16",,,"Meridian city","52120",,,,,,,,,,,,,,,,"16000US1652120","Meridian city, Idaho",99938,92630,105,120,2075,0,926,4082,826,3256,"Meridian city, Idaho",46,3325,177,139,1072,201,712,2934,1124,2700
"G16056260","2017","ID",,,"Idaho","16",,,"Nampa city","56260",,,,,,,,,,,,,,,,"16000US1656260","Nampa city, Idaho",93585,77618,1172,876,570,51,9909,3389,540,2849,"Nampa city, Idaho",30,3964,628,780,461,104,3412,1857,443,1774
"G17002154","2017","IL",,,"Illinois","17",,,"Arlington Heights village","02154",,,,,,,,,,,,,,,,"16000US1702154","Arlington Heights village, Illinois",75097,62493,2407,0,6096,0,2724,1377,340,1037,"Arlington Heights village, Illinois",2944,2591,2285,190,1952,190,2226,958,330,774
"G17003012","2017","IL",,,"Illinois","17",,,"Aurora city","03012",,,,,,,,,,,,,,,,"16000US1703012","Aurora city, Illinois",202548,117300,20307,1051,20708,1013,35266,6903,1725,5178,"Aurora city, Illinois",4701,6254,3141,1149,4171,1553,6376,2664,1423,2354
"G17006613","2017","IL",,,"Illinois","17",,,"Bloomington city","06613",,,,,,,,,,,,,,,,"16000US1706613","Bloomington city, Illinois",77941,60636,7954,469,7244,0,208,1430,0,1430,"Bloomington city, Illinois",37,1932,1521,343,1253,190,358,684,190,684
"G17007133","2017","IL",,,"Illinois","17",,,"Bolingbrook village","07133",,,,,,,,,,,,,,,,"16000US1707133","Bolingbrook village, Illinois",72155,33573,15452,0,9856,0,11448,1826,318,1508,"Bolingbrook village, Illinois",3595,4262,3363,190,2341,190,3566,889,435,856
"G17012385","2017","IL",,,"Illinois","17",,,"Champaign city","12385",,,,,,,,,,,,,,,,"16000US1712385","Champaign city, Illinois",87426,56068,17268,160,10388,0,898,2644,97,2547,"Champaign city, Illinois",34,2470,2139,185,1841,190,820,1122,155,1109
"G17014000","2017","IL",,,"Illinois","17",,,"Chicago city","14000",,,,,,,,,,,,,,,,"16000US1714000","Chicago city, Illinois",2716462,1354634,809079,7819,181505,390,286849,76186,20021,56165,"Chicago city, Illinois",62,19804,13927,2355,9190,413,17704,6264,3535,5494
"G17014351","2017","IL",,,"Illinois","17",,,"Cicero town","14351",,,,,,,,,,,,,,,,"16000US1714351","Cicero town, Illinois",82560,28317,1327,0,505,0,51025,1386,1142,244,"Cicero town, Illinois",33,3756,631,190,428,190,3925,1370,1176,320
"G17018823","2017","IL",,,"Illinois","17",,,"Decatur city","18823",,,,,,,,,,,,,,,,"16000US1718823","Decatur city, Illinois",68645,48035,15310,338,576,19,297,4070,0,4070,"Decatur city, Illinois",2723,2615,1695,254,418,42,214,1348,190,1348
"G17023074","2017","IL",,,"Illinois","17",,,"Elgin city","23074",,,,,,,,,,,,,,,,"16000US1723074","Elgin city, Illinois",114459,73410,4954,2480,4553,0,25624,3438,983,2455,"Elgin city, Illinois",4746,7207,1768,2714,2038,190,5999,1183,647,977
"G17024582","2017","IL",,,"Illinois","17",,,"Evanston city","24582",,,,,,,,,,,,,,,,"16000US1724582","Evanston city, Illinois",74752,48766,13752,0,6534,0,1962,3738,339,3399,"Evanston city, Illinois",29,3524,3086,190,2238,190,1129,1611,321,1580
"G17038570","2017","IL",,,"Illinois","17",,,"Joliet city","38570",,,,,,,,,,,,,,,,"16000US1738570","Joliet city, Illinois",147150,92151,24986,226,2583,113,21636,5455,1305,4150,"Joliet city, Illinois",5867,6530,5247,271,1481,135,4994,2137,917,1901
"G17051622","2017","IL",,,"Illinois","17",,,"Naperville city","51622",,,,,,,,,,,,,,,,"16000US1751622","Naperville city, Illinois",148584,109460,6362,0,28152,0,532,4078,446,3632,"Naperville city, Illinois",1644,3718,2162,190,3474,190,471,1401,401,1317
"G17057225","2017","IL",,,"Illinois","17",,,"Palatine village","57225",,,,,,,,,,,,,,,,"16000US1757225","Palatine village, Illinois",68610,45882,1328,45,6832,0,11701,2822,1590,1232,"Palatine village, Illinois",53,4174,839,76,2020,190,4462,1886,1707,615
"G17059000","2017","IL",,,"Illinois","17",,,"Peoria city","59000",,,,,,,,,,,,,,,,"16000US1759000","Peoria city, Illinois",115637,72979,30682,71,6504,0,1767,3634,281,3353,"Peoria city, Illinois",2744,3009,2068,123,837,190,1367,1605,275,1575
"G17065000","2017","IL",,,"Illinois","17",,,"Rockford city","65000",,,,,,,,,,,,,,,,"16000US1765000","Rockford city, Illinois",148287,102643,32584,451,4067,28,3394,5120,520,4600,"Rockford city, Illinois",2225,3779,2532,321,1688,44,1556,1470,335,1442
"G17068003","2017","IL",,,"Illinois","17",,,"Schaumburg village","68003",,,,,,,,,,,,,,,,"16000US1768003","Schaumburg village, Illinois",73118,45922,3292,130,19196,0,2094,2484,746,1738,"Schaumburg village, Illinois",1234,3548,1213,220,3518,190,1368,1152,547,954
"G17070122","2017","IL",,,"Illinois","17",,,"Skokie village","70122",,,,,,,,,,,,,,,,"16000US1770122","Skokie village, Illinois",63984,41288,4253,55,15054,250,681,2403,541,1862,"Skokie village, Illinois",34,3154,2205,91,2639,338,779,1180,642,1029
"G17072000","2017","IL",,,"Illinois","17",,,"Springfield city","72000",,,,,,,,,,,,,,,,"16000US1772000","Springfield city, Illinois",114663,83754,22906,16,3925,58,248,3756,211,3545,"Springfield city, Illinois",35,1455,1634,29,431,95,193,1080,226,1098
"G17079293","2017","IL",,,"Illinois","17",,,"Waukegan city","79293",,,,,,,,,,,,,,,,"16000US1779293","Waukegan city, Illinois",88805,32882,20018,985,4365,82,27662,2811,1579,1232,"Waukegan city, Illinois",3709,4808,3580,871,1399,138,4633,1368,1054,814
"G18005860","2017","IN",,,"Indiana","18",,,"Bloomington city","05860",,,,,,,,,,,,,,,,"16000US1805860","Bloomington city, Indiana",85551,69976,3226,189,8148,47,444,3521,71,3450,"Bloomington city, Indiana",2866,3225,1181,215,1036,91,346,1216,138,1195
"G18010342","2017","IN",,,"Indiana","18",,,"Carmel city","10342",,,,,,,,,,,,,,,,"16000US1810342","Carmel city, Indiana",93148,75921,2618,817,10578,85,303,2826,137,2689,"Carmel city, Indiana",1777,2920,1719,330,2006,134,507,1319,212,1266
"G18022000","2017","IN",,,"Indiana","18",,,"Evansville city","22000",,,,,,,,,,,,,,,,"16000US1822000","Evansville city, Indiana",117940,96714,14880,239,593,0,1698,3816,0,3816,"Evansville city, Indiana",2910,3364,1994,335,508,197,966,1687,197,1687
"G18023278","2017","IN",,,"Indiana","18",,,"Fishers city","23278",,,,,,,,,,,,,,,,"16000US1823278","Fishers city, Indiana",90907,75954,6562,0,5782,0,964,1645,399,1246,"Fishers city, Indiana",2475,3736,2136,197,2069,197,1191,888,549,733
"G18025000","2017","IN",,,"Indiana","18",,,"Fort Wayne city","25000",,,,,,,,,,,,,,,,"16000US1825000","Fort Wayne city, Indiana",254796,184984,38292,792,14039,0,4331,12358,448,11910,"Fort Wayne city, Indiana",4214,4169,2562,385,1401,197,1916,2939,298,2942
"G18027000","2017","IN",,,"Indiana","18",,,"Gary city","27000",,,,,,,,,,,,,,,,"16000US1827000","Gary city, Indiana",76430,12035,60467,40,186,0,2267,1435,693,742,"Gary city, Indiana",3074,2842,3519,54,216,197,1761,858,583,580
"G18031000","2017","IN",,,"Indiana","18",,,"Hammond city","31000",,,,,,,,,,,,,,,,"16000US1831000","Hammond city, Indiana",76627,37528,15444,332,1492,0,19004,2827,1035,1792,"Hammond city, Indiana",43,3921,2550,287,1032,197,4014,1045,558,915
"G18036003","2017","IN",,,"Indiana","18",,,"Indianapolis city (balance)","36003",,,,,,,,,,,,,,,,"16000US1836003","Indianapolis city (balance), Indiana",857386,537680,238723,1388,27007,144,20112,32332,2013,30319,"Indianapolis city (balance), Indiana",4890,7988,6055,785,2360,171,4897,4882,986,4883
"G18040788","2017","IN",,,"Indiana","18",,,"Lafayette city","40788",,,,,,,,,,,,,,,,"16000US1840788","Lafayette city, Indiana",71225,62310,4896,73,611,0,2033,1302,0,1302,"Lafayette city, Indiana",2763,3376,1673,122,456,197,1161,689,197,689
"G18051876","2017","IN",,,"Indiana","18",,,"Muncie city","51876",,,,,,,,,,,,,,,,"16000US1851876","Muncie city, Indiana",68450,56115,7578,0,859,0,386,3512,486,3026,"Muncie city, Indiana",1521,1863,1424,197,631,197,358,1466,476,1346
"G18071000","2017","IN",,,"Indiana","18",,,"South Bend city","71000",,,,,,,,,,,,,,,,"16000US1871000","South Bend city, Indiana",96143,61969,24718,309,973,0,3958,4216,393,3823,"South Bend city, Indiana",2398,3701,2617,273,617,197,2278,1348,287,1350
"G19001855","2017","IA",,,"Iowa","19",,,"Ames city","01855",,,,,,,,,,,,,,,,"16000US1901855","Ames city, Iowa",66500,54844,2606,79,7553,0,170,1248,175,1073,"Ames city, Iowa",20,972,543,154,1029,163,233,731,216,684
