GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G06003526","2017","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",380887,261398,28892,2100,27391,1005,47158,12943,3228,9715,"Bakersfield city, California",64,7646,3628,812,3573,471,5867,2647,1243,2277
"G06003666","2017","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",76392,28529,1968,1803,12779,1566,28001,1746,1557,189,"Baldwin Park city, California",46,4365,1240,1217,3154,1568,4470,826,863,216
"G06004982","2017","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",77772,25783,11024,324,9004,826,27827,2984,476,2508,"Bellflower city, California",32,3346,2728,273,2492,1273,4351,1203,376,1056
"G06006000","2017","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",122334,70633,11277,681,23736,859,5889,9259,832,8427,"Berkeley city, California",48,3450,2994,464,2566,529,1567,1599,436,1599
"G06008786","2017","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",83026,39156,3900,1845,22018,273,12082,3752,977,2775,"Buena Park city, California",50,5582,1728,1884,4283,298,4043,1713,1053,1279
"G06008954","2017","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",104823,78485,4692,426,11319,0,3811,6090,889,5201,"Burbank city, California",45,4227,2382,374,3020,210,1730,1787,470,1732
"G06010046","2017","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",67849,50762,1043,736,9342,529,1987,3450,0,3450,"Camarillo city, California",33,3051,732,556,2475,512,1200,1725,210,1725
"G06011194","2017","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",115326,97240,1239,249,9781,317,1933,4567,190,4377,"Carlsbad city, California",43,4239,1121,279,3315,495,1104,1532,225,1512
"G06011390","2017","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",65959,51028,2261,265,5244,0,1429,5732,187,5545,"Carmichael CDP, California",5778,5413,1144,179,1743,210,793,1848,211,1838
"G06011530","2017","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",92736,31449,19033,601,23926,391,10423,6913,1185,5728,"Carson city, California",28,5197,4004,807,4026,303,3573,3354,991,3230
