GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G05041000","2018","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",197868,97114,84329,1333,6262,145,4617,4068,440,3628,"Little Rock city, Arkansas",59,4964,4993,1131,1662,179,2239,1853,544,1707
"G05050450","2018","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",66126,36551,25815,208,435,0,1258,1859,0,1859,"North Little Rock city, Arkansas",26,2948,3377,267,478,201,1028,1415,201,1415
"G05060410","2018","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",67615,61114,1272,307,1173,1005,1376,1368,168,1200,"Rogers city, Arkansas",54,1527,668,252,798,595,737,649,214,609
"G05066080","2018","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",81641,51853,2545,1527,1817,5288,16398,2213,730,1483,"Springdale city, Arkansas",2630,5180,1674,936,2065,1589,4314,1521,628,1242
"G06000562","2018","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",78322,37702,5863,97,21905,421,4374,7960,1215,6745,"Alameda city, California",62,3645,2461,100,2791,462,2022,3015,894,2946
"G06000884","2018","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",84650,19460,1843,312,39097,38,20131,3769,357,3412,"Alhambra city, California",38,3200,862,262,3815,80,3920,2040,254,2020
"G06002000","2018","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",352018,233389,10405,2002,53606,552,40264,11800,3278,8522,"Anaheim city, California",59,10944,2850,1444,6937,509,8503,2971,1941,2141
"G06002252","2018","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",111535,46695,22219,978,14829,397,14402,12015,4397,7618,"Antioch city, California",41,5474,4868,951,3369,427,4226,3233,2695,2403
"G06002364","2018","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",73508,55980,6657,254,1247,2,5516,3852,651,3201,"Apple Valley town, California",30,3532,2040,208,799,5,2493,1680,486,1591
"G06002553","2018","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",107894,69433,9594,881,7135,404,12763,7684,977,6707,"Arden-Arcade CDP, California",7249,6767,2684,766,2344,440,4376,2717,646,2588
"G06003526","2018","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",383601,263237,32383,2737,24531,1119,45143,14451,5518,8933,"Bakersfield city, California",93,7491,4866,1190,3513,355,7109,3551,2229,2779
"G06003666","2018","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",75806,33502,589,1046,15349,0,11032,14288,13869,419,"Baldwin Park city, California",34,4784,411,1276,3585,211,3457,4236,4227,458
"G06004982","2018","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",77132,24296,9733,258,10031,1263,28089,3462,1666,1796,"Bellflower city, California",30,3513,2721,234,2976,1249,4628,1327,912,984
"G06006000","2018","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",121654,64094,9894,687,29839,758,6669,9713,1889,7824,"Berkeley city, California",50,3789,2710,340,3524,508,2337,2000,1159,1883
"G06008786","2018","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",82435,42395,2605,444,28735,250,5418,2588,984,1604,"Buena Park city, California",62,4934,1344,407,4828,311,2263,1069,738,787
"G06008954","2018","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",103687,77672,2307,894,12766,0,6957,3091,745,2346,"Burbank city, California",36,4280,1283,647,2878,211,2424,1137,588,967
"G06010046","2018","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",69112,55881,1493,136,4832,136,1390,5244,965,4279,"Camarillo city, California",53,2620,794,148,1552,225,751,1507,781,1440
"G06011194","2018","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",115897,99089,2519,100,9825,0,946,3418,251,3167,"Carlsbad city, California",79,4329,2204,158,2885,211,666,1481,319,1473
