GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G06002000","2012","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",343241,233546,7450,1057,52130,2313,37487,9258,2302,6956,"Anaheim city, California",58,9955,2164,604,6033,1570,6942,1949,842,1728
"G06002252","2012","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",105495,50421,16971,2098,11378,493,13970,10164,1210,8954,"Antioch city, California",58,5052,3660,981,3139,702,3401,2995,808,2949
"G06002364","2012","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",70682,55944,6872,2034,789,0,2062,2981,1032,1949,"Apple Valley town, California",65,4037,2654,1850,527,197,1048,1425,1131,859
"G06002553","2012","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",88995,62130,7418,1329,5066,185,6314,6553,1063,5490,"Arden-Arcade CDP, California",6952,5020,2622,1614,1676,289,2320,1828,618,1727
"G06003526","2012","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",358600,227512,32587,5545,25949,334,51169,15504,2927,12577,"Bakersfield city, California",52,8826,3347,2566,2844,289,8212,4390,1145,4452
"G06003666","2012","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",76437,24435,1643,335,11530,352,36887,1255,851,404,"Baldwin Park city, California",56,3918,1139,408,2350,504,4386,651,583,322
"G06004982","2012","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",77334,39859,11293,201,10262,0,13135,2584,901,1683,"Bellflower city, California",77,4335,2910,209,2609,197,3598,758,457,702
"G06006000","2012","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",115417,72460,8986,741,20924,243,5246,6817,890,5927,"Berkeley city, California",61,3387,2182,465,3246,242,1663,1456,661,1262
"G06008786","2012","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",82152,49808,2067,711,23341,664,2313,3248,1263,1985,"Buena Park city, California",42,4905,2017,712,4327,682,1270,1211,742,902
"G06008954","2012","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",104380,79642,2433,179,10892,93,6054,5087,522,4565,"Burbank city, California",39,3860,1226,172,2848,145,2130,1636,473,1522
