GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAA6E001,AAA6E002,AAA6E003,AAA6E004,AAA6E005,AAA6E006,AAA6E007,AAA6E008,AAA6E009,AAA6E010,NAME_M,AAA6M001,AAA6M002,AAA6M003,AAA6M004,AAA6M005,AAA6M006,AAA6M007,AAA6M008,AAA6M009,AAA6M010
"G06036000","2014","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",200814,151238,2261,1563,23707,366,11119,10560,1119,9441,"Huntington Beach city, California",43,5336,934,947,3351,214,3593,1983,653,1842
"G06036448","2014","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",85639,39606,1200,810,2489,33,37719,3782,2610,1172,"Indio city, California",39,4217,868,832,1575,60,4490,1985,1675,863
"G06036546","2014","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",111901,29382,48988,964,1496,379,25314,5378,732,4646,"Inglewood city, California",32,3722,4798,722,953,528,4309,2138,600,2059
"G06036770","2014","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",248521,120744,6816,420,94616,89,9632,16204,2118,14086,"Irvine city, California",43,8559,3549,314,8856,123,3909,7178,1313,7125
"G06037692","2014","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",98843,52346,2865,1803,3029,165,33435,5200,1614,3586,"Jurupa Valley city, California",34,5670,1201,1213,1489,221,5537,2793,1678,2128
"G06039248","2014","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",65435,50110,1684,446,6978,154,2763,3300,958,2342,"Laguna Niguel city, California",49,2977,934,542,1896,258,1474,1233,584,1161
"G06039496","2014","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",80125,56964,1450,1015,9860,117,8270,2449,405,2044,"Lake Forest city, California",82,4151,1363,1090,2493,139,3269,787,354,785
"G06039892","2014","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",81641,38864,5522,600,12818,958,19475,3404,1065,2339,"Lakewood city, California",56,3614,1707,483,2299,602,4121,1127,854,767
"G06040130","2014","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",161036,96978,38908,1068,6809,748,8155,8370,2272,6098,"Lancaster city, California",37,7122,6477,710,2617,637,3076,1856,1182,1701
"G06041992","2014","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",86856,69338,1504,171,8448,193,2933,4269,937,3332,"Livermore city, California",56,3442,884,165,2717,302,1567,1111,633,1098
"G06043000","2014","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",473605,257998,59993,2428,68620,4891,57858,21817,5374,16443,"Long Beach city, California",109,8064,6486,1388,6422,2811,7579,3243,1427,2778
"G06044000","2014","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",3928827,2101883,350773,32059,456847,8781,844671,133813,33636,100177,"Los Angeles city, California",94,24516,10651,6067,14381,2441,22081,8012,3811,6912
"G06044574","2014","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",71846,36863,7440,374,177,34,26093,865,345,520,"Lynwood city, California",31,4560,2548,352,186,62,4633,763,567,514
"G06045484","2014","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",73477,47219,1519,854,8488,28,10854,4515,1739,2776,"Manteca city, California",65,5585,986,527,4627,51,3489,2066,1555,1337
"G06046842","2014","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",85201,57741,5329,759,4991,442,12232,3707,526,3181,"Menifee city, California",70,4225,1876,834,1864,482,3505,1174,352,1150
"G06046898","2014","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",81739,39143,5510,248,11036,91,21154,4557,2201,2356,"Merced city, California",30,3170,1083,214,2414,157,3237,1537,1151,1075
"G06047766","2014","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",73679,14487,1570,242,45908,399,7482,3591,735,2856,"Milpitas city, California",31,3053,718,255,3905,281,2605,1438,550,1427
"G06048256","2014","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",97231,75620,666,274,8490,0,7748,4433,534,3899,"Mission Viejo city, California",80,4826,517,341,2248,200,4773,1326,339,1258
"G06048354","2014","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",209308,157995,7099,1813,15262,1666,17652,7821,1825,5996,"Modesto city, California",76,5689,1746,895,3201,1015,4592,2008,915,1817
"G06049270","2014","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",202978,81239,34318,1441,16389,1113,61609,6869,1686,5183,"Moreno Valley city, California",47,7587,4327,865,3926,862,7589,2186,863,1983
"G06049670","2014","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",79374,46016,2314,44,24891,61,2254,3794,267,3527,"Mountain View city, California",29,3925,1197,76,3643,102,1412,1300,173,1277
"G06050076","2014","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",108371,74588,10562,916,4706,485,9070,8044,1352,6692,"Murrieta city, California",46,5666,3607,937,1702,508,4576,2065,867,1998
"G06050258","2014","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",80009,60725,984,462,2337,0,12971,2530,1168,1362,"Napa city, California",30,3157,574,576,955,200,2928,1497,1233,547
