GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G1701610","2014","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",18577,17669,402,748,241,614,812,788,1140,903,1255,1669,1448,2021,1351,780,585,1193,317,651,79,367,305,908,"Rock Island County, Illinois",1534,1518,432,501,177,263,494,404,514,426,562,646,566,701,490,559,345,676,273,356,100,225,236,370
"G1701630","2014","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",35774,33339,1592,593,1072,917,1066,1072,2168,1951,3273,2718,1641,2737,1653,1563,2943,1411,991,1819,343,1355,461,2435,"St. Clair County, Illinois",2474,2480,700,380,608,516,527,512,794,663,1005,914,722,1003,598,792,957,640,506,791,217,622,237,740
"G1701670","2014","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",26644,25772,314,316,411,747,455,987,1213,1870,2498,2316,2967,2420,2616,1078,1264,2059,888,680,397,199,77,872,"Sangamon County, Illinois",2032,1904,182,240,325,339,340,442,596,806,786,795,848,637,785,529,581,730,336,331,251,118,66,493
"G1701790","2014","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",12612,11468,0,0,294,333,585,200,190,784,1561,1298,1247,912,389,402,407,905,492,524,61,327,557,1144,"Tazewell County, Illinois",1443,1402,182,182,256,245,437,203,197,512,615,547,684,434,276,381,258,553,298,288,98,221,416,454
"G1701830","2014","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",10788,9726,340,316,330,294,593,289,679,1670,1310,815,650,378,770,924,75,59,40,88,0,106,0,1062,"Vermilion County, Illinois",1229,1145,276,257,286,330,571,168,338,577,497,463,487,343,420,511,95,74,70,116,182,82,182,422
"G1701970","2014","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",43883,41566,298,264,793,249,633,434,243,511,396,1662,1093,1981,1665,3145,2432,6227,3643,6379,4480,4016,1022,2317,"Will County, Illinois",3105,3061,195,219,401,201,301,273,156,314,307,742,496,596,693,829,782,1297,948,1509,1152,1272,452,820
"G1701990","2014","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",7662,6871,156,317,0,238,472,321,246,848,579,807,167,562,964,187,239,466,73,125,0,104,0,791,"Williamson County, Illinois",1176,1095,147,247,182,207,348,354,176,384,400,574,132,344,525,170,232,323,86,136,182,116,182,402
"G1702010","2014","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",41384,39891,481,615,989,528,734,953,1052,2523,4078,4293,3514,3210,2794,2424,1737,4096,2059,2092,933,346,440,1493,"Winnebago County, Illinois",2102,2135,320,457,420,287,365,369,433,838,1019,854,906,952,781,700,674,959,707,711,467,326,238,524
"G1800030","2014","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",43733,41951,217,497,667,803,744,1817,1412,4607,5376,7096,5001,3447,2758,1519,1702,1848,742,813,409,344,132,1782,"Allen County, Indiana",2172,2147,184,308,383,315,447,601,485,919,1019,1240,1266,877,998,485,745,640,479,474,255,217,108,743
"G1800050","2014","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",9603,9328,81,62,274,481,85,568,205,129,309,748,948,1466,890,366,573,704,740,399,144,0,156,275,"Bartholomew County, Indiana",1237,1186,131,103,283,488,140,416,176,123,228,403,397,760,494,203,346,360,381,270,171,187,177,266
