GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G2900770","2013","MO",,,"Missouri","29","Greene County","077",,,,,,,,,,,,,,,,,,"05000US29077","Greene County, Missouri",50281,47880,607,401,318,875,925,1416,3321,4804,6766,4144,5482,5024,3873,2246,2152,2010,1281,903,208,553,571,2401,"Greene County, Missouri",2669,2643,380,279,316,544,572,713,1064,1127,1295,1181,1370,1196,1136,787,798,982,619,529,186,485,486,737
"G2900950","2013","MO",,,"Missouri","29","Jackson County","095",,,,,,,,,,,,,,,,,,"05000US29095","Jackson County, Missouri",114445,108889,684,1843,1730,1938,1896,3018,4605,6960,7391,9630,12355,9593,10438,7281,5273,8749,5142,6151,1545,1515,1152,5556,"Jackson County, Missouri",4123,3968,290,701,664,672,686,895,1201,1383,1605,1819,1990,1394,1803,1495,1202,1725,1316,1231,548,561,467,1418
"G2900970","2013","MO",,,"Missouri","29","Jasper County","097",,,,,,,,,,,,,,,,,,"05000US29097","Jasper County, Missouri",16700,15959,96,577,417,234,515,1149,697,1698,2636,1575,2554,1487,553,774,230,612,0,83,72,0,0,741,"Jasper County, Missouri",1795,1770,113,413,272,227,248,530,309,648,942,843,997,842,312,432,192,520,184,141,117,184,184,403
"G2900990","2013","MO",,,"Missouri","29","Jefferson County","099",,,,,,,,,,,,,,,,,,"05000US29099","Jefferson County, Missouri",15009,13924,67,0,135,146,546,303,680,844,928,920,1801,1823,983,1400,432,1070,433,1014,286,77,36,1085,"Jefferson County, Missouri",1751,1746,109,184,185,164,510,231,431,636,344,560,694,678,594,677,290,516,304,577,344,129,58,571
"G2901650","2013","MO",,,"Missouri","29","Platte County","165",,,,,,,,,,,,,,,,,,"05000US29165","Platte County, Missouri",14406,14094,0,12,352,236,188,85,220,749,750,1509,376,1747,1674,612,1020,1323,1112,890,195,387,657,312,"Platte County, Missouri",1472,1442,184,22,427,312,222,138,112,534,423,612,287,729,739,385,585,550,638,431,181,260,390,239
"G2901830","2013","MO",,,"Missouri","29","St. Charles County","183",,,,,,,,,,,,,,,,,,"05000US29183","St. Charles County, Missouri",29285,27812,126,104,137,239,213,472,728,386,1095,1247,2391,1708,2415,1481,1443,3375,2995,4354,1363,790,750,1473,"St. Charles County, Missouri",2762,2680,152,175,146,223,204,332,557,321,689,519,976,599,837,598,668,997,852,1199,581,476,379,665
"G2901870","2013","MO",,,"Missouri","29","St. Francois County","187",,,,,,,,,,,,,,,,,,"05000US29187","St. Francois County, Missouri",7596,7260,58,271,122,335,382,572,797,775,588,872,503,725,443,169,0,216,48,78,0,0,306,336,"St. Francois County, Missouri",1299,1291,103,200,190,361,331,415,475,459,467,485,402,647,433,162,184,271,85,137,184,184,338,301
"G2901890","2013","MO",,,"Missouri","29","St. Louis County","189",,,,,,,,,,,,,,,,,,"05000US29189","St. Louis County, Missouri",118080,112770,409,931,1359,1084,937,1627,1708,2379,5779,9117,8993,7946,10712,10522,7780,14516,7912,7849,3700,4368,3142,5310,"St. Louis County, Missouri",4385,4528,265,615,703,691,605,631,731,880,1128,1716,1575,1619,1932,1800,1554,1832,1232,1473,1125,1240,792,1116
"G2905100","2013","MO",,,"Missouri","29","St. Louis city","510",,,,,,,,,,,,,,,,,,"05000US29510","St. Louis city, Missouri",78985,76382,1199,2535,1451,2876,1388,2750,3117,5877,7162,8345,7542,5563,5440,4206,2853,4660,2034,3716,1607,1437,624,2603,"St. Louis city, Missouri",3232,3293,701,880,494,775,582,773,814,1384,1354,1498,1402,1087,1303,1184,746,898,778,970,551,575,500,852
"G3000130","2013","MT",,,"Montana","30","Cascade County","013",,,,,,,,,,,,,,,,,,"05000US30013","Cascade County, Montana",12376,12045,210,15,310,167,280,487,748,944,1496,1245,742,579,906,660,577,538,636,1065,217,92,131,331,"Cascade County, Montana",1288,1272,246,27,250,136,227,295,402,493,705,549,415,275,546,333,378,294,340,487,219,120,140,189
