GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G1201070","2013","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Putnam County, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G1201090","2013","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",18225,17306,0,42,193,193,0,99,0,469,164,324,278,1171,927,873,829,2169,2974,2961,1160,1823,657,919,"St. Johns County, Florida",2468,2424,218,52,234,255,218,128,218,424,159,265,455,700,584,534,446,855,915,967,639,979,448,558
"G1201110","2013","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",32791,30168,258,110,293,873,119,655,364,779,86,1991,1326,2371,1877,2024,1427,4220,2165,6754,1698,309,469,2623,"St. Lucie County, Florida",3482,3327,245,183,246,748,203,547,421,543,110,936,832,996,1113,844,723,1339,868,2026,944,365,537,1143
"G1201130","2013","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",17957,16465,380,0,57,386,292,575,372,412,671,754,697,1696,990,377,824,1283,1050,3190,1667,753,39,1492,"Santa Rosa County, Florida",1984,1945,415,218,96,353,443,563,318,289,546,384,504,980,580,210,564,596,698,1163,753,569,64,867
"G1201150","2013","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",44943,42630,63,99,349,198,483,510,545,978,770,1462,1047,3358,1989,2765,2757,8228,3537,5995,3669,1088,2740,2313,"Sarasota County, Florida",3268,3330,76,145,300,270,361,465,417,587,438,667,411,1236,840,870,864,1792,964,1668,1363,425,858,697
"G1201170","2013","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",46741,45194,228,354,260,62,158,156,224,250,81,1598,1518,1668,4134,3117,4092,6358,6240,9680,3207,866,943,1547,"Seminole County, Florida",3168,3093,210,325,317,78,171,122,337,282,136,791,833,574,1288,1084,1267,1517,1413,1673,930,349,507,711
"G1201190","2013","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Florida",,,,,,,,,,,,,,,,,,,,,,,,
"G1201270","2013","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",62815,59165,279,332,343,1127,413,888,416,910,2242,2602,4048,5559,4675,4396,4452,8961,5992,6041,1970,2219,1300,3650,"Volusia County, Florida",4175,4116,252,293,267,601,274,618,407,441,891,959,1193,1434,1056,971,1377,1768,1416,1356,696,880,682,1148
"G1300130","2013","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",6233,5744,53,0,84,0,173,92,143,414,427,286,636,228,895,228,144,487,335,1000,0,119,0,489,"Barrow County, Georgia",1212,1161,66,214,114,214,197,122,87,366,239,262,482,237,445,217,193,268,231,526,214,80,214,404
"G1300150","2013","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Bartow County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1300210","2013","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",25944,24504,783,902,631,1119,393,700,766,1573,3063,2390,2893,1634,2438,1117,1668,1183,452,579,0,88,132,1440,"Bibb County, Georgia",1949,2029,354,334,407,429,284,329,510,614,951,828,1063,764,891,583,735,459,287,534,214,153,118,667
"G1300310","2013","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",12673,11705,361,0,34,407,216,614,234,1176,1748,1061,606,270,201,1029,544,868,491,887,668,229,61,968,"Bulloch County, Georgia",1743,1732,384,214,57,439,342,427,228,704,828,605,454,239,176,639,444,518,373,487,487,186,106,643
"G1300450","2013","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",14988,13826,76,458,40,38,0,679,495,1288,854,1473,1131,1548,795,833,716,1880,523,622,238,0,139,1162,"Carroll County, Georgia",1788,1885,130,480,73,65,214,552,448,773,654,764,512,742,565,542,465,826,385,602,268,214,221,672
"G1300470","2013","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"05000US13047","Catoosa County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Catoosa County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1300510","2013","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",47530,45059,543,1013,595,439,698,782,1446,1098,2240,2084,2813,2238,4271,2809,3012,5417,3262,6384,2098,1112,705,2471,"Chatham County, Georgia",3108,3057,327,498,413,310,348,416,674,432,762,764,836,660,1066,771,968,1141,1077,1578,830,525,479,557
"G1300570","2013","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",17681,17001,50,527,104,294,92,90,249,324,510,1215,207,1272,974,1224,1085,1958,1679,2682,1721,586,158,680,"Cherokee County, Georgia",2305,2263,89,794,145,217,144,143,400,293,434,707,234,663,621,698,724,963,806,1052,861,503,265,430
"G1300590","2013","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",27481,26905,219,0,244,605,359,306,608,1955,1495,3092,3142,1726,2673,1377,1498,2928,1454,1396,780,765,283,576,"Clarke County, Georgia",2029,2059,222,214,258,404,245,240,329,739,533,919,995,764,950,670,618,924,675,576,432,445,226,307
"G1300630","2013","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",43801,42562,475,182,219,86,655,237,136,1216,2138,2724,6232,5011,4802,4745,2669,6337,2202,1990,462,0,44,1239,"Clayton County, Georgia",2891,2755,393,209,193,148,706,205,220,594,833,775,1370,1332,1305,1320,834,1573,836,790,629,214,78,556
"G1300670","2013","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",97189,94583,287,312,40,111,395,473,658,1152,2041,3806,5686,8829,8709,7522,6042,14285,9544,15660,4282,2965,1784,2606,"Cobb County, Georgia",4282,4223,335,329,72,137,316,505,724,576,845,1118,1524,1576,1688,1534,1423,2388,1866,2459,1301,1090,787,806
"G1300730","2013","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1300770","2013","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",12679,11641,84,489,373,56,314,262,332,153,212,567,901,999,845,782,937,1668,818,1083,607,159,0,1038,"Coweta County, Georgia",1745,1738,139,507,351,100,378,368,428,183,216,415,663,799,560,544,589,776,404,564,361,141,214,478
"G1300890","2013","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",126569,123823,1173,1497,90,451,1033,1097,149,2010,3013,6658,8364,7992,11508,11481,9991,20378,9913,13887,6593,4673,1872,2746,"DeKalb County, Georgia",4587,4642,516,814,98,377,567,470,150,817,1082,1548,1582,1558,2120,2330,1651,2188,1453,2067,1707,1168,670,837
"G1300950","2013","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",18999,17998,761,270,595,893,996,1144,1121,2564,2541,1951,1114,1872,984,390,82,246,45,172,197,60,0,1001,"Dougherty County, Georgia",1523,1551,481,176,357,407,410,450,494,780,939,888,568,717,498,415,143,204,79,185,259,110,214,447
"G1300970","2013","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1301130","2013","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1301150","2013","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",14520,13664,317,470,275,1258,554,1062,1079,1593,1200,1186,1050,908,910,119,384,766,108,105,0,299,21,856,"Floyd County, Georgia",1689,1703,246,326,231,611,377,525,659,744,536,552,646,564,604,159,330,513,189,120,214,243,36,445
"G1301170","2013","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",9950,9156,136,0,21,0,52,213,234,437,52,441,218,512,275,333,345,683,967,1761,1090,1210,176,794,"Forsyth County, Georgia",1249,1251,213,214,35,214,86,283,255,365,85,348,170,447,254,275,284,339,499,532,561,593,177,515
"G1301210","2013","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",183036,177628,4140,1972,3861,2271,2010,1937,1618,2824,4324,7691,9697,11424,10494,11419,10524,22365,19043,28047,10565,6726,4676,5408,"Fulton County, Georgia",5628,5601,1235,661,1031,769,625,676,718,810,1019,1505,1782,2262,1916,2056,1984,2263,2424,2770,1975,1427,1134,1312
"G1301270","2013","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",12559,11560,278,61,264,142,104,325,404,823,876,1008,828,286,1223,599,945,943,712,902,54,678,105,999,"Glynn County, Georgia",1656,1627,256,100,307,185,159,283,325,439,575,551,403,215,708,449,413,628,389,576,93,463,127,520
"G1301350","2013","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",88783,86416,71,143,91,98,694,416,281,574,1208,3331,4030,6777,6946,8482,6770,13531,10157,15852,3040,2706,1218,2367,"Gwinnett County, Georgia",5255,5424,118,183,155,114,547,540,212,352,694,1112,1238,1382,1598,1485,1474,2293,1710,3021,1127,1510,792,883
"G1301390","2013","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",22667,20493,121,101,232,66,377,138,468,970,821,2403,1810,2719,2093,1781,1057,1892,1585,631,406,427,395,2174,"Hall County, Georgia",1929,1928,198,126,238,109,274,183,460,507,510,909,719,930,630,824,510,698,820,408,325,394,216,859
"G1301510","2013","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1301530","2013","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",20117,19172,524,107,681,91,316,130,0,994,1028,1231,1364,1542,2478,1429,1061,2999,1141,1218,143,430,265,945,"Houston County, Georgia",2006,2005,465,139,522,136,316,139,214,572,436,635,812,786,881,825,588,1222,809,740,139,381,406,634
"G1301790","2013","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",12707,12088,186,0,284,67,249,8,284,299,787,883,400,740,885,333,811,1910,1094,2413,367,73,15,619,"Liberty County, Georgia",1159,1066,213,214,359,102,262,14,213,192,421,488,304,455,496,275,443,656,503,687,286,73,29,357
"G1301850","2013","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",20490,19068,1132,317,284,308,780,681,928,1164,1766,1552,2025,1052,754,1050,1020,1198,1419,998,286,354,0,1422,"Lowndes County, Georgia",1712,1656,647,325,313,257,476,497,522,521,675,679,787,518,506,606,481,481,621,556,299,250,214,620
"G1302150","2013","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",37261,35912,551,494,278,1630,2025,1248,1907,2573,1602,1778,1927,1854,2782,2539,2115,2531,2595,2814,1447,760,462,1349,"Muscogee County, Georgia",2152,2140,363,261,247,557,757,476,693,923,591,683,641,815,746,1186,812,715,832,883,652,510,356,590
"G1302170","2013","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Newton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1302230","2013","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1302450","2013","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",34483,32411,622,291,397,895,883,837,1455,795,2442,3560,3451,2552,3973,2189,2547,1591,876,2506,283,266,0,2072,"Richmond County, Georgia",2587,2470,393,212,213,532,635,474,573,322,1000,874,1296,949,1029,835,1045,697,494,752,210,283,214,878
"G1302470","2013","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1302850","2013","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",10930,10385,436,103,372,201,520,344,1576,336,740,508,981,663,497,605,1242,603,437,119,0,53,49,545,"Troup County, Georgia",1332,1310,377,188,267,200,445,291,851,316,490,326,569,350,436,446,626,409,386,157,214,93,84,327
"G1302950","2013","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1302970","2013","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,"Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,
"G1303130","2013","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",12951,12409,111,131,109,300,592,243,909,1964,1210,1426,1732,1516,836,428,537,211,154,0,0,0,0,542,"Whitfield County, Georgia",1612,1639,130,205,141,358,501,219,580,812,675,597,763,808,529,287,339,342,195,214,214,214,214,299
"G1500010","2013","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",22053,18256,92,808,522,578,345,197,117,633,0,729,201,467,1476,373,1282,1572,2163,3200,1553,1431,517,3797,"Hawaii County, Hawaii",2328,2183,100,544,422,307,462,201,168,510,185,454,221,254,575,236,804,628,942,967,570,704,292,1145
"G1500030","2013","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",144383,137647,1374,1091,818,1668,1096,1747,619,1039,710,1842,1669,1669,1060,2503,2354,7326,10585,21491,14639,26020,36327,6736,"Honolulu County, Hawaii",4185,4164,566,450,320,430,517,747,313,509,351,605,585,767,449,862,758,1263,1583,2602,1749,2461,3164,1002
"G1500070","2013","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",8584,7621,18,97,308,57,33,59,36,79,273,531,0,115,147,375,80,293,516,1964,833,1100,707,963,"Kauai County, Hawaii",1109,1125,20,128,217,96,55,66,61,97,262,398,185,166,107,272,100,255,280,666,437,430,374,468
"G1500090","2013","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",22042,19869,0,368,0,308,178,316,67,484,289,344,72,498,636,623,238,1202,1864,4568,2215,4024,1575,2173,"Maui County, Hawaii",1819,1878,185,312,185,292,173,327,87,402,273,308,96,387,421,519,245,484,747,1135,717,1109,658,707
"G1600010","2013","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",49468,48037,365,491,259,905,567,283,1212,2025,953,2281,3528,6249,4711,3254,2782,7055,3403,3093,1458,1769,1394,1431,"Ada County, Idaho",3812,3839,416,603,275,661,325,272,861,939,493,983,1140,1783,1290,953,848,1778,1107,1044,609,1497,659,525
"G1600050","2013","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",10318,10118,259,33,34,135,441,925,829,629,1531,965,810,764,585,352,265,972,188,301,100,0,0,200,"Bannock County, Idaho",1347,1327,293,66,61,172,301,434,558,320,624,433,493,514,337,258,223,558,190,233,167,193,193,151
"G1600190","2013","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",10662,10314,135,31,135,0,443,379,415,661,1127,1316,805,1231,650,513,265,650,81,974,28,264,211,348,"Bonneville County, Idaho",1435,1465,134,57,131,193,381,329,365,432,568,723,416,569,456,415,231,479,121,512,54,371,215,253
"G1600270","2013","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",22043,21132,48,745,134,634,281,741,670,1680,2000,1534,3015,1114,1526,990,2067,2422,656,400,250,0,225,911,"Canyon County, Idaho",2623,2474,83,587,131,451,184,580,376,840,786,665,1229,574,689,660,858,800,591,446,245,193,274,569
"G1600550","2013","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",14298,13374,0,69,0,532,920,34,166,292,497,1376,1302,489,1122,979,987,1500,1306,1002,591,150,60,924,"Kootenai County, Idaho",1968,1912,193,114,193,643,779,71,166,243,281,654,629,331,604,545,447,834,761,533,500,165,73,506
"G1600830","2013","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",9603,8974,35,49,102,160,243,170,246,463,1072,737,810,488,943,153,669,1381,570,326,213,47,97,629,"Twin Falls County, Idaho",1178,1155,57,85,164,136,174,181,177,249,554,491,411,343,496,191,497,750,554,440,223,81,86,380
"G1700010","2013","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",9862,9229,305,81,367,628,898,904,1002,943,1025,1164,57,367,327,299,165,396,62,42,0,50,147,633,"Adams County, Illinois",1030,1039,291,135,236,358,572,608,597,554,498,620,68,238,244,215,143,293,82,71,185,83,246,355
"G1700190","2013","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",33948,32923,158,303,292,236,234,418,733,1474,2420,4104,2112,3155,2043,2461,2429,3011,1838,2455,1209,949,889,1025,"Champaign County, Illinois",2111,2110,195,357,246,228,207,323,398,578,753,1041,582,889,662,810,717,912,762,691,511,585,575,479
"G1700310","2013","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",846244,819672,8111,6429,18106,12434,7266,9421,8112,11777,12181,28766,23221,47868,44373,54080,53392,113547,83820,115067,58354,63120,40227,26572,"Cook County, Illinois",10441,10467,1188,1108,1845,1770,1653,1534,1555,1634,1864,2734,2506,3487,3133,3210,3543,5451,5382,6259,3829,5024,3808,2399
"G1700370","2013","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",16252,16105,256,137,305,19,149,10,228,743,834,823,990,2529,1129,1088,1071,1359,1135,2452,220,515,113,147,"DeKalb County, Illinois",1575,1586,396,198,366,36,252,18,252,695,498,442,570,892,534,548,741,705,677,778,212,418,129,135
"G1700430","2013","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",90057,86451,425,143,382,777,609,656,348,629,203,1040,308,1572,1307,3540,4539,14349,11354,20156,11638,8745,3731,3606,"DuPage County, Illinois",3614,3569,348,136,511,476,367,319,245,278,179,564,297,708,476,906,1157,1807,1649,2204,1603,1262,1126,957
"G1700890","2013","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",44689,42277,182,191,1343,432,90,391,49,294,546,176,998,3265,1844,2876,4556,6693,4605,6038,3590,3338,780,2412,"Kane County, Illinois",2698,2614,181,169,641,353,154,291,78,229,397,169,426,1129,625,940,1298,1410,1276,1220,1131,1149,489,758
"G1700910","2013","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",13597,12750,295,396,256,44,58,393,343,581,734,773,784,1490,623,1353,1162,1912,397,848,163,0,145,847,"Kankakee County, Illinois",1335,1333,376,339,200,66,100,282,235,341,497,455,336,637,457,602,628,617,280,516,178,185,139,425
"G1700930","2013","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2013","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",65538,62945,580,395,788,1060,155,957,700,782,1518,1427,1365,2657,3079,4279,4133,7964,6913,11689,4871,5230,2403,2593,"Lake County, Illinois",3226,3148,359,279,470,454,163,578,418,439,875,496,674,958,995,1324,1146,1389,1498,1528,1066,1192,610,901
"G1700990","2013","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",11391,10753,180,329,239,258,386,788,1165,623,971,948,840,822,319,463,576,376,378,471,161,316,144,638,"LaSalle County, Illinois",1309,1295,180,232,245,203,273,412,671,282,551,388,367,386,227,295,462,295,391,321,247,194,190,276
"G1701110","2013","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",21781,21018,194,78,195,621,42,245,0,69,202,619,127,590,1138,1020,912,3087,2723,4298,3533,944,381,763,"McHenry County, Illinois",2204,2193,313,130,259,672,68,163,185,88,183,361,155,318,591,476,456,810,809,1020,1221,488,321,466
"G1701130","2013","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",21148,20594,138,255,176,344,626,451,505,502,1087,2047,2066,1474,2638,1410,1684,1826,881,1264,370,596,254,554,"McLean County, Illinois",1557,1522,140,268,151,304,528,290,376,270,371,788,786,641,885,568,768,752,482,442,258,361,193,274
"G1701150","2013","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",12927,11740,482,82,447,636,277,622,796,1059,902,1376,976,656,644,693,381,393,206,470,162,175,305,1187,"Macon County, Illinois",1282,1314,343,106,245,357,253,360,399,478,349,542,432,339,328,313,282,287,248,291,223,164,232,563
"G1701190","2013","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",32906,29754,349,607,381,685,446,826,900,2433,1918,2528,2592,2949,3793,2604,1467,2100,1263,947,647,138,181,3152,"Madison County, Illinois",2520,2441,288,434,384,443,318,380,444,1006,601,766,834,813,1085,944,717,920,696,597,404,162,138,898
"G1701430","2013","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",27950,26192,664,420,583,466,409,1050,973,2072,2868,2166,2673,2609,2578,1056,856,1808,458,1031,610,380,462,1758,"Peoria County, Illinois",1768,1800,508,274,396,276,243,416,476,633,696,647,814,756,750,575,434,719,261,481,525,241,301,578
"G1701610","2013","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",19263,18227,186,471,613,648,350,1303,936,1100,1519,1883,1662,1834,1243,1156,973,939,233,531,26,523,98,1036,"Rock Island County, Illinois",1527,1597,154,289,369,408,251,551,409,433,603,770,646,759,690,504,569,444,172,332,43,273,128,474
"G1701630","2013","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",33834,32520,1363,815,1007,403,850,745,1115,2497,1853,3702,1729,2307,2853,1030,1067,2498,1423,2127,1109,1566,461,1314,"St. Clair County, Illinois",2407,2355,524,347,552,262,581,545,513,790,912,1024,651,853,874,664,548,941,648,683,652,650,328,555
"G1701670","2013","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",25039,23491,381,266,380,211,130,787,1524,1603,1872,2386,2504,2438,2436,1345,1417,2017,938,619,33,148,56,1548,"Sangamon County, Illinois",1994,1974,338,203,279,174,107,486,601,591,620,643,636,736,920,606,646,736,540,418,38,133,93,555
"G1701790","2013","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",14575,13489,173,212,66,156,447,169,1248,929,1539,1512,1949,875,451,1033,610,707,477,620,149,129,38,1086,"Tazewell County, Illinois",1733,1684,146,200,109,162,349,117,559,417,676,563,652,545,356,460,430,361,428,288,173,147,65,523
"G1701830","2013","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",8803,8190,256,230,263,309,181,807,1075,1224,1186,500,466,925,396,267,0,13,0,33,18,41,0,613,"Vermilion County, Illinois",1108,1126,181,137,165,192,183,355,460,551,479,220,339,488,279,276,185,23,185,56,32,68,185,246
"G1701970","2013","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",42169,39897,309,39,272,273,359,193,383,995,159,978,1941,2943,2736,4050,2505,6043,3085,5092,3092,3446,1004,2272,"Will County, Illinois",2657,2749,275,65,163,159,328,144,242,561,137,423,624,799,728,1051,779,1356,1010,1179,850,1087,443,721
"G1701990","2013","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",6795,6498,266,174,47,163,423,332,412,850,888,552,789,394,307,191,165,215,0,46,0,284,0,297,"Williamson County, Illinois",1209,1201,229,175,62,139,326,270,261,498,542,363,462,335,241,152,277,263,185,78,185,378,185,233
