GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHPKE001,AHPKE002,AHPKE003,AHPKE004,AHPKE005,AHPKE006,AHPKE007,AHPKE008,AHPKE009,AHPKE010,AHPKE011,AHPKE012,AHPKE013,AHPKE014,AHPKE015,AHPKE016,AHPKE017,AHPKE018,AHPKE019,AHPKE020,AHPKE021,AHPKE022,AHPKE023,AHPKE024,AHPKE025,AHPKE026,AHPKE027,NAME_M,AHPKM001,AHPKM002,AHPKM003,AHPKM004,AHPKM005,AHPKM006,AHPKM007,AHPKM008,AHPKM009,AHPKM010,AHPKM011,AHPKM012,AHPKM013,AHPKM014,AHPKM015,AHPKM016,AHPKM017,AHPKM018,AHPKM019,AHPKM020,AHPKM021,AHPKM022,AHPKM023,AHPKM024,AHPKM025,AHPKM026,AHPKM027
"G1701830","2017","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",8310,7976,227,391,185,290,294,300,352,652,1222,1070,649,842,369,655,20,197,0,76,109,76,0,0,0,0,334,"Vermilion County, Illinois",1168,1142,208,264,214,229,254,219,279,330,505,560,335,389,347,394,32,187,190,87,175,126,190,190,190,190,202
"G1701970","2017","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",42132,39583,589,196,342,333,359,344,218,364,382,715,490,1336,1829,1787,2675,5152,3200,6289,5923,4777,1048,874,126,235,2549,"Will County, Illinois",2600,2492,373,193,212,297,276,205,245,282,282,320,304,582,709,567,829,1206,819,1266,1512,1302,438,516,205,257,699
"G1701990","2017","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",7715,7025,490,124,243,501,165,242,579,416,192,708,597,223,353,287,197,275,266,560,216,248,143,0,0,0,690,"Williamson County, Illinois",1192,1183,467,165,267,366,108,185,383,349,217,354,407,185,276,209,159,179,337,505,311,218,210,190,190,190,357
"G1702010","2017","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",37271,35689,1020,412,514,1038,414,458,714,2099,2761,3250,3193,3035,3145,2761,1789,2831,2624,2293,625,206,380,0,127,0,1582,"Winnebago County, Illinois",1895,1919,551,291,289,616,228,302,415,764,789,1038,853,820,892,1009,703,849,695,778,311,183,271,190,125,190,496
"G1800030","2017","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",46698,44712,119,277,694,962,354,1220,1732,3084,4493,4874,4127,5199,4074,4580,2673,2213,1135,1529,756,515,36,0,42,24,1986,"Allen County, Indiana",2698,2596,148,328,486,624,215,590,617,841,1141,986,1039,1166,917,1187,893,859,526,527,433,301,59,197,70,39,654
"G1800050","2017","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",9179,8050,121,0,48,441,557,312,0,333,0,499,455,619,526,789,611,745,652,760,0,446,76,60,0,0,1129,"Bartholomew County, Indiana",1486,1304,197,197,83,454,538,308,197,335,197,253,320,385,391,541,312,500,428,366,197,393,124,102,197,197,706
"G1800110","2017","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800190","2017","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",12589,11548,92,230,234,414,134,107,150,329,466,1477,963,1147,712,732,1379,1463,681,211,181,133,200,0,113,0,1041,"Clark County, Indiana",1330,1306,157,231,323,344,154,140,126,297,365,694,553,572,407,447,515,640,482,187,237,212,197,197,182,197,496
"G1800350","2017","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",17988,16792,109,0,254,355,606,779,920,2361,1748,1485,1689,1245,2114,788,331,505,101,760,0,0,452,0,0,190,1196,"Delaware County, Indiana",1631,1601,177,197,190,244,473,447,595,782,729,651,655,617,861,523,252,408,170,656,197,197,523,197,197,291,557
"G1800390","2017","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",22255,21406,242,228,0,455,479,377,668,1371,1804,1894,1394,2192,2481,1982,1569,2310,784,566,49,243,37,62,0,219,849,"Elkhart County, Indiana",2169,2133,242,289,197,282,427,292,414,596,725,777,550,873,855,812,641,813,450,392,82,377,62,103,197,351,427
"G1800430","2017","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",7767,7243,250,20,190,99,120,88,61,609,395,566,925,964,565,623,436,556,369,257,150,0,0,0,0,0,524,"Floyd County, Indiana",1322,1238,292,35,165,116,106,92,102,435,297,375,547,433,354,314,315,368,267,223,182,197,197,197,197,197,344
"G1800530","2017","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800570","2017","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",25770,24854,0,0,0,38,0,456,15,161,99,847,319,839,1516,1199,1472,3797,3139,6232,2733,1269,216,197,151,159,916,"Hamilton County, Indiana",2330,2280,197,197,197,63,197,402,24,139,143,539,297,519,804,603,646,1113,1076,1512,990,627,236,259,180,182,562
"G1800590","2017","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800630","2017","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",13238,12272,0,131,0,0,0,45,112,154,220,600,737,273,712,902,1121,2361,1580,2136,507,56,68,0,557,0,966,"Hendricks County, Indiana",1968,1828,197,165,197,197,197,75,137,190,176,493,693,246,383,477,517,1057,769,859,393,101,114,197,471,197,783
"G1800670","2017","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",9769,9458,97,239,294,82,208,589,361,497,1216,1191,725,966,1036,711,243,303,130,474,0,0,96,0,0,0,311,"Howard County, Indiana",1494,1484,118,215,287,80,281,478,217,320,681,613,350,485,577,597,208,270,157,489,197,197,118,197,197,197,297
"G1800810","2017","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800850","2017","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kosciusko County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800890","2017","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",53879,49488,1421,697,713,1458,955,1307,744,1268,2095,3246,3559,4149,4353,3827,3774,6600,2750,4406,1381,722,63,0,0,0,4391,"Lake County, Indiana",2725,2770,542,405,467,553,510,728,378,582,684,729,1042,1037,1000,1032,1087,1413,885,1185,817,433,108,197,197,197,1005
"G1800910","2017","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",12098,11369,205,404,149,710,87,777,642,608,556,673,1012,1364,1128,807,292,838,517,365,0,0,0,0,235,0,729,"LaPorte County, Indiana",1549,1500,202,339,157,501,90,559,394,456,524,433,503,546,558,439,253,447,310,402,197,197,197,197,392,197,351
"G1800950","2017","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",15920,15299,0,514,507,430,292,198,830,1442,1290,2160,2370,1236,1338,457,602,529,519,530,55,0,0,0,0,0,621,"Madison County, Indiana",1755,1788,197,415,398,429,247,196,580,511,462,746,852,493,590,208,438,423,385,410,93,197,197,197,197,197,316
"G1800970","2017","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",169117,164791,1812,1042,2296,1358,1668,2128,1437,2723,7263,12966,15090,18108,13996,14497,14459,20554,9295,13981,6024,2435,763,372,273,251,4326,"Marion County, Indiana",5301,5340,894,605,734,534,651,725,716,786,1442,1978,1917,2327,2312,2300,2365,2276,1572,2246,1198,929,517,300,306,279,1065
"G1801050","2017","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",26462,25694,0,354,635,622,716,375,445,440,1694,1439,1362,2073,2013,1284,1279,2708,2610,2206,1492,1049,523,79,169,127,768,"Monroe County, Indiana",1878,1762,197,326,452,421,538,359,465,304,709,734,711,793,705,647,487,893,1041,788,822,597,321,131,263,124,468
"G1801090","2017","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1801270","2017","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",19436,18853,92,53,71,42,537,134,253,438,642,400,734,1837,2618,1603,1284,2339,2325,2067,809,386,0,0,189,0,583,"Porter County, Indiana",1650,1668,153,111,116,71,511,163,318,457,501,286,377,755,1013,737,662,933,880,862,492,414,197,197,217,197,334
"G1801410","2017","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",31583,29644,862,234,605,520,518,743,483,1791,686,2806,2928,3630,2485,2685,1581,3626,960,1272,607,241,325,0,56,0,1939,"St. Joseph County, Indiana",2343,2289,458,243,471,274,452,527,314,677,400,810,762,1031,759,888,666,1096,509,558,319,242,206,197,87,197,784
"G1801570","2017","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",28715,28412,26,131,252,248,164,241,1203,1137,2082,2443,2954,2605,2502,1969,1654,3830,989,1888,1084,666,45,130,0,169,303,"Tippecanoe County, Indiana",2199,2194,45,217,325,241,165,190,597,530,948,1063,994,843,711,711,612,1180,628,898,666,394,78,157,197,178,182
"G1801630","2017","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",25865,25172,267,433,73,447,257,112,700,1681,3480,2413,3027,2964,1136,2127,1866,1704,394,1391,322,289,0,89,0,0,693,"Vanderburgh County, Indiana",2467,2436,291,299,99,398,182,138,455,574,1052,693,836,834,424,816,804,724,222,900,311,351,197,74,197,197,382
"G1801670","2017","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",16657,15626,195,332,270,173,255,675,586,593,1199,1545,2459,2880,1120,236,576,1294,313,644,75,0,72,134,0,0,1031,"Vigo County, Indiana",1708,1584,182,271,186,173,254,382,447,402,640,767,857,936,433,165,336,542,266,388,94,197,123,156,197,197,734
"G1801770","2017","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1900130","2017","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",18799,18335,22,0,193,233,372,1022,393,451,1256,2631,1857,1591,2083,1244,1155,894,710,1098,157,896,39,0,38,0,464,"Black Hawk County, Iowa",1581,1597,40,163,166,196,251,598,242,323,469,881,599,642,877,536,501,500,348,487,148,620,65,163,61,163,314
"G1900490","2017","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Iowa",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1900610","2017","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",9605,9128,150,25,143,41,6,358,212,708,768,595,638,1098,705,532,468,982,316,938,298,39,0,27,0,81,477,"Dubuque County, Iowa",1211,1170,218,44,218,52,11,241,187,261,378,347,383,459,336,439,252,439,195,540,209,66,163,46,163,132,340
"G1901030","2017","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",22736,22035,86,0,281,25,23,884,0,90,141,542,532,1550,1119,2542,1746,3131,2093,2855,2035,1609,433,108,0,210,701,"Johnson County, Iowa",1950,1918,141,163,272,42,41,425,163,92,114,351,297,832,553,876,871,842,904,882,834,729,285,174,163,324,467
"G1901130","2017","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",21941,21033,55,22,16,228,218,653,1286,2543,525,2063,1690,2610,1502,1575,1428,2056,849,566,607,273,132,44,92,0,908,"Linn County, Iowa",1790,1729,64,37,27,189,211,501,590,1015,282,814,636,970,671,701,703,662,476,304,648,218,131,71,154,163,645
"G1901530","2017","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",59835,58139,264,482,210,776,603,530,790,2390,855,2219,1721,3908,5602,6187,5260,6667,7275,6932,2697,2138,257,120,184,72,1696,"Polk County, Iowa",3295,3329,246,409,265,464,273,395,552,1035,360,827,634,841,1584,1304,1369,1350,1615,1904,1175,890,294,201,295,61,603
"G1901550","2017","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",10942,10235,0,287,72,143,388,162,331,651,486,647,1022,500,1184,1585,553,880,482,502,325,35,0,0,0,0,707,"Pottawattamie County, Iowa",1155,1180,163,275,118,126,315,145,308,321,311,354,446,240,436,514,271,368,297,243,222,59,163,163,163,163,302
"G1901630","2017","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",18284,17624,225,93,135,285,56,134,333,1045,888,1440,827,2743,1579,1360,932,2263,954,1205,512,351,33,231,0,0,660,"Scott County, Iowa",1757,1777,234,101,217,196,92,142,180,447,417,599,415,869,747,531,446,637,486,461,280,263,55,198,163,163,327
"G1901690","2017","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",18035,17479,0,0,8,612,165,153,94,337,332,1290,445,1785,1713,1100,1122,1860,920,2523,1022,1743,177,43,35,0,556,"Story County, Iowa",1439,1430,163,163,14,503,197,147,137,219,262,580,260,736,744,544,511,850,507,892,679,811,284,76,59,163,390
"G1901930","2017","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",13185,12402,421,27,203,184,480,466,591,1050,482,1152,541,1192,1688,1041,485,721,1023,527,74,54,0,0,0,0,783,"Woodbury County, Iowa",1324,1299,407,33,140,142,429,363,388,498,293,579,321,525,592,588,346,409,599,318,86,90,163,163,163,163,363
"G2000150","2017","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",5926,5577,62,0,0,0,221,66,313,558,509,543,930,269,254,321,37,297,116,381,612,88,0,0,0,0,349,"Butler County, Kansas",1080,1074,108,177,177,177,196,71,247,386,352,401,489,225,186,310,47,250,140,315,415,147,177,177,177,177,248
"G2000450","2017","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",23249,22899,209,130,161,168,0,171,775,534,807,1768,1178,2338,2036,1380,1630,3110,1856,3374,737,456,0,0,81,0,350,"Douglas County, Kansas",2127,2143,315,158,187,197,177,203,542,356,584,916,506,966,873,945,590,999,716,1288,549,501,177,177,137,177,214
"G2000910","2017","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",71620,70070,268,181,140,655,426,729,832,1295,284,1031,1670,3387,4753,5072,5589,11785,9883,11040,5646,3491,890,189,468,366,1550,"Johnson County, Kansas",2512,2666,307,235,147,427,394,490,497,814,206,468,712,1191,1141,1370,1256,1711,1837,1646,1406,939,442,167,210,226,543
"G2001030","2017","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",8074,7765,239,28,0,63,28,183,124,402,135,619,456,933,750,149,722,359,377,523,378,1231,66,0,0,0,309,"Leavenworth County, Kansas",1093,1087,363,50,177,85,45,210,113,372,116,516,300,626,454,212,481,234,341,293,328,454,111,177,177,177,241
"G2001610","2017","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",14559,14543,73,73,0,200,62,90,340,833,663,1034,579,1213,512,931,910,1902,1096,2325,1031,632,44,0,0,0,16,"Riley County, Kansas",1586,1584,117,139,177,208,121,96,341,587,404,499,434,657,412,555,493,759,561,751,525,359,76,177,177,177,27
"G2001730","2017","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",73369,71053,539,361,306,787,1163,2290,3459,6053,5985,7167,5163,6574,6752,3960,4232,5984,3315,4120,1605,380,292,270,185,111,2316,"Sedgwick County, Kansas",3463,3414,393,259,235,390,515,850,949,1642,1369,1580,1309,1640,1386,1141,1044,1428,1018,1088,566,270,311,335,160,146,693
"G2001770","2017","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",26373,25332,120,307,401,456,706,659,1662,1781,1708,1739,2345,2025,2536,1411,2563,2182,487,878,335,528,167,127,63,146,1041,"Shawnee County, Kansas",1941,1991,142,428,303,312,436,428,677,626,669,560,677,806,762,567,1139,828,329,344,349,470,175,121,106,233,449
"G2002090","2017","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",26644,25310,451,251,258,1169,422,674,757,753,1702,2767,1756,2641,2373,1881,1989,2306,1057,1344,436,323,0,0,0,0,1334,"Wyandotte County, Kansas",1840,1722,336,205,173,425,367,380,438,395,702,733,565,808,691,698,750,783,501,553,284,261,177,177,177,177,517
"G2100150","2017","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",11288,10794,0,76,175,122,212,45,350,848,396,327,0,731,1178,667,627,1012,1300,1421,350,719,156,82,0,0,494,"Boone County, Kentucky",1525,1488,195,128,213,216,176,76,383,609,337,267,195,509,593,447,372,547,553,677,286,525,173,95,195,195,368
"G2100290","2017","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullitt County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2100370","2017","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",11134,10709,0,176,0,196,272,180,89,238,596,1647,544,550,1069,1202,480,1254,827,906,0,376,107,0,0,0,425,"Campbell County, Kentucky",1266,1212,195,184,195,196,280,171,146,224,414,758,326,307,575,664,369,536,514,507,195,443,131,195,195,195,302
"G2100470","2017","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",13084,12412,356,452,49,710,496,250,123,735,795,1204,1166,576,389,921,216,1442,855,848,620,209,0,0,0,0,672,"Christian County, Kentucky",1373,1392,322,324,76,470,385,294,145,400,511,559,584,398,294,526,217,814,538,604,312,261,195,195,195,195,490
"G2100590","2017","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",13668,12852,48,36,0,533,292,252,694,547,708,1958,1513,1540,1211,537,1027,729,863,51,0,0,186,0,127,0,816,"Daviess County, Kentucky",1632,1575,83,65,195,396,311,208,344,373,333,779,739,844,511,319,597,493,610,88,195,195,283,195,201,195,581
"G2100670","2017","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",57673,55202,449,465,454,1209,497,857,1994,1512,1867,4094,4636,4529,4110,4110,3430,6458,4100,6434,1943,1330,451,0,201,72,2471,"Fayette County, Kentucky",2442,2500,366,310,213,690,402,551,696,554,753,914,1227,1102,962,984,915,1224,957,1343,843,634,324,195,315,90,887
"G2100930","2017","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",18453,17506,223,351,0,165,121,344,866,1585,1585,1895,808,1154,843,857,1786,433,1185,1408,1288,464,145,0,0,0,947,"Hardin County, Kentucky",1641,1734,240,415,195,184,135,308,510,596,624,917,389,613,543,480,812,321,554,591,635,399,196,195,195,195,533
"G2101110","2017","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",120592,116960,2772,1218,3257,3078,1981,1953,2665,4361,3941,9127,7558,9448,9977,8569,7390,15394,7381,10722,2726,2576,575,291,0,0,3632,"Jefferson County, Kentucky",4740,4739,1061,683,873,1097,658,842,907,1057,926,1777,1500,1506,1637,1949,1672,2228,1506,1411,700,851,329,202,195,195,878
"G2101170","2017","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",23003,21579,344,177,411,790,153,310,635,818,1459,1516,1876,2519,2498,1254,1236,2181,813,1454,404,251,386,94,0,0,1424,"Kenton County, Kentucky",1872,1830,327,207,309,493,153,240,412,416,712,623,692,787,822,531,501,777,481,647,356,223,403,112,195,195,598
"G2101450","2017","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",8450,8070,110,179,111,577,254,1050,320,856,678,525,654,334,435,579,555,249,256,265,0,83,0,0,0,0,380,"McCracken County, Kentucky",1453,1446,174,231,155,476,148,557,271,467,376,318,571,314,376,466,496,201,236,274,195,123,195,195,195,195,268
"G2101510","2017","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",14267,13596,92,197,314,140,69,259,93,1340,1326,2795,1504,791,764,1025,632,830,483,367,419,29,0,0,0,127,671,"Madison County, Kentucky",1414,1454,95,212,275,142,82,267,165,673,592,1132,693,421,516,583,402,548,436,292,304,51,195,195,195,105,407
"G2101850","2017","KY",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,"05000US21185","Oldham County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oldham County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2102270","2017","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",20814,19698,152,133,528,309,314,394,731,977,1504,1775,2432,2224,1647,791,1138,1828,1161,973,129,156,165,0,237,0,1116,"Warren County, Kentucky",1819,1707,179,128,405,281,297,315,435,773,696,654,763,812,683,471,608,779,627,603,198,185,175,195,355,195,707
"G2200050","2017","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ascension Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2200150","2017","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",18944,17882,273,444,336,183,195,398,26,518,295,1301,677,1956,947,653,805,2585,1569,2892,1053,709,67,0,0,0,1062,"Bossier Parish, Louisiana",2310,2242,289,419,334,291,314,369,48,415,320,677,460,852,551,482,412,1068,671,957,624,434,117,214,214,214,524
"G2200170","2017","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",41142,37599,477,1094,1285,2062,605,799,1703,1046,2025,5283,3983,2840,2520,3350,2615,1245,1509,1488,681,814,0,175,0,0,3543,"Caddo Parish, Louisiana",2653,2745,373,579,750,769,404,433,827,684,823,1292,1213,924,934,1257,962,726,882,862,629,723,214,214,214,214,887
"G2200190","2017","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",24103,22547,158,297,267,72,216,915,1170,736,787,1829,2205,953,2028,1619,1584,3350,1707,1293,448,197,432,284,0,0,1556,"Calcasieu Parish, Louisiana",2444,2371,149,407,247,87,180,496,729,433,565,777,855,492,934,787,690,1270,731,744,343,241,402,453,214,214,786
"G2200330","2017","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",65426,61580,213,846,353,940,996,1406,1243,2538,2513,2498,4553,3472,3817,3365,4283,7015,5311,9310,3320,2182,405,154,234,613,3846,"East Baton Rouge Parish, Louisiana",3693,3741,174,532,334,469,575,729,752,857,947,953,1251,1257,1363,1425,1321,1995,1725,1672,1414,867,286,202,270,529,1069
"G2200450","2017","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iberia Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2200510","2017","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",63250,60607,397,264,330,271,1052,711,875,1286,538,1908,1565,3408,5176,4567,4038,11137,6453,11041,4139,1165,153,133,0,0,2643,"Jefferson Parish, Louisiana",3009,2988,401,347,224,256,717,393,592,646,371,840,739,1077,1208,981,1258,1558,1352,1641,1251,406,135,219,214,214,778
"G2200550","2017","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",29982,27610,0,1283,332,380,910,439,751,1106,1345,1510,2714,2527,2730,2396,570,2564,1338,2597,1087,660,371,0,0,0,2372,"Lafayette Parish, Louisiana",2728,2703,214,822,268,331,649,322,502,546,730,712,1079,1174,799,994,356,909,599,956,496,383,382,214,214,214,1001
"G2200570","2017","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",9171,7938,33,83,436,72,125,863,147,636,419,475,515,792,301,435,349,745,495,826,142,49,0,0,0,0,1233,"Lafourche Parish, Louisiana",1456,1420,54,100,325,119,154,621,170,406,562,328,411,462,263,339,286,437,310,572,179,81,214,214,214,214,660
