GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G3600670","2018","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",64426,62120,335,734,1225,1699,1225,1164,1425,901,2374,3413,2113,4557,4470,4142,5130,8213,7026,6485,2201,2423,419,69,377,0,2306,"Onondaga County, New York",3158,3127,263,462,614,599,438,500,627,497,806,903,695,1182,1101,923,995,1423,1416,951,630,929,292,87,385,201,686
"G3600690","2018","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",12010,11701,35,0,51,280,78,227,574,273,335,844,367,477,1499,324,821,1248,903,1536,952,357,482,0,38,0,309,"Ontario County, New York",1303,1292,57,201,89,332,101,169,541,213,209,470,269,271,525,278,379,516,564,676,582,294,476,201,45,201,252
"G3600710","2018","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",42084,39789,166,356,314,387,125,159,360,70,482,754,302,765,735,1841,2060,3974,3567,8872,6663,5579,1260,910,54,34,2295,"Orange County, New York",2508,2582,200,419,333,252,159,197,251,91,428,456,247,496,471,796,757,1029,1296,1615,1398,1169,602,634,63,59,812
"G3600750","2018","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",11873,11198,123,42,376,205,189,78,321,447,509,1020,1336,1607,689,726,1039,594,687,860,181,138,31,0,0,0,675,"Oswego County, New York",1314,1291,201,57,244,146,152,64,332,280,419,583,549,627,309,275,469,285,429,492,156,167,54,201,201,201,242
"G3600790","2018","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Putnam County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3600810","2018","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",431140,412800,325,626,2179,5840,2156,4775,1885,2635,2603,4711,2267,4145,4244,3868,4253,13962,15836,65867,69089,129728,51892,12675,5208,2031,18340,"Queens County, New York",6279,6341,281,426,835,1459,921,1332,936,962,1045,1354,785,1185,1268,1090,1030,2051,2276,4761,4597,4901,3666,1561,1188,704,2264
"G3600830","2018","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",23757,23431,67,126,369,587,293,50,218,769,339,583,1056,480,1326,1811,1944,3890,2442,3538,1629,1712,202,0,0,0,326,"Rensselaer County, New York",1771,1763,86,200,232,365,253,63,256,574,282,330,613,293,689,746,590,1078,735,1049,702,656,187,201,201,201,190
"G3600850","2018","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",51569,49465,469,1369,1278,510,872,1043,257,990,1053,1303,43,1151,783,883,502,2872,2483,11245,6489,8362,3741,1551,216,0,2104,"Richmond County, New York",2873,2769,565,696,787,310,542,644,201,538,521,804,80,829,600,541,360,1114,892,1829,1369,1668,1322,936,203,201,711
"G3600870","2018","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",31025,30068,472,0,607,391,1184,576,32,780,0,494,160,1184,249,560,677,679,1408,4325,5522,5272,3119,1217,995,165,957,"Rockland County, New York",1882,1880,416,201,365,402,697,420,53,463,201,361,147,590,251,339,375,432,814,1037,1246,1231,887,629,630,202,455
"G3600890","2018","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",11839,10945,0,0,155,544,422,320,463,1085,1326,720,632,946,918,309,365,1321,306,695,237,90,65,26,0,0,894,"St. Lawrence County, New York",1313,1271,201,201,142,385,355,203,261,556,601,367,439,432,517,193,233,738,239,441,197,88,66,63,201,201,384
