GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G1300570","2018","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300590","2018","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",27611,27247,1068,0,120,180,78,186,239,950,1727,2626,1558,1948,2461,2562,1651,2867,2752,2462,699,925,0,95,0,93,364,"Clarke County, Georgia",1978,1976,642,226,159,161,138,191,234,555,754,1108,604,836,869,801,607,905,769,855,330,499,226,115,226,100,283
"G1300630","2018","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",46058,45224,604,244,363,223,538,518,338,920,296,567,2167,2395,4554,4330,6500,8343,5880,4992,1226,45,0,0,181,0,834,"Clayton County, Georgia",3192,3141,441,375,358,171,655,351,339,587,246,374,865,942,1254,1426,1627,1922,1426,1610,759,73,226,226,159,226,461
"G1300670","2018","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",100345,98590,50,121,416,270,293,261,357,826,141,730,1025,1609,1697,3930,4356,13857,12841,24934,17325,10312,2116,765,0,358,1755,"Cobb County, Georgia",4208,4146,85,207,515,275,407,277,377,583,225,367,544,756,874,1229,1367,2523,2446,2784,2503,1937,997,535,226,265,665
"G1300730","2018","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1300770","2018","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",15002,13899,212,193,0,0,572,138,136,110,166,871,957,349,819,294,1224,1340,1089,2815,2193,351,70,0,0,0,1103,"Coweta County, Georgia",2170,2160,209,306,226,226,733,229,170,134,225,686,883,324,575,268,888,937,694,1209,998,243,119,226,226,226,585
"G1300890","2018","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",127846,125678,900,1560,1139,949,516,886,951,1152,671,667,1074,3079,5732,5435,7417,17767,14523,26655,19195,11726,2740,490,141,313,2168,"DeKalb County, Georgia",5054,4918,540,1019,692,575,487,469,704,646,502,440,529,1001,1412,1500,1598,2431,2233,2639,2753,1799,814,356,177,267,991
"G1300950","2018","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",18854,17444,841,265,196,693,569,1039,815,1318,2811,1448,1587,2621,592,732,878,170,411,196,89,104,69,0,0,0,1410,"Dougherty County, Georgia",1793,1742,498,220,195,421,351,453,425,608,1010,650,682,1015,295,439,640,167,300,174,149,108,118,226,226,226,829
"G1300970","2018","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301130","2018","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301150","2018","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",13797,13061,458,705,132,591,272,142,393,957,875,2809,1084,401,1908,452,449,480,484,263,48,88,70,0,0,0,736,"Floyd County, Georgia",1604,1537,463,624,159,403,215,158,342,537,430,1046,595,239,774,329,294,446,550,255,84,153,85,226,226,226,467
"G1301170","2018","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forsyth County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301210","2018","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",193795,189960,1956,2039,3175,3608,1967,1917,1245,1680,2841,3124,3217,5265,5946,7222,7679,15407,15886,40029,27914,27506,5349,2414,1031,1543,3835,"Fulton County, Georgia",6835,6706,935,686,1126,1230,886,759,617,726,1017,1215,1009,1189,1254,1750,1880,2407,2838,3891,3350,3107,1240,797,457,763,945
"G1301270","2018","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",12517,11399,432,0,0,0,25,434,0,465,395,445,166,878,740,1288,453,1135,2120,1151,203,789,257,23,0,0,1118,"Glynn County, Georgia",1795,1868,415,226,226,226,44,324,226,414,345,321,196,676,647,648,365,554,1081,680,230,459,229,37,226,226,653
"G1301350","2018","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",102296,100625,592,147,303,800,78,415,142,154,585,1062,486,1465,1270,2125,3686,9828,12257,30638,23537,9215,1214,407,149,70,1671,"Gwinnett County, Georgia",4332,4461,430,181,274,549,130,318,173,157,529,697,418,1056,776,791,1222,1803,2038,3372,3043,2067,819,384,193,117,733
"G1301390","2018","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",19498,18270,0,166,109,78,28,108,0,662,464,879,462,1119,1626,1657,1064,2678,3439,2800,429,286,96,0,120,0,1228,"Hall County, Georgia",2045,2017,226,284,141,133,46,185,226,456,364,463,293,629,952,847,531,1047,1227,870,316,230,155,226,119,226,459
"G1301510","2018","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301530","2018","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",21722,20868,203,0,204,0,153,146,761,1099,922,1707,772,1107,2297,1287,547,3102,3328,2411,386,220,73,52,0,91,854,"Houston County, Georgia",2439,2498,212,226,337,226,210,238,668,678,853,1019,510,742,826,636,415,1062,1773,1148,355,244,126,90,226,148,586
"G1301570","2018","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301850","2018","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",21618,20781,512,272,314,216,284,345,1341,1160,2367,2095,2293,659,898,1551,1517,2350,1020,1139,236,212,0,0,0,0,837,"Lowndes County, Georgia",1535,1476,477,246,268,219,246,298,641,592,1022,774,837,421,459,907,842,953,559,605,263,219,226,226,226,226,536
"G1302150","2018","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",37866,36645,606,207,428,370,1021,1274,1010,1289,1873,2250,3356,3363,2411,2388,3516,3027,2478,2858,1053,1480,258,98,31,0,1221,"Muscogee County, Georgia",2408,2372,463,214,361,272,534,713,647,554,822,665,940,1044,902,664,1003,1049,900,898,485,523,252,91,51,226,561
"G1302170","2018","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302230","2018","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302450","2018","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",34570,33635,36,1000,375,1370,321,489,1247,1306,1664,1691,2333,2624,4265,1826,1787,4163,3104,2187,1411,383,53,0,0,0,935,"Richmond County, Georgia",2638,2755,59,563,319,859,361,315,815,545,886,839,802,1013,1327,754,670,1227,1181,961,484,224,91,226,226,226,513
"G1302470","2018","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302550","2018","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spalding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302850","2018","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",10800,9882,0,275,259,100,33,305,524,976,1296,674,374,635,420,304,1077,1353,677,327,64,47,98,0,64,0,918,"Troup County, Georgia",1349,1222,226,250,358,124,58,243,350,589,595,381,362,505,347,287,584,742,377,321,112,84,164,226,109,226,579
"G1302950","2018","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302970","2018","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303130","2018","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whitfield County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1500010","2018","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",24169,21725,625,250,593,278,191,463,0,158,316,1311,761,691,192,477,830,1592,2154,4075,1699,3464,1211,348,46,0,2444,"Hawaii County, Hawaii",1923,1835,518,159,348,241,189,484,189,195,274,722,411,518,221,422,515,577,820,1058,780,1043,772,278,56,189,708
"G1500030","2018","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",137431,130356,1496,667,1127,2025,388,1764,487,1292,888,1094,319,1549,807,2121,1270,5620,5643,15964,16112,24533,19082,11869,9945,4294,7075,"Honolulu County, Hawaii",4220,4264,652,353,451,755,323,652,280,576,424,543,269,622,508,858,485,1182,1265,1792,1942,2411,2395,1430,1455,847,1226
"G1500070","2018","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",9247,8163,11,115,152,0,0,28,0,509,63,51,91,185,224,79,214,662,365,1814,431,2334,311,509,15,0,1084,"Kauai County, Hawaii",1081,1077,19,167,164,189,189,53,189,331,105,96,57,133,210,128,181,320,237,638,286,850,241,440,28,189,453
"G1500090","2018","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",19041,17161,421,0,145,54,40,54,130,0,18,202,61,663,162,72,225,560,724,2778,2146,4081,2960,1026,615,24,1880,"Maui County, Hawaii",2054,1984,356,189,239,97,69,87,157,189,32,194,101,465,152,121,216,409,502,1022,812,959,1056,529,400,42,872
"G1600010","2018","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",54577,53219,0,147,668,298,501,623,660,593,493,2204,1381,2712,2580,2779,2847,7616,6741,11546,4736,3132,295,193,474,0,1358,"Ada County, Idaho",3648,3596,204,174,377,244,376,423,338,481,284,930,813,1065,1182,1025,937,1622,1611,2175,2004,1090,210,236,368,204,698
"G1600050","2018","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",10639,10287,19,176,76,259,394,330,240,651,1024,1356,940,448,1051,379,242,1426,363,498,415,0,0,0,0,0,352,"Bannock County, Idaho",1289,1264,33,178,94,338,435,188,197,470,520,578,387,285,489,307,258,647,268,351,264,204,204,204,204,204,221
"G1600190","2018","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",12844,12603,299,0,32,115,65,103,197,650,1521,847,1057,1262,849,1376,520,952,881,817,492,296,0,58,41,173,241,"Bonneville County, Idaho",1482,1494,391,204,55,140,108,128,171,407,951,517,684,623,540,635,391,548,512,603,394,243,204,55,70,226,190
"G1600270","2018","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",19828,19128,61,14,485,542,147,188,932,395,894,1884,1231,966,1638,1333,1429,2332,2180,1892,275,217,0,0,93,0,700,"Canyon County, Idaho",1967,2002,102,27,326,469,157,133,617,227,754,801,547,456,661,673,618,910,948,676,302,282,204,204,155,204,415
"G1600550","2018","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",18241,17525,0,110,200,248,118,487,228,285,630,486,653,886,1301,676,1101,1953,1802,3741,907,1024,31,486,172,0,716,"Kootenai County, Idaho",2081,2116,204,131,241,208,145,464,332,229,496,329,410,499,656,297,588,683,636,1315,593,648,54,521,271,204,481
"G1600830","2018","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",9850,8877,0,109,381,155,711,254,357,186,445,490,1102,558,220,447,568,720,1061,731,0,132,96,0,154,0,973,"Twin Falls County, Idaho",1640,1521,204,145,300,277,655,315,443,193,406,405,584,393,255,445,379,399,780,495,204,171,160,204,133,204,617
"G1700010","2018","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",7444,6591,80,9,80,99,182,47,432,272,613,555,620,589,847,613,526,257,383,189,97,48,0,53,0,0,853,"Adams County, Illinois",1168,1072,89,16,125,108,160,77,304,215,385,340,407,322,493,410,372,255,336,154,121,61,190,97,190,190,426
"G1700190","2018","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",38645,38014,0,512,199,290,249,1138,179,1073,2325,1688,5075,3166,2946,2695,2143,4557,3127,3165,1318,742,737,293,83,314,631,"Champaign County, Illinois",2425,2427,190,432,242,286,389,654,184,591,794,714,1490,1125,884,868,674,1204,917,920,566,395,517,309,102,248,304
"G1700310","2018","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",848401,825864,8036,8180,14866,10407,7285,9056,8835,11239,12347,19502,15124,26201,27254,31781,38953,95052,88764,145249,84348,95639,39516,16421,7419,4390,22537,"Cook County, Illinois",11139,10820,1431,1174,2333,1958,1713,1644,2129,1894,2607,2086,2269,2813,2909,3098,3667,5543,5092,6755,4105,4437,3363,2002,1396,1158,2259
"G1700370","2018","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",16458,16168,11,56,0,46,520,463,286,171,182,1081,1619,662,976,1376,678,2361,1680,2421,438,772,158,211,0,0,290,"DeKalb County, Illinois",1452,1382,19,93,190,60,373,334,363,158,192,780,775,370,524,569,455,913,803,894,320,459,149,168,190,190,309
"G1700430","2018","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",93510,90828,142,455,915,907,860,379,213,258,285,364,898,532,349,850,2969,7119,10975,21819,17230,16636,3981,1035,885,772,2682,"DuPage County, Illinois",4237,4103,228,367,556,535,577,284,178,285,399,250,802,367,242,464,1401,1365,1704,2392,2109,1688,987,408,546,436,887
"G1700890","2018","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",45292,43473,566,134,215,464,236,423,110,502,409,1321,368,1239,1000,1460,3206,5441,5295,8646,6345,4610,1025,300,158,0,1819,"Kane County, Illinois",3047,3149,390,141,216,319,195,268,180,501,332,555,319,739,486,745,1162,1194,1359,1709,1627,1143,826,245,184,190,690
"G1700910","2018","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",13353,12858,97,345,419,331,90,128,368,270,370,793,511,1189,760,1210,1702,1179,296,1686,622,243,82,167,0,0,495,"Kankakee County, Illinois",1380,1298,127,268,224,254,126,82,264,207,258,463,317,461,395,567,740,379,228,703,420,252,134,102,190,190,371
"G1700930","2018","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2018","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",64982,62449,926,512,1009,1193,443,1013,452,410,266,489,434,1883,1376,2964,3743,7863,4129,11807,7929,6828,3409,2000,856,515,2533,"Lake County, Illinois",2960,2850,600,474,636,546,338,449,368,304,241,290,258,622,715,963,1367,1525,997,2073,1324,1132,790,734,434,321,810
"G1700990","2018","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",13373,12660,97,813,0,158,81,96,1135,1287,346,1536,1133,761,1023,353,302,1560,317,1006,525,59,72,0,0,0,713,"LaSalle County, Illinois",1583,1503,159,500,190,126,133,93,554,704,340,590,393,372,574,237,202,826,220,560,416,82,120,190,190,190,379
"G1701110","2018","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",22926,21763,68,118,418,225,171,113,189,339,509,315,264,524,490,721,690,2763,2657,4088,3990,2631,145,0,296,39,1163,"McHenry County, Illinois",2204,2109,128,191,353,261,235,114,252,312,456,292,276,493,351,412,369,883,778,1075,1139,1150,195,190,417,65,557
"G1701130","2018","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",23200,22614,123,0,0,128,145,458,505,850,731,1761,1144,2977,2009,1857,2087,1972,1372,1985,807,374,549,780,0,0,586,"McLean County, Illinois",2174,2213,153,190,190,118,122,290,297,421,327,783,667,920,740,738,882,724,557,980,407,323,507,718,190,190,438
"G1701150","2018","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",14604,13911,371,346,298,358,410,346,311,1152,1266,2041,1348,1764,531,707,198,451,472,556,371,118,327,0,0,169,693,"Macon County, Illinois",1521,1542,232,268,295,315,246,408,265,558,665,869,483,719,426,461,167,291,330,377,460,142,330,190,190,187,389
"G1701190","2018","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",31390,28842,139,429,629,619,624,661,782,1217,2063,2212,2517,3216,3719,2112,2169,2396,1356,841,540,124,122,219,0,136,2548,"Madison County, Illinois",2466,2539,153,285,547,415,412,353,458,694,913,804,914,900,1149,793,854,746,608,457,395,130,140,176,190,168,975
"G1701430","2018","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",25951,24844,172,221,373,649,707,434,1078,733,1138,1718,3389,2189,3324,1006,1580,1671,1374,1513,684,495,170,100,27,99,1107,"Peoria County, Illinois",2091,1980,189,247,370,339,439,238,569,363,413,516,1038,879,878,487,684,650,687,917,448,358,196,171,46,157,441
"G1701610","2018","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",17646,16891,138,147,293,684,363,336,735,387,1026,2089,1450,1684,1491,1056,823,896,1260,1047,386,600,0,0,0,0,755,"Rock Island County, Illinois",1764,1753,130,101,229,544,302,239,438,277,470,698,745,537,665,701,469,437,540,572,298,455,190,190,190,190,357
"G1701630","2018","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",35870,34716,648,1013,1089,654,390,564,941,2693,1395,2726,3090,2622,2868,1168,1772,2501,2401,2640,1350,1799,170,222,0,0,1154,"St. Clair County, Illinois",2685,2696,443,631,834,619,407,484,430,984,711,815,721,1143,1325,660,837,1016,1045,890,658,846,135,357,190,190,538
"G1701670","2018","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",26743,25711,203,222,202,384,388,630,467,891,1424,2248,2452,2439,3481,2120,2026,2434,1679,878,524,289,64,148,0,118,1032,"Sangamon County, Illinois",2208,2302,190,203,194,287,274,480,282,553,673,753,1129,896,1065,914,807,781,730,441,313,213,113,238,190,208,484
"G1701790","2018","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",14468,12785,163,179,377,574,0,137,391,908,1264,831,1389,1420,852,568,594,772,603,931,162,150,79,0,246,195,1683,"Tazewell County, Illinois",1693,1585,254,171,347,379,190,120,251,557,608,347,629,807,486,347,426,468,381,442,194,119,90,190,289,192,739
"G1701830","2018","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",9518,8511,306,101,409,184,234,776,726,649,1015,1330,936,547,413,185,61,395,52,172,0,20,0,0,0,0,1007,"Vermilion County, Illinois",1322,1249,236,89,267,179,202,360,472,358,424,545,630,357,287,131,78,261,88,205,190,42,190,190,190,190,448
"G1701970","2018","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",45974,43043,609,42,362,78,76,384,244,494,154,302,1206,846,1249,2757,2579,6747,4563,8049,4934,5346,1532,221,269,0,2931,"Will County, Illinois",2705,2648,475,69,254,93,91,367,214,412,147,212,503,427,582,946,926,1302,1251,1422,1155,1276,652,254,265,190,893
"G1701990","2018","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",9914,8785,613,37,220,268,268,909,127,351,762,1271,678,290,894,268,434,437,290,322,33,156,105,52,0,0,1129,"Williamson County, Illinois",1227,1134,618,74,217,190,186,702,159,278,468,576,344,210,466,269,317,306,315,366,57,168,119,88,190,190,612
"G1702010","2018","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",38418,37096,769,482,1092,202,854,579,950,1284,3037,4496,2146,2589,3504,2135,1441,4028,3307,2465,470,760,166,170,0,170,1322,"Winnebago County, Illinois",2460,2487,475,341,503,219,373,370,442,482,810,1123,808,762,1065,743,524,973,1026,815,294,490,143,119,190,187,478
"G1800030","2018","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",45217,43696,186,91,907,463,888,518,1599,2350,3001,4495,4758,5448,3631,3306,3141,3953,1905,1527,887,339,164,69,24,46,1521,"Allen County, Indiana",2329,2248,179,158,465,337,463,335,678,582,1088,1035,1118,1120,965,808,921,1239,770,570,502,224,141,112,41,39,537
"G1800050","2018","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bartholomew County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800110","2018","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800190","2018","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",13926,13108,45,119,136,322,61,735,235,432,579,708,1151,750,2567,840,850,2326,436,345,112,199,84,0,76,0,818,"Clark County, Indiana",1494,1535,73,189,167,311,96,583,238,306,431,391,667,330,857,346,410,834,256,263,199,172,140,198,163,198,379
"G1800350","2018","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",15923,14543,33,111,400,217,320,624,734,945,1119,1323,1092,1611,1482,1137,544,364,363,1296,298,423,0,0,107,0,1380,"Delaware County, Indiana",1768,1696,55,124,273,188,256,378,403,488,565,530,487,865,755,474,499,262,350,662,451,471,198,198,176,198,552
"G1800390","2018","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",21444,20121,0,268,353,440,404,273,442,1211,1022,1712,724,2430,2293,2254,1952,2819,713,505,38,186,82,0,0,0,1323,"Elkhart County, Indiana",2287,2153,198,297,291,367,390,283,309,608,561,862,327,994,947,743,645,979,374,337,64,168,138,198,198,198,698
"G1800430","2018","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",7734,7328,198,0,83,352,82,129,50,176,173,555,463,607,1122,522,408,1535,316,405,0,152,0,0,0,0,406,"Floyd County, Indiana",1010,1010,160,198,97,307,95,161,88,167,149,321,229,347,571,396,264,732,297,290,198,185,198,198,198,198,265
"G1800530","2018","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800570","2018","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",29911,28769,66,86,89,115,64,102,0,219,133,277,539,541,143,1409,1674,3601,3470,8681,3547,2278,1256,406,73,0,1142,"Hamilton County, Indiana",2563,2583,86,71,155,161,89,170,198,247,152,185,288,350,146,975,969,836,1158,1901,1082,742,797,360,106,198,666
"G1800590","2018","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
