GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G2102270","2016","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",19847,18947,143,236,0,269,348,443,2220,533,2772,2164,1828,2171,1215,531,774,1201,1017,962,0,120,0,0,0,0,900,"Warren County, Kentucky",1532,1528,139,207,190,256,280,390,1002,328,1115,842,824,855,619,305,482,696,532,673,190,142,190,190,190,190,567
"G2200050","2016","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ascension Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2200150","2016","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",17746,16567,53,146,226,365,98,516,423,229,700,1096,550,685,1560,708,571,1755,1838,3562,751,309,426,0,0,0,1179,"Bossier Parish, Louisiana",2382,2337,69,178,164,417,129,432,406,256,492,629,375,495,957,394,474,720,872,961,408,219,376,208,208,208,647
"G2200170","2016","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",40091,37161,937,867,1036,2042,856,911,672,2702,3181,3222,2897,2933,3478,3049,2286,1711,1003,1757,440,692,156,333,0,0,2930,"Caddo Parish, Louisiana",2994,2787,642,370,675,900,552,446,472,1003,1031,1033,895,980,1035,1070,982,735,533,634,349,438,241,422,208,208,887
"G2200190","2016","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",27108,25369,618,1058,1367,971,623,460,378,888,470,2897,1382,1564,1267,2103,1398,3510,859,1769,439,1117,164,0,67,0,1739,"Calcasieu Parish, Louisiana",2631,2643,431,572,732,714,433,241,293,623,257,1050,664,785,715,732,769,1349,419,755,463,711,260,208,119,208,768
"G2200330","2016","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",71566,68972,579,1330,1076,615,858,1478,629,2717,2696,4968,4381,6345,5067,4279,4610,6978,4991,7381,4119,2495,1001,284,95,0,2594,"East Baton Rouge Parish, Louisiana",3507,3699,383,601,542,430,527,913,352,1018,936,1368,1221,1558,1284,1147,1464,1696,1299,1723,1294,879,425,257,84,208,776
"G2200450","2016","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iberia Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2200510","2016","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",70682,67692,402,490,621,1334,508,1291,438,767,828,2201,2571,5867,5777,4802,5871,10212,7836,10305,3408,1237,528,198,200,0,2990,"Jefferson Parish, Louisiana",3558,3486,521,431,367,653,392,562,328,591,469,770,913,1438,1512,1227,1327,1778,1542,1795,1101,675,463,247,285,208,727
"G2200550","2016","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",31130,28616,285,405,646,813,556,1210,518,635,1242,1198,1702,4124,2583,2271,2019,2620,1681,1957,954,795,402,0,0,0,2514,"Lafayette Parish, Louisiana",2501,2568,280,366,556,489,513,768,464,446,794,556,842,1140,986,1024,1000,869,728,774,497,650,419,208,208,208,849
"G2200570","2016","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lafourche Parish, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
