GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G3400330","2015","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Salem County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400350","2015","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerset County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400370","2015","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sussex County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400390","2015","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",80573,77338,598,632,460,756,780,719,317,900,500,936,83,2058,1379,1512,3077,8607,10777,21112,9014,9092,2614,745,390,280,3235,"Union County, New Jersey",3880,3737,290,483,358,330,351,449,293,471,309,489,114,851,545,616,905,1589,1845,2322,1556,1436,704,472,304,200,958
"G3400410","2015","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3500010","2015","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",100274,96388,664,680,600,719,1177,1273,2025,3193,7642,7839,8136,7667,7005,5662,5590,9015,8464,12176,3603,2228,423,172,435,0,3886,"Bernalillo County, New Mexico",3861,3812,579,482,362,425,575,612,879,1082,1846,1475,1637,1586,1548,1171,1108,1599,1710,1879,993,752,375,120,270,193,916
"G3500050","2015","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chaves County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3500130","2015","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",27706,26516,789,634,691,632,555,459,558,928,2632,2704,1810,2247,1502,1214,1349,3679,1442,1751,339,601,0,0,0,0,1190,"Doña Ana County, New Mexico",2215,2178,605,454,589,494,329,269,398,429,921,1055,798,915,783,678,838,1311,646,799,353,458,193,193,193,193,473
"G3500250","2015","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lea County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3500310","2015","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",5526,5028,300,92,160,245,218,496,243,156,105,253,378,998,132,112,240,285,221,108,147,96,43,0,0,0,498,"McKinley County, New Mexico",763,764,132,57,99,189,196,407,158,161,79,277,290,651,173,108,245,253,183,214,194,152,80,193,193,193,170
"G3500350","2015","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",8420,7351,66,135,0,191,326,647,659,450,742,298,991,138,94,518,55,248,534,566,234,459,0,0,0,0,1069,"Otero County, New Mexico",1487,1326,71,88,193,198,324,409,483,380,432,275,609,184,125,410,98,274,384,316,262,330,193,193,193,193,547
"G3500430","2015","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sandoval County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3500450","2015","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",12336,10730,496,223,278,156,41,320,148,622,329,1035,838,1011,1048,1073,648,921,223,987,245,32,0,56,0,0,1606,"San Juan County, New Mexico",1458,1336,316,180,181,122,42,186,117,401,287,464,433,694,530,515,412,502,185,586,227,53,193,96,193,193,686
"G3500490","2015","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",18112,16953,184,206,198,125,265,115,291,266,339,555,409,777,1216,964,1226,2659,2092,2823,1007,670,95,34,299,138,1159,"Santa Fe County, New Mexico",1606,1496,202,209,134,82,273,96,241,218,242,302,259,333,587,483,490,889,648,825,476,287,93,55,164,198,449
"G3500610","2015","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valencia County, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3600010","2015","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",56415,54855,262,1080,954,1230,887,558,442,560,593,2087,2250,2708,4712,4204,3098,7507,7307,8521,3521,1707,208,131,188,140,1560,"Albany County, New York",2907,2901,236,496,539,487,488,331,407,370,457,656,761,1005,1217,1068,948,1617,1328,1373,1197,666,175,122,302,120,641
"G3600050","2015","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",402668,389998,2397,3363,14200,14819,8804,8008,6183,8322,6619,7576,4306,8464,6141,11551,8803,30530,42582,103544,48957,36541,6174,634,1289,191,12670,"Bronx County, New York",4478,4395,675,898,1697,2010,1588,1467,1331,1326,1311,1322,1132,1517,1112,2128,1427,3138,3403,4813,3772,3468,1345,458,656,217,1697
"G3600070","2015","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",28012,26865,0,129,264,433,107,700,824,1900,2556,3332,3079,2698,2751,1356,1609,1627,846,952,502,597,66,98,439,0,1147,"Broome County, New York",1726,1782,190,116,177,237,96,307,381,654,924,830,704,818,759,515,693,545,361,344,348,323,96,89,278,190,449
"G3600090","2015","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",9618,8948,59,233,543,700,112,539,552,1142,1341,972,737,240,532,574,70,156,58,228,52,16,92,0,0,0,670,"Cattaraugus County, New York",976,965,80,176,251,370,69,325,269,421,448,336,413,108,282,389,72,162,66,174,71,29,147,190,190,190,309
"G3600110","2015","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",9334,8946,0,64,210,148,147,101,391,812,695,1139,1261,947,708,751,170,273,416,554,0,159,0,0,0,0,388,"Cayuga County, New York",1127,1096,190,113,190,131,178,123,242,553,360,352,539,410,460,400,132,244,347,405,190,159,190,190,190,190,193
"G3600130","2015","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",15676,14271,0,239,194,171,388,967,1758,2079,2165,1451,1285,756,819,693,719,188,52,251,4,92,0,0,0,0,1405,"Chautauqua County, New York",1349,1388,190,245,188,127,243,440,632,702,705,420,469,371,412,374,494,142,71,243,8,152,190,190,190,190,448
"G3600150","2015","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",9990,9632,143,0,99,407,443,585,284,508,529,617,743,618,782,622,466,1258,588,510,255,87,0,0,88,0,358,"Chemung County, New York",1040,1044,118,190,113,301,228,378,347,240,322,310,375,384,380,335,372,604,349,261,256,105,190,190,145,190,225
"G3600190","2015","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",10769,10100,80,237,303,87,144,99,268,73,967,1023,697,559,1290,1175,623,1135,794,296,113,112,0,0,25,0,669,"Clinton County, New York",1347,1351,102,260,297,88,114,119,247,77,552,473,375,376,581,596,338,613,370,218,111,182,190,190,44,190,361
"G3600270","2015","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",34261,32216,245,126,172,410,167,528,526,451,558,835,549,1468,253,991,1285,3632,5098,7265,3252,3208,639,309,206,43,2045,"Dutchess County, New York",2435,2349,282,135,153,391,140,260,370,296,348,578,404,533,242,612,423,1017,1194,1236,1008,1069,324,355,239,71,802
"G3600290","2015","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",136660,131299,673,965,3270,3266,2501,5751,5623,8457,9055,12457,10062,10222,8826,9207,7656,10815,7197,8182,2810,2684,597,459,292,272,5361,"Erie County, New York",5101,4893,386,448,1011,1007,704,1312,1115,1382,1432,1716,1538,1401,1444,1581,1470,1669,1524,1519,874,851,342,314,271,367,988
"G3600450","2015","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",19317,16722,134,205,202,430,396,650,793,455,549,663,1082,885,830,767,925,1377,916,2401,1340,853,763,0,0,106,2595,"Jefferson County, New York",1408,1452,104,145,149,396,240,289,473,228,270,397,602,423,422,360,474,672,376,727,546,310,452,190,190,135,803
"G3600470","2015","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",670163,650983,2152,5404,13440,19937,11272,10050,8180,10276,7830,11937,6066,16447,8182,17064,12567,37625,36501,132186,96626,105014,43793,19026,11957,7451,19180,"Kings County, New York",6681,6580,746,1221,1722,2086,1674,1638,1437,1525,1419,1937,1295,2032,1439,2009,1749,3095,3054,5357,4588,4514,3480,1754,1528,1327,1877
"G3600510","2015","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livingston County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3600530","2015","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3600550","2015","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",107366,104102,370,504,1598,2381,1874,1859,2162,3441,3997,5496,6006,6881,9256,8129,9005,14710,8168,8553,3015,3754,1174,1149,568,52,3264,"Monroe County, New York",3228,3246,251,356,831,733,768,837,776,893,954,985,1179,1171,1453,1556,1583,2034,1261,1376,856,1060,529,647,436,86,798
"G3600590","2015","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",86809,82415,585,191,956,1977,976,1535,326,1568,838,467,422,889,710,1652,672,3420,2274,10000,10163,21459,11726,6285,1708,1616,4394,"Nassau County, New York",4335,4245,319,235,482,638,454,784,262,624,539,331,289,470,443,768,359,861,766,1619,1524,2621,1925,1678,674,741,981
"G3600610","2015","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",574375,563047,3120,5208,9354,14478,11110,8873,8263,9814,8138,10899,4958,10515,6990,14598,14116,21418,23236,51285,41325,81257,70353,51689,43708,38342,11328,"New York County, New York",9863,9754,911,1775,1635,2287,2189,1835,1845,2212,2094,2692,1336,1890,1276,2234,2211,3119,2970,4139,4477,4974,5006,4484,4511,4254,2265
"G3600630","2015","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",26125,25383,353,98,351,881,1009,762,2216,2517,2152,3129,2311,2463,2163,1703,731,1101,660,417,176,190,0,0,0,0,742,"Niagara County, New York",1838,1818,342,157,244,372,573,313,683,801,728,700,727,804,734,596,408,442,406,307,207,203,190,190,190,190,357
"G3600650","2015","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",32621,30836,200,409,623,762,893,1291,794,1071,2631,3636,3545,3414,3166,2372,1677,1770,808,765,169,397,110,223,110,0,1785,"Oneida County, New York",2363,2298,231,459,297,396,483,479,356,504,877,917,931,978,850,758,572,745,465,353,147,221,131,283,179,190,534
"G3600670","2015","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",65063,63303,492,447,882,1978,738,1766,1058,1653,2148,3472,3972,5454,6524,5596,4296,7863,5187,5207,2327,1249,277,423,0,294,1760,"Onondaga County, New York",3014,2963,303,255,484,414,344,589,433,466,666,883,981,1005,1047,1052,773,1164,1190,960,660,461,202,376,190,362,575
"G3600690","2015","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",11523,10971,0,35,82,328,65,303,367,228,435,592,619,841,771,1239,963,829,1172,1023,560,0,120,223,0,176,552,"Ontario County, New York",1315,1318,190,54,87,170,83,354,295,186,267,365,305,367,328,475,489,341,573,385,502,190,198,220,190,212,441
"G3600710","2015","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",41860,40399,175,269,225,791,419,228,0,384,620,643,229,894,855,1912,1821,5146,6120,9006,6041,3274,553,181,434,179,1461,"Orange County, New York",2506,2521,167,229,165,381,316,237,190,259,440,440,160,455,416,633,703,1191,1297,1478,1188,782,311,195,187,158,523
"G3600750","2015","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",11645,10901,67,172,115,401,360,311,291,523,1473,1018,1287,710,1068,802,452,543,717,36,414,77,0,0,0,64,744,"Oswego County, New York",1408,1286,114,160,138,280,321,180,247,340,551,310,368,424,455,450,216,498,332,58,301,114,190,190,190,77,463
"G3600790","2015","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Putnam County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3600810","2015","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",439893,420389,1044,1235,2717,4606,3112,3671,1730,3542,1622,5433,2742,6481,3161,5728,4969,17687,22096,91136,87407,114030,25987,5754,3098,1401,19504,"Queens County, New York",6016,6061,559,585,822,1040,980,1125,673,866,603,1390,643,1321,1066,1038,1187,1927,2262,4572,4609,4464,2856,1040,928,521,2324
"G3600830","2015","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",22229,20936,287,102,311,136,663,352,239,460,536,601,774,1844,3032,1828,1183,2541,1602,1904,1469,802,164,106,0,0,1293,"Rensselaer County, New York",1918,1826,265,170,347,168,408,254,271,339,368,272,398,634,1127,575,523,710,633,811,693,459,261,175,190,190,481
"G3600850","2015","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",52146,50176,585,449,904,2205,995,530,410,927,125,1149,172,1187,349,1497,1525,4385,3692,14210,7397,4911,2160,412,0,0,1970,"Richmond County, New York",3166,2997,379,351,455,861,591,342,317,513,125,618,151,671,220,862,664,1261,1130,1838,1568,1214,862,326,190,190,740
"G3600870","2015","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",33016,31444,175,0,531,828,896,702,507,147,150,727,112,385,438,552,137,1588,1832,6316,5850,5840,1946,1051,524,210,1572,"Rockland County, New York",1779,1741,173,190,352,418,610,427,434,150,189,451,136,211,275,391,138,642,585,1152,1309,1329,703,644,393,220,521
"G3600890","2015","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",12251,11350,278,142,262,415,369,433,527,586,1041,837,516,1080,589,671,261,457,155,1600,210,232,440,226,23,0,901,"St. Lawrence County, New York",1404,1318,335,168,229,277,249,272,437,301,578,371,270,546,326,339,174,336,175,701,185,256,397,242,41,190,408
"G3600910","2015","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",24904,24055,0,99,230,240,275,161,78,152,579,607,623,927,734,1317,1707,4753,1839,4207,1657,2932,550,230,158,0,849,"Saratoga County, New York",2148,2109,190,165,130,205,347,105,103,146,347,326,297,522,483,614,800,1275,807,1348,642,1096,454,199,187,190,410
"G3600930","2015","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",17383,16390,349,25,403,308,75,162,43,749,366,1166,609,1832,1016,1896,2115,2158,1197,1288,192,324,63,54,0,0,993,"Schenectady County, New York",1829,1813,265,43,359,321,90,140,73,443,250,538,346,708,492,726,672,711,437,562,190,228,116,91,190,190,559
"G3601010","2015","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",12036,10872,410,181,276,180,585,528,897,1059,865,1225,975,409,730,506,563,510,279,473,221,0,0,0,0,0,1164,"Steuben County, New York",1132,1179,400,238,257,126,349,385,399,428,335,428,463,261,326,319,300,290,184,235,273,190,190,190,190,190,344
"G3601030","2015","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",97981,91491,235,973,1021,1071,876,902,850,765,377,766,935,702,939,2400,853,2144,4084,14408,16727,27265,9915,1724,742,817,6490,"Suffolk County, New York",5418,5158,180,530,473,522,429,485,564,478,267,515,571,424,581,989,532,705,1255,2133,2437,3086,1648,648,530,462,1473
"G3601050","2015","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",9216,8519,59,0,562,326,0,288,109,256,284,522,515,632,332,815,719,795,877,1054,352,22,0,0,0,0,697,"Sullivan County, New York",1218,1134,78,190,385,327,190,265,180,265,266,331,334,370,204,465,404,454,479,513,238,38,190,190,190,190,295
"G3601090","2015","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",17572,17294,0,155,25,285,192,201,67,424,143,152,533,285,1538,791,432,1778,1256,4339,2252,1170,1010,48,82,136,278,"Tompkins County, New York",1552,1539,190,168,42,238,187,159,97,371,148,177,401,292,644,481,316,652,612,1255,833,500,598,83,97,161,214
"G3601110","2015","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",21941,20768,0,0,41,436,79,214,400,460,202,985,374,1225,1410,1016,1781,3266,1895,4472,1604,339,525,44,0,0,1173,"Ulster County, New York",2034,1976,190,190,66,311,100,199,361,330,187,660,266,624,441,552,713,755,679,1129,689,242,494,75,190,190,546
"G3601130","2015","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warren County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3601170","2015","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3601190","2015","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",133418,128631,419,955,899,1951,1703,898,932,1391,1050,2142,1342,1710,1249,2467,2826,7221,7746,25440,21972,27102,10456,3207,1841,1712,4787,"Westchester County, New York",3748,3760,311,487,589,856,862,488,658,565,681,734,623,766,528,840,965,1481,1440,2647,2130,2705,1811,675,700,675,1015
"G3700010","2015","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",23578,22013,289,257,504,482,884,1070,1117,1413,1749,2502,1731,1481,1049,1571,613,1899,1112,1310,409,266,97,116,0,92,1565,"Alamance County, North Carolina",2025,2137,249,238,404,398,510,622,493,700,646,965,655,677,644,697,415,626,660,555,306,237,113,98,200,110,631
"G3700190","2015","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",10440,8973,220,49,159,399,269,376,135,870,54,1213,250,561,600,349,585,471,450,1265,351,347,0,0,0,0,1467,"Brunswick County, North Carolina",1731,1673,291,83,271,376,290,323,168,588,200,597,267,492,400,278,477,300,267,540,268,265,200,200,200,200,664
"G3700210","2015","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",36976,34471,584,448,426,751,415,1232,859,1110,2187,2571,1955,2494,1829,2272,2151,3613,2848,3476,1294,1230,397,0,67,262,2505,"Buncombe County, North Carolina",2889,2971,530,387,330,364,397,696,608,600,865,985,816,1035,847,907,847,1072,927,874,627,480,512,200,111,258,836
"G3700230","2015","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",9282,8302,166,563,255,269,341,529,980,668,1008,1594,411,317,355,608,129,53,0,0,15,0,41,0,0,0,980,"Burke County, North Carolina",1455,1344,246,388,295,209,262,341,466,356,552,702,345,293,180,447,145,91,200,200,28,200,69,200,200,200,526
"G3700250","2015","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",22107,20051,0,208,45,113,183,671,753,646,918,2749,1407,1538,1564,1200,1199,2557,881,1829,1198,177,67,0,148,0,2056,"Cabarrus County, North Carolina",2398,2353,200,180,75,142,154,460,496,430,514,1162,588,749,693,635,743,1009,560,771,641,208,118,200,235,200,760
"G3700270","2015","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caldwell County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3700310","2015","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",8200,7480,269,20,314,183,23,82,0,617,320,685,597,121,898,408,178,904,847,463,213,257,81,0,0,0,720,"Carteret County, North Carolina",1261,1134,199,35,249,152,39,128,200,392,291,424,349,93,528,256,156,345,565,264,170,159,106,200,200,200,326
"G3700350","2015","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",19113,17678,290,0,0,311,203,978,884,3962,2320,3243,1550,879,1212,488,347,417,170,319,0,67,38,0,0,0,1435,"Catawba County, North Carolina",2275,2238,288,200,200,352,220,567,422,1299,855,1071,659,490,580,359,205,419,168,295,200,113,65,200,200,200,614
"G3700370","2015","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chatham County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3700450","2015","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3700490","2015","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",16177,15318,281,84,131,267,990,232,250,725,673,1714,1082,213,1155,720,487,2270,1194,1910,759,122,59,0,0,0,859,"Craven County, North Carolina",1543,1541,238,100,109,269,688,194,239,483,468,775,722,207,850,406,332,777,629,674,541,132,98,200,200,200,387
"G3700510","2015","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",59680,56060,984,311,787,704,1182,1143,1722,2671,3507,4263,4362,4051,4204,2825,3465,4636,4200,8056,1722,1152,39,0,74,0,3620,"Cumberland County, North Carolina",2729,2753,384,192,483,411,547,423,521,631,794,895,883,797,869,743,788,976,934,1061,457,529,69,200,85,200,972
"G3700570","2015","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",21708,20665,100,38,240,544,1312,626,2660,2484,3928,1463,816,1377,736,706,313,1268,1155,327,484,41,47,0,0,0,1043,"Davidson County, North Carolina",2240,2258,129,64,371,537,681,384,1049,956,1253,520,535,645,453,477,259,761,808,363,396,68,75,200,200,200,552
"G3700630","2015","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",57257,54568,957,322,87,531,817,685,612,996,1528,1801,2866,2661,5285,5395,4787,7356,4215,7048,3035,2449,636,342,90,67,2689,"Durham County, North Carolina",2898,2890,511,296,114,275,542,444,402,615,669,713,1243,840,1356,1556,1361,1770,1047,1760,894,765,475,395,150,112,916
"G3700670","2015","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",56177,53949,1292,222,890,1168,1062,1634,1480,3785,5209,6374,4375,5389,2911,3350,2373,4436,2873,3137,799,615,340,0,181,54,2228,"Forsyth County, North Carolina",2952,2688,536,234,533,542,497,849,685,1143,1024,1229,1077,1443,965,1126,831,851,877,917,364,349,195,200,293,90,730
"G3700710","2015","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",27322,26051,607,60,223,292,705,662,691,2480,2031,4078,3184,2015,2220,1052,1742,2053,508,1093,120,0,171,64,0,0,1271,"Gaston County, North Carolina",1878,1904,371,73,193,190,288,433,377,767,659,900,716,679,729,663,661,643,279,517,120,200,173,103,200,200,499
"G3700810","2015","NC",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,,"05000US37081","Guilford County, North Carolina",82914,79489,560,800,386,1134,970,1356,2945,4352,4949,6681,8097,8227,7628,7593,5077,6680,3958,4594,1274,990,836,0,358,44,3425,"Guilford County, North Carolina",3611,3555,370,409,258,449,523,539,995,1068,1014,1403,1602,1476,1759,1647,1326,1379,1216,1084,692,498,452,200,230,73,994
"G3700850","2015","NC",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,,"05000US37085","Harnett County, North Carolina",15337,13808,301,540,241,358,251,603,267,1411,1350,772,914,598,1294,383,289,494,595,1434,918,724,71,0,0,0,1529,"Harnett County, North Carolina",1315,1334,274,233,169,268,225,319,157,448,492,360,433,270,665,248,248,259,359,551,441,444,99,200,200,200,538
