GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G1302230","2015","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302450","2015","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",31316,30197,237,272,266,1280,839,742,854,2251,1890,3397,2606,2121,3935,1355,2531,2278,1293,1456,525,69,0,0,0,0,1119,"Richmond County, Georgia",2530,2553,252,286,264,518,494,463,404,889,877,1217,917,939,992,630,946,876,741,563,259,114,214,214,214,214,520
"G1302470","2015","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302850","2015","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",11787,11038,40,501,39,471,644,613,941,662,1196,1264,876,628,317,540,675,1173,29,337,67,0,0,0,25,0,749,"Troup County, Georgia",1373,1394,69,532,73,421,539,404,571,428,803,564,470,508,298,384,401,595,65,290,111,214,214,214,44,214,532
"G1302950","2015","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302970","2015","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303130","2015","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whitfield County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1500010","2015","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",20677,18970,122,466,158,687,60,612,46,364,356,915,466,234,502,829,1092,1422,1743,4634,1186,2431,278,0,194,173,1707,"Hawaii County, Hawaii",1707,1669,126,319,157,437,104,349,87,328,388,510,453,154,383,525,537,566,758,1118,436,778,392,182,263,230,490
"G1500030","2015","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",142933,135404,1093,393,879,1393,849,750,1022,977,1040,1630,463,2163,1105,1863,2313,6330,6844,21916,14974,25461,16818,12978,8456,3694,7529,"Honolulu County, Hawaii",4039,3822,482,211,451,488,443,406,491,501,475,538,302,761,525,616,791,1338,1136,2113,1934,2734,1852,1464,1523,840,1284
"G1500070","2015","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,
