GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G21046027","2014","KY",,,"Kentucky","21",,,"Lexington-Fayette urban county","46027",,,,,,,,,,,,,,,,"16000US2146027","Lexington-Fayette urban county, Kentucky",127412,11575,8259,8376,7607,6098,8206,5247,5806,4555,8740,13673,15031,7627,5772,5133,5707,"Lexington-Fayette urban county, Kentucky",1883,1764,1417,1253,1348,1262,1485,1010,1071,943,1479,1703,1610,1258,917,1173,915
"G21048006","2014","KY",,,"Kentucky","21",,,"Louisville/Jefferson County metro government (balance)","48006",,,,,,,,,,,,,,,,"16000US2148006","Louisville/Jefferson County metro government (balance), Kentucky",244583,23720,14849,16482,14654,12554,12549,13013,13189,10843,21063,23422,25322,14437,9300,10128,9058,"Louisville/Jefferson County metro government (balance), Kentucky",4000,2195,1768,2393,1719,1728,1654,1705,1694,1603,2271,2596,2442,1590,1465,1403,1053
"G22005000","2014","LA",,,"Louisiana","22",,,"Baton Rouge city","05000",,,,,,,,,,,,,,,,"16000US2205000","Baton Rouge city, Louisiana",91034,11715,7061,5503,7313,5569,6202,4152,4377,3629,5751,7972,7290,5263,2551,2611,4075,"Baton Rouge city, Louisiana",2417,1832,1390,1209,1681,1424,1240,1137,1147,959,1123,1495,1317,1158,897,775,1038
"G22008920","2014","LA",,,"Louisiana","22",,,"Bossier City city","08920",,,,,,,,,,,,,,,,"16000US2208920","Bossier City city, Louisiana",24869,1003,1331,855,1819,1783,1162,1766,1951,939,2469,2670,2990,1977,663,863,628,"Bossier City city, Louisiana",1322,403,630,455,638,690,551,591,859,552,929,809,893,648,407,461,317
"G22039475","2014","LA",,,"Louisiana","22",,,"Kenner city","39475",,,,,,,,,,,,,,,,"16000US2239475","Kenner city, Louisiana",25553,2249,1065,1398,1407,1216,1808,1213,1202,677,2015,3101,3368,1972,676,815,1371,"Kenner city, Louisiana",1379,690,616,576,531,563,708,518,553,344,693,935,853,675,325,415,588
"G22040735","2014","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"16000US2240735","Lafayette city, Louisiana",49939,4605,2541,3443,3415,2892,2146,2146,2680,2099,4305,4038,4240,2480,2203,3164,3542,"Lafayette city, Louisiana",2268,1207,1006,1124,993,1003,860,674,1073,736,1042,849,1111,696,679,1044,958
"G22041155","2014","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"16000US2241155","Lake Charles city, Louisiana",30751,4116,2872,1763,3171,2204,1240,1836,1599,982,2082,2940,2282,1357,651,910,746,"Lake Charles city, Louisiana",1677,1171,902,607,1088,828,534,745,756,495,805,927,653,590,324,511,352
"G22050115","2014","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"16000US2250115","Metairie CDP, Louisiana",59799,4216,2562,4151,2877,2465,4147,3328,2961,2780,4551,4667,6745,4830,3105,3003,3411,"Metairie CDP, Louisiana",2457,832,819,1103,884,579,1210,878,755,923,1099,928,1156,963,773,792,847
"G22055000","2014","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"16000US2255000","New Orleans city, Louisiana",152788,25561,12514,9773,10441,8684,8692,6029,7081,5344,8414,10917,12750,8019,4805,5621,8143,"New Orleans city, Louisiana",2802,2095,1204,1303,1265,1316,1410,998,1206,1030,1261,1124,1285,1186,838,876,959
"G22070000","2014","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"16000US2270000","Shreveport city, Louisiana",74512,10773,5716,5390,5645,4149,3619,3684,3968,3521,6002,5024,6474,4026,2244,1718,2559,"Shreveport city, Louisiana",2374,1792,1206,1217,1255,1016,980,939,1113,973,1264,1353,1354,910,755,661,743
"G23060545","2014","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",30023,3730,1692,1612,1590,1268,1261,752,1378,1461,2709,2305,4157,2057,1360,1394,1297,"Portland city, Maine",1514,810,455,715,464,415,437,348,675,538,660,556,932,509,528,564,369
"G24004000","2014","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",238897,31740,16507,13710,12376,13320,13364,12834,9279,10399,17771,22169,25109,14289,8453,9012,8565,"Baltimore city, Maryland",3190,2058,1717,1723,1366,1938,1734,1663,1556,1348,1669,2315,2207,1937,1125,1145,1246
"G24007125","2014","MD",,,"Maryland","24",,,"Bethesda CDP","07125",,,,,,,,,,,,,,,,"16000US2407125","Bethesda CDP, Maryland",24905,579,571,190,514,414,305,524,398,382,705,1441,2393,2206,1864,3078,9341,"Bethesda CDP, Maryland",1030,278,405,154,267,243,209,258,229,203,328,468,630,611,491,705,895
"G24019125","2014","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",38493,1079,520,1377,815,503,800,818,915,625,1879,4001,5959,4796,3613,5789,5004,"Columbia CDP, Maryland",1826,426,454,611,390,262,329,557,543,335,600,1236,1301,1085,886,1018,946
"G24026000","2014","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",25584,511,579,324,772,312,670,466,810,518,1559,1723,2627,2951,2683,4801,4278,"Ellicott City CDP, Maryland",1556,292,530,203,594,245,470,274,615,331,527,607,779,864,759,1027,785
"G24030325","2014","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",27209,1020,896,564,796,1727,1342,890,1209,1286,2134,2609,5162,3183,1268,1526,1597,"Frederick city, Maryland",1428,393,520,359,442,859,563,534,417,595,831,911,1216,1095,566,585,504
"G24031175","2014","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",22988,762,376,654,784,1009,861,458,591,977,1956,2505,3291,3073,1789,1851,2051,"Gaithersburg city, Maryland",1629,323,264,323,434,632,513,280,293,460,734,813,832,905,805,564,581
"G24032025","2014","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",30075,1108,610,390,658,551,527,817,1020,979,2053,4671,4475,3338,2323,3353,3202,"Germantown CDP, Maryland",1822,577,650,272,495,512,283,502,633,413,675,1063,1018,742,606,860,809
"G24032650","2014","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",26247,1305,1141,997,820,559,883,902,1392,2518,2137,3863,3683,2537,1600,1260,650,"Glen Burnie CDP, Maryland",2006,571,565,642,411,325,433,406,653,956,754,1000,1077,758,833,552,408
"G24067675","2014","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"16000US2467675","Rockville city, Maryland",25545,861,1219,179,636,303,589,520,711,770,2055,2386,3632,2786,1816,3718,3364,"Rockville city, Maryland",1637,446,591,180,382,189,416,293,410,407,631,649,818,708,562,793,737
"G24072450","2014","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",31374,2015,731,944,1173,829,1534,1499,1291,1522,2167,2735,3624,4019,2093,2793,2405,"Silver Spring CDP, Maryland",1910,677,538,459,568,538,626,752,744,760,810,761,782,906,722,674,698
"G24081175","2014","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",24932,1045,629,632,456,797,933,863,701,1184,1532,2922,4016,2706,2856,2151,1509,"Waldorf CDP, Maryland",1272,544,409,376,475,445,514,419,352,628,596,875,965,780,895,581,535
"G25007000","2014","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",253749,30452,20468,11706,11792,9090,9553,7914,6693,7466,14773,22495,25227,21268,14672,17928,22252,"Boston city, Massachusetts",3479,2490,2321,1538,1810,1428,1586,1452,1118,1318,1871,2045,2473,2252,1882,2185,2008
"G25009000","2014","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",33006,2866,2453,2316,2542,1201,2409,1032,1877,1103,2464,2694,5238,2083,1100,904,724,"Brockton city, Massachusetts",1642,863,743,962,944,516,861,480,639,539,673,808,1098,758,433,335,386
"G25011000","2014","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",43058,4001,1728,1764,1422,1257,1203,1384,1379,752,2203,2573,4831,4470,2779,4574,6738,"Cambridge city, Massachusetts",1836,1020,570,678,530,607,481,643,556,470,545,719,932,866,708,967,905
"G25023000","2014","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",39121,4669,3908,3497,2446,1879,3144,1673,2563,1159,3109,2614,4604,2093,1067,479,217,"Fall River city, Massachusetts",1658,1152,968,911,675,798,861,671,909,585,860,718,1206,742,384,294,197
"G25024960","2014","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",26770,1904,1474,1169,1738,1205,620,1277,895,802,1526,1825,3750,3527,1377,2063,1618,"Framingham CDP, Massachusetts",1499,761,693,515,705,591,347,612,427,467,650,776,877,993,521,744,577
"G25034550","2014","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",25613,3585,1690,1548,1607,993,2446,1399,1004,1383,1915,2399,2747,1629,287,781,200,"Lawrence city, Massachusetts",1473,809,472,616,609,421,789,549,496,522,753,750,728,688,202,398,196
"G25037000","2014","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",38173,3498,3698,3138,2860,1468,2131,1214,1531,1620,3311,3583,3958,2213,1606,1475,869,"Lowell city, Massachusetts",2144,819,1141,919,832,552,753,490,571,648,910,819,1135,676,516,494,368
"G25037490","2014","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",32235,2673,2447,1985,1449,1630,1168,1865,1083,1101,2407,3044,3943,3334,1297,1865,944,"Lynn city, Massachusetts",1744,687,634,638,504,530,451,569,461,445,661,766,870,837,483,607,470
"G25045000","2014","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",38046,4416,4453,2733,2297,1869,1525,1920,1917,2007,2433,2699,4721,2327,1444,1107,178,"New Bedford city, Massachusetts",1498,957,884,667,572,635,548,629,563,661,679,852,896,648,458,410,210
"G25045560","2014","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",31595,1002,787,722,1090,1260,602,1231,452,614,1890,2206,3628,2312,1795,3135,8869,"Newton city, Massachusetts",1168,559,558,300,558,672,361,557,344,294,606,614,787,575,439,682,891
"G25055745","2014","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",40083,1978,2352,1446,2588,783,1535,842,1763,1483,3140,3328,6234,5639,2180,2618,2174,"Quincy city, Massachusetts",1706,867,736,668,961,349,642,360,698,608,840,981,1246,1196,647,719,735
"G25062535","2014","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",31566,2134,1510,991,767,1166,1090,1321,960,1004,2466,2626,3792,3157,3511,2802,2269,"Somerville city, Massachusetts",1931,814,564,470,427,592,524,626,442,403,671,647,906,845,897,757,621
"G25067000","2014","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",55816,7313,6794,4772,3477,3646,2745,2775,2680,1649,3436,4277,5276,3428,1464,1266,818,"Springfield city, Massachusetts",1844,1343,1218,1140,837,948,790,717,763,564,864,1067,1010,864,574,517,325
"G25082000","2014","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",64923,7495,4876,4634,3759,3486,3541,2355,1562,2433,5028,5524,8256,5069,3008,2345,1552,"Worcester city, Massachusetts",2562,1480,1028,981,936,867,881,748,526,768,945,993,1319,1070,764,563,534
"G26003000","2014","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",46326,4079,1749,1994,2346,1890,2503,1978,2187,1081,3257,3963,5359,4396,2727,3544,3273,"Ann Arbor city, Michigan",1779,844,543,603,716,743,758,657,612,400,931,930,1012,967,640,770,698
"G26021000","2014","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",31827,3055,1561,2119,1622,2076,2432,1478,1696,1130,2238,2979,3438,2431,1486,1305,781,"Dearborn city, Michigan",1348,738,554,573,544,612,601,592,602,397,531,656,749,559,479,415,301
"G26022000","2014","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",253490,54892,25604,23230,20156,16592,14790,13704,11383,10485,15883,17840,14544,7811,2697,2122,1757,"Detroit city, Michigan",3816,3245,2112,2051,1699,1640,1737,1620,1373,1531,1691,1822,1441,1310,731,566,500
"G26027440","2014","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",34613,1570,858,1255,1161,938,1660,1174,1962,1348,3177,3183,4539,3091,2762,2618,3317,"Farmington Hills city, Michigan",1546,766,429,531,494,618,639,484,691,482,864,759,924,726,746,709,772
"G26029000","2014","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",39125,6864,4129,5113,2822,2303,2517,2736,1973,1225,2931,2365,2561,771,245,336,234,"Flint city, Michigan",1659,1225,1114,1107,913,640,714,756,692,606,737,684,679,354,233,196,263
"G26034000","2014","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",72388,8205,5431,5657,4441,5902,3271,3814,3485,2839,6129,7433,7009,4411,1644,1241,1476,"Grand Rapids city, Michigan",2375,1333,1333,1034,905,1296,816,1032,864,636,1069,1279,967,861,563,470,507
"G26042160","2014","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",28996,3953,2918,2265,1750,2315,2949,1800,1081,728,1969,2058,2654,931,489,549,587,"Kalamazoo city, Michigan",1501,901,877,626,786,752,850,646,502,411,721,689,643,332,269,259,243
"G26046000","2014","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",47908,5496,3154,4357,3812,2548,3392,3561,2117,2801,3945,5108,3724,2048,558,960,327,"Lansing city, Michigan",1709,1290,767,1080,883,737,936,849,703,826,1162,1061,856,633,279,376,246
"G26049000","2014","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",35937,1463,1032,1137,1635,1433,1691,1606,1165,1169,3085,4582,5714,4007,2765,2103,1350,"Livonia city, Michigan",1487,467,403,366,448,396,466,554,456,353,639,956,705,734,561,484,444
"G26069035","2014","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",27668,737,877,1116,657,919,897,781,757,608,1714,1868,4699,3471,2675,3191,2701,"Rochester Hills city, Michigan",1119,282,510,519,312,358,415,338,360,306,545,594,835,807,697,731,592
"G26074900","2014","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",33860,2878,2108,2020,1945,1269,1951,1623,1387,2040,3299,3732,3659,2774,1391,1062,722,"Southfield city, Michigan",1694,772,666,612,651,515,703,664,502,752,858,898,900,672,531,447,397
"G26076460","2014","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",49635,1915,1232,2878,2632,2039,2810,1935,2964,2229,4474,5582,7680,4393,2858,2235,1779,"Sterling Heights city, Michigan",1766,703,467,724,743,634,872,625,849,700,1045,1038,1231,975,747,785,802
"G26080700","2014","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",30597,961,591,615,1205,551,1125,791,1091,1289,1704,3960,4095,3136,3001,2732,3750,"Troy city, Michigan",1039,514,271,337,507,348,452,412,417,466,479,880,710,638,653,663,729
"G26084000","2014","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",53403,3181,4111,3983,4376,2381,3947,2606,3721,2444,4783,5727,5583,3313,1599,1167,481,"Warren city, Michigan",1882,709,811,919,936,725,990,731,975,662,979,1022,1069,797,430,599,229
"G26086000","2014","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",34251,3123,2145,1869,2326,2456,2350,1822,2071,1462,2018,3216,4485,2030,1468,1091,319,"Westland city, Michigan",1593,933,680,588,676,755,663,646,666,603,649,821,803,503,477,513,237
"G26088940","2014","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",27786,1948,1821,1557,1716,1732,2067,1062,1458,1483,2803,3863,3116,1841,479,581,259,"Wyoming city, Michigan",1604,598,872,663,636,741,714,502,572,586,838,821,790,635,315,364,230
"G27006616","2014","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",37593,914,1496,1482,1701,1826,1499,1683,2129,1941,3045,3961,4823,3834,2794,2216,2249,"Bloomington city, Minnesota",1943,435,535,701,912,668,587,621,637,631,781,847,1052,818,673,610,580
"G27007966","2014","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",26544,1600,638,1144,1194,787,1524,1988,949,1609,1801,2097,5001,2620,1675,1216,701,"Brooklyn Park city, Minnesota",1851,730,408,518,606,385,570,740,439,767,561,664,967,709,559,396,402
"G27017000","2014","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",36307,3393,3112,1840,2190,2373,1942,2356,1595,1341,3119,3357,3680,2641,1552,892,924,"Duluth city, Minnesota",1491,883,627,432,584,676,579,664,428,490,771,759,686,595,484,324,373
"G27017288","2014","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",27007,753,727,889,646,665,891,1107,786,674,1746,3510,4269,2557,2450,2862,2475,"Eagan city, Minnesota",1085,265,368,501,339,332,342,328,320,272,551,768,759,596,652,675,528
"G27040166","2014","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",27457,918,722,387,639,707,405,462,771,481,2477,3164,3720,3191,3638,3242,2533,"Maple Grove city, Minnesota",1259,464,442,337,384,390,320,333,424,343,980,837,976,926,1203,719,756
"G27043000","2014","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",169306,19589,10214,8496,8137,7858,7977,7379,7187,6253,13457,13667,18606,13494,8307,9634,9051,"Minneapolis city, Minnesota",3704,2148,1515,1392,1228,1243,1359,1205,1140,1252,1555,1645,1854,1384,1304,1312,1180
"G27051730","2014","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",29678,1095,557,764,1187,1311,866,618,1198,1475,2790,2098,2968,3018,2310,3263,4160,"Plymouth city, Minnesota",1630,741,427,329,621,647,451,321,452,734,888,616,618,726,545,794,1110
"G27054880","2014","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",44661,1944,1567,1781,1174,2524,2232,1386,1923,1693,3805,4578,6376,5277,2538,3037,2826,"Rochester city, Minnesota",1030,947,673,568,418,859,729,530,556,644,820,866,955,951,642,684,600
"G27056896","2014","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",25421,2025,893,1852,1643,1346,2075,1302,1167,1228,2080,2761,3308,1417,461,1061,802,"St. Cloud city, Minnesota",1366,630,404,647,633,461,642,484,519,634,746,713,763,463,280,514,305
"G27058000","2014","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",110978,11258,6988,6941,6637,5558,6686,4798,3947,3472,8935,10679,12255,8182,5374,4147,5121,"St. Paul city, Minnesota",2404,1613,1358,1438,1226,1169,1049,1043,732,665,1259,1460,1194,1028,1010,800,919
"G27071428","2014","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"16000US2771428","Woodbury city, Minnesota",26101,546,310,919,605,229,741,1112,331,895,1282,2887,3530,2875,2732,2963,4144,"Woodbury city, Minnesota",1184,472,273,707,351,205,479,533,243,434,541,995,883,764,779,791,828
"G28029700","2014","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"16000US2829700","Gulfport city, Mississippi",30048,4172,1633,3103,3337,2510,1440,1834,1851,1416,2109,1453,2628,1553,340,406,263,"Gulfport city, Mississippi",1533,972,650,945,912,937,698,672,629,651,759,571,673,669,241,230,219
"G28036000","2014","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"16000US2836000","Jackson city, Mississippi",62679,9929,4783,4177,4553,4992,3507,4592,2456,2601,4382,4133,4917,3211,1548,1497,1401,"Jackson city, Mississippi",2003,1495,1133,975,1011,1152,899,1178,941,740,1120,1035,1111,1127,631,669,398
"G29015670","2014","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"16000US2915670","Columbia city, Missouri",45405,6293,2281,2692,2030,2470,2371,1687,2338,2069,3365,3902,5346,3840,1595,1814,1312,"Columbia city, Missouri",1903,1583,819,905,860,778,958,619,769,702,1172,1051,1291,1026,517,609,561
"G29035000","2014","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"16000US2935000","Independence city, Missouri",47145,4049,2710,2740,2562,2896,2801,2538,3375,2503,4169,5475,5301,2507,1931,946,642,"Independence city, Missouri",1936,1118,878,781,830,859,871,767,978,854,711,1168,1018,699,593,410,324
"G29038000","2014","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"16000US2938000","Kansas City city, Missouri",195125,19900,11931,11996,13406,8574,11595,9959,11701,7234,14418,19275,21027,13446,7456,7597,5610,"Kansas City city, Missouri",4085,2004,1599,1548,1650,1147,1608,1661,1520,1101,1659,2002,2087,1748,1318,1129,825
"G29041348","2014","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"16000US2941348","Lee's Summit city, Missouri",34259,968,1212,1439,1452,743,1012,799,783,962,2590,4247,5900,4799,2963,2671,1719,"Lee's Summit city, Missouri",1434,488,627,614,649,464,516,345,395,551,767,1068,1176,1026,808,633,537
"G29054074","2014","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"16000US2954074","O'Fallon city, Missouri",29689,946,593,699,829,1057,967,999,971,800,2583,2861,5671,3416,2151,3584,1562,"O'Fallon city, Missouri",1298,540,403,344,482,521,499,495,410,375,765,689,1155,779,793,883,497
"G29064082","2014","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"16000US2964082","St. Charles city, Missouri",27104,1559,519,1408,1197,1530,737,2251,1242,1397,2195,2499,3917,2926,970,1275,1482,"St. Charles city, Missouri",1362,618,224,564,476,479,358,745,542,616,625,604,742,733,421,411,516
"G29064550","2014","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"16000US2964550","St. Joseph city, Missouri",28421,3033,2186,2004,1545,1320,1776,1407,1013,1216,3872,2834,2554,1211,981,1008,461,"St. Joseph city, Missouri",1143,747,638,695,639,463,488,650,388,388,858,743,631,464,422,597,338
"G29065000","2014","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"16000US2965000","St. Louis city, Missouri",137784,23394,11804,9402,8299,7575,7039,6923,8533,5808,11006,10954,11560,5560,3901,2990,3036,"St. Louis city, Missouri",2738,2084,1578,1484,1361,1414,1250,1235,1519,1028,1629,1560,1452,889,1027,811,664
"G29070000","2014","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"16000US2970000","Springfield city, Missouri",69761,9604,6359,5413,5784,5086,5155,4656,3421,2243,5120,5310,5473,2984,1115,920,1118,"Springfield city, Missouri",2241,1465,1259,1150,1263,1193,1063,958,903,701,955,1063,1019,694,530,391,517
"G30006550","2014","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"16000US3006550","Billings city, Montana",43498,2745,2564,2021,3404,2306,2149,1652,2566,2239,3919,4392,4636,3382,2012,1531,1980,"Billings city, Montana",1284,833,744,739,842,691,706,611,833,763,855,938,944,955,691,539,594
"G30050200","2014","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"16000US3050200","Missoula city, Montana",30054,2910,2406,2280,1854,1310,2027,2129,1658,1078,2345,2428,2723,2172,1040,810,884,"Missoula city, Montana",1359,985,682,883,838,630,609,832,667,504,859,852,880,798,549,432,405
"G31028000","2014","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"16000US3128000","Lincoln city, Nebraska",108954,5846,5932,6982,6063,6503,6227,6654,5782,4140,9931,12023,11286,10158,4396,3667,3364,"Lincoln city, Nebraska",1670,1073,1106,1256,1239,1267,1183,1229,1224,962,1576,1392,1405,1450,868,694,785
"G31037000","2014","NE",,,"Nebraska","31",,,"Omaha city","37000",,,,,,,,,,,,,,,,"16000US3137000","Omaha city, Nebraska",174747,13743,8846,9431,9802,10459,9061,10446,9176,8525,15077,16776,20142,12630,8078,7430,5125,"Omaha city, Nebraska",2535,1810,1307,1406,1393,1446,1373,1416,1303,1296,1562,1617,1764,1441,1276,1119,708
