GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G06002364","2014","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",23822,858,1373,1422,2036,1572,1285,1192,1173,1042,2294,2963,2387,1428,1054,951,792,"Apple Valley town, California",1644,495,629,639,877,632,581,471,599,422,913,1007,823,542,437,491,433
"G06002553","2014","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",40282,3632,3431,2552,1519,2522,2279,2625,1350,1123,2593,3859,3860,2841,1675,2348,2073,"Arden-Arcade CDP, California",2399,870,826,766,539,964,812,959,401,544,852,1005,880,717,584,789,570
"G06003526","2014","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",114774,8116,5887,5031,5788,5041,4482,6236,4521,4679,8801,11558,15666,11171,6347,7145,4305,"Bakersfield city, California",2756,1601,1321,1283,1293,1028,1187,1286,1082,1237,1546,1493,2002,1713,1150,1436,968
"G06003666","2014","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",19153,1090,721,964,1338,1103,1254,1055,1033,602,2411,1853,2757,1693,564,542,173,"Baldwin Park city, California",1243,492,380,418,599,545,514,485,473,328,761,496,640,544,276,330,219
"G06004982","2014","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",23975,713,1967,821,1393,900,1215,1571,1673,1383,2742,2295,3772,1718,747,812,253,"Bellflower city, California",1314,343,664,434,656,464,565,516,644,489,706,552,817,566,317,331,169
"G06006000","2014","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",43322,4107,2327,1881,1612,1355,1373,1108,963,1443,3000,3483,3512,4482,3517,3426,5733,"Berkeley city, California",2165,992,646,517,583,512,652,426,462,563,938,786,699,720,838,708,797
"G06008786","2014","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",24001,1321,1468,716,1027,835,727,1850,1039,1150,1938,2438,2195,2119,1978,1624,1576,"Buena Park city, California",1261,586,714,306,582,533,475,796,445,544,717,824,605,732,705,610,662
"G06008954","2014","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",42396,1833,1997,1773,2276,1349,1908,2274,1229,1328,3102,4564,5041,4798,2371,4076,2477,"Burbank city, California",1893,714,681,666,713,450,766,932,500,513,952,1091,1042,1177,917,1000,672
"G06010046","2014","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",23784,721,382,837,481,692,541,1168,420,731,2087,2477,3394,3090,2552,1794,2417,"Camarillo city, California",1412,358,266,397,302,404,396,504,240,344,713,811,790,882,738,510,543
"G06011194","2014","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",43234,1294,628,981,1259,1005,926,1542,1568,710,2238,2716,5121,6266,4016,4534,8430,"Carlsbad city, California",1567,652,323,709,643,580,421,697,653,348,784,987,1230,1327,867,1018,1468
"G06011390","2014","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",27254,1799,1252,1623,1013,1823,1109,749,1420,1511,1521,3339,3106,2261,1544,1330,1854,"Carmichael CDP, California",1850,760,539,719,464,782,469,423,477,697,600,1019,706,682,566,394,582
"G06011530","2014","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",25325,1115,979,889,1499,960,1560,699,1165,583,2082,2486,3762,3160,2222,933,1231,"Carson city, California",1298,543,442,373,612,408,638,434,580,318,696,723,929,797,781,475,497
"G06013014","2014","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",35657,3889,3620,2866,1813,1628,1468,2222,1846,1155,2080,1987,4107,2555,1661,1536,1224,"Chico city, California",1970,938,1083,859,612,609,657,1060,793,516,621,574,1108,782,675,469,497
"G06013210","2014","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",18218,536,539,720,303,177,613,733,550,387,1769,2138,3418,2887,1674,1100,674,"Chino city, California",1716,320,340,368,217,85,323,377,273,264,639,685,812,661,494,394,288
"G06013214","2014","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",21940,1049,281,286,465,654,381,568,909,405,1269,2419,2342,2861,2380,2783,2888,"Chino Hills city, California",1234,639,214,223,412,427,266,418,518,311,611,778,791,773,647,822,751
"G06013392","2014","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",78058,3780,3754,3293,3621,3102,4311,2949,3211,2493,5042,7787,12221,7475,6291,5317,3411,"Chula Vista city, California",2684,958,1137,1054,1146,1336,1184,744,1085,740,1098,1365,2200,1454,1090,1022,852
"G06013588","2014","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",33709,2002,1483,2404,1169,2559,1691,1770,1614,1673,3790,4188,3169,3072,1594,1238,293,"Citrus Heights city, California",1450,791,638,895,520,772,627,512,611,577,898,771,763,916,630,548,204
"G06014218","2014","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",34358,1584,1695,1614,1560,918,1891,1740,1536,1078,3410,3486,3975,3278,2573,2079,1941,"Clovis city, California",1592,657,680,595,558,436,644,721,489,430,996,796,850,738,788,588,595
"G06015044","2014","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",23763,1612,1237,2170,1537,1143,1597,1085,1296,986,1872,2634,3557,1707,664,344,322,"Compton city, California",1313,621,461,741,542,485,594,416,510,447,506,732,894,542,407,174,278
