GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G20064500","2015","KS",,,"Kansas","20",,,"Shawnee city","64500",,,,,,,,,,,,,,,,"16000US2064500","Shawnee city, Kansas",24454,1188,693,423,798,788,1157,584,510,686,1585,2123,3638,4444,2062,2053,1722,"Shawnee city, Kansas",1205,639,399,288,531,559,414,337,305,452,574,717,933,1167,628,762,752
"G20071000","2015","KS",,,"Kansas","20",,,"Topeka city","71000",,,,,,,,,,,,,,,,"16000US2071000","Topeka city, Kansas",52958,4458,3643,2886,4073,3550,2146,2969,3065,2387,3504,6195,6940,3113,1930,715,1384,"Topeka city, Kansas",1988,1006,937,945,876,796,729,842,733,764,852,1186,1175,700,633,338,591
"G20079000","2015","KS",,,"Kansas","20",,,"Wichita city","79000",,,,,,,,,,,,,,,,"16000US2079000","Wichita city, Kansas",150497,15361,6929,7809,10662,7985,9185,6023,8449,6930,14225,14262,15537,12072,5617,4762,4689,"Wichita city, Kansas",2816,1731,1258,1099,1578,1174,1339,1200,1436,1299,1892,1505,1627,1418,1040,777,929
"G21046027","2015","KY",,,"Kentucky","21",,,"Lexington-Fayette urban county","46027",,,,,,,,,,,,,,,,"16000US2146027","Lexington-Fayette urban county, Kentucky",129088,10302,7766,7983,7058,7200,6592,5827,4741,5016,9744,12450,15775,10388,6293,5889,6064,"Lexington-Fayette urban county, Kentucky",1852,1574,1559,1292,1234,1136,1208,1178,1002,947,1744,1712,1586,1302,1267,998,906
"G21048006","2015","KY",,,"Kentucky","21",,,"Louisville/Jefferson County metro government (balance)","48006",,,,,,,,,,,,,,,,"16000US2148006","Louisville/Jefferson County metro government (balance), Kentucky",245874,21983,14253,14058,15027,12446,11867,13633,12312,10086,19614,25143,29468,17022,9629,10344,8989,"Louisville/Jefferson County metro government (balance), Kentucky",3731,1958,2055,1751,1859,1528,1604,1490,1973,1722,2116,2273,2644,1723,1246,1422,1239
"G22005000","2015","LA",,,"Louisiana","22",,,"Baton Rouge city","05000",,,,,,,,,,,,,,,,"16000US2205000","Baton Rouge city, Louisiana",87286,10282,6335,6990,5287,4986,4872,4122,3360,4684,5951,7282,7130,5844,3518,3553,3090,"Baton Rouge city, Louisiana",3092,1627,1343,1655,1165,1306,1027,1028,924,1084,1361,1477,1354,1401,970,791,648
"G22008920","2015","LA",,,"Louisiana","22",,,"Bossier City city","08920",,,,,,,,,,,,,,,,"16000US2208920","Bossier City city, Louisiana",27404,2764,967,1013,1930,1677,1969,1433,1509,1047,1893,3166,3891,2127,576,638,804,"Bossier City city, Louisiana",1410,1049,540,581,795,735,796,610,724,505,802,941,960,804,467,389,490
"G22039475","2015","LA",,,"Louisiana","22",,,"Kenner city","39475",,,,,,,,,,,,,,,,"16000US2239475","Kenner city, Louisiana",25896,2639,1293,1933,591,1959,1540,1142,1939,746,1699,2941,2737,1224,1123,1538,852,"Kenner city, Louisiana",1493,838,555,719,337,723,606,464,597,430,604,1019,777,492,503,677,495
"G22040735","2015","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"16000US2240735","Lafayette city, Louisiana",48597,6177,3032,2695,3198,2204,2480,1559,1950,1552,3478,4199,4606,3354,1532,2435,4146,"Lafayette city, Louisiana",1804,1211,918,976,1012,717,864,615,689,563,852,1029,1224,877,494,735,921
"G22041155","2015","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"16000US2241155","Lake Charles city, Louisiana",30987,2866,2343,2631,2600,2001,1815,1781,1665,984,2364,2909,2388,1179,978,1536,947,"Lake Charles city, Louisiana",1814,814,849,779,824,684,640,649,818,459,718,891,825,416,609,597,393
"G22050115","2015","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"16000US2250115","Metairie CDP, Louisiana",61045,3670,2834,2319,3466,2850,3191,2640,3115,3461,5775,5898,7599,5334,3009,3162,2722,"Metairie CDP, Louisiana",2252,858,850,743,899,707,969,759,862,901,1103,1148,1215,1064,656,814,589
"G22055000","2015","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"16000US2255000","New Orleans city, Louisiana",156591,23590,11405,10552,10022,8706,8278,6854,7233,6391,8909,11637,14664,9277,5214,6056,7803,"New Orleans city, Louisiana",2068,1764,1387,1420,1369,1331,1165,1137,1081,1065,1216,1228,1737,1108,926,884,988
"G22070000","2015","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"16000US2270000","Shreveport city, Louisiana",75823,9974,5051,4917,6342,3974,4670,4015,3647,2904,5645,6459,7275,4895,1556,1986,2513,"Shreveport city, Louisiana",2308,1700,1252,1351,1244,935,1266,1114,788,921,1291,1209,1171,1070,602,589,788
"G23060545","2015","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",30427,3377,1837,1637,1178,1342,1727,1160,1571,990,2001,2671,4371,2424,1337,1539,1265,"Portland city, Maine",1751,990,628,572,566,487,604,429,495,367,615,722,929,631,622,521,416
"G24004000","2015","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",238400,29206,17079,15366,12203,13313,13742,9088,10444,9856,18400,20295,23846,14923,11187,9387,10065,"Baltimore city, Maryland",3603,2427,2091,1885,1486,2025,1711,1484,1339,1662,2100,2069,1979,1625,1345,1491,1172
"G24019125","2015","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",38325,1498,1007,134,455,637,1380,689,535,987,3051,2441,5876,5142,3895,6039,4559,"Columbia CDP, Maryland",1639,714,523,144,341,376,688,405,299,634,832,830,1087,929,957,1073,950
"G24026000","2015","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",25724,160,513,674,819,195,658,290,449,344,1165,2676,2723,3186,2829,4093,4950,"Ellicott City CDP, Maryland",1493,157,405,363,471,176,358,248,312,241,480,886,633,804,833,864,822
"G24030325","2015","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",27298,1593,836,537,798,1318,1172,1298,1317,1069,3056,3384,3206,3001,1750,1763,1200,"Frederick city, Maryland",1312,554,470,294,444,759,538,654,534,514,1116,878,698,761,605,603,340
"G24031175","2015","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",24544,972,428,635,748,278,459,1756,494,1094,790,2493,3466,3469,2088,2616,2758,"Gaithersburg city, Maryland",1319,558,246,435,412,200,295,625,307,560,344,772,866,1064,667,588,643
"G24032025","2015","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",28527,1274,358,229,360,479,740,1260,1136,1060,3007,2814,3239,3079,1768,4002,3722,"Germantown CDP, Maryland",1822,806,257,198,270,325,484,774,407,647,1021,768,820,751,574,1040,943
"G24032650","2015","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",26890,1179,934,511,629,813,745,1705,1213,868,3011,3338,3871,3024,2365,1723,961,"Glen Burnie CDP, Maryland",1966,548,575,328,325,389,449,878,647,673,1045,1018,1026,965,783,591,614
"G24067675","2015","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"16000US2467675","Rockville city, Maryland",25426,1266,347,391,539,689,693,671,1405,781,1570,2035,2760,2816,2288,2818,4357,"Rockville city, Maryland",1517,744,265,282,362,457,365,320,587,418,512,612,559,659,743,678,655
"G24072450","2015","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",31646,2421,510,1369,846,1202,1553,1344,1253,1370,2673,2126,3445,3409,2259,3396,2470,"Silver Spring CDP, Maryland",1677,1003,473,711,475,606,757,646,501,683,955,784,788,1049,665,897,599
"G24081175","2015","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",27896,990,698,267,313,558,898,977,757,634,1603,3542,5017,3187,3451,3316,1688,"Waldorf CDP, Maryland",1545,510,434,233,280,617,607,587,566,408,736,859,1200,800,1145,805,539
"G25007000","2015","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",261492,29216,19276,11654,10278,10312,9058,9041,9283,7938,16867,19967,26570,24623,15895,17197,24317,"Boston city, Massachusetts",3435,2388,2040,1719,1839,1758,1403,1264,1484,1435,2088,2246,2983,2767,1752,1851,2312
"G25009000","2015","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",32494,3710,1958,1679,1568,1286,2091,2646,1685,1208,2508,3332,3240,2852,998,1307,426,"Brockton city, Massachusetts",1836,1203,671,607,618,515,835,919,695,480,821,858,873,817,471,462,251
"G25011000","2015","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",45569,3474,2181,1505,1230,902,862,1055,814,1191,1934,4145,5939,4465,2902,5539,7431,"Cambridge city, Massachusetts",2043,989,841,679,496,345,373,624,297,557,582,1000,1123,855,661,908,953
"G25023000","2015","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",39495,4756,4418,3173,1871,1743,1999,1931,2666,1646,3408,2872,4054,2101,1405,688,764,"Fall River city, Massachusetts",1908,1221,1064,968,507,688,635,618,948,734,960,995,1150,661,632,364,431
"G25024960","2015","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",27179,1853,1425,293,1246,1116,1395,942,901,599,1947,2172,3066,2498,2860,1975,2891,"Framingham CDP, Massachusetts",1513,816,488,255,664,670,686,403,368,327,745,859,949,756,996,664,733
"G25034550","2015","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",24885,2674,2539,2355,1218,1360,1846,1200,801,1038,1975,2462,2381,1492,773,631,140,"Lawrence city, Massachusetts",1600,673,764,760,446,543,777,533,393,485,690,684,762,546,436,385,143
"G25037000","2015","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",37880,3895,3055,1971,2035,1178,1726,1754,1930,2008,2837,3225,4227,3890,1976,1586,587,"Lowell city, Massachusetts",1973,1039,905,793,674,557,761,577,704,778,713,954,991,1135,607,595,256
"G25037490","2015","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",32635,3701,2003,1885,1428,1066,1942,1655,1704,1023,2318,2683,3562,2567,2132,2110,856,"Lynn city, Massachusetts",1536,942,549,684,577,481,762,593,680,517,682,792,686,630,711,731,399
"G25045000","2015","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",38826,3761,4681,2569,2711,2231,2307,2493,1710,892,2718,4447,3919,1793,877,1115,602,"New Bedford city, Massachusetts",1712,1016,997,750,714,671,581,781,498,320,697,947,877,459,421,472,337
"G25045560","2015","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",29902,964,922,660,690,1100,502,339,342,284,1007,1910,3085,3018,2182,3300,9597,"Newton city, Massachusetts",1439,374,355,384,402,532,378,188,207,224,354,552,747,733,620,709,950
"G25055745","2015","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",38674,2481,2402,1872,1312,1470,1712,1059,994,1428,2994,3684,5092,4655,2332,3164,2023,"Quincy city, Massachusetts",1718,1031,730,700,590,758,708,409,434,684,848,901,966,1083,743,837,621
"G25062535","2015","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",31837,1387,1452,862,963,522,699,622,1122,842,2300,2850,4616,4450,2643,3685,2822,"Somerville city, Massachusetts",1838,620,775,413,445,322,473,410,485,444,709,713,1200,1025,741,820,788
"G25067000","2015","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",53030,7194,6250,3701,2505,2984,2183,2503,2395,2971,4221,4742,5020,2743,1191,1847,580,"Springfield city, Massachusetts",2258,1135,1102,846,764,851,616,781,787,1018,927,1050,1100,777,400,610,274
"G25082000","2015","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",70553,9120,4763,4526,4074,2906,4429,3126,3286,3172,4958,6737,6842,5304,2240,2849,2221,"Worcester city, Massachusetts",2699,1500,1153,1136,1073,1030,1119,893,780,892,1285,1382,1153,996,594,873,582
"G26003000","2015","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",48803,5967,1738,2015,2386,2001,1899,1757,2179,2030,4140,4203,5395,3631,2460,3519,3483,"Ann Arbor city, Michigan",1690,1112,582,743,676,617,583,592,631,673,980,847,970,832,770,690,708
"G26021000","2015","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",31183,2768,2153,1769,1315,1755,1677,934,1440,1294,2171,2934,4318,2642,1893,1393,727,"Dearborn city, Michigan",1459,782,590,532,473,556,578,310,586,447,615,671,825,625,652,448,282
"G26022000","2015","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",255580,54059,24664,25294,19776,17819,16171,13048,12339,8710,16393,16969,14505,7478,3177,2692,2486,"Detroit city, Michigan",4170,3604,2081,2171,1926,1935,1750,1619,1754,1454,1868,2050,1572,1118,768,756,739
"G26027440","2015","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",33505,2105,1087,1120,1606,1003,1003,692,1578,1343,2724,3689,4315,3138,2562,2865,2675,"Farmington Hills city, Michigan",1482,714,477,657,665,418,437,379,534,596,733,1018,667,735,635,794,724
"G26029000","2015","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",40143,8314,4705,3091,3814,2478,2857,2000,2205,2391,2057,1938,2476,952,160,427,278,"Flint city, Michigan",2005,1559,1094,785,1043,781,789,703,985,666,615,602,628,593,126,278,251
"G26034000","2015","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",73488,5970,4635,5428,5629,4279,3831,4698,4548,2412,6247,7986,8235,4355,1971,1822,1442,"Grand Rapids city, Michigan",2079,1239,957,1306,1129,944,862,892,964,738,1113,1289,1171,971,612,678,443
"G26042160","2015","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",29040,3611,2431,2797,2086,1449,1716,1163,1758,1532,2648,2314,1892,1321,821,660,841,"Kalamazoo city, Michigan",1564,889,721,734,721,549,499,407,762,575,768,603,626,398,473,345,377
"G26046000","2015","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",47338,5012,3630,2861,3996,2955,3635,3676,3172,2256,4358,4381,3834,1705,1156,616,95,"Lansing city, Michigan",1942,908,970,738,1056,846,888,872,811,677,774,840,897,534,506,379,94
"G26049000","2015","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",36943,1416,1218,928,1145,1489,1967,1687,1555,1026,2690,4310,6494,4631,2034,2725,1628,"Livonia city, Michigan",1387,456,504,384,406,432,534,435,523,333,654,862,1014,690,523,598,444
"G26069035","2015","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",27224,895,488,669,916,815,826,1176,974,977,1596,3187,3696,2485,1938,2805,3781,"Rochester Hills city, Michigan",1249,490,302,383,402,379,445,560,484,393,500,780,898,570,521,642,662
"G26074900","2015","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",31613,2597,1505,1406,2525,1336,1898,2006,1014,1346,2764,3679,4044,2667,1188,811,827,"Southfield city, Michigan",1731,735,525,584,654,506,748,686,362,487,818,727,938,787,352,322,315
"G26076460","2015","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",49296,1954,2879,2232,1611,2186,2675,1646,2298,3172,3146,6224,7371,4976,2465,2679,1782,"Sterling Heights city, Michigan",1956,804,970,703,780,661,692,551,748,1023,790,1285,1219,893,513,713,597
"G26080700","2015","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",32004,1207,956,1011,1138,718,1149,759,833,797,1557,3532,3826,4130,3364,3888,3139,"Troy city, Michigan",1336,447,389,617,375,314,482,266,357,456,482,727,794,892,611,727,575
"G26084000","2015","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",54688,4281,3034,3091,3249,3883,4349,3040,3405,2765,5468,5846,5334,3090,1576,1756,521,"Warren city, Michigan",1872,1082,917,856,888,1028,871,920,887,769,1078,1038,951,637,508,539,205
"G26086000","2015","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",33719,2628,1685,2007,2273,2307,2608,1587,1548,1325,3151,3616,3669,2693,735,1238,649,"Westland city, Michigan",1555,639,530,670,636,692,721,501,433,584,891,748,797,740,353,496,475
"G26088940","2015","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",28200,1497,1093,1842,1539,2497,1921,2252,1769,813,3040,3341,3807,1455,549,152,633,"Wyoming city, Michigan",1608,733,571,748,657,934,639,819,681,423,812,854,972,502,331,185,316
"G27006616","2015","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",37129,1176,642,1709,1231,823,1754,1203,1519,2459,2931,5718,6102,3809,2125,2258,1670,"Bloomington city, Minnesota",1842,365,277,678,507,442,793,499,460,716,648,1114,968,743,640,533,481
"G27007966","2015","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",27645,1267,848,636,1583,727,950,2251,1354,1264,2392,2209,4642,2973,1869,1719,961,"Brooklyn Park city, Minnesota",1417,641,420,436,793,386,453,793,514,531,807,746,886,794,553,567,439
"G27017000","2015","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",35407,3043,1798,1737,2268,1736,2431,2054,1583,1423,3208,3257,3929,2615,1393,1858,1074,"Duluth city, Minnesota",1584,815,548,575,637,561,693,613,468,462,802,630,782,581,347,617,448
"G27017288","2015","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",26518,1216,248,946,595,636,936,848,1177,1117,2411,2622,4045,2043,2488,2260,2930,"Eagan city, Minnesota",1139,482,176,368,327,283,427,455,439,511,636,600,815,464,656,605,603
"G27040166","2015","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",25898,515,250,132,1174,401,570,733,659,1041,1723,2905,4032,3699,1595,3039,3430,"Maple Grove city, Minnesota",1518,347,241,120,753,287,332,385,331,510,521,746,899,843,539,815,843
"G27043000","2015","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",173686,15809,9276,8462,9717,8801,8138,7650,6263,5545,13014,16209,19970,14156,8617,10214,11845,"Minneapolis city, Minnesota",2940,2067,1541,1374,1497,1253,1432,1284,1015,965,1800,1759,1901,1622,1052,1144,1314
"G27051730","2015","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",30438,710,403,925,862,1283,631,451,540,1231,1709,3531,3642,3497,3311,3467,4245,"Plymouth city, Minnesota",1625,418,231,440,367,516,333,273,412,684,596,739,818,768,815,705,744
"G27054880","2015","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",43018,2658,2098,1310,1730,1860,1764,1761,1787,1125,3117,4764,6440,4162,2911,2601,2930,"Rochester city, Minnesota",1187,836,730,537,647,505,619,582,565,393,719,835,1012,740,594,584,643
"G27056896","2015","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",26037,1726,1148,1332,1985,1548,1876,2231,1679,1333,2630,2963,2616,1131,612,673,554,"St. Cloud city, Minnesota",1461,628,553,629,760,674,635,832,676,606,806,764,577,471,337,378,307
"G27058000","2015","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",113148,8845,6043,7228,5457,5516,6767,5328,6078,4934,9241,10253,13226,8260,5455,6371,4146,"St. Paul city, Minnesota",2477,1197,1179,1330,1265,1077,1228,1104,1136,1092,1317,1280,1433,1360,899,861,900
"G27071428","2015","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"16000US2771428","Woodbury city, Minnesota",24783,764,104,457,320,759,569,772,392,688,2223,1930,3008,3371,2430,3274,3722,"Woodbury city, Minnesota",1028,425,126,343,263,637,462,510,325,459,675,720,897,744,719,1144,793
"G28029700","2015","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"16000US2829700","Gulfport city, Mississippi",27744,3110,1953,1988,2888,1308,1861,1515,1505,1441,2299,2284,2690,979,279,1009,635,"Gulfport city, Mississippi",1575,959,707,764,997,541,735,736,577,667,713,800,737,402,201,528,333
"G28036000","2015","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"16000US2836000","Jackson city, Mississippi",62092,9137,5491,4630,5259,4247,3863,2951,2418,2370,4922,5812,4598,3509,436,1057,1392,"Jackson city, Mississippi",2018,1536,1137,1158,1020,1094,1048,782,733,730,998,1070,998,830,241,529,457
"G29015670","2015","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"16000US2915670","Columbia city, Missouri",46380,7369,2967,2171,2228,1935,2133,2023,2620,1819,2774,4322,4725,3265,2232,2155,1642,"Columbia city, Missouri",1906,1625,1052,767,685,803,810,749,873,826,846,1065,1195,833,690,690,619
"G29035000","2015","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"16000US2935000","Independence city, Missouri",49848,4850,3991,2395,3007,2663,3005,3484,2865,3168,3892,5002,5307,2870,1838,915,596,"Independence city, Missouri",1898,1249,1236,691,1058,876,1122,1061,851,821,975,973,1107,822,591,320,324
"G29038000","2015","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"16000US2938000","Kansas City city, Missouri",198129,16387,12386,10004,12178,9950,11493,9162,10104,6814,16071,21013,23150,15862,7865,8801,6889,"Kansas City city, Missouri",3745,1634,1859,1575,1832,1585,1806,1273,1575,1251,1907,2377,2288,1803,1341,1379,1041
"G29041348","2015","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"16000US2941348","Lee's Summit city, Missouri",35267,1059,1408,779,827,807,1464,1187,937,1824,2994,4342,5467,3176,2304,3744,2948,"Lee's Summit city, Missouri",1190,540,749,505,430,386,621,525,369,680,756,1289,1055,735,712,868,764
"G29054074","2015","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"16000US2954074","O'Fallon city, Missouri",30486,619,492,593,1282,686,922,1306,617,970,3811,3949,3930,4721,2179,3187,1222,"O'Fallon city, Missouri",1385,363,401,386,552,411,386,568,304,470,1158,876,748,941,586,809,418
"G29064082","2015","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"16000US2964082","St. Charles city, Missouri",27024,1539,561,788,1855,1885,1316,1186,935,1515,2155,2334,4404,1949,1497,1913,1192,"St. Charles city, Missouri",1464,571,424,336,766,611,686,453,506,610,627,644,800,597,440,504,343
"G29064550","2015","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"16000US2964550","St. Joseph city, Missouri",27938,2264,2197,980,1411,1570,2322,1480,1391,1569,2062,4186,3573,1589,460,221,663,"St. Joseph city, Missouri",1394,659,595,339,507,561,666,491,499,598,705,1042,815,500,248,138,362
"G29065000","2015","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"16000US2965000","St. Louis city, Missouri",141312,17999,10903,10054,9878,8968,7756,7367,6013,5793,10643,12209,13222,9124,3416,3857,4110,"St. Louis city, Missouri",2891,2007,1523,1419,1422,1461,1282,1283,1081,976,1469,1502,1644,1307,818,840,941
"G29070000","2015","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"16000US2970000","Springfield city, Missouri",73469,7836,5901,4453,6545,4729,5813,5353,4211,3614,6045,5527,6421,3212,1510,697,1602,"Springfield city, Missouri",1887,1333,1131,968,1210,1080,992,1127,1055,815,1266,1155,1128,882,567,381,584
"G30006550","2015","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"16000US3006550","Billings city, Montana",44677,2148,2120,2228,2387,1982,2306,2090,2724,720,4418,6541,6327,3380,2066,1569,1671,"Billings city, Montana",1467,757,729,738,778,581,685,675,1056,302,987,1270,1222,839,653,567,559
"G30050200","2015","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"16000US3050200","Missoula city, Montana",31518,3646,2004,2196,2231,1733,2294,2060,1061,718,2744,2952,2991,1602,1633,547,1106,"Missoula city, Montana",1083,1039,869,892,819,719,964,810,721,379,958,677,860,758,662,406,485
