GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G05024550","2015","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",35543,4021,3713,2376,3074,2846,2172,1396,2171,1363,2713,3121,3084,1440,844,339,870,"Fort Smith city, Arkansas",1394,1130,888,891,958,1085,698,588,797,590,691,863,804,671,361,374,344
"G05035710","2015","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",28816,2508,1918,2537,2123,2559,1804,1331,1089,1339,1683,2601,4025,993,734,951,621,"Jonesboro city, Arkansas",1178,825,714,1184,914,1160,678,562,476,641,673,876,1152,437,368,483,339
"G05041000","2015","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",82603,8014,4259,3864,7730,4942,4532,4808,3637,3822,6374,5702,7639,4884,2944,3667,5785,"Little Rock city, Arkansas",2719,1631,1113,1040,1519,1020,1334,1111,859,1034,1280,1102,1395,943,794,1058,1171
"G05050450","2015","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",25116,3956,2426,680,1945,1262,887,1460,987,1864,2507,2086,1443,1253,608,1003,749,"North Little Rock city, Arkansas",1715,1169,781,347,737,734,450,597,502,970,1018,653,581,491,496,520,518
"G05066080","2015","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",26151,1160,1031,909,1543,1707,1373,1834,1859,2186,2683,3732,2310,996,888,672,1268,"Springdale city, Arkansas",1345,676,520,481,837,623,755,938,814,932,910,1103,710,456,518,502,663
"G06000562","2015","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30710,1242,913,1142,719,697,498,591,720,1701,2344,2725,3610,3129,3039,3470,4170,"Alameda city, California",1511,441,511,513,327,378,265,324,377,576,775,793,1015,712,792,822,810
"G06000884","2015","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",29362,2653,1469,2034,2028,1175,964,1144,1334,1053,2682,1797,2934,3491,1508,1164,1932,"Alhambra city, California",1552,755,447,663,742,535,426,531,444,461,778,600,775,782,582,398,704
"G06002000","2015","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",99991,4554,5193,3323,4390,4676,4228,3984,3766,4507,8420,10697,14127,10008,6401,6483,5234,"Anaheim city, California",3100,958,1165,997,1167,1038,836,982,944,1117,1361,1691,1764,1688,1325,1167,857
"G06002252","2015","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",33214,1720,1164,934,1640,1380,1271,777,929,1396,2709,4000,5242,3721,2022,2652,1657,"Antioch city, California",1930,773,666,496,813,479,613,445,390,641,822,1109,1310,1013,645,885,724
"G06002364","2015","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",23644,571,1537,1303,2253,1755,2021,974,1538,810,1755,2978,2468,1650,715,626,690,"Apple Valley town, California",1526,339,814,503,747,721,878,616,705,372,652,892,789,568,463,299,347
