GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G05041000","2017","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",79869,6151,3261,2969,5075,3712,4127,2245,3986,2936,6538,9136,9007,5082,4727,5556,5361,"Little Rock city, Arkansas",3117,1411,949,925,1623,1137,1035,712,1282,869,1374,1707,1503,1410,1292,1245,909
"G05050450","2017","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",26595,3327,2290,1264,1593,1804,1643,1124,1617,1091,1673,2803,2805,1579,733,741,508,"North Little Rock city, Arkansas",1550,1374,892,578,658,967,748,538,745,439,727,906,1032,625,421,369,246
"G05060410","2017","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",23710,746,1082,1162,822,1140,687,1145,1504,985,2416,2751,2658,1299,1860,1723,1730,"Rogers city, Arkansas",1384,441,448,549,464,456,543,669,640,443,824,968,786,438,641,724,521
"G05066080","2017","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",26417,512,287,891,2251,2529,1068,2223,1226,2003,2307,3883,3141,1178,1226,1143,549,"Springdale city, Arkansas",1674,469,271,560,978,1089,618,917,694,939,944,1186,1103,563,674,542,460
"G06000562","2017","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30662,852,1129,1052,1372,806,329,1020,1282,775,1477,2467,4209,3679,1923,4204,4086,"Alameda city, California",1597,445,631,601,652,345,245,668,557,379,571,767,866,949,555,921,845
"G06000884","2017","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",30255,2100,1320,1897,1380,1075,1614,903,1313,807,2395,2245,3520,3245,2737,2142,1562,"Alhambra city, California",1503,630,577,600,420,519,755,348,558,357,684,646,796,749,839,585,532
"G06002000","2017","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",98734,4230,4328,3637,5686,3864,2606,3571,4506,2999,5902,11302,15169,10429,6512,6556,7437,"Anaheim city, California",3360,980,1315,1096,1284,1143,655,872,1190,753,1078,1742,2021,1460,1171,1344,1200
"G06002252","2017","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",34423,2247,1328,1819,1030,833,1542,1180,1334,1017,2162,3734,3757,3651,2807,3300,2682,"Antioch city, California",1971,745,843,862,808,436,702,842,658,590,774,930,962,955,761,778,1057
"G06002364","2017","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",24050,1808,1028,1082,1489,926,944,1512,993,965,1891,2093,3010,2538,910,1533,1328,"Apple Valley town, California",1719,678,461,564,763,451,682,666,525,633,765,931,768,788,506,694,639
"G06002553","2017","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",40788,2689,3356,2361,1963,1672,2772,2125,1652,2219,3443,2315,3964,3567,1822,2683,2185,"Arden-Arcade CDP, California",2407,821,1068,901,751,718,900,817,678,923,1095,734,969,1024,712,780,600
