GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G18071000","2017","IN",,,"Indiana","18",,,"South Bend city","71000",,,,,,,,,,,,,,,,"16000US1871000","South Bend city, Indiana",36161,4373,1969,1740,3110,1742,2178,2328,1442,1421,4070,3194,3149,2031,1863,669,882,"South Bend city, Indiana",1610,1177,551,588,861,492,629,729,488,471,842,692,772,551,618,295,291
"G19001855","2017","IA",,,"Iowa","19",,,"Ames city","01855",,,,,,,,,,,,,,,,"16000US1901855","Ames city, Iowa",25877,2507,1165,2009,1711,1364,1866,471,1503,222,1304,1749,3249,2917,1163,1265,1412,"Ames city, Iowa",1268,969,547,765,638,801,986,304,814,294,534,700,870,948,581,617,753
"G19012000","2017","IA",,,"Iowa","19",,,"Cedar Rapids city","12000",,,,,,,,,,,,,,,,"16000US1912000","Cedar Rapids city, Iowa",54284,2483,1536,2066,2907,2789,2926,3178,3232,2243,5630,6243,7834,4917,2106,2794,1400,"Cedar Rapids city, Iowa",1573,897,669,775,835,834,835,736,897,781,1413,1376,1438,1131,642,744,544
"G19019000","2017","IA",,,"Iowa","19",,,"Davenport city","19000",,,,,,,,,,,,,,,,"16000US1919000","Davenport city, Iowa",38402,3226,1700,1531,2031,1939,1629,2987,1856,2227,3991,4607,4071,2579,1955,1198,875,"Davenport city, Iowa",1609,816,551,599,671,632,559,737,592,743,977,1067,706,631,674,441,468
"G19021000","2017","IA",,,"Iowa","19",,,"Des Moines city","21000",,,,,,,,,,,,,,,,"16000US1921000","Des Moines city, Iowa",84654,4926,4735,4813,4787,4014,5091,3711,5304,3690,7439,9879,11260,6987,3029,2926,2063,"Des Moines city, Iowa",2468,1054,1150,1205,1249,939,1124,951,1141,819,1366,1527,1451,1168,540,753,582
"G19038595","2017","IA",,,"Iowa","19",,,"Iowa City city","38595",,,,,,,,,,,,,,,,"16000US1938595","Iowa City city, Iowa",30418,4395,937,1737,1486,1721,786,1451,1127,1405,2811,2733,2651,2611,1370,1718,1479,"Iowa City city, Iowa",1770,1075,504,732,658,791,433,849,489,556,880,820,813,754,503,561,489
"G19073335","2017","IA",,,"Iowa","19",,,"Sioux City city","73335",,,,,,,,,,,,,,,,"16000US1973335","Sioux City city, Iowa",31176,2011,1778,1781,1535,1701,1890,1421,1028,1525,2696,3761,4010,2485,2061,723,770,"Sioux City city, Iowa",1336,678,571,676,602,767,624,512,446,636,923,977,1021,730,752,364,409
"G19082425","2017","IA",,,"Iowa","19",,,"Waterloo city","82425",,,,,,,,,,,,,,,,"16000US1982425","Waterloo city, Iowa",28449,2145,2385,1309,1958,1890,2043,1297,1914,1703,1697,3001,2462,2076,952,787,830,"Waterloo city, Iowa",1192,684,681,496,621,571,647,684,767,665,559,668,665,671,358,336,355
"G20036000","2017","KS",,,"Kansas","20",,,"Kansas City city","36000",,,,,,,,,,,,,,,,"16000US2036000","Kansas City city, Kansas",56677,5228,3254,3299,3912,3268,2463,3048,3794,2806,5049,5109,7471,3540,2117,1474,845,"Kansas City city, Kansas",1467,962,790,856,960,751,627,696,723,647,1026,1016,1400,820,575,519,545
"G20038900","2017","KS",,,"Kansas","20",,,"Lawrence city","38900",,,,,,,,,,,,,,,,"16000US2038900","Lawrence city, Kansas",38591,3880,2261,2106,2489,2183,1378,1918,1363,2159,2318,3801,4618,3323,1679,1700,1415,"Lawrence city, Kansas",1658,1270,1027,726,903,1139,633,955,549,809,813,1163,1146,980,563,575,537
"G20052575","2017","KS",,,"Kansas","20",,,"Olathe city","52575",,,,,,,,,,,,,,,,"16000US2052575","Olathe city, Kansas",48080,1093,595,1209,1059,1244,1754,1919,1907,1445,3059,5027,6600,6190,5209,6265,3505,"Olathe city, Kansas",1993,564,360,509,482,461,771,724,612,611,986,1094,1178,1153,952,1087,865
"G20053775","2017","KS",,,"Kansas","20",,,"Overland Park city","53775",,,,,,,,,,,,,,,,"16000US2053775","Overland Park city, Kansas",78536,2241,1561,1850,2319,2462,3367,2854,3866,3177,6322,7190,10790,8015,5199,8210,9113,"Overland Park city, Kansas",2256,666,561,793,788,757,1166,825,953,1066,1296,1312,1657,1295,1073,1055,1139
"G20064500","2017","KS",,,"Kansas","20",,,"Shawnee city","64500",,,,,,,,,,,,,,,,"16000US2064500","Shawnee city, Kansas",25238,864,404,1152,495,1154,1299,1078,455,1238,1616,1449,2999,3575,2356,2482,2622,"Shawnee city, Kansas",1411,482,416,584,321,651,685,558,238,555,715,568,812,1011,738,748,670
"G20071000","2017","KS",,,"Kansas","20",,,"Topeka city","71000",,,,,,,,,,,,,,,,"16000US2071000","Topeka city, Kansas",54707,3892,2641,3092,4398,2758,2727,2735,2794,2839,4242,6220,6961,4883,2486,1402,637,"Topeka city, Kansas",1632,1083,740,893,1014,1005,844,784,839,855,946,1130,1285,947,665,503,301
"G20079000","2017","KS",,,"Kansas","20",,,"Wichita city","79000",,,,,,,,,,,,,,,,"16000US2079000","Wichita city, Kansas",152691,11922,8068,8758,7450,8240,7466,9238,7586,6921,12895,16321,17897,12632,7547,5003,4747,"Wichita city, Kansas",2928,1617,1647,1410,1235,1563,1328,1390,1262,1461,1800,1833,2041,1643,1404,940,1120
"G21008902","2017","KY",,,"Kentucky","21",,,"Bowling Green city","08902",,,,,,,,,,,,,,,,"16000US2108902","Bowling Green city, Kentucky",24927,1761,1523,2015,1551,1359,2541,1155,2493,1169,2149,1429,2113,1282,793,873,721,"Bowling Green city, Kentucky",1444,763,686,800,670,627,733,476,885,596,879,621,711,591,459,418,438
"G21046027","2017","KY",,,"Kentucky","21",,,"Lexington-Fayette urban county","46027",,,,,,,,,,,,,,,,"16000US2146027","Lexington-Fayette urban county, Kentucky",129140,9001,6058,6767,6817,6261,6332,6341,6509,4993,8132,13369,15952,11506,6239,6812,8051,"Lexington-Fayette urban county, Kentucky",2283,1261,1434,1341,1429,1254,1202,1273,1213,1301,1416,1993,1883,1722,1220,1256,1167
"G21048006","2017","KY",,,"Kentucky","21",,,"Louisville/Jefferson County metro government (balance)","48006",,,,,,,,,,,,,,,,"16000US2148006","Louisville/Jefferson County metro government (balance), Kentucky",246707,20172,12747,13027,10488,11303,13855,13454,12881,11337,18534,23161,30877,18096,13229,13069,10477,"Louisville/Jefferson County metro government (balance), Kentucky",3282,2278,2019,1914,1520,1839,2064,1776,1695,1688,1800,2338,2609,1952,1605,1961,1329
"G22005000","2017","LA",,,"Louisiana","22",,,"Baton Rouge city","05000",,,,,,,,,,,,,,,,"16000US2205000","Baton Rouge city, Louisiana",82571,10777,6272,6798,4378,6144,3929,2364,3796,2626,4579,7133,7853,5824,3948,2449,3701,"Baton Rouge city, Louisiana",2785,2305,1524,1521,1344,1358,1412,845,1010,1010,1165,1436,1435,1271,959,873,872
"G22008920","2017","LA",,,"Louisiana","22",,,"Bossier City city","08920",,,,,,,,,,,,,,,,"16000US2208920","Bossier City city, Louisiana",27511,4415,777,1350,973,1993,677,1925,1339,1037,2600,2526,3533,2282,929,610,545,"Bossier City city, Louisiana",1745,1094,485,690,514,780,427,1124,741,654,940,797,1084,831,506,400,365
"G22039475","2017","LA",,,"Louisiana","22",,,"Kenner city","39475",,,,,,,,,,,,,,,,"16000US2239475","Kenner city, Louisiana",23906,2163,888,1335,1008,986,961,769,1096,841,2785,1961,3389,2414,1282,872,1156,"Kenner city, Louisiana",1693,796,434,586,522,530,530,412,559,439,770,629,713,829,497,339,496
"G22040735","2017","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"16000US2240735","Lafayette city, Louisiana",48712,5317,3678,2559,3227,3779,2029,2497,2381,1162,3416,4905,3870,2897,1771,2089,3135,"Lafayette city, Louisiana",2603,1200,1093,853,1170,1296,694,1023,960,581,1198,1184,927,992,649,749,884
"G22041155","2017","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"16000US2241155","Lake Charles city, Louisiana",34153,2428,2660,1449,2948,1861,2201,1507,2506,1160,3083,2979,2689,2653,1226,1452,1351,"Lake Charles city, Louisiana",1686,797,1033,692,976,773,857,791,893,542,920,945,850,967,594,569,632
"G22050115","2017","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"16000US2250115","Metairie CDP, Louisiana",60505,4145,2776,3077,2159,2371,3680,3040,1720,2675,5048,6187,6973,5151,3908,4484,3111,"Metairie CDP, Louisiana",2340,1223,711,897,597,829,1008,876,593,721,1275,1007,1285,961,1068,1054,771
"G22055000","2017","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"16000US2255000","New Orleans city, Louisiana",154560,23262,13639,10962,9708,9752,7092,5630,6891,5397,8518,12211,13803,8612,5118,6111,7854,"New Orleans city, Louisiana",2853,1952,1691,1499,1388,1347,1102,864,907,769,1270,1534,1545,1148,833,944,872
"G22070000","2017","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"16000US2270000","Shreveport city, Louisiana",74614,10636,6534,6766,6202,4959,3597,4246,2448,2618,4865,5105,6061,4112,1986,1386,3093,"Shreveport city, Louisiana",2704,1743,1403,1357,1690,1102,996,1145,933,944,1254,1240,1276,1298,635,670,953
"G23060545","2017","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",29722,2969,1453,1524,1247,1177,1019,794,1525,2102,1631,3267,3767,2746,1113,2211,1177,"Portland city, Maine",1644,840,655,591,543,497,345,316,486,677,576,886,984,737,469,687,397
"G24004000","2017","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",240280,30083,14683,12084,11783,13067,12179,11321,9974,10254,17385,21058,23431,17230,10995,12723,12030,"Baltimore city, Maryland",3634,3089,1870,1830,1676,1899,1716,1798,1441,1511,1995,2130,2317,1866,1859,1452,1475
"G24007125","2017","MD",,,"Maryland","24",,,"Bethesda CDP","07125",,,,,,,,,,,,,,,,"16000US2407125","Bethesda CDP, Maryland",26677,398,95,364,740,317,170,639,646,285,1049,1826,2120,1972,1636,3372,11048,"Bethesda CDP, Maryland",1356,212,79,198,576,176,144,541,325,282,516,585,535,463,566,896,1153
"G24019125","2017","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",40499,1831,679,918,1506,965,755,449,426,559,1676,3393,6864,5248,3638,5424,6168,"Columbia CDP, Maryland",1926,778,537,446,728,769,446,280,379,402,671,870,1335,1131,814,994,1017
"G24026000","2017","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",25874,1194,589,79,427,495,306,395,1175,408,1135,1485,2586,2987,2378,3957,6278,"Ellicott City CDP, Maryland",1668,670,526,129,280,324,213,346,746,305,495,576,720,750,606,992,980
"G24030325","2017","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",28966,989,893,598,1040,583,812,1008,1628,1016,2529,3750,4201,3234,2024,2803,1858,"Frederick city, Maryland",1523,543,598,371,549,328,394,530,619,409,972,976,927,845,775,713,459
"G24031175","2017","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",24459,1173,630,537,1178,1187,692,408,650,750,1272,2868,3422,2589,2020,2502,2581,"Gaithersburg city, Maryland",1332,506,381,388,600,678,432,257,491,442,466,934,962,664,518,715,600
"G24032025","2017","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",31593,1302,243,239,409,605,899,374,1048,1756,2302,2507,4725,5688,2536,3972,2988,"Germantown CDP, Maryland",2093,672,241,274,297,515,502,260,583,809,755,779,1192,1382,711,1159,726
"G24032650","2017","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",26768,1488,915,845,819,1480,1193,1442,1284,1500,1657,3053,3428,3133,1934,1646,951,"Glen Burnie CDP, Maryland",2351,695,542,474,560,703,503,748,587,551,729,970,998,1250,762,588,428
"G24067675","2017","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"16000US2467675","Rockville city, Maryland",25621,636,525,409,316,561,654,340,794,1069,2340,2008,3061,3289,1944,3471,4204,"Rockville city, Maryland",1425,272,307,316,288,424,461,244,396,598,684,701,753,778,676,822,849
"G24072450","2017","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",31911,750,525,942,368,1445,1113,1303,1567,1008,2268,3226,5564,3468,2260,2672,3432,"Silver Spring CDP, Maryland",2303,376,426,635,278,606,621,612,713,513,705,982,1232,1147,782,795,819
"G24081175","2017","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",26092,877,292,356,381,458,763,368,636,596,2688,2908,3563,4421,2369,3416,2000,"Waldorf CDP, Maryland",1785,403,316,221,332,295,568,296,399,563,915,1067,1051,1358,741,845,711
"G25007000","2017","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",268304,28606,16632,12298,11450,7492,9565,8775,7608,7495,13172,21451,30289,25866,15778,22700,29127,"Boston city, Massachusetts",3495,2656,2130,2179,2053,1251,1379,1539,1654,1620,1680,2554,2721,2667,2047,2197,2514
"G25009000","2017","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",33258,1456,2544,1630,1728,1466,1460,1672,1059,1319,2638,3153,4987,3432,1805,2329,580,"Brockton city, Massachusetts",1542,600,975,664,788,691,693,754,528,499,734,894,1153,996,647,686,325
"G25011000","2017","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",45177,3664,1321,1223,613,1273,1700,1289,989,984,1916,2945,4929,4163,3614,5071,9483,"Cambridge city, Massachusetts",2046,990,598,589,345,633,669,468,423,377,828,735,1016,920,835,852,1060
"G25023000","2017","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",38261,2291,4555,2900,3027,1952,1853,1494,1833,1489,3233,3879,4153,2875,970,880,877,"Fall River city, Massachusetts",1916,812,1156,939,1101,792,721,604,799,763,1004,987,954,877,560,458,480
"G25024960","2017","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",26026,1862,853,1089,274,884,1663,710,988,668,1604,1143,2934,3346,2218,2337,3453,"Framingham CDP, Massachusetts",2016,797,458,829,255,620,821,362,601,430,820,580,912,931,697,693,940
"G25034550","2017","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",25836,2681,1749,751,1963,1336,1823,2083,1257,1613,2334,2949,2358,1361,247,537,794,"Lawrence city, Massachusetts",1509,885,636,315,725,550,686,887,533,945,996,1073,723,580,191,352,473
"G25037000","2017","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",39016,4198,4085,2089,1870,1055,1722,1235,1707,1393,2751,3915,4454,2757,2222,1940,1623,"Lowell city, Massachusetts",2582,1146,1150,802,648,565,746,565,782,688,969,941,1116,908,737,790,586
"G25037490","2017","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",33654,4147,2289,1764,1798,1478,1339,1421,1702,1253,1977,3010,4086,2848,1416,1968,1158,"Lynn city, Massachusetts",2034,1249,684,719,829,539,559,647,708,602,790,769,906,787,477,649,497
"G25045000","2017","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",39377,3973,3672,2067,2241,2030,2150,1714,1512,1560,2891,3121,4816,3002,1924,1618,1086,"New Bedford city, Massachusetts",1628,909,804,700,679,683,687,685,535,483,755,864,1105,804,643,608,487
"G25045560","2017","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",31504,698,241,648,425,575,747,427,466,928,1017,2288,2478,2620,2827,4168,10951,"Newton city, Massachusetts",1180,337,179,302,393,294,370,306,339,595,489,813,642,591,1003,910,1171
"G25055745","2017","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",38420,2525,1771,1885,1187,1569,895,483,1758,1349,2520,2795,4769,4448,2303,4024,4139,"Quincy city, Massachusetts",2222,1054,827,796,487,697,425,320,656,744,844,814,1179,1382,759,1093,925
"G25062535","2017","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",34271,2444,1493,992,1451,884,656,768,793,1376,1723,2474,3595,3469,3243,3905,5005,"Somerville city, Massachusetts",1792,965,802,612,625,624,470,447,446,720,589,843,952,957,802,896,1006
"G25067000","2017","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",57158,6801,6885,4135,3043,3459,3624,2726,3056,1500,3750,4877,5089,3196,2714,1073,1230,"Springfield city, Massachusetts",2543,1495,1360,1143,875,1084,954,927,943,523,903,1096,1171,794,834,548,668
"G25082000","2017","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",72067,8675,7099,4168,3846,3129,4875,3004,3520,2531,4622,6584,6553,4985,3159,3201,2116,"Worcester city, Massachusetts",2381,1466,1521,1182,1161,754,1250,1139,1070,762,1074,1284,1087,1149,823,800,727
"G26003000","2017","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",46946,3597,2438,1190,1564,1810,1129,1680,1706,1911,4312,3316,6521,5010,1912,4073,4777,"Ann Arbor city, Michigan",1806,851,762,495,552,624,392,681,551,612,975,821,1081,1071,524,924,816
"G26021000","2017","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",29913,2940,1831,1773,2504,1271,1619,1615,1081,1036,2573,2105,3570,2450,1057,1149,1339,"Dearborn city, Michigan",1540,702,642,502,673,418,518,594,408,346,639,513,734,601,407,430,449
"G26022000","2017","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",264360,52976,21795,21080,18592,16114,17930,15742,12844,12230,18723,18090,16711,9563,4447,4961,2562,"Detroit city, Michigan",4612,3515,2246,1935,2037,2065,2297,1869,1718,1773,2181,1962,1580,1604,948,1222,659
"G26027440","2017","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",34069,1252,1057,852,1105,923,1087,732,1326,791,2389,3691,5325,4462,3112,2671,3294,"Farmington Hills city, Michigan",1596,522,524,583,605,354,425,396,521,298,685,750,950,971,802,659,659
"G26029000","2017","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",41302,7860,4293,2967,4171,3352,3132,1735,1874,2113,2575,2638,2598,1279,307,260,148,"Flint city, Michigan",2026,1311,1070,911,1274,958,1045,677,749,818,769,725,870,516,201,233,140
"G26034000","2017","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",74169,5245,3403,3975,4365,4024,3742,4690,4490,4393,7190,7087,9237,5712,2514,2169,1933,"Grand Rapids city, Michigan",2473,1122,985,942,1057,940,1034,1154,1116,1110,1210,1238,1347,1047,810,598,599
"G26042160","2017","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",29325,2139,2305,1667,1019,2455,1752,2367,2094,811,2317,3018,3013,1376,935,708,1349,"Kalamazoo city, Michigan",1600,686,709,679,405,754,653,778,718,422,690,993,978,467,406,375,610
"G26046000","2017","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",48190,4912,3319,3005,2914,3461,3492,3021,3190,1959,3562,4229,5281,3079,1404,1066,296,"Lansing city, Michigan",1593,1153,981,849,879,877,910,820,868,806,824,981,1128,789,549,402,232
"G26049000","2017","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",36593,857,406,1012,814,1381,1365,2035,1326,1109,2842,3468,6796,5385,2982,3096,1719,"Livonia city, Michigan",1353,377,265,479,335,481,536,576,499,368,700,641,1007,869,674,575,458
"G26069035","2017","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",29118,877,590,960,453,795,623,622,763,1024,1968,2881,3927,3463,2077,4062,4033,"Rochester Hills city, Michigan",1154,406,327,388,302,406,325,359,333,432,567,713,737,685,578,887,668
"G26074900","2017","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",30093,1487,742,1300,1704,1594,1552,1148,1624,1404,2876,3247,3554,3212,1788,1462,1399,"Southfield city, Michigan",1606,525,352,618,635,572,635,511,629,505,839,806,855,731,712,539,658
"G26076460","2017","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",49939,1844,1706,2210,1830,2341,2025,2443,2911,2464,3795,5251,7798,4989,3138,2964,2230,"Sterling Heights city, Michigan",1790,594,618,817,625,893,708,756,791,863,998,1093,1182,923,851,836,728
"G26080700","2017","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",31954,1463,463,604,608,501,678,454,903,967,1731,3062,5223,4611,2258,4257,4171,"Troy city, Michigan",1344,776,236,363,320,250,296,212,423,405,487,636,901,801,657,759,738
"G26084000","2017","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",54699,4182,2746,2495,3290,3922,3656,3088,3345,2264,4919,6077,6204,3757,2173,1551,1030,"Warren city, Michigan",1846,1067,826,746,740,927,931,752,861,711,997,1130,1031,935,575,465,503
"G26086000","2017","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",35914,2039,1503,1504,1882,2493,2291,3456,1780,1849,3424,3086,5232,2637,1200,1019,519,"Westland city, Michigan",1665,739,653,635,603,979,690,904,578,665,866,725,952,675,522,555,314
"G26088940","2017","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",28330,1906,1373,1534,1236,1945,1132,1687,822,1083,2121,4232,4501,2467,1295,358,638,"Wyoming city, Michigan",1702,722,637,611,585,660,503,678,363,500,691,1097,1097,831,592,292,437
"G27006616","2017","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",36455,1327,1092,1003,1061,1502,1599,1365,1699,1834,3614,3647,4454,4004,2524,3258,2472,"Bloomington city, Minnesota",1946,446,526,481,399,543,720,531,549,640,1034,765,926,804,688,837,608
"G27007966","2017","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",27849,501,917,1181,1296,1261,944,555,763,1378,2381,3703,3916,3027,2124,2404,1498,"Brooklyn Park city, Minnesota",1728,404,445,649,632,669,472,372,420,735,718,1012,1045,833,606,746,469
"G27017000","2017","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",34939,2436,1819,2237,2650,2067,1605,1532,1742,1689,2714,3780,3963,2733,1622,997,1353,"Duluth city, Minnesota",1406,644,429,586,730,594,453,627,472,473,665,836,809,625,499,323,458
"G27017288","2017","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",26342,1435,256,983,741,600,611,477,1086,1284,1419,3004,2941,3178,2274,2580,3473,"Eagan city, Minnesota",1077,694,199,571,408,356,314,256,478,649,539,660,654,670,560,538,627
"G27040166","2017","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",26289,755,137,95,457,559,520,593,641,571,1456,2659,2950,4033,1789,5363,3711,"Maple Grove city, Minnesota",1214,376,182,111,343,358,309,384,330,370,553,776,820,746,588,1119,910
"G27043000","2017","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",176416,13946,8068,8293,7521,6672,8392,7996,7117,7557,11567,17236,22151,14223,8768,13009,13900,"Minneapolis city, Minnesota",3659,1803,1444,1389,1175,1289,1427,1465,1196,1370,1446,1900,2118,1299,1269,1671,1359
"G27051730","2017","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",31135,653,447,913,957,593,1351,769,941,878,1572,3229,3732,3049,2480,3114,6457,"Plymouth city, Minnesota",1432,361,280,494,418,294,649,382,531,400,590,892,951,742,796,684,1187
"G27054880","2017","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",46645,2132,1262,1690,1536,1833,1081,1060,1942,1241,4445,4911,7135,5647,3636,3673,3421,"Rochester city, Minnesota",1338,727,736,620,848,715,552,399,575,488,996,816,1207,1101,773,798,725
"G27056896","2017","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",26416,2759,1967,1232,1890,1405,1251,1256,1207,673,1690,2743,3676,2243,774,1120,530,"St. Cloud city, Minnesota",1411,927,704,599,706,605,547,506,627,493,679,720,893,597,430,487,300
"G27058000","2017","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",112467,8402,5942,4445,5578,5684,6278,5430,4965,5232,8729,12646,13652,7906,5740,6104,5734,"St. Paul city, Minnesota",2566,1276,1172,878,1203,1307,1286,1097,849,1249,1276,1379,1636,1094,933,1004,986
