GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G05035710","2013","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",26475,2724,2352,1886,1874,1083,1708,1869,1264,1766,1820,2058,2295,1394,1533,669,180,"Jonesboro city, Arkansas",1187,923,886,965,945,578,811,747,593,744,598,648,709,573,745,454,240
"G05041000","2013","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",77116,7401,4159,4634,5110,4256,4121,4762,4382,3645,6084,5296,6871,4760,2675,4451,4509,"Little Rock city, Arkansas",2696,1651,1037,1177,1241,1305,1075,1275,1060,998,1369,1022,1120,1178,779,1128,942
"G05050450","2013","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",25589,2233,2023,1912,1658,1512,1373,1242,2156,1091,2881,2818,1694,1830,509,224,433,"North Little Rock city, Arkansas",1722,712,818,657,738,685,540,474,1046,412,1327,793,667,715,324,209,252
"G05066080","2013","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",26134,1749,993,2042,2066,2243,2102,1156,1596,1498,2538,2093,2572,2072,484,363,567,"Springdale city, Arkansas",1827,865,537,880,696,1014,831,699,823,775,1114,692,795,876,365,317,333
"G06000562","2013","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",29846,2376,1224,1247,663,417,1499,1035,1011,915,1767,2683,4382,2301,1718,2995,3613,"Alameda city, California",1460,796,592,571,295,238,584,576,570,302,603,811,1056,782,569,785,803
"G06000884","2013","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",30595,2594,1978,2090,1865,1671,699,1302,1223,1218,2817,3548,3630,2248,1207,1380,1125,"Alhambra city, California",1545,741,623,818,639,637,392,495,513,555,918,905,839,670,470,512,470
"G06002000","2013","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",99302,6846,4493,4048,5301,3894,4005,4253,4824,3556,9747,9107,12139,9377,6023,6127,5562,"Anaheim city, California",2804,1420,1126,1104,1147,1077,937,992,1140,881,1550,1429,1686,1286,1192,1323,985
"G06002252","2013","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",34223,2214,1234,1763,2383,1579,2111,1213,1268,1329,2243,4808,3539,2796,2309,1965,1469,"Antioch city, California",1705,816,539,768,857,735,992,549,595,741,716,1097,984,811,677,787,573
"G06002364","2013","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",23885,2573,1349,1469,1267,1026,1558,1223,948,733,2097,2329,2073,2128,1379,773,960,"Apple Valley town, California",1629,867,564,566,632,435,616,580,481,489,757,825,742,643,569,346,592
"G06002553","2013","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",40190,3547,3043,2410,2447,2165,1594,2066,2511,1373,3858,3812,3610,2648,1040,1989,2077,"Arden-Arcade CDP, California",2027,970,1045,977,715,730,798,830,807,608,994,941,1015,758,401,632,524
