GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G05041000","2019","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",80063,5886,3984,3704,3749,4036,3043,4742,3983,4014,5569,10637,7753,6499,3321,4339,4804,"Little Rock city, Arkansas",3316,1462,1305,1227,1254,1466,1119,1353,1284,1499,1269,1890,1570,1253,907,945,1052
"G05050450","2019","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",27903,2666,2721,882,1644,1813,1240,2745,1044,1151,2243,2187,1978,2904,955,1172,558,"North Little Rock city, Arkansas",2003,951,1104,513,890,841,644,1011,748,724,1107,823,579,1091,429,504,325
"G05060410","2019","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",24297,1157,780,751,603,840,1625,1085,1076,1116,1778,3351,3335,1844,1280,1362,2314,"Rogers city, Arkansas",1614,640,477,602,448,527,747,617,496,602,684,831,854,610,499,504,649
"G05066080","2019","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",26443,1819,785,1502,1784,1792,1615,1419,1685,1616,2495,2429,2080,1973,1215,892,1342,"Springdale city, Arkansas",1905,952,602,901,909,839,1021,873,822,763,860,971,731,854,579,436,746
"G06000562","2019","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30788,1250,1207,381,926,367,767,769,800,789,1376,2790,2856,3021,2594,3309,7586,"Alameda city, California",1736,625,603,270,506,215,381,529,418,420,830,871,781,768,818,928,1027
"G06000884","2019","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",28777,1183,817,1131,823,1010,775,1036,772,1082,2436,3568,3614,3571,1459,2373,3127,"Alhambra city, California",1370,509,432,529,366,484,399,474,498,393,796,793,948,858,547,569,698
"G06002000","2019","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",105301,4054,2902,2653,3138,3079,6101,2349,2462,4308,8668,12382,14028,11474,7410,10155,10138,"Anaheim city, California",3293,1201,867,879,1202,1156,1480,856,880,1208,1599,1932,1921,1743,1450,1696,1338
"G06002252","2019","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",36138,1392,1746,589,1413,1557,1417,2629,907,1682,2223,2740,4969,3696,1684,3597,3897,"Antioch city, California",2362,683,1073,578,797,828,832,1054,557,734,862,1098,1499,1055,642,1082,1221
"G06002364","2019","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",23774,801,790,592,2124,1948,1354,772,1705,997,2334,1609,2450,2547,1663,1414,674,"Apple Valley town, California",1871,474,516,413,768,943,684,475,862,639,854,713,850,786,600,762,384
"G06002553","2019","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",42309,2328,2403,1529,2329,2347,2205,2759,1549,1349,3825,3771,4440,2803,1855,3033,3784,"Arden-Arcade CDP, California",2704,929,1089,678,1086,939,975,1110,698,701,1171,1291,1080,728,577,747,755
