GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANY7E001,ANY7E002,ANY7E003,ANY7E004,ANY7E005,ANY7E006,ANY7E007,ANY7E008,ANY7E009,ANY7E010,ANY7E011,ANY7E012,ANY7E013,ANY7E014,ANY7E015,ANY7E016,ANY7E017,NAME_M,ANY7M001,ANY7M002,ANY7M003,ANY7M004,ANY7M005,ANY7M006,ANY7M007,ANY7M008,ANY7M009,ANY7M010,ANY7M011,ANY7M012,ANY7M013,ANY7M014,ANY7M015,ANY7M016,ANY7M017
"G27056896","2021","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"1600000US2756896","2756896","St. Cloud city, Minnesota",30029,2331,1946,1258,1322,812,1729,1013,2013,1880,2869,2773,3746,2052,1712,1634,939,"St. Cloud city, Minnesota",1985,1031,1008,713,968,517,863,627,813,745,1127,823,1016,834,895,601,478
"G27058000","2021","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"1600000US2758000","2758000","St. Paul city, Minnesota",121964,8741,4850,2634,2930,4528,5615,3859,5977,5260,10127,14244,15837,10318,7848,9811,9385,"St. Paul city, Minnesota",3257,1564,1145,702,729,1179,1246,881,1444,1214,1471,2013,2037,1613,1285,1404,1208
"G27071428","2021","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"1600000US2771428","2771428","Woodbury city, Minnesota",28751,606,215,201,946,302,184,669,182,668,1369,2535,3686,4064,1868,4893,6363,"Woodbury city, Minnesota",1605,415,234,226,498,227,180,468,219,495,577,865,883,1171,740,1575,1601
"G28029700","2021","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"1600000US2829700","2829700","Gulfport city, Mississippi",29385,3678,1818,912,1773,2094,2376,944,1537,581,2764,3045,2577,2806,839,714,927,"Gulfport city, Mississippi",1674,1169,806,528,740,898,888,557,672,481,1045,1390,797,1015,395,392,479
"G28036000","2021","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"1600000US2836000","2836000","Jackson city, Mississippi",62140,10409,3867,3790,4653,4146,4146,3898,3300,2673,4246,5679,4691,2413,1677,1293,1259,"Jackson city, Mississippi",2120,2005,1187,993,1287,1159,1237,1241,1006,1025,1405,1331,1231,736,719,617,520
"G29015670","2021","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"1600000US2915670","2915670","Columbia city, Missouri",50572,3788,3696,1908,2521,2055,2282,1704,2290,1714,3030,5834,6919,3800,3122,3113,2796,"Columbia city, Missouri",2224,1416,1321,691,961,927,1109,770,931,865,1180,1528,1599,1117,973,1018,873
"G29035000","2021","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"1600000US2935000","2935000","Independence city, Missouri",53057,2858,2204,2683,2578,2640,3720,3039,2504,2301,5319,4824,7752,4464,2195,2303,1673,"Independence city, Missouri",2481,858,921,1062,935,1022,1120,1126,852,808,1377,1204,1394,1162,784,686,585
"G29038000","2021","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"1600000US2938000","2938000","Kansas City city, Missouri",219020,14683,8796,8321,9303,8622,9296,10055,9909,8950,15474,24394,31126,20546,12534,14221,12790,"Kansas City city, Missouri",3767,2384,1583,1644,1559,1738,1648,1910,1983,1392,2277,2619,3185,2677,1757,2006,1769
"G29041348","2021","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"1600000US2941348","2941348","Lee's Summit city, Missouri",37795,694,388,68,1046,652,2532,591,1285,1319,2127,3605,4538,4808,3937,5509,4696,"Lee's Summit city, Missouri",1871,383,369,113,607,473,898,365,788,728,749,1134,1051,1075,1101,1253,1042
"G29054074","2021","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"1600000US2954074","2954074","O'Fallon city, Missouri",34412,1084,532,0,563,485,1818,829,1052,1502,1751,3637,4301,5043,3819,4707,3289,"O'Fallon city, Missouri",1466,483,381,198,275,454,1002,413,379,718,617,1013,1173,1494,976,949,965
"G29064082","2021","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"1600000US2964082","2964082","St. Charles city, Missouri",29992,1500,593,815,442,1265,459,1258,1822,842,2838,2798,3837,3253,2436,3308,2526,"St. Charles city, Missouri",1332,608,324,417,257,543,255,629,840,455,874,989,932,815,649,760,759
"G29064550","2021","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"1600000US2964550","2964550","St. Joseph city, Missouri",29750,2322,1877,1267,2257,1605,1287,1875,2178,900,1734,3292,4012,1728,807,1001,1608,"St. Joseph city, Missouri",1639,698,611,520,764,575,426,679,862,348,659,792,885,616,337,448,758
"G29065000","2021","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"1600000US2965000","2965000","St. Louis city, Missouri",139736,17758,8328,6085,6578,6753,6532,5420,6945,5505,12968,12948,13310,10685,7261,6823,5837,"St. Louis city, Missouri",2863,2438,1608,1452,1497,1453,1161,1197,1640,1473,1614,2110,1565,1841,1224,1436,1032
"G29070000","2021","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"1600000US2970000","2970000","Springfield city, Missouri",79232,6871,4273,4110,4764,7864,4565,4705,5427,3870,8049,5403,8274,3778,2473,1994,2812,"Springfield city, Missouri",1916,1573,1186,1627,1172,1890,1472,1142,1481,1194,1656,1330,1438,1063,796,735,867
"G30006550","2021","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"1600000US3006550","3006550","Billings city, Montana",50365,2580,1685,1875,2494,1567,2401,2956,1899,1420,3267,6223,8383,4263,3178,3431,2743,"Billings city, Montana",1518,990,811,691,801,635,910,898,730,537,930,1592,1885,1166,927,1170,763
"G30050200","2021","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"1600000US3050200","3050200","Missoula city, Montana",33744,1497,2125,1144,1524,1964,1110,1493,1710,1804,1899,4136,3494,2325,2030,2167,3322,"Missoula city, Montana",1332,726,959,615,665,782,721,776,854,955,689,1072,1108,823,857,918,1028
"G31028000","2021","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"1600000US3128000","3128000","Lincoln city, Nebraska",120407,6765,4092,4376,5487,5735,5193,4896,6109,5668,8844,13825,15534,10862,8660,7589,6772,"Lincoln city, Nebraska",1708,1322,984,1527,1262,1502,1113,1001,1350,1334,1677,1778,1871,1648,1463,1246,1070
"G31037000","2021","NE",,,"Nebraska","31",,,"Omaha city","37000",,,,,,,,,,,,,,,,"1600000US3137000","3137000","Omaha city, Nebraska",201469,14163,8991,7112,6884,9231,7942,8776,10414,6120,16049,20309,26409,17209,12192,13714,15954,"Omaha city, Nebraska",2293,2164,1359,1239,1768,1464,1591,1384,1558,1144,1772,2074,2555,1945,1533,1612,1658
"G32023770","2021","NV",,,"Nevada","32",,,"Enterprise CDP","23770",,,,,,,,,,,,,,,,"1600000US3223770","3223770","Enterprise CDP, Nevada",83983,5243,884,1930,1967,2813,3370,2634,3966,2449,5241,7968,10329,9148,7798,8728,9515,"Enterprise CDP, Nevada",3971,1586,473,772,944,1011,1372,941,1300,842,1329,1735,2168,1573,1828,1949,1864
"G32031900","2021","NV",,,"Nevada","32",,,"Henderson city","31900",,,,,,,,,,,,,,,,"1600000US3231900","3231900","Henderson city, Nevada",124470,5872,2824,3331,3353,4385,5972,3187,4863,4340,9083,12959,17798,11842,8434,13604,12623,"Henderson city, Nevada",3117,1444,1030,1154,1005,959,1507,1024,1441,1054,1431,2167,1928,1993,1514,2256,1796
"G32040000","2021","NV",,,"Nevada","32",,,"Las Vegas city","40000",,,,,,,,,,,,,,,,"1600000US3240000","3240000","Las Vegas city, Nevada",250350,21741,9556,9767,10503,11326,12608,10777,12302,8463,18609,23089,32254,20847,12588,16042,19878,"Las Vegas city, Nevada",5195,2326,1553,1605,1692,1952,1976,1531,2139,1463,1933,2154,2732,2332,1664,2046,2374
"G32051800","2021","NV",,,"Nevada","32",,,"North Las Vegas city","51800",,,,,,,,,,,,,,,,"1600000US3251800","3251800","North Las Vegas city, Nevada",85966,5949,1499,2702,3423,2772,3887,3608,3606,1799,7774,12356,12517,8269,7437,4666,3702,"North Las Vegas city, Nevada",3596,1428,623,822,1043,998,1276,909,1232,720,1461,2214,2217,1569,1630,1104,945
"G32054600","2021","NV",,,"Nevada","32",,,"Paradise CDP","54600",,,,,,,,,,,,,,,,"1600000US3254600","3254600","Paradise CDP, Nevada",78005,8398,2351,4112,4325,4238,3911,3463,5373,2722,7197,8181,8107,5795,3088,3326,3418,"Paradise CDP, Nevada",3685,1660,735,1094,1028,964,915,1022,1158,916,1276,1501,1506,1067,782,860,988
"G32060600","2021","NV",,,"Nevada","32",,,"Reno city","60600",,,,,,,,,,,,,,,,"1600000US3260600","3260600","Reno city, Nevada",110993,8820,4091,3513,3256,4883,5264,3102,4401,3885,7259,12847,14493,10479,7655,9228,7817,"Reno city, Nevada",2468,1676,1117,813,961,1205,1103,844,980,1115,1403,2245,1812,2002,1644,1460,1327
"G32068400","2021","NV",,,"Nevada","32",,,"Sparks city","68400",,,,,,,,,,,,,,,,"1600000US3268400","3268400","Sparks city, Nevada",43392,1391,768,533,947,1196,1636,2162,2384,1879,2757,4221,6652,6172,4050,3801,2843,"Sparks city, Nevada",2224,611,609,305,517,601,782,890,956,838,1051,1358,1454,1268,1177,1360,847
"G32068585","2021","NV",,,"Nevada","32",,,"Spring Valley CDP","68585",,,,,,,,,,,,,,,,"1600000US3268585","3268585","Spring Valley CDP, Nevada",88063,7092,3244,3399,5450,3265,4202,2425,4143,4472,5471,9704,10788,7549,6347,5255,5257,"Spring Valley CDP, Nevada",3751,1687,1342,1102,1148,1022,1246,675,1498,1511,1499,1625,2054,1635,1728,1556,1242
"G32071400","2021","NV",,,"Nevada","32",,,"Sunrise Manor CDP","71400",,,,,,,,,,,,,,,,"1600000US3271400","3271400","Sunrise Manor CDP, Nevada",62737,5685,2953,2809,2506,3374,4647,3475,2972,2169,5331,7453,8603,4037,3705,1861,1157,"Sunrise Manor CDP, Nevada",2868,1235,860,844,938,897,1173,952,870,875,1183,1362,1471,1139,829,636,496
"G33045140","2021","NH",,,"New Hampshire","33",,,"Manchester city","45140",,,,,,,,,,,,,,,,"1600000US3345140","3345140","Manchester city, New Hampshire",48649,1921,1070,1719,1457,1620,1189,1554,2159,2026,4379,5666,9233,5206,3914,3556,1980,"Manchester city, New Hampshire",2196,709,420,805,598,639,578,613,798,724,1089,1287,1780,1244,1113,1020,662
"G33050260","2021","NH",,,"New Hampshire","33",,,"Nashua city","50260",,,,,,,,,,,,,,,,"1600000US3350260","3350260","Nashua city, New Hampshire",36986,1237,970,1829,873,821,1080,965,1569,987,2648,3661,5025,4826,3393,3466,3636,"Nashua city, New Hampshire",1692,450,452,669,466,374,623,643,613,647,825,1050,1049,1048,1060,966,894
"G34003580","2021","NJ",,,"New Jersey","34",,,"Bayonne city","03580",,,,,,,,,,,,,,,,"1600000US3403580","3403580","Bayonne city, New Jersey",28375,1557,1710,263,1328,1001,972,977,977,1487,1303,3305,4122,3821,1266,1988,2298,"Bayonne city, New Jersey",1836,730,647,289,650,512,565,593,499,785,597,989,1144,937,583,663,735
"G34010000","2021","NJ",,,"New Jersey","34",,,"Camden city","10000",,,,,,,,,,,,,,,,"1600000US3410000","3410000","Camden city, New Jersey",24276,3017,2256,1608,1785,1356,745,1479,695,913,2077,2586,2454,1466,664,659,516,"Camden city, New Jersey",1947,1145,855,828,946,636,446,851,458,519,892,1172,910,715,334,433,457
"G34013690","2021","NJ",,,"New Jersey","34",,,"Clifton city","13690",,,,,,,,,,,,,,,,"1600000US3413690","3413690","Clifton city, New Jersey",32408,1814,1026,567,1105,1768,516,821,1280,797,2160,3074,4114,3348,2530,3095,4393,"Clifton city, New Jersey",2260,894,733,426,683,815,413,639,771,595,1037,1119,928,1154,970,946,1000
"G34019390","2021","NJ",,,"New Jersey","34",,,"East Orange city","19390",,,,,,,,,,,,,,,,"1600000US3419390","3419390","East Orange city, New Jersey",28318,1863,1416,2176,1678,1382,1575,1716,1081,1023,2044,3208,4028,1737,1832,716,843,"East Orange city, New Jersey",1853,911,515,1219,895,894,919,788,638,530,871,1245,1107,791,769,508,476
"G34021000","2021","NJ",,,"New Jersey","34",,,"Elizabeth city","21000",,,,,,,,,,,,,,,,"1600000US3421000","3421000","Elizabeth city, New Jersey",46107,3712,2002,1629,2253,3219,3142,2635,2352,1861,2564,5973,4713,2529,2454,2439,2630,"Elizabeth city, New Jersey",2059,1063,1091,803,852,1084,1063,902,857,831,776,1249,1262,817,888,852,1002
"G34036000","2021","NJ",,,"New Jersey","34",,,"Jersey City city","36000",,,,,,,,,,,,,,,,"1600000US3436000","3436000","Jersey City city, New Jersey",119158,8174,6966,5417,4114,2634,4099,2489,3105,2641,6823,9283,11839,11481,7685,9594,22814,"Jersey City city, New Jersey",3269,1904,1492,1239,1210,928,1314,874,1272,982,1775,1698,1788,2168,1658,1962,2211
"G34038580","2021","NJ",,,"New Jersey","34",,,"Lakewood CDP","38580",,,,,,,,,,,,,,,,"1600000US3438580","3438580","Lakewood CDP, New Jersey",13701,1449,116,1078,749,1276,957,1178,527,238,857,550,1527,840,292,894,1173,"Lakewood CDP, New Jersey",2032,857,149,1179,576,911,698,777,478,318,582,420,784,472,297,801,714
"G34051000","2021","NJ",,,"New Jersey","34",,,"Newark city","51000",,,,,,,,,,,,,,,,"1600000US3451000","3451000","Newark city, New Jersey",115145,14273,8328,9387,5269,6308,5512,5495,4431,5487,9572,12940,10367,7228,3498,3998,3052,"Newark city, New Jersey",3722,2425,1759,1883,1380,1746,1573,1456,1375,1683,2093,2112,2349,1866,1047,1213,1147
"G34056550","2021","NJ",,,"New Jersey","34",,,"Passaic city","56550",,,,,,,,,,,,,,,,"1600000US3456550","3456550","Passaic city, New Jersey",20446,1100,2041,922,1076,1112,1201,844,1057,435,1781,2187,2391,843,962,1425,1069,"Passaic city, New Jersey",1258,657,759,413,546,515,632,413,480,286,631,671,810,470,474,600,371
"G34057000","2021","NJ",,,"New Jersey","34",,,"Paterson city","57000",,,,,,,,,,,,,,,,"1600000US3457000","3457000","Paterson city, New Jersey",51612,5010,4836,3127,2479,2602,2320,2310,2614,1660,2585,6475,4961,3018,3131,2738,1746,"Paterson city, New Jersey",2208,1490,1225,915,857,831,806,840,895,764,870,1586,1494,1032,1122,932,714
"G34073110","2021","NJ",,,"New Jersey","34",,,"Toms River CDP","73110",,,,,,,,,,,,,,,,"1600000US3473110","3473110","Toms River CDP, New Jersey",35128,2074,1003,1512,1060,988,235,768,967,1063,2943,2364,4720,3259,2797,4272,5103,"Toms River CDP, New Jersey",2522,1095,472,860,633,565,244,341,520,652,902,679,1260,1048,828,1142,1221
"G34074000","2021","NJ",,,"New Jersey","34",,,"Trenton city","74000",,,,,,,,,,,,,,,,"1600000US3474000","3474000","Trenton city, New Jersey",34116,4706,3217,1737,983,2499,1973,828,1813,2012,1457,2878,4530,1772,1682,958,1071,"Trenton city, New Jersey",2347,1622,1257,1109,638,1159,1067,630,1066,1052,640,1129,1238,913,763,713,585
"G34074630","2021","NJ",,,"New Jersey","34",,,"Union City city","74630",,,,,,,,,,,,,,,,"1600000US3474630","3474630","Union City city, New Jersey",24041,2370,1134,631,713,864,576,640,2408,896,1865,2279,3750,2370,1197,993,1355,"Union City city, New Jersey",1747,870,635,450,430,555,420,423,904,594,707,854,1134,996,623,580,552
"G35002000","2021","NM",,,"New Mexico","35",,,"Albuquerque city","02000",,,,,,,,,,,,,,,,"1600000US3502000","3502000","Albuquerque city, New Mexico",243582,19005,10922,8899,11884,10443,11366,8654,11229,11263,20059,21648,28429,22040,16875,14612,16254,"Albuquerque city, New Mexico",2744,2773,1831,1984,2033,2188,2116,1999,2103,1902,2655,2414,3038,2618,2435,2041,1974
"G35039380","2021","NM",,,"New Mexico","35",,,"Las Cruces city","39380",,,,,,,,,,,,,,,,"1600000US3539380","3539380","Las Cruces city, New Mexico",45991,4745,2355,2505,4107,1552,3067,2850,2979,1445,4214,3389,2856,2741,3154,2398,1634,"Las Cruces city, New Mexico",2359,1321,1366,1334,1437,681,1473,1313,1473,654,1423,1320,1177,1046,1256,1309,726
