GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G05050450","2016","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",28691,3115,1915,1706,1867,1829,2095,1471,2088,1373,2649,1791,2208,2253,612,892,827,"North Little Rock city, Arkansas",1962,909,717,874,773,879,863,667,974,608,1135,796,702,855,396,469,332
"G05060410","2016","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",23576,1602,836,1024,1643,541,1387,736,1544,1148,2214,2165,2748,1711,1093,1250,1934,"Rogers city, Arkansas",1526,758,366,448,685,354,551,430,592,543,672,740,836,621,569,474,584
"G05066080","2016","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",29019,2380,615,1511,1888,3096,1171,1814,1347,2255,3190,1631,2610,1987,1027,1257,1240,"Springdale city, Arkansas",1470,1038,387,854,945,1111,538,752,762,780,1156,626,950,903,674,640,639
"G06000562","2016","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30338,944,1201,589,732,879,674,779,881,619,1555,3538,3594,3856,2793,3661,4043,"Alameda city, California",1338,448,563,307,374,380,329,394,446,299,663,814,760,839,729,807,735
"G06000884","2016","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",27960,2136,1008,1440,1092,1008,1521,1487,1900,1580,2337,2560,2757,2492,1434,1874,1334,"Alhambra city, California",1592,763,434,541,483,450,660,509,601,645,789,735,577,761,513,569,585
"G06002000","2016","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",99255,4120,3067,3330,4071,4507,4469,4078,5436,4662,8680,10852,12834,10046,6548,6501,6054,"Anaheim city, California",3419,1028,884,842,1098,1144,1137,1029,1232,1170,1572,1689,1793,1615,1265,1191,1175
"G06002252","2016","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",34163,1623,1273,912,1334,777,1858,595,1415,931,2609,2938,5807,4778,1445,3220,2648,"Antioch city, California",1907,723,613,513,426,487,953,387,670,503,867,835,1456,1282,578,989,932
"G06002364","2016","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",24012,725,1066,1288,1693,1314,1623,1967,1736,1198,2365,1790,2661,2022,728,1054,782,"Apple Valley town, California",1640,373,683,568,821,668,654,857,508,526,760,654,908,822,376,541,400
"G06002553","2016","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",42909,4467,3576,2098,2570,2180,2898,2798,1733,918,2524,3015,4109,2656,1738,2738,2891,"Arden-Arcade CDP, California",2648,1368,1163,825,879,748,891,861,693,453,866,794,1043,790,682,828,778
"G06003526","2016","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",116507,6950,5593,5002,6986,5091,5462,4776,5329,3512,10209,11955,15670,11413,6268,6567,5724,"Bakersfield city, California",2950,1496,1228,1149,1445,1471,1237,1324,1140,1133,1780,1883,1939,1943,1511,1317,1134
"G06003666","2016","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",16714,529,291,709,681,488,521,1282,1206,389,1568,2979,2995,1251,819,461,545,"Baldwin Park city, California",1085,280,246,365,378,279,344,501,452,229,552,775,675,408,341,241,351
"G06004982","2016","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",23038,894,1439,1067,1200,1623,1307,1755,1136,1156,1912,2422,2895,1262,1477,561,932,"Bellflower city, California",1122,428,609,476,485,604,495,746,446,499,527,660,727,454,549,254,403
"G06006000","2016","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",46078,3618,1823,1702,2078,1756,1096,1355,1451,1733,1796,4249,3597,3760,2988,4198,8878,"Berkeley city, California",2150,859,704,613,680,867,418,572,498,758,563,792,683,819,712,787,939
"G06008786","2016","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",23555,1071,711,362,975,518,1350,781,1468,605,2297,2327,3504,2998,1338,1785,1465,"Buena Park city, California",1612,628,489,254,484,331,666,441,745,439,869,725,1017,972,529,719,619
"G06008954","2016","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",40724,2479,1682,2969,1438,1124,1192,1484,1138,1447,1820,3892,5384,2943,3434,4482,3816,"Burbank city, California",2166,928,714,1022,741,474,533,597,494,694,667,960,1152,991,833,954,965
"G06010046","2016","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",23168,510,716,851,732,858,508,712,1078,421,1834,2909,2065,3048,1583,2763,2580,"Camarillo city, California",1475,294,410,529,398,484,280,454,605,265,648,835,642,891,492,796,593
"G06011194","2016","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",41640,953,489,707,885,934,1463,1336,979,557,1847,3151,4622,4919,2888,5617,10293,"Carlsbad city, California",1822,423,297,350,424,574,922,775,505,341,586,1200,1092,990,926,1357,1592
"G06011390","2016","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",25154,1765,1095,1024,841,1347,1217,917,1038,889,3112,2613,3109,1973,1293,1335,1586,"Carmichael CDP, California",1890,771,518,486,393,584,604,459,483,351,951,820,867,624,435,428,500
"G06011530","2016","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",25790,849,735,708,860,679,1107,989,378,645,1800,3029,3907,3228,2714,2396,1766,"Carson city, California",1380,442,462,346,493,346,540,359,259,436,717,795,971,721,748,868,582
"G06011964","2016","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",24034,865,422,596,1211,743,676,898,756,1024,1272,1604,3486,2237,1388,3343,3513,"Castro Valley CDP, California",1332,422,309,357,633,540,347,569,569,630,574,677,911,764,508,763,878
"G06013014","2016","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",34985,4953,3018,2383,1618,2083,2019,1494,1431,768,2684,2727,3787,1990,976,1878,1176,"Chico city, California",1597,1276,930,792,682,763,783,772,646,442,924,733,872,597,456,651,464
"G06013210","2016","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",20149,375,1004,650,1508,406,510,751,921,1008,1568,1968,2459,2678,1458,1863,1022,"Chino city, California",1353,251,512,396,639,219,303,357,439,458,498,535,619,634,445,596,418
"G06013214","2016","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",24026,819,839,488,243,238,460,599,237,790,1605,2284,3484,3667,1967,2562,3744,"Chino Hills city, California",1166,456,623,382,214,198,384,489,179,531,660,632,1106,1086,620,750,759
"G06013392","2016","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",79639,3936,3541,3028,2576,2799,3931,3109,3002,2834,6937,7742,11388,7949,6017,5782,5068,"Chula Vista city, California",3233,1121,1123,996,853,767,1596,958,955,878,1458,1560,2257,1748,1339,1194,1085
"G06013588","2016","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",34269,665,1680,1232,1432,1753,1437,2481,1562,1782,3300,3991,5703,3295,1761,1575,620,"Citrus Heights city, California",1634,303,734,593,517,682,527,810,480,694,980,1000,1219,725,647,608,327
"G06014218","2016","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",35979,1995,1390,1323,2205,1551,1695,1110,1008,1140,2753,3809,3913,4476,2322,2731,2558,"Clovis city, California",1775,849,630,492,913,581,706,600,465,468,783,932,835,771,604,649,640
