GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G0400010","2011","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",19881,4112,1858,1436,1078,1120,1214,924,704,956,2045,2043,1080,779,165,281,86,"Apache County, Arizona",970,613,490,418,387,430,385,345,274,422,638,638,327,364,104,191,83
"G0400030","2011","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",47402,5013,3326,3338,3082,4222,1994,1997,3236,1606,3467,3785,6193,3171,1256,1093,623,"Cochise County, Arizona",2394,1180,1060,964,867,1226,700,837,928,611,1053,1189,1420,1105,509,541,321
"G0400050","2011","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",44826,4689,2484,2350,2545,2283,2616,2420,3012,1599,3495,3867,5446,3299,1354,1884,1483,"Coconino County, Arizona",2122,1218,776,862,654,786,1059,933,877,634,1017,1171,1322,792,620,728,728
"G0400130","2011","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1407161,105115,69785,75072,79571,73639,78357,72636,76865,60538,114142,145530,170351,106709,66646,59851,52354,"Maricopa County, Arizona",9954,6279,5134,5395,5896,6165,6228,4910,5128,5298,6411,6643,7520,6040,5169,4840,4421
"G0400150","2011","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",78977,7101,7186,6884,7858,4442,5169,4836,5431,3055,6609,8070,6003,3227,1109,1011,986,"Mohave County, Arizona",3519,1908,1909,1798,1366,1191,1340,1378,1676,1052,1702,1845,1610,910,601,653,626
"G0400170","2011","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",33305,4894,2719,2728,3623,2061,1912,1769,1717,1252,2318,3055,1841,2184,327,600,305,"Navajo County, Arizona",2217,1166,754,1048,1100,869,698,622,614,550,744,724,756,1018,218,374,211
"G0400190","2011","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",379801,35718,25779,23733,26017,21398,22795,19022,18019,16272,29621,39361,40745,24482,14210,11866,10763,"Pima County, Arizona",4931,3070,2789,2389,2721,2321,2416,2572,2297,1928,2803,3838,3052,2604,2715,1952,1798
"G0400210","2011","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",122782,11836,4926,5681,10085,8821,6607,8131,6650,9681,11445,11947,13701,6191,2489,2834,1757,"Pinal County, Arizona",6222,2772,1806,1697,2801,2137,2201,2118,1825,2700,2427,3054,2634,2077,1148,1350,791
"G0400250","2011","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",91407,7759,5533,8350,6076,7546,4603,3900,3704,4000,9959,8515,9414,6766,1592,2273,1417,"Yavapai County, Arizona",3678,2196,1491,2316,1753,2058,1225,1367,1275,1377,2379,2337,1951,1818,782,1036,896
"G0400270","2011","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",71490,6291,4905,4396,5485,5532,5790,4316,4249,2746,6886,7560,4775,3907,1645,1218,1789,"Yuma County, Arizona",2808,1726,1330,1336,1431,1486,1707,1428,1133,910,1941,1848,1179,1321,903,627,1015
