GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G3400110","2011","NJ",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,,"05000US34011","Cumberland County, New Jersey",49716,2876,2367,2605,3249,3291,2275,2433,2779,2159,3826,5338,7875,4325,1856,1443,1019,"Cumberland County, New Jersey",1574,790,680,686,838,755,645,668,789,761,874,991,1205,922,487,586,469
"G3400130","2011","NJ",,,"New Jersey","34","Essex County","013",,,,,,,,,,,,,,,,,,"05000US34013","Essex County, New Jersey",273399,28196,17170,15402,14528,11889,14708,12547,9665,10258,18252,23674,26068,18581,13139,15863,23459,"Essex County, New Jersey",2670,2390,1826,1826,1584,1536,1685,1543,1509,1543,1826,1983,2274,1633,1630,1569,1712
"G3400150","2011","NJ",,,"New Jersey","34","Gloucester County","015",,,,,,,,,,,,,,,,,,"05000US34015","Gloucester County, New Jersey",103725,3310,3302,4583,3714,4524,4188,3260,4278,3958,8007,9999,15557,11419,8217,10014,5395,"Gloucester County, New Jersey",1295,956,977,1043,1068,1125,1090,906,948,966,1643,1519,1553,1348,1246,1460,1212
"G3400170","2011","NJ",,,"New Jersey","34","Hudson County","017",,,,,,,,,,,,,,,,,,"05000US34017","Hudson County, New Jersey",243850,19540,13278,12763,12340,10693,12117,9590,10251,8734,16718,24662,29443,21469,13110,14647,14495,"Hudson County, New Jersey",2689,2131,1726,1799,1620,1537,1823,1641,1411,1481,2284,2520,2404,2063,1686,1803,1873
"G3400190","2011","NJ",,,"New Jersey","34","Hunterdon County","019",,,,,,,,,,,,,,,,,,"05000US34019","Hunterdon County, New Jersey",46741,1316,515,1699,1060,1166,1803,986,745,1431,2259,3726,6880,6587,4112,4721,7735,"Hunterdon County, New Jersey",1088,599,288,572,382,410,603,414,330,625,604,758,1109,1137,1028,852,1145
"G3400210","2011","NJ",,,"New Jersey","34","Mercer County","021",,,,,,,,,,,,,,,,,,"05000US34021","Mercer County, New Jersey",130756,8397,4894,6101,4465,3622,4260,5172,4163,5465,7582,12017,17784,13512,8122,11633,13567,"Mercer County, New Jersey",1971,1343,979,1248,893,805,1215,1057,972,1241,1145,1421,2234,1887,1425,2015,1648
"G3400230","2011","NJ",,,"New Jersey","34","Middlesex County","023",,,,,,,,,,,,,,,,,,"05000US34023","Middlesex County, New Jersey",278920,11431,9719,10694,10710,10829,10671,9232,9688,10197,20886,26028,39128,31721,23345,23587,21054,"Middlesex County, New Jersey",2870,1910,1682,1402,1390,1941,1427,1364,1556,1483,2196,2535,2938,2727,2808,2057,1793
"G3400250","2011","NJ",,,"New Jersey","34","Monmouth County","025",,,,,,,,,,,,,,,,,,"05000US34025","Monmouth County, New Jersey",231198,8588,8163,10090,8411,8531,8166,8303,7779,6668,15610,19786,28442,24945,16631,23890,27195,"Monmouth County, New Jersey",2876,1735,1352,1731,1627,1637,1431,1406,1521,1251,1994,2085,2718,2074,1752,2081,2492
"G3400270","2011","NJ",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,,"05000US34027","Morris County, New Jersey",182745,5733,4095,6019,4829,4651,3515,5224,4573,5548,12256,17308,25823,22572,14399,19664,26536,"Morris County, New Jersey",1888,1168,1059,1513,981,1152,931,1182,1043,1230,1888,1831,2797,2125,1851,1888,1997
"G3400290","2011","NJ",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,,"05000US34029","Ocean County, New Jersey",222079,9784,10286,13396,13515,11878,11462,10667,10785,7905,15953,23030,28642,21484,12128,12307,8857,"Ocean County, New Jersey",3706,1513,1486,1664,1879,1665,1785,1430,1819,1310,1993,2168,2276,2051,1593,1506,1429
"G3400310","2011","NJ",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,,"05000US34031","Passaic County, New Jersey",163192,14616,8606,8127,8350,9861,7408,7906,6563,6505,11099,13452,19790,12884,10122,10513,7390,"Passaic County, New Jersey",1845,1872,1294,1347,1316,1703,1615,1459,1231,1480,1612,1788,2335,2129,1815,1432,1634
"G3400330","2011","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",24656,1696,1100,1914,1135,669,1139,1049,1455,1184,2267,2228,3329,2559,1402,920,610,"Salem County, New Jersey",813,484,436,598,432,268,376,376,410,392,575,481,641,656,366,313,219
"G3400350","2011","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",114323,3572,2754,2735,2487,2224,3253,3179,3711,2679,6967,10243,15397,12780,10539,13526,18277,"Somerset County, New Jersey",1799,966,799,777,815,620,891,936,1225,762,1473,1660,2132,1752,1511,1799,1717
"G3400370","2011","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",54746,1325,1829,1313,2220,1438,2053,1075,2304,1846,3398,5458,8858,6646,5772,4630,4581,"Sussex County, New Jersey",1531,551,751,521,643,517,535,386,903,532,591,1167,1305,1161,1155,760,959
"G3400390","2011","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",184598,11107,6688,8465,7480,8133,7746,6809,7486,5941,13964,17461,22774,18240,11968,13919,16417,"Union County, New Jersey",2289,1598,1312,1415,1455,1382,1586,1183,1273,1315,1794,1757,2138,2166,1497,1873,1548
"G3400410","2011","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",42146,1482,2008,1880,1739,1355,1934,1192,2019,2084,3377,4951,5180,4554,2537,3671,2183,"Warren County, New Jersey",1024,496,716,583,585,511,601,458,594,731,838,794,870,933,787,833,635
"G3500010","2011","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",264803,27914,17886,15610,18093,15120,14987,12173,12717,11871,22004,23531,24959,17895,10862,10761,8420,"Bernalillo County, New Mexico",3231,2677,2790,2226,2148,1917,1898,1869,2192,1825,2102,2125,2393,2158,2068,1455,1466
"G3500050","2011","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",23447,2359,1246,940,1323,2957,2254,1927,856,972,1393,1839,2471,1911,460,295,244,"Chaves County, New Mexico",1252,778,473,466,557,886,854,777,365,458,472,688,809,652,327,247,218
"G3500130","2011","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",75078,8772,7119,5838,6765,3540,4183,4413,1866,4081,4494,6024,9375,3545,1615,2015,1433,"Doña Ana County, New Mexico",1950,1529,1455,1330,1497,1028,1253,1282,641,1122,1100,1346,1816,1024,853,653,614
"G3500250","2011","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",20824,1917,934,791,1155,1350,1332,1060,860,913,1382,2577,3026,1565,753,740,469,"Lea County, New Mexico",914,788,413,408,527,535,452,607,500,492,518,804,891,597,421,384,362
"G3500310","2011","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",16949,3067,1554,1261,1753,1091,673,536,995,833,1138,1309,1560,722,160,81,216,"McKinley County, New Mexico",968,674,507,392,510,485,266,353,454,350,517,397,465,354,146,83,157
"G3500350","2011","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",25312,2098,2715,1916,2320,1958,1439,2462,984,500,1712,2650,2221,1072,592,233,440,"Otero County, New Mexico",1557,853,868,751,776,766,588,995,458,424,698,744,735,650,457,254,366
"G3500430","2011","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",47482,3328,2145,2809,1995,2496,1721,2456,3031,2243,4513,5140,5458,3787,2427,2332,1601,"Sandoval County, New Mexico",1650,1394,773,814,710,698,691,772,795,889,1380,1304,1331,1008,1041,759,683
"G3500450","2011","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",42224,4195,1490,1827,2373,2153,2140,2511,2428,1465,2470,5528,6511,3436,1527,1591,579,"San Juan County, New Mexico",1276,1072,533,820,636,597,624,726,874,576,767,1228,1373,1044,550,522,286
"G3500490","2011","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",60935,4416,3178,4396,3576,3326,1968,3458,3402,2776,4648,5102,6999,5405,1962,2443,3880,"Santa Fe County, New Mexico",2043,975,842,912,885,1107,574,924,820,823,1158,1130,1445,1109,650,666,909
"G3500610","2011","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",27481,2414,1930,2382,1814,1261,1912,852,1834,796,2674,3179,3473,1184,800,696,280,"Valencia County, New Mexico",1141,693,618,957,822,447,771,423,763,403,797,832,957,432,366,495,160
"G3600010","2011","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",122551,7613,6467,6695,4540,5704,3842,6474,5703,4810,11686,13403,16121,12122,6842,6457,4072,"Albany County, New York",2395,1319,1294,1367,1013,1276,836,1248,1191,1046,1475,1774,1714,1412,1047,1204,783
"G3600050","2011","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",467138,77527,44849,38899,33774,26767,25760,21869,20443,18098,32461,35636,39354,25797,10359,10020,5525,"Bronx County, New York",3746,4439,3567,3364,2723,2449,2350,2002,2851,2096,3008,2792,3307,2513,1788,1728,1133
"G3600070","2011","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",79727,7884,5321,5508,5718,3614,4686,3850,3889,2852,7945,7749,7277,6222,2905,3153,1154,"Broome County, New York",1769,1357,1114,1202,1131,808,992,786,756,775,1380,1072,1134,1072,754,751,414
"G3600090","2011","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",31938,2623,3164,2554,2639,1806,1933,1612,1910,1334,2643,2948,3917,1386,376,608,485,"Cattaraugus County, New York",1016,513,622,588,558,458,491,463,419,332,498,445,667,302,187,233,180
"G3600110","2011","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",31533,1638,1868,2145,2478,1482,1869,996,1742,1727,3090,3360,4051,2728,899,935,525,"Cayuga County, New York",800,612,659,624,708,379,547,269,501,467,693,646,709,598,259,324,256
"G3600130","2011","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",56033,5232,4248,3915,3928,3814,3424,2478,4175,3310,5008,5769,5446,2768,920,1171,427,"Chautauqua County, New York",1653,1065,782,856,804,895,692,549,855,849,906,960,716,497,337,459,233
"G3600150","2011","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",35644,3484,1921,1907,2173,2187,1599,1386,1438,1668,3227,3598,4111,2824,1650,1317,1154,"Chemung County, New York",1624,842,566,636,774,595,620,611,526,596,746,963,889,650,482,588,601
"G3600190","2011","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",32323,2352,2246,1559,1832,1776,2341,1234,800,1731,2686,4555,4135,2580,1306,666,524,"Clinton County, New York",965,605,704,519,471,582,782,436,322,592,767,848,1022,604,673,338,271
"G3600270","2011","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",107263,5384,4585,4740,5314,3994,4119,4824,4110,2914,7603,11633,14050,11597,7760,8132,6504,"Dutchess County, New York",2057,1052,1191,1088,1134,1040,1187,1009,988,777,1328,1817,1597,1734,1358,1432,1145
"G3600290","2011","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",379687,34409,24089,24341,22509,21112,21229,17519,16025,17170,31855,35390,43953,30411,15784,12916,10975,"Erie County, New York",3248,2591,2285,2350,2294,2093,2244,1811,2001,2112,2658,2897,2653,2432,1757,1475,1868
"G3600450","2011","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",46322,3137,3414,2533,4126,3555,1492,2195,2358,2883,4656,5748,5829,1581,1259,1086,470,"Jefferson County, New York",1547,828,1017,734,940,1059,567,632,708,760,954,992,1190,508,448,384,294
"G3600470","2011","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",901062,114781,66978,56840,54190,45243,46682,39417,41042,33237,61841,83770,92570,57292,36813,36083,34283,"Kings County, New York",4812,4972,4407,3694,3750,3346,3611,3012,2949,3001,3491,4297,3974,2887,2960,2589,2308
"G3600510","2011","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",24342,1872,1203,1164,1265,1824,1547,1369,791,982,2178,2828,4000,1893,668,613,145,"Livingston County, New York",1011,546,409,426,473,685,525,466,298,377,580,666,740,474,312,337,127
"G3600530","2011","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",26805,1541,1064,1802,1548,1408,1597,1172,1722,1481,2423,2954,3839,1791,1136,675,652,"Madison County, New York",1246,557,496,578,533,534,442,507,640,549,591,681,900,528,372,271,265
"G3600550","2011","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",296558,26934,16271,16497,16691,15688,16064,13739,14253,11579,23576,27692,40466,21402,13793,11284,10629,"Monroe County, New York",3062,2419,1813,1794,1846,1945,1956,1902,1705,1443,1835,2560,2848,2119,1625,1727,1719
"G3600590","2011","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",442039,15839,11421,14032,13203,12294,14194,13306,11934,12318,24848,37245,60328,50714,38624,49105,62634,"Nassau County, New York",2626,2102,1848,1696,1650,1690,1577,1740,1750,1622,2376,2737,3196,2835,2383,2882,3318
"G3600610","2011","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",728520,75192,39312,34083,31151,26727,26501,23784,24516,17541,38773,55939,68209,54418,34615,56994,120765,"New York County, New York",8731,4467,3635,3517,3837,2714,3175,2718,3071,2438,4221,4276,5098,4896,3546,4507,6261
"G3600630","2011","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",87848,7311,4723,6050,5187,5467,5477,5322,4023,3714,7198,9590,10771,5862,3239,2295,1619,"Niagara County, New York",1743,1139,969,1159,1047,1122,1103,1049,861,842,1120,1349,1157,959,739,676,648
"G3600650","2011","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",91133,7891,5975,5754,5169,5125,4897,4585,4688,3917,7749,9169,10772,6537,3644,3149,2112,"Oneida County, New York",2027,1382,1003,955,991,1080,872,1157,837,826,1165,1290,1388,1228,852,684,616
"G3600670","2011","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",181113,15109,10097,10358,10289,8815,8082,7649,8094,6149,13782,19918,23430,16340,9142,8045,5814,"Onondaga County, New York",2360,1741,1392,1407,1367,1025,1247,1268,1242,1055,1640,1879,1923,1889,1363,1096,878
"G3600690","2011","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",45029,1551,1848,2248,1970,3059,1460,3253,3733,1794,4438,5293,5173,3711,2363,1619,1516,"Ontario County, New York",971,503,586,718,590,866,451,821,852,543,1027,955,980,878,752,612,491
"G3600710","2011","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",125643,8199,6380,5385,4757,4922,4128,4973,5385,3830,8612,13969,16231,13349,8623,10096,6804,"Orange County, New York",2104,1546,1478,971,1128,1084,1028,1349,1225,977,1311,1948,1830,1889,1400,1358,1225
"G3600750","2011","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",44297,4008,2130,2250,3440,3092,3157,2041,2677,1991,4179,4643,5282,2362,1303,839,903,"Oswego County, New York",1561,984,587,601,949,735,793,552,605,569,823,776,814,569,520,349,386
"G3600790","2011","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",35352,892,744,1260,1205,1547,1285,616,879,1249,2183,3119,3971,4401,3399,4288,4314,"Putnam County, New York",1032,454,367,683,484,618,639,310,386,485,727,783,799,888,756,956,866
"G3600810","2011","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",764825,58576,41020,40810,44266,36568,37988,32972,36461,28629,60226,77969,94684,66947,38772,40046,28891,"Queens County, New York",5223,3899,3585,3021,3536,3319,3147,2684,3469,2824,4417,4451,4835,4344,3217,3434,2720
"G3600830","2011","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",62712,4505,2477,2501,3302,3055,2493,2605,3677,2385,4733,7241,8659,6800,3653,3145,1481,"Rensselaer County, New York",1756,1071,853,718,1013,869,762,769,921,785,968,1085,1258,1192,800,824,572
"G3600850","2011","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",161785,9998,6224,5981,7034,6680,5818,4340,6476,5495,11786,16054,23573,16564,10841,14540,10381,"Richmond County, New York",2239,2000,1291,1077,1419,1415,1340,961,1299,1139,1678,2596,2762,1963,1416,1958,1416
"G3600870","2011","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",98214,3693,3284,4677,2990,2114,2931,2440,4484,2851,5647,9381,14112,11051,7230,11029,10300,"Rockland County, New York",1461,910,751,1173,783,746,825,672,1147,993,1310,1366,1678,1385,1267,1600,1311
"G3600890","2011","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",40937,4502,2122,2871,2295,2563,2481,1936,2385,1828,4161,4007,4850,1852,1507,1249,328,"St. Lawrence County, New York",1316,961,457,610,602,776,595,400,608,492,909,701,770,508,507,431,185
"G3600910","2011","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",90230,4441,3072,2862,2776,4022,3465,4142,4295,3646,8534,10162,13588,9560,6096,5406,4163,"Saratoga County, New York",1574,1180,870,804,849,1118,844,936,970,984,1506,1633,1778,1316,990,881,986
"G3600930","2011","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",57691,3899,3226,3588,3202,2167,3364,3125,2427,2511,4819,6606,7686,5032,2080,2317,1642,"Schenectady County, New York",1931,885,927,914,748,528,804,855,701,636,894,1211,1289,1035,671,641,423
"G3601010","2011","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",41843,3323,2691,2532,2381,3671,2458,2301,2172,2164,4041,3981,4517,2977,1051,899,684,"Steuben County, New York",1091,669,682,581,549,737,552,606,599,581,827,734,736,586,302,341,274
"G3601030","2011","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",500776,15208,13937,14021,18466,13596,17072,15599,15872,14069,33790,50092,72253,65656,42515,53775,44855,"Suffolk County, New York",4107,1729,1975,1785,2282,1962,2535,1903,2222,1683,2578,3528,3939,3646,2881,3443,3029
"G3601050","2011","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",27431,2186,1494,1949,1646,1150,1323,1691,1555,1265,2016,3701,2955,1696,970,1148,686,"Sullivan County, New York",1721,676,436,633,624,355,560,553,595,463,604,863,700,474,399,559,441
"G3601090","2011","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",39145,5260,1959,2352,1662,1394,1646,1850,1804,1013,2786,4167,4187,3408,1936,2346,1375,"Tompkins County, New York",1343,1257,770,640,614,572,692,591,650,405,643,957,1022,810,623,681,484
"G3601110","2011","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",69127,4891,3165,4695,4160,2960,3213,2899,2700,3417,5211,6726,9475,5787,3638,3269,2921,"Ulster County, New York",2614,1300,704,1193,1136,747,822,842,853,997,984,1121,1506,1213,874,770,665
"G3601130","2011","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",27884,2384,1966,1452,1644,1005,1462,1223,1162,909,2959,2969,3531,2076,1282,1001,859,"Warren County, New York",1383,949,696,380,531,354,508,493,477,407,696,717,963,586,491,476,356
"G3601170","2011","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",36428,1777,2101,2186,2409,1692,1987,1888,1553,1388,3553,3160,6951,2652,1181,1598,352,"Wayne County, New York",1259,497,788,732,758,585,593,646,558,540,856,734,1184,638,398,614,307
"G3601190","2011","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",343481,16951,13261,14380,14935,12859,12340,13286,12357,8653,21114,27291,38111,30276,21522,30603,55542,"Westchester County, New York",2979,1711,1965,1904,1864,1902,1891,2316,1786,1445,1977,2296,2842,2347,2077,2617,3326
"G3700010","2011","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",60824,6087,3930,4879,4255,3432,4214,2959,3796,2454,3718,5920,7450,3580,1632,957,1561,"Alamance County, North Carolina",1547,1643,946,1315,930,1007,1098,781,1213,1052,976,1318,1258,853,663,522,675
"G3700190","2011","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",46277,4928,4068,3304,3401,2287,2481,3246,2158,1951,2678,4375,4891,2945,1968,1132,464,"Brunswick County, North Carolina",3616,1775,1416,1393,1230,990,1372,1272,1260,906,1055,1334,1677,1159,1090,807,371
"G3700210","2011","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",101507,9068,8373,4645,6999,7617,6252,5264,7525,4991,7917,8691,8546,7365,3255,2425,2574,"Buncombe County, North Carolina",2365,1721,1678,1203,1988,1835,1533,1407,2021,1462,1489,1928,1595,1533,971,802,773
"G3700230","2011","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",33685,2978,3416,2384,3049,2148,2265,2089,1463,1906,2715,2858,4029,1023,757,392,213,"Burke County, North Carolina",1538,716,738,581,864,709,792,664,558,598,802,723,915,390,362,280,173
"G3700250","2011","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",65324,5006,4313,3467,4793,2661,4124,3481,2307,3479,5908,6803,8322,5242,2762,1931,725,"Cabarrus County, North Carolina",2007,1313,1382,1304,1409,834,1245,1109,1022,1116,1674,1493,1832,1348,858,984,437
"G3700270","2011","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",32122,3998,3385,3244,2326,1676,2762,1954,1688,1903,1972,1992,2481,1898,267,158,418,"Caldwell County, North Carolina",1430,1044,843,820,824,695,795,691,704,831,775,565,778,741,195,165,293
"G3700310","2011","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",28071,2138,2838,1094,1936,1664,934,2302,1222,1512,2041,2703,3270,2061,837,557,962,"Carteret County, North Carolina",2217,769,1291,557,908,914,494,900,655,672,816,820,878,724,548,349,386
"G3700350","2011","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",56378,3723,3563,2968,4491,4084,2759,2849,4286,2776,5121,5624,6040,3108,1599,1679,1708,"Catawba County, North Carolina",1888,1014,933,785,1272,957,716,947,1085,732,1212,1217,934,831,691,681,622
"G3700450","2011","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",36513,4416,3354,3710,1969,3148,1216,2414,1663,757,2888,3222,3224,2399,753,1035,345,"Cleveland County, North Carolina",1810,1127,823,1215,784,864,653,863,659,356,852,951,930,802,404,546,261
"G3700490","2011","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",38592,2133,2129,1125,2173,1543,3068,1317,2258,3198,2791,6189,4980,3198,1101,890,499,"Craven County, North Carolina",2086,926,807,596,908,646,1081,658,1109,1064,928,1689,1388,1111,499,490,364
"G3700510","2011","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",119402,11069,8147,7631,7768,6240,8259,6303,5839,5067,9320,13844,13061,8175,4064,2482,2133,"Cumberland County, North Carolina",2560,1622,1639,1324,1722,1375,1548,1237,1324,1375,1354,1766,2142,1623,1102,856,765
"G3700570","2011","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",65227,5051,3976,3771,5153,3387,6124,4966,2285,3480,7425,5226,7788,2519,791,2364,921,"Davidson County, North Carolina",2360,1551,1089,1154,1272,1177,1882,1461,1186,1163,1949,1400,1775,1013,507,990,532
"G3700630","2011","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",110908,9303,6486,6823,7749,6800,6422,4082,6280,5484,9649,9465,11759,6027,6244,4094,4241,"Durham County, North Carolina",2158,1604,1546,1320,1733,1443,1509,1147,1349,1792,1995,1551,1916,1369,1673,1294,1258
"G3700670","2011","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",138511,12144,7249,10987,8278,9287,9119,7438,6611,6996,10416,12744,13247,9516,5362,4451,4666,"Forsyth County, North Carolina",3053,1544,1172,1637,1309,1481,1467,1447,1454,1179,1408,1501,1618,1478,1131,924,900
"G3700710","2011","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",79593,7683,5381,5981,5758,4571,5451,3938,5257,2913,6019,8359,7600,4105,3157,1578,1842,"Gaston County, North Carolina",1997,1538,1163,1215,1218,1203,1187,872,1309,877,1167,1384,1500,890,778,679,682
