GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G0400010","2012","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",19634,3605,1314,1667,1384,863,1331,1403,1196,1033,1391,1332,1655,633,358,392,77,"Apache County, Arizona",869,592,298,432,325,316,363,430,276,368,354,463,532,267,260,271,68
"G0400030","2012","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",49983,5669,2788,3589,2854,2740,3383,2748,1995,2786,4415,4107,5797,2798,1374,1872,1068,"Cochise County, Arizona",1985,1118,799,861,956,588,936,763,609,1038,1015,1020,1149,784,685,748,614
"G0400050","2012","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",46366,4740,3081,2690,3140,2393,2248,2405,2186,2292,3751,4374,5205,2498,2390,1090,1883,"Coconino County, Arizona",1781,867,857,919,848,704,583,792,782,786,1001,989,1103,810,787,332,647
"G0400130","2012","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1424393,99342,72335,69753,84105,72336,80802,73040,75574,61414,114633,143862,172341,118758,67296,62953,55849,"Maricopa County, Arizona",7925,4719,4440,3939,4238,3738,5086,4463,4830,3603,5535,6156,6222,4607,3836,3661,3219
"G0400150","2012","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",79239,8240,5335,6941,7419,6219,6113,4507,4820,3834,5455,7667,4984,3974,1244,1173,1314,"Mohave County, Arizona",3069,1401,1129,1355,1342,1277,1343,1119,984,1227,1211,1500,1142,1046,606,571,753
"G0400170","2012","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",35488,5367,2645,2575,2934,2103,2481,1908,2168,1108,3679,3065,2843,1076,563,408,565,"Navajo County, Arizona",1479,811,575,568,702,672,624,569,745,459,796,643,707,415,328,236,334
"G0400190","2012","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",386104,34927,26441,22022,25094,23727,22052,21244,18277,15590,32910,37466,40923,28082,13641,12197,11511,"Pima County, Arizona",4031,2596,2250,2348,2439,2673,2478,2097,2264,1798,2409,2403,2506,2556,1577,1734,1362
"G0400210","2012","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",126874,9755,4546,5522,7429,6853,8106,6561,6398,7533,14064,16253,15042,9295,4404,3588,1525,"Pinal County, Arizona",3543,1686,1129,1235,1328,1281,1400,1561,1257,1411,1945,2121,1969,1562,1052,1282,586
"G0400250","2012","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",93697,5771,6500,5547,6449,6166,5565,6226,5569,4814,7496,11171,10353,6163,1629,2846,1432,"Yavapai County, Arizona",2905,1261,1486,1306,1425,1489,1194,1483,1275,1297,1310,1938,1651,1206,688,1143,530
"G0400270","2012","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",70895,6540,4458,5123,5697,5163,3979,4922,3884,3526,4774,9422,6835,3363,1248,1341,620,"Yuma County, Arizona",1964,1421,1165,1009,1176,1183,1140,1048,1087,907,897,1906,1153,815,443,501,291
