GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G3400370","2012","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",54179,1233,1976,1707,1645,1582,1459,1072,2438,1908,3356,5084,8988,7497,5237,5470,3527,"Sussex County, New Jersey",1393,425,619,491,504,501,488,413,652,593,745,914,1315,973,891,1023,707
"G3400390","2012","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",184879,9929,7480,7999,7982,7286,8644,8369,6692,7302,14388,16857,23606,18253,10750,12140,17202,"Union County, New Jersey",1983,1359,1262,1363,1250,1489,1409,1547,1274,1107,1996,1929,1906,1879,1344,1469,1421
"G3400410","2012","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",41262,1071,965,1684,1586,1704,1399,2218,1826,1542,3664,4305,7005,4941,3232,2687,1433,"Warren County, New Jersey",1183,376,375,631,603,634,432,717,606,553,890,997,1001,813,596,779,451
"G3500010","2012","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",264780,24632,15933,16123,15018,15519,16934,13473,12433,9954,19230,26895,30447,19240,10449,10603,7897,"Bernalillo County, New Mexico",2629,2267,1854,1833,1875,1605,1917,1729,1758,1450,2324,2569,2407,1857,1410,1643,1222
"G3500050","2012","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",22944,2859,1497,1464,929,1419,1528,1270,963,1060,1601,2154,2723,1772,988,403,314,"Chaves County, New Mexico",1082,811,444,534,480,506,712,460,400,398,511,611,801,559,389,274,235
"G3500130","2012","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",73717,8303,5264,6158,5550,5500,4295,3696,3607,2861,5563,6331,7794,3602,2116,1908,1169,"Doña Ana County, New Mexico",1753,1477,1136,1427,1237,1422,1103,1117,1127,936,1371,1464,1343,1017,754,762,629
"G3500250","2012","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",21241,1547,1464,1187,1155,930,765,1271,1204,979,872,1812,3615,1619,1173,1123,525,"Lea County, New Mexico",847,593,513,413,526,431,403,447,489,527,369,566,856,651,484,520,304
"G3500310","2012","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",18200,4214,1005,1225,1268,1482,1207,607,774,503,1419,1585,1396,588,314,440,173,"McKinley County, New Mexico",797,730,263,321,393,394,450,220,309,196,408,483,395,295,230,243,174
"G3500350","2012","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",22769,1925,1728,2589,1175,1296,1454,1069,953,1396,2371,1912,2022,1201,611,714,353,"Otero County, New Mexico",1423,701,784,831,526,574,523,435,418,639,848,515,584,542,372,413,360
"G3500430","2012","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",47606,3243,1896,2236,2905,1784,1709,2238,2397,2218,4370,5573,6481,4215,1845,2831,1665,"Sandoval County, New Mexico",1277,777,631,732,815,548,701,631,681,669,893,1081,1337,932,546,817,613
"G3500450","2012","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",40025,4280,2177,2618,2169,2168,2974,1688,1033,2570,2815,3489,4041,3594,1661,1772,976,"San Juan County, New Mexico",1370,895,543,711,570,639,706,591,320,781,690,742,935,976,629,614,385
"G3500490","2012","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",62311,5450,3394,2676,3422,3571,3134,2667,3978,2287,5633,5832,7690,3889,2780,2658,3250,"Santa Fe County, New Mexico",1286,907,721,678,835,711,851,595,879,627,1186,914,1334,774,689,607,736
"G3500610","2012","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",27369,3507,1826,2307,1536,2182,1538,1218,1710,1005,2808,2047,2577,1251,1147,564,146,"Valencia County, New Mexico",964,865,602,879,596,703,608,482,651,450,781,703,797,521,544,331,185
"G3600010","2012","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",121119,9296,5652,5832,6326,5231,4770,3567,6707,4007,10493,13510,16683,10980,7215,6715,4135,"Albany County, New York",1967,1324,1206,1079,1315,957,959,866,1452,855,1503,1741,1719,1648,1233,1036,738
"G3600050","2012","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",475978,83168,44010,36831,31741,25843,28192,23319,22830,18381,33827,32796,41900,23084,12084,11085,6887,"Bronx County, New York",3477,3896,3256,2966,2623,2458,2435,2825,2106,2046,2413,2725,3109,2244,1625,1644,1305
"G3600070","2012","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",81687,6289,5760,5339,5692,4277,5049,3932,4358,4152,5242,8462,9660,5657,3291,2727,1800,"Broome County, New York",1707,1065,925,934,1040,966,1160,961,913,1061,1001,1199,1161,912,851,621,554
"G3600090","2012","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",32347,1832,2358,2621,2261,2001,1633,2339,1625,1763,3385,3895,3069,2014,753,461,337,"Cattaraugus County, New York",1034,386,538,526,534,422,395,564,455,407,732,659,511,420,253,220,146
"G3600110","2012","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",30354,1800,1534,1292,2518,1643,1379,1209,1593,2184,3183,3104,4545,2194,937,762,477,"Cayuga County, New York",1062,563,413,367,557,511,443,439,551,611,586,499,674,447,290,289,270
"G3600130","2012","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",51814,5423,3716,3703,3251,2978,3089,2614,3460,2233,4858,4637,5490,2805,1443,1199,915,"Chautauqua County, New York",1677,1049,850,677,690,705,629,763,688,525,875,695,743,601,412,490,348
"G3600150","2012","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",34867,2216,2731,2736,2769,2281,2047,1480,948,1007,3182,3832,3796,3190,1106,1236,310,"Chemung County, New York",1214,663,693,605,622,795,680,503,303,345,735,885,936,860,443,499,210
"G3600190","2012","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",32451,2571,1804,2104,1267,1837,1749,1474,1735,1190,3131,2625,4621,2925,1677,1002,739,"Clinton County, New York",1120,749,556,687,527,585,459,545,629,442,852,618,927,679,587,363,402
"G3600270","2012","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",107106,4362,4926,4452,4556,4392,4766,4446,3772,4334,7976,11033,15063,10384,7746,8744,6154,"Dutchess County, New York",2075,1043,1146,860,970,864,909,842,778,963,1151,1317,1673,1120,1171,1470,874
"G3600290","2012","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",379094,33339,22002,22769,21203,19212,19871,16550,17735,14806,30212,38642,49247,32260,15711,15039,10496,"Erie County, New York",3377,2431,2161,2264,2078,2092,1893,1835,1764,1758,2944,2456,2929,2835,1778,1731,1483
"G3600450","2012","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",45845,3036,2787,2695,2621,3549,2336,2088,2965,2331,4030,5782,5130,2963,1683,1260,589,"Jefferson County, New York",1446,743,786,735,675,778,798,633,799,722,843,1149,849,644,455,504,242
"G3600470","2012","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",919333,111030,66684,58336,49872,45407,41936,41241,43700,31119,67954,85416,93370,64946,38892,40098,39332,"Kings County, New York",4390,5117,3292,3390,3122,2998,2925,3019,3195,2674,3324,4394,4336,3948,2653,2854,2834
"G3600510","2012","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",24038,1489,1355,1238,1119,1522,1105,1138,1039,1175,2457,2945,3360,2146,1002,797,151,"Livingston County, New York",808,526,499,356,462,485,461,436,365,482,602,712,585,616,300,317,116
"G3600530","2012","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",25991,2205,1546,1120,1066,1212,1360,1429,2084,1420,2439,2899,3077,1322,1068,1084,660,"Madison County, New York",1023,608,586,433,397,425,519,447,617,549,689,642,609,408,355,381,298
"G3600550","2012","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",298715,25428,16590,15510,16497,14655,17045,12107,15259,14215,24125,29785,36744,23332,14344,13103,9976,"Monroe County, New York",3240,2564,1812,1601,1964,1572,1806,1175,1774,1509,2318,2638,2640,2058,1618,1389,1312
"G3600590","2012","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",441732,14019,9703,12919,12418,12912,13488,12600,14001,13050,22583,38794,54835,54564,39132,51795,64919,"Nassau County, New York",2732,1810,1484,1650,1588,1676,1805,1761,1821,1803,2249,2753,3879,3123,2592,3160,3271
"G3600610","2012","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",746686,76718,41003,34225,29589,22717,27520,20827,23228,20053,41984,63700,72564,62103,36656,51272,122527,"New York County, New York",7896,4525,3789,3591,3403,2586,3048,2793,2912,2390,4134,4888,5660,4385,3558,4278,6339
"G3600630","2012","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",88995,6703,5661,4814,4830,5942,5191,5075,3737,3214,8092,10275,9319,7088,4196,3160,1698,"Niagara County, New York",1882,985,1087,891,1127,1111,1035,832,763,744,1460,1311,1044,1227,947,787,555
"G3600650","2012","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",90571,8065,5438,6094,5435,4778,5538,3733,4908,3796,7727,10815,9906,5771,3181,2696,2690,"Oneida County, New York",1852,1038,737,1150,1006,914,898,693,944,804,1037,1363,1266,856,849,668,860
"G3600670","2012","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",185985,15568,10280,11425,9237,8511,9028,7687,8649,6891,17350,20549,21830,15383,9694,7781,6122,"Onondaga County, New York",2281,1723,1173,1229,1192,1268,1135,1063,1391,907,1982,2135,2056,1550,1424,1193,864
"G3600690","2012","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",44328,2111,2388,2518,3178,2590,2092,1915,1648,2395,4302,4397,5782,3946,2154,1922,990,"Ontario County, New York",1179,612,552,707,952,672,678,554,603,735,1065,898,1029,955,624,683,450
"G3600710","2012","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",125228,6660,5897,4886,5989,4819,5388,4419,4802,3682,9361,11791,17566,13138,9250,9143,8437,"Orange County, New York",2211,1072,1143,889,918,1070,1125,1010,923,791,1302,1475,1881,1545,1348,1211,1245
"G3600750","2012","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",45480,3420,2588,2470,2611,2403,3249,2502,2395,2582,3305,5290,5210,3647,1770,1410,628,"Oswego County, New York",1101,725,615,631,557,651,881,552,573,804,897,927,887,750,565,447,287
"G3600790","2012","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",34050,886,1169,779,1071,410,1777,693,853,799,2016,2844,4553,3944,3683,3783,4790,"Putnam County, New York",1195,474,598,405,584,217,635,331,413,347,653,785,833,942,707,884,881
"G3600810","2012","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",780349,60763,34576,42642,44227,37333,37196,34353,32543,32637,63196,81185,99172,69827,39276,43915,27508,"Queens County, New York",3618,4201,2572,3426,3221,2877,2772,2921,2572,2383,3521,3665,4232,3456,2330,2746,2059
"G3600830","2012","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",64581,3951,3171,2813,3411,2484,2395,3301,2493,2627,5245,7109,9809,5300,5029,3376,2067,"Rensselaer County, New York",1411,894,742,911,759,750,587,723,617,748,913,1113,1249,916,1012,922,508
"G3600850","2012","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",163468,12075,7136,5443,6814,5895,5078,5270,6255,4680,11289,16367,24493,19111,11802,13792,7968,"Richmond County, New York",1986,1719,1238,1119,1483,1305,1172,1178,1485,1103,1609,2275,2614,1771,1585,1776,969
"G3600870","2012","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",97934,4234,3921,4683,3014,2656,3550,2720,3567,2688,6033,7187,14228,9865,8448,10428,10712,"Rockland County, New York",1346,892,732,937,897,782,855,700,1065,673,1162,1113,1649,1254,1087,1267,1355
"G3600890","2012","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",42436,4287,2689,2757,2408,3036,2722,2524,1908,2066,3738,4268,4527,2381,1163,1046,916,"St. Lawrence County, New York",1495,1069,746,655,595,659,707,767,641,489,690,822,913,586,415,418,370
"G3600910","2012","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",87414,2580,2822,2971,4188,4767,3913,3200,2949,3228,7766,10471,11696,10054,6698,5717,4394,"Saratoga County, New York",1618,678,705,771,977,1092,898,1118,850,764,1358,1380,1457,1409,949,955,956
"G3600930","2012","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",57463,4061,3721,3088,3029,2519,2350,2598,2714,1457,4510,6935,7964,4951,2477,2960,2129,"Schenectady County, New York",1569,1010,1014,857,817,775,530,906,657,437,862,1007,1023,968,595,724,554
"G3601010","2012","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",41597,3145,2758,2342,2122,2870,1720,2525,2636,2363,3263,5327,4532,2497,1610,1087,800,"Steuben County, New York",960,634,570,515,477,688,433,569,606,525,628,766,740,448,551,361,394
"G3601030","2012","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",496353,18475,13781,14502,16001,14918,14581,14587,17344,14735,29481,45626,69591,60933,42802,54882,54114,"Suffolk County, New York",4954,1980,1755,1988,2102,1785,1727,1612,1982,1858,2406,3600,4192,3445,2740,3414,2991
"G3601050","2012","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",29222,2332,2066,2334,2103,1612,1168,1454,965,1446,2528,2844,3714,1832,923,1176,725,"Sullivan County, New York",1596,650,659,765,786,580,412,448,370,407,676,662,630,503,394,479,331
"G3601090","2012","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",38269,4642,1791,1330,2457,2174,1085,1712,1539,2434,2154,4457,3532,2778,2133,1581,2470,"Tompkins County, New York",1291,1129,610,721,740,792,410,605,569,669,559,1123,753,676,502,473,705
"G3601110","2012","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",70353,3817,3254,4360,4328,2927,3414,2809,3246,2547,5890,6951,10309,5937,4424,3183,2957,"Ulster County, New York",2266,826,821,877,1056,714,850,656,862,727,1044,1061,1238,1002,1043,706,701
"G3601130","2012","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",27530,1644,1441,1312,1882,1486,1155,1414,1070,907,3483,2839,3589,1565,1181,1714,848,"Warren County, New York",1242,613,520,469,641,501,450,420,485,376,797,721,654,432,383,581,378
"G3601170","2012","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",37027,2850,1448,1578,2102,2455,2369,2497,1687,2350,3285,3397,5017,2309,1913,1191,579,"Wayne County, New York",974,812,500,514,634,692,687,735,514,569,723,728,840,617,610,479,288
"G3601190","2012","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",340097,17782,11438,13948,14573,11029,12334,13242,10830,10235,22504,27872,37879,29639,21279,29951,55562,"Westchester County, New York",3059,2217,1799,1925,1694,1675,1778,1734,1593,1521,2420,2376,2939,2736,2054,2051,2912
"G3700010","2012","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",59520,4938,5517,4416,3191,4108,4310,3412,3058,2602,5513,4675,6358,2903,1571,1154,1794,"Alamance County, North Carolina",1890,877,1163,1062,847,1122,989,939,875,645,1242,877,1017,673,481,423,722
"G3700190","2012","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",46433,2782,2888,2821,2319,2322,3189,1790,2473,3123,4604,5587,5543,3084,1680,900,1328,"Brunswick County, North Carolina",2439,706,828,858,763,650,787,679,841,1025,992,1087,1072,718,696,359,889
"G3700210","2012","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",99152,8398,8678,5159,6085,6463,4511,5589,5998,4390,7835,10369,10908,6411,2570,2948,2840,"Buncombe County, North Carolina",2450,1556,1534,1085,1147,1351,1111,1179,1594,943,1384,1419,1496,1217,659,794,804
"G3700230","2012","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",33762,3156,3585,2133,2813,2539,1892,1412,1831,1415,3064,3368,3112,1542,757,700,443,"Burke County, North Carolina",1516,801,895,663,831,790,657,410,567,545,714,808,792,479,405,448,296
"G3700250","2012","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",64459,3389,3897,2725,3013,3210,3165,3501,2730,2664,5716,6961,10935,4802,3046,2476,2229,"Cabarrus County, North Carolina",1769,751,1093,934,791,928,1041,959,889,892,1300,1535,1599,1026,799,643,672
"G3700270","2012","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",33009,4712,4374,2612,2150,2193,1832,1313,1244,1627,2428,4181,2450,661,743,305,184,"Caldwell County, North Carolina",1150,1223,1069,818,701,676,580,602,411,549,602,950,595,331,418,280,181
"G3700310","2012","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",28346,1693,1548,1519,1309,1598,2469,1317,1359,1401,2109,2951,4287,2123,910,944,809,"Carteret County, North Carolina",1504,526,469,463,389,484,551,451,378,408,523,652,664,495,305,334,337
"G3700350","2012","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",59291,4451,3903,4262,4631,4073,4305,2720,3226,2502,5490,5982,5711,3366,1463,1734,1472,"Catawba County, North Carolina",1788,1197,942,1147,1056,1136,1093,953,1047,669,1145,1069,988,858,494,681,612
"G3700370","2012","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",26023,2003,1189,1587,2036,871,1167,603,1249,1121,2697,3134,3401,1772,977,1256,960,"Chatham County, North Carolina",1085,853,520,797,839,429,671,305,590,555,991,775,960,489,433,495,351
"G3700450","2012","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",36818,4729,3746,3168,3014,1564,2012,1747,1488,1581,3712,3516,3264,1539,1015,312,411,"Cleveland County, North Carolina",1275,1147,778,862,772,600,618,578,617,548,905,840,737,588,379,225,354
"G3700490","2012","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",40570,3835,2855,2225,2364,1685,1856,2085,1998,1924,4249,4750,5274,2175,1234,1092,969,"Craven County, North Carolina",1292,907,716,710,726,683,595,803,724,567,1175,944,984,656,592,422,402
"G3700510","2012","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",122446,9471,7062,6112,8341,7406,7758,7292,7755,6684,12979,13377,13339,6601,3179,3204,1886,"Cumberland County, North Carolina",1799,1216,1058,1000,1231,1194,992,1231,1141,1162,1562,1518,1353,1011,683,826,560
"G3700570","2012","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",63527,4943,4992,3110,3850,4178,3984,3641,3973,3018,6599,6654,6824,4092,1123,1275,1271,"Davidson County, North Carolina",2099,1103,951,938,1175,1201,860,931,1037,1075,1182,1410,969,1069,439,576,690
"G3700630","2012","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",113769,9588,5433,7059,5878,5332,6830,3624,6227,5705,8994,11372,12800,9488,5904,4766,4769,"Durham County, North Carolina",1857,1562,1190,1338,1262,1048,1458,983,1457,1175,1622,1665,1657,1586,1206,1019,1053
"G3700670","2012","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",141427,11268,10841,10426,9870,8650,8032,7611,7174,5889,10465,12947,13809,10560,4523,4033,5329,"Forsyth County, North Carolina",2466,1380,1621,1640,1532,1267,1157,1195,1132,1126,1499,1462,1662,1344,911,815,1074
"G3700710","2012","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",79973,7095,5764,5659,6142,5072,4877,4308,3465,4334,6365,7862,8309,5109,2608,1764,1240,"Gaston County, North Carolina",1509,1183,940,1109,1084,1006,1041,947,720,979,1271,1105,1144,890,705,474,349
"G3700810","2012","NC",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,,"05000US37081","Guilford County, North Carolina",199110,15988,10863,13940,13547,12596,11826,13263,11880,8116,15347,18238,21975,12693,6861,5849,6128,"Guilford County, North Carolina",2756,1958,1611,2072,1554,1755,1943,1984,1470,1420,1960,2010,2345,1502,1219,1075,941
"G3700850","2012","NC",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,,"05000US37085","Harnett County, North Carolina",41208,3216,3281,2649,2750,2520,2469,1998,1408,2030,2982,4544,5062,3121,1591,1041,546,"Harnett County, North Carolina",1246,499,775,572,630,511,668,524,415,703,645,810,901,670,488,361,313
"G3700890","2012","NC",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,,"05000US37089","Henderson County, North Carolina",44549,3511,2353,2449,2847,2745,3066,2725,2543,2519,4150,4920,5510,2679,1045,969,518,"Henderson County, North Carolina",1721,1030,772,799,856,732,853,802,665,703,1037,1046,980,804,438,504,307
"G3700970","2012","NC",,,"North Carolina","37","Iredell County","097",,,,,,,,,,,,,,,,,,"05000US37097","Iredell County, North Carolina",58660,5256,3528,2585,3259,3935,3553,2909,2517,2102,5508,6434,7133,3339,1887,2321,2394,"Iredell County, North Carolina",1900,1068,797,695,862,897,888,762,603,556,1232,960,1095,664,494,552,568
"G3701010","2012","NC",,,"North Carolina","37","Johnston County","101",,,,,,,,,,,,,,,,,,"05000US37101","Johnston County, North Carolina",60696,4381,4182,3251,4230,3234,2843,3308,3708,2616,4373,7463,9650,4014,1656,1363,424,"Johnston County, North Carolina",1917,1145,1039,1152,1081,946,738,1087,992,916,1161,1406,1710,1253,655,677,303
"G3701090","2012","NC",,,"North Carolina","37","Lincoln County","109",,,,,,,,,,,,,,,,,,"05000US37109","Lincoln County, North Carolina",31298,2802,2154,1241,1649,1948,1757,1242,2450,1489,2861,3153,3524,1670,1149,1273,936,"Lincoln County, North Carolina",939,906,575,468,572,675,675,434,782,549,728,827,779,603,389,624,423
"G3701190","2012","NC",,,"North Carolina","37","Mecklenburg County","119",,,,,,,,,,,,,,,,,,"05000US37119","Mecklenburg County, North Carolina",365887,26001,17609,14922,20647,16665,19302,19863,16856,15180,29127,36787,42673,29408,17818,18597,24432,"Mecklenburg County, North Carolina",3996,2594,2064,1823,2170,1726,2362,2512,1844,1869,2320,2604,3236,2597,1980,2049,1878
"G3701250","2012","NC",,,"North Carolina","37","Moore County","125",,,,,,,,,,,,,,,,,,"05000US37125","Moore County, North Carolina",37060,3373,1865,2357,2120,1861,2041,1442,2168,1361,3266,3062,4693,2950,1516,1441,1544,"Moore County, North Carolina",1753,905,770,686,746,630,705,527,780,532,851,880,1089,884,711,534,636
"G3701270","2012","NC",,,"North Carolina","37","Nash County","127",,,,,,,,,,,,,,,,,,"05000US37127","Nash County, North Carolina",36099,3681,2698,3121,2815,1397,1915,2439,2364,1340,3537,3514,2811,1648,1193,866,760,"Nash County, North Carolina",1405,962,684,848,783,587,724,873,751,530,913,870,776,558,499,530,353
"G3701290","2012","NC",,,"North Carolina","37","New Hanover County","129",,,,,,,,,,,,,,,,,,"05000US37129","New Hanover County, North Carolina",85092,6256,3791,5221,3913,4457,4598,4156,3698,4704,7880,8504,10633,8126,3397,2577,3181,"New Hanover County, North Carolina",2477,1204,1021,1271,1120,1278,1185,1254,1081,1146,1768,1451,1312,1396,965,702,864
"G3701330","2012","NC",,,"North Carolina","37","Onslow County","133",,,,,,,,,,,,,,,,,,"05000US37133","Onslow County, North Carolina",61842,3875,3185,2585,3308,4529,4798,3804,5607,5362,5318,6343,6726,3212,1151,1242,797,"Onslow County, North Carolina",1923,1007,1127,818,981,1181,1181,969,1500,1285,1366,1321,1204,772,504,487,362
"G3701350","2012","NC",,,"North Carolina","37","Orange County","135",,,,,,,,,,,,,,,,,,"05000US37135","Orange County, North Carolina",52139,5112,3011,1252,2844,2959,3392,2279,2743,1993,3187,3526,4195,4391,2902,3392,4961,"Orange County, North Carolina",1479,987,1004,562,781,928,834,805,878,733,737,879,847,1012,744,646,878
"G3701470","2012","NC",,,"North Carolina","37","Pitt County","147",,,,,,,,,,,,,,,,,,"05000US37147","Pitt County, North Carolina",69741,9184,4131,5232,5493,3960,4466,3027,3156,3506,5200,6513,6770,4766,2013,1405,919,"Pitt County, North Carolina",1559,1428,1107,1403,1354,1034,1206,977,859,1063,1256,1405,1500,1352,711,502,458
