GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G0500690","2019","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",27593,3156,3392,1365,1628,945,1634,1947,1505,1363,1689,2418,2899,1688,520,552,892,"Jefferson County, Arkansas",1255,1046,1101,627,839,605,722,849,569,692,695,832,723,687,317,400,515
"G0500850","2019","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",26052,1797,935,1234,757,940,861,1434,1560,594,2404,2574,3968,2342,1887,1828,937,"Lonoke County, Arkansas",1344,765,517,444,370,630,470,686,719,341,788,725,1107,685,652,643,387
"G0501190","2019","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",158000,10839,9370,7076,7802,8616,8440,10266,6104,7299,11407,18865,15301,14091,6906,8052,7566,"Pulaski County, Arkansas",3302,1879,2171,1608,1728,1905,1932,1891,1538,1950,2134,2351,1860,2040,1205,1384,1248
"G0501250","2019","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",45455,1456,2731,1342,2098,1346,2180,1241,2567,1809,3710,5607,5871,6468,2441,3166,1422,"Saline County, Arkansas",1550,699,1016,612,866,493,937,500,979,895,1283,1384,1107,1481,781,1020,614
"G0501310","2019","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",51384,3205,2737,3257,2985,4459,2726,2401,2152,2475,5744,3959,5903,3449,2574,1628,1730,"Sebastian County, Arkansas",1786,1216,854,1029,1059,1164,828,886,868,1166,1339,999,1307,970,1005,832,679
"G0501430","2019","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",89249,6737,3340,5506,4861,4919,4492,4678,4141,5376,6940,8222,9547,7231,4411,3784,5064,"Washington County, Arkansas",2141,1512,1087,1497,1549,1207,1499,1381,1202,1610,1347,1537,1667,1422,1269,1076,1376
"G0501450","2019","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",28621,1895,1808,2044,2766,1689,1746,1161,1653,676,2187,3335,2846,1932,1319,924,640,"White County, Arkansas",1565,642,705,862,896,592,759,680,551,431,661,1231,1058,775,689,571,353
"G0600010","2019","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",585632,24334,19977,12841,16111,13599,14257,11371,13986,12332,28855,39143,62451,62944,48522,74927,129982,"Alameda County, California",3709,2377,2587,1964,2199,1961,1999,1704,1924,1691,2740,3353,3471,4156,3382,4383,5152
"G0600070","2019","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",77651,4841,4402,3441,3627,4372,3800,2644,2654,2731,5541,7422,10529,6589,4250,4045,6763,"Butte County, California",1790,1025,1241,971,874,1292,942,670,756,819,1305,1611,1486,1289,1123,1043,1403
"G0600130","2019","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",399792,13301,11336,5971,10184,8087,10949,10103,8563,8800,19238,29407,50121,41140,34398,48633,89561,"Contra Costa County, California",2910,2238,2459,1367,1834,1746,1801,1683,1570,1557,2963,3144,3483,3381,3064,3777,3829
