GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G3600610","2019","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",768203,70589,34008,27730,19823,19278,20902,18186,17511,13583,31610,49851,74802,62289,45223,70185,192633,"New York County, New York",9298,5570,3760,3362,3121,2993,3415,3335,2941,2088,3742,4560,6360,5338,5135,5011,7470
"G3600630","2019","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",90625,7197,4407,3424,5085,3712,4793,3805,3241,5159,6435,8687,11945,8406,5467,5264,3598,"Niagara County, New York",1943,1550,1003,948,1226,1002,1064,802,879,1325,1295,1308,1689,1535,1103,1075,861
"G3600650","2019","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",90273,4248,5133,4662,5040,4365,3017,3755,4445,4336,7320,9352,11673,8338,4600,6102,3887,"Oneida County, New York",1959,854,1222,1134,1048,992,640,955,984,983,1501,1123,1543,1250,936,1283,691
"G3600670","2019","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",183218,14820,7904,8313,7046,6195,7189,8224,7424,8407,13225,18871,24076,16421,11453,11114,12536,"Onondaga County, New York",3028,1816,1194,1597,1182,1337,1292,1602,1424,1357,1839,2077,2268,1947,1335,1428,1490
"G3600690","2019","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",46025,2228,1569,1273,1624,2139,1640,1611,1762,1410,4876,5153,6218,4500,2881,3523,3618,"Ontario County, New York",1459,925,431,467,607,665,641,539,593,562,984,829,970,777,718,708,932
"G3600710","2019","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",131421,6619,5317,4839,5088,2380,3467,3641,4572,4144,7427,10522,18447,16269,10191,13466,15032,"Orange County, New York",2722,1566,1523,1084,1435,689,981,999,1202,1134,1397,1784,2090,2205,1918,1846,2025
"G3600750","2019","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",46640,1893,2760,2332,2845,1583,2341,2104,2166,1679,4051,4501,6846,5295,2627,2033,1584,"Oswego County, New York",1468,498,751,543,1031,480,693,741,717,530,1038,950,1290,1014,796,572,600
"G3600790","2019","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",34470,763,388,534,611,921,934,467,1365,542,1938,1682,5595,4860,3617,4339,5914,"Putnam County, New York",1417,410,256,421,387,433,448,282,637,308,617,689,1271,1165,867,1015,1169
"G3600810","2019","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",784552,44031,29207,24150,27529,28672,33383,25034,28601,28721,54510,73335,101044,81039,58321,74174,72801,"Queens County, New York",4746,3579,2967,2715,3050,3672,3338,2671,2798,3154,4499,4686,5286,4512,3862,4399,3833
"G3600830","2019","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",65790,3644,2154,2330,2213,2470,3339,1604,3495,2324,5227,5648,9466,7736,4359,6415,3366,"Rensselaer County, New York",1562,979,762,738,701,825,1072,659,1094,900,1220,1194,1557,1314,1022,1150,875
"G3600850","2019","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",166297,6432,5540,5274,4548,4341,5010,5273,6661,5412,9269,15109,16794,20747,14205,18741,22941,"Richmond County, New York",2678,1455,1418,1231,1475,1247,1339,1366,1635,1234,2042,2210,2183,2490,2313,2340,2732
"G3600870","2019","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",101424,3534,3037,3210,2775,2179,2513,2822,3367,2564,5144,7767,11118,12198,9043,11012,19141,"Rockland County, New York",1321,1182,800,934,787,775,940,771,977,902,1207,1487,1647,1785,1449,1400,1978
"G3600890","2019","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",42832,3657,2938,2354,2217,3001,1565,2314,1321,1489,2647,3923,5242,4305,2156,2357,1346,"St. Lawrence County, New York",1430,896,1095,662,679,933,547,819,414,519,721,891,1013,967,620,686,410
"G3600910","2019","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",93547,1834,3103,2050,2747,2568,3625,3760,3072,3218,6618,7924,11709,11432,8246,12215,9426,"Saratoga County, New York",2226,675,1163,633,853,792,1109,1073,1042,892,1457,1405,1718,1664,1300,1519,1334
"G3600930","2019","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",62534,2724,2758,2594,1994,2350,3480,2668,2090,2350,4985,6693,7083,7831,4310,4494,4130,"Schenectady County, New York",1508,871,919,805,849,878,913,878,600,658,1070,1406,1175,1544,941,848,983
"G3601010","2019","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",39283,2447,2001,2443,2513,1982,2153,1431,1830,1646,3510,3430,4597,3943,2735,1253,1369,"Steuben County, New York",1536,580,659,563,691,603,565,429,484,453,609,558,682,828,550,388,440
"G3601030","2019","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",499744,14721,9541,10029,12268,10975,12645,12071,13448,12041,27085,38629,59849,56123,49535,66478,94306,"Suffolk County, New York",4104,2170,1911,1767,1773,1908,2449,2120,2473,1748,2829,3725,4901,3637,3897,4279,3664
"G3601050","2019","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",28960,2464,1731,1015,1189,1114,1455,858,1222,1186,2173,2988,3899,2974,1444,2001,1247,"Sullivan County, New York",1694,826,745,444,556,510,768,381,504,604,750,1023,973,873,646,723,451
"G3601090","2019","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",40322,4057,1375,1674,1752,1899,1675,1606,2165,1448,2815,4425,3742,3485,1975,2348,3881,"Tompkins County, New York",1657,1011,584,729,734,719,596,625,857,600,1064,1093,1007,928,622,715,853
"G3601110","2019","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",69376,4025,3218,3432,3167,3115,2314,3749,2236,2110,4626,6256,9004,6098,5344,5893,4789,"Ulster County, New York",2070,1083,897,1218,949,992,679,1138,623,683,880,1278,1129,1163,1238,961,895
"G3601130","2019","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",29593,1527,1450,1217,940,1264,1599,1425,1559,833,2035,3354,3423,3045,1527,2199,2196,"Warren County, New York",1551,618,572,589,453,483,615,572,799,443,834,953,724,766,462,668,666
"G3601170","2019","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",36634,2583,1791,1086,1593,1974,2080,1097,1288,1718,2673,3791,5315,3931,2031,1796,1887,"Wayne County, New York",1245,879,689,482,510,918,772,446,515,581,776,913,1096,833,590,555,686
"G3601190","2019","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",355136,19309,11531,8031,8032,8794,9454,9089,10318,9411,15217,24765,38545,35263,24490,33939,88948,"Westchester County, New York",3238,2969,2179,1827,1481,2103,2037,1960,2070,1823,2170,2732,3759,2786,3114,2745,4007
"G3700010","2019","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",64316,3899,4272,3189,2030,3412,3583,2223,2549,2971,5012,8580,9383,4245,3498,2827,2643,"Alamance County, North Carolina",1763,977,1281,899,937,1145,910,725,674,1002,1170,1389,1554,878,929,752,637
"G3700190","2019","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",58385,2827,2706,1737,1598,2482,3132,2469,2396,2807,4958,6597,8541,5778,3944,3266,3147,"Brunswick County, North Carolina",2550,812,1038,602,573,806,815,766,746,775,1020,1286,1297,970,1085,779,831
"G3700210","2019","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",106741,4290,5408,6757,6171,5209,6027,4243,5695,4136,8880,11541,13481,8689,4767,5750,5697,"Buncombe County, North Carolina",3462,1117,1253,1639,1356,1334,1106,951,1266,1021,1615,2136,1802,1496,1039,1290,1311
"G3700230","2019","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",36634,2264,1795,2840,1982,2731,1629,2171,2225,1434,3462,4643,3601,2613,1393,969,882,"Burke County, North Carolina",1496,849,589,1093,780,897,608,793,933,568,824,1187,935,976,827,413,356
"G3700250","2019","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",68798,2903,2340,2309,2223,2218,2223,2507,3288,2870,5933,6775,9753,6314,5128,5232,6782,"Cabarrus County, North Carolina",1914,844,1084,900,613,895,933,917,1577,993,1435,1359,1806,1334,1207,1261,1315
"G3700270","2019","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",32513,1317,1761,2111,1901,2321,2596,1653,1297,1977,2016,3797,4926,2026,1428,992,394,"Caldwell County, North Carolina",1464,540,847,908,661,879,1181,766,589,704,672,1126,1225,821,540,602,280
"G3700310","2019","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",28962,1947,975,1357,1097,1679,1375,1721,1180,1211,1892,3249,3576,2811,1553,2009,1330,"Carteret County, North Carolina",1649,727,474,615,423,537,466,601,495,389,457,887,725,625,579,706,410
"G3700350","2019","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",62417,6092,2234,2239,3440,3882,2326,2800,4111,2800,4900,7212,7525,5163,2588,2053,3052,"Catawba County, North Carolina",1772,1463,673,697,896,1052,801,789,1321,886,1291,1375,1344,1032,1128,819,901
"G3700370","2019","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",30674,642,1370,2061,1821,1492,480,398,1733,1939,2022,3048,3529,2524,2109,2205,3301,"Chatham County, North Carolina",947,358,866,948,793,637,293,320,997,1083,824,959,1137,799,896,730,867
"G3700450","2019","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",30599,2949,1896,1895,1963,1464,1890,983,2265,1310,2923,2844,3542,1844,984,1051,796,"Cleveland County, North Carolina",1728,760,839,825,763,524,801,454,713,596,917,900,838,640,500,523,429
"G3700490","2019","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",42221,2118,1454,2275,2438,3705,3109,1932,1803,1660,2832,3492,5147,3911,2864,1679,1802,"Craven County, North Carolina",1600,830,593,930,895,1253,1088,749,666,813,804,1048,1255,1240,1000,623,641
"G3700510","2019","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",128135,11498,6524,6018,7765,7081,7891,7671,7623,7683,10087,12492,14375,8914,5554,4037,2922,"Cumberland County, North Carolina",2243,1454,1090,1130,1312,1226,1376,1166,1351,1291,1455,1510,1804,1435,916,831,749
"G3700570","2019","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",69938,5293,3128,3116,4051,4582,4806,2186,2841,3151,5235,8932,9370,5768,2558,2752,2169,"Davidson County, North Carolina",1667,1214,1096,1358,922,1535,1134,659,863,893,1253,1566,1680,1244,893,882,783
"G3700630","2019","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",131140,7680,4828,4003,4543,7258,4906,5618,5903,5877,10086,12315,18883,11632,8094,9246,10268,"Durham County, North Carolina",2711,1461,1447,1446,1358,1833,1413,1674,1572,1409,2006,2091,2556,1977,1613,1756,1814
"G3700670","2019","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",148151,11426,6496,7444,10275,9731,6476,7207,7728,4400,11179,14575,18568,10013,7654,7209,7770,"Forsyth County, North Carolina",2664,2304,1364,1865,1910,1826,1302,1630,1511,1004,1915,2286,2385,1403,1270,1188,1116
"G3700690","2019","NC",,,"North Carolina","37","Franklin County","069",,,,,,,,,,,,,,,,,,"05000US37069","Franklin County, North Carolina",26720,1023,988,928,1160,1137,599,1211,2235,1672,2870,2819,3909,2471,1298,1793,607,"Franklin County, North Carolina",1244,510,825,575,523,626,344,594,1193,736,948,915,1103,848,590,731,330
"G3700710","2019","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",85705,4448,4816,4629,4403,3899,4393,4915,3669,3306,6604,9443,10868,8968,4076,4216,3052,"Gaston County, North Carolina",1578,958,983,1047,944,984,995,1083,1097,776,1261,1316,1568,1706,849,1122,670
"G3700810","2019","NC",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,,"05000US37081","Guilford County, North Carolina",206950,15275,9608,9507,10456,8264,11923,10087,10679,9852,13837,21253,25559,19334,9444,10895,10977,"Guilford County, North Carolina",3305,2626,1837,1933,1830,1755,2291,1747,1786,2239,1874,2903,2454,2284,1716,1515,1340
"G3700850","2019","NC",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,,"05000US37085","Harnett County, North Carolina",46416,2907,2579,2410,3312,2876,2038,2306,1697,976,3315,5843,7003,4480,1953,1655,1066,"Harnett County, North Carolina",1461,839,785,848,935,849,631,860,591,353,920,1031,1214,980,574,556,438
"G3700890","2019","NC",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,,"05000US37089","Henderson County, North Carolina",51115,1448,2530,3107,2301,2257,2597,2215,2170,2103,3152,7387,7920,4489,2501,2472,2466,"Henderson County, North Carolina",1508,560,1150,1015,913,802,1094,857,1056,904,876,1452,1268,1062,807,724,772
"G3700970","2019","NC",,,"North Carolina","37","Iredell County","097",,,,,,,,,,,,,,,,,,"05000US37097","Iredell County, North Carolina",68145,2101,2288,2408,3313,3002,3509,2796,2592,2064,5768,7192,10292,5819,4922,4521,5558,"Iredell County, North Carolina",1701,698,774,714,897,802,974,857,644,697,1224,1213,1486,1194,1201,846,941
"G3701010","2019","NC",,,"North Carolina","37","Johnston County","101",,,,,,,,,,,,,,,,,,"05000US37101","Johnston County, North Carolina",73567,5198,2735,3094,3061,3365,2523,2631,4971,3065,5545,6013,9585,8974,4534,3727,4546,"Johnston County, North Carolina",1982,1600,1096,1204,902,1251,853,840,1544,890,1449,1374,1934,2025,1111,1027,1413
"G3701090","2019","NC",,,"North Carolina","37","Lincoln County","109",,,,,,,,,,,,,,,,,,"05000US37109","Lincoln County, North Carolina",34418,1667,1655,1408,287,1941,2086,1413,860,1543,1989,4129,4524,3136,1246,4160,2374,"Lincoln County, North Carolina",1246,823,806,715,222,898,768,622,572,819,621,1196,1039,846,458,1294,604
"G3701190","2019","NC",,,"North Carolina","37","Mecklenburg County","119",,,,,,,,,,,,,,,,,,"05000US37119","Mecklenburg County, North Carolina",426313,18975,14567,13374,14327,14352,20420,17695,21621,15656,37527,41458,55820,39622,25145,29333,46421,"Mecklenburg County, North Carolina",4517,2591,2257,1909,2172,2450,2552,2236,2583,2284,3337,3488,3866,3096,2789,2535,3005
"G3701250","2019","NC",,,"North Carolina","37","Moore County","125",,,,,,,,,,,,,,,,,,"05000US37125","Moore County, North Carolina",41530,2159,1388,2228,2227,1213,2410,1939,1488,1055,3245,5191,5982,4021,2010,2656,2318,"Moore County, North Carolina",1339,769,615,878,896,570,966,782,517,605,996,1199,1236,1146,728,1044,758
"G3701270","2019","NC",,,"North Carolina","37","Nash County","127",,,,,,,,,,,,,,,,,,"05000US37127","Nash County, North Carolina",37574,2932,2238,2041,2276,2582,1221,2222,1090,1764,4396,3689,3954,3296,1822,1239,812,"Nash County, North Carolina",1750,1432,866,768,1009,1068,578,880,624,816,1345,928,1185,1036,691,562,434
"G3701290","2019","NC",,,"North Carolina","37","New Hanover County","129",,,,,,,,,,,,,,,,,,"05000US37129","New Hanover County, North Carolina",100189,7092,4335,3876,6256,3600,4337,4758,5149,5489,7439,9124,10515,8863,5935,6096,7325,"New Hanover County, North Carolina",2499,1391,1216,1040,1646,1186,1504,1310,1509,1598,1844,1753,1795,1398,1263,1018,1300
"G3701330","2019","NC",,,"North Carolina","37","Onslow County","133",,,,,,,,,,,,,,,,,,"05000US37133","Onslow County, North Carolina",63604,5343,1191,2829,4449,2796,3614,4234,2562,5155,6244,6415,7342,5079,1884,3216,1251,"Onslow County, North Carolina",2606,2034,561,1244,1435,1149,1091,1370,840,1543,2094,1653,2009,1230,940,1053,603
"G3701350","2019","NC",,,"North Carolina","37","Orange County","135",,,,,,,,,,,,,,,,,,"05000US37135","Orange County, North Carolina",55259,4784,1735,821,2002,2075,2046,2206,2235,2303,4028,3593,5980,4480,3825,5386,7760,"Orange County, North Carolina",1600,1284,732,458,772,865,795,929,778,936,1080,881,1011,1012,1000,991,1108
"G3701470","2019","NC",,,"North Carolina","37","Pitt County","147",,,,,,,,,,,,,,,,,,"05000US37147","Pitt County, North Carolina",70926,6017,3844,3932,3684,3034,3009,2669,3410,3144,7822,7145,7885,6416,2980,2803,3132,"Pitt County, North Carolina",2307,1605,1349,1332,1134,976,1148,800,1080,1292,1782,1549,1426,1517,903,925,905
"G3701510","2019","NC",,,"North Carolina","37","Randolph County","151",,,,,,,,,,,,,,,,,,"05000US37151","Randolph County, North Carolina",56117,3676,3126,3907,2940,2492,2929,3073,2874,3212,6073,6219,7626,3818,1815,1816,521,"Randolph County, North Carolina",1793,1089,1014,999,947,785,1032,1046,791,1115,1633,1386,1224,1005,819,757,302
"G3701550","2019","NC",,,"North Carolina","37","Robeson County","155",,,,,,,,,,,,,,,,,,"05000US37155","Robeson County, North Carolina",46272,7565,4436,2897,3159,2812,2244,2567,2922,1978,2696,4001,4113,2702,676,1046,458,"Robeson County, North Carolina",863,984,802,620,636,589,528,648,681,574,695,734,760,597,295,368,279
"G3701570","2019","NC",,,"North Carolina","37","Rockingham County","157",,,,,,,,,,,,,,,,,,"05000US37157","Rockingham County, North Carolina",38462,3000,3913,2352,2799,2102,1952,2018,2072,1505,3666,3696,4627,2356,920,798,686,"Rockingham County, North Carolina",1483,913,1090,848,934,798,662,971,832,595,1125,814,1010,773,400,342,388
"G3701590","2019","NC",,,"North Carolina","37","Rowan County","159",,,,,,,,,,,,,,,,,,"05000US37159","Rowan County, North Carolina",55241,2419,3028,3102,4414,2977,2421,3279,1963,2787,5305,6572,7096,4395,1883,2027,1573,"Rowan County, North Carolina",1463,880,958,1077,1250,913,820,914,708,902,1426,1168,1376,1063,642,734,599
"G3701610","2019","NC",,,"North Carolina","37","Rutherford County","161",,,,,,,,,,,,,,,,,,"05000US37161","Rutherford County, North Carolina",27970,1201,2237,1089,2681,1750,1843,1516,2124,1262,2705,2417,2920,1822,737,586,1080,"Rutherford County, North Carolina",1392,579,898,553,1000,868,726,738,1001,558,1049,946,1111,906,479,316,513
"G3701710","2019","NC",,,"North Carolina","37","Surry County","171",,,,,,,,,,,,,,,,,,"05000US37171","Surry County, North Carolina",28408,2774,1631,2175,2314,1365,844,1114,1076,1074,2354,2669,3885,2617,1360,429,727,"Surry County, North Carolina",1215,876,599,753,701,531,341,401,419,528,753,612,974,735,511,224,285
"G3701790","2019","NC",,,"North Carolina","37","Union County","179",,,,,,,,,,,,,,,,,,"05000US37179","Union County, North Carolina",77954,2542,1672,2126,2532,2408,2417,1944,2677,2941,5622,7363,10350,9346,5293,7386,11335,"Union County, North Carolina",1511,742,697,768,878,803,757,678,963,898,1146,1351,1387,1340,833,1228,1294
"G3701830","2019","NC",,,"North Carolina","37","Wake County","183",,,,,,,,,,,,,,,,,,"05000US37183","Wake County, North Carolina",419361,15302,8730,12996,12090,14593,15596,12424,16383,14204,27224,38307,55028,45041,34884,47055,49504,"Wake County, North Carolina",3766,2406,1983,2678,2047,2412,2365,1845,2575,2349,2488,3707,4032,3624,2985,3754,3305
"G3701910","2019","NC",,,"North Carolina","37","Wayne County","191",,,,,,,,,,,,,,,,,,"05000US37191","Wayne County, North Carolina",48482,4183,2851,2126,2193,2809,3600,3657,3041,2845,4942,3438,6725,2923,1040,1257,852,"Wayne County, North Carolina",1541,1121,973,1009,1048,1009,1036,1293,876,1094,1177,1050,1349,840,548,556,439
"G3701930","2019","NC",,,"North Carolina","37","Wilkes County","193",,,,,,,,,,,,,,,,,,"05000US37193","Wilkes County, North Carolina",28376,2226,1152,2249,2590,1446,1564,2102,1279,982,1889,2747,3206,2081,1541,979,343,"Wilkes County, North Carolina",1523,786,505,864,806,559,711,774,631,516,711,789,908,829,775,606,258
"G3701950","2019","NC",,,"North Carolina","37","Wilson County","195",,,,,,,,,,,,,,,,,,"05000US37195","Wilson County, North Carolina",32384,4371,3026,2058,2134,1949,1192,2022,946,1259,1536,2692,2820,2588,1478,1455,858,"Wilson County, North Carolina",1354,1425,1210,823,921,896,648,814,507,611,544,915,843,727,702,882,428
"G3800150","2019","ND",,,"North Dakota","38","Burleigh County","015",,,,,,,,,,,,,,,,,,"05000US38015","Burleigh County, North Dakota",38438,1526,1833,1102,1398,1410,1151,1460,1458,1568,3433,3539,4831,4848,3308,2505,3068,"Burleigh County, North Dakota",1461,668,739,451,567,863,519,735,702,613,1055,977,953,1164,1023,734,652
"G3800170","2019","ND",,,"North Dakota","38","Cass County","017",,,,,,,,,,,,,,,,,,"05000US38017","Cass County, North Dakota",78736,4884,3953,2824,3052,3061,4235,3184,3438,2709,6705,8083,10407,7073,4624,4803,5701,"Cass County, North Dakota",1627,1531,1330,992,997,983,1343,1123,1118,986,1528,1626,1964,1395,1278,1263,1481
"G3800350","2019","ND",,,"North Dakota","38","Grand Forks County","035",,,,,,,,,,,,,,,,,,"05000US38035","Grand Forks County, North Dakota",31506,2232,1409,1458,2254,2110,2090,372,1269,690,3280,3187,4029,2436,2039,1237,1414,"Grand Forks County, North Dakota",911,791,857,697,979,979,809,248,586,369,943,837,1019,704,578,565,532
"G3801010","2019","ND",,,"North Dakota","38","Ward County","101",,,,,,,,,,,,,,,,,,"05000US38101","Ward County, North Dakota",28908,998,1032,1099,681,807,1619,1625,1576,1123,1690,2808,5227,3710,2175,1446,1292,"Ward County, North Dakota",1521,591,583,608,434,596,905,818,760,638,593,763,1015,1086,701,497,571
"G3900030","2019","OH",,,"Ohio","39","Allen County","003",,,,,,,,,,,,,,,,,,"05000US39003","Allen County, Ohio",40460,2185,1479,1764,1780,2201,2106,2171,2011,1792,2551,6151,7057,3041,2098,1001,1072,"Allen County, Ohio",1224,713,548,550,636,766,563,717,689,748,649,1194,1075,716,717,420,416
"G3900070","2019","OH",,,"Ohio","39","Ashtabula County","007",,,,,,,,,,,,,,,,,,"05000US39007","Ashtabula County, Ohio",39490,2981,2041,2984,2336,3250,2392,1907,1945,975,3373,4756,4401,2103,1832,1346,868,"Ashtabula County, Ohio",1420,786,684,1137,749,997,769,702,695,318,843,1053,914,850,630,577,324
"G3900090","2019","OH",,,"Ohio","39","Athens County","009",,,,,,,,,,,,,,,,,,"05000US39009","Athens County, Ohio",22659,2422,1755,1502,841,1343,1662,1235,963,486,1561,2184,2262,1813,1090,1037,503,"Athens County, Ohio",1283,682,693,635,376,551,650,556,534,300,585,662,653,539,475,500,293
"G3900130","2019","OH",,,"Ohio","39","Belmont County","013",,,,,,,,,,,,,,,,,,"05000US39013","Belmont County, Ohio",25651,1610,1389,922,1369,1474,1604,1735,1381,1388,2325,3021,2313,1972,1126,942,1080,"Belmont County, Ohio",1482,546,519,376,590,560,713,627,562,576,645,837,727,726,498,381,434
"G3900170","2019","OH",,,"Ohio","39","Butler County","017",,,,,,,,,,,,,,,,,,"05000US39017","Butler County, Ohio",140141,8832,4518,4375,6088,4549,5876,5695,5558,4297,11299,13919,21041,13966,8001,12633,9494,"Butler County, Ohio",2045,1776,1093,1191,1193,1158,1082,1113,1391,1016,1708,1825,2447,1880,1498,1645,1553
"G3900230","2019","OH",,,"Ohio","39","Clark County","023",,,,,,,,,,,,,,,,,,"05000US39023","Clark County, Ohio",54406,4194,2356,3028,2483,3429,3670,2515,3101,2351,4333,5820,6762,4067,2609,2457,1231,"Clark County, Ohio",1390,939,668,948,706,797,818,773,711,601,843,1050,1026,976,837,697,368
"G3900250","2019","OH",,,"Ohio","39","Clermont County","025",,,,,,,,,,,,,,,,,,"05000US39025","Clermont County, Ohio",80041,3153,2738,3174,3621,2737,2424,2472,5173,2934,6909,7639,9411,8338,6480,6674,6164,"Clermont County, Ohio",1391,1011,900,958,1134,1044,732,789,1274,784,1413,1416,1352,1349,1196,1118,1209
"G3900290","2019","OH",,,"Ohio","39","Columbiana County","029",,,,,,,,,,,,,,,,,,"05000US39029","Columbiana County, Ohio",40560,2969,2220,1427,2522,1862,2404,1522,1519,1970,4089,4771,5928,3994,1751,1017,595,"Columbiana County, Ohio",1529,826,676,458,803,651,824,532,567,766,866,1186,1027,850,561,428,258
"G3900350","2019","OH",,,"Ohio","39","Cuyahoga County","035",,,,,,,,,,,,,,,,,,"05000US39035","Cuyahoga County, Ohio",549471,46704,31517,28294,28676,25817,28524,23754,27117,20041,46999,52805,64072,39310,29715,26494,29632,"Cuyahoga County, Ohio",4331,3407,2738,2919,3116,2436,3011,2031,2641,2283,3317,3540,3120,2503,2437,2271,2372
"G3900410","2019","OH",,,"Ohio","39","Delaware County","041",,,,,,,,,,,,,,,,,,"05000US39041","Delaware County, Ohio",73290,1579,813,2090,2095,1927,2011,1380,1577,2713,3600,4789,8620,8723,7511,9465,14397,"Delaware County, Ohio",1137,706,577,804,806,852,634,762,539,905,992,1081,1423,1488,1365,1427,1571
"G3900430","2019","OH",,,"Ohio","39","Erie County","043",,,,,,,,,,,,,,,,,,"05000US39043","Erie County, Ohio",30308,2066,890,1647,630,1251,1377,1562,1855,1074,2648,3175,4871,3433,1561,1439,829,"Erie County, Ohio",1638,804,457,691,462,676,488,715,665,403,872,815,1049,926,568,719,355
"G3900450","2019","OH",,,"Ohio","39","Fairfield County","045",,,,,,,,,,,,,,,,,,"05000US39045","Fairfield County, Ohio",59031,1652,1786,1938,2778,2545,3014,2059,2078,1874,4917,6448,8146,7346,3970,4327,4153,"Fairfield County, Ohio",1166,712,708,661,987,739,805,712,667,693,1130,1080,1311,1636,1321,885,1118
