GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G2901650","2015","MO",,,"Missouri","29","Platte County","165",,,,,,,,,,,,,,,,,,"05000US29165","Platte County, Missouri",38786,2031,901,907,1808,1489,1680,1489,1299,1235,3386,3980,5718,4912,2774,2696,2481,"Platte County, Missouri",679,872,385,418,808,649,652,576,521,555,794,911,1005,1059,932,753,747
"G2901830","2015","MO",,,"Missouri","29","St. Charles County","183",,,,,,,,,,,,,,,,,,"05000US29183","St. Charles County, Missouri",142900,4879,2547,3906,5318,5616,4876,5252,5920,6308,11978,16107,23272,16609,10805,11767,7740,"St. Charles County, Missouri",1635,1089,767,909,1226,1009,1110,993,1284,1159,1894,1854,1744,1836,1431,1513,1080
"G2901870","2015","MO",,,"Missouri","29","St. Francois County","187",,,,,,,,,,,,,,,,,,"05000US29187","St. Francois County, Missouri",24741,1379,1815,1411,1825,1406,1901,1333,1692,1545,2050,2620,2214,2152,458,757,183,"St. Francois County, Missouri",1503,653,770,663,757,597,572,694,759,598,701,907,804,927,303,503,181
"G2901890","2015","MO",,,"Missouri","29","St. Louis County","189",,,,,,,,,,,,,,,,,,"05000US29189","St. Louis County, Missouri",398948,19877,15632,15916,19625,17336,20698,17660,17083,17167,32544,40065,48961,35802,20998,25646,33938,"St. Louis County, Missouri",4192,2370,2084,2065,2318,2434,2563,1868,2225,2141,2906,3613,3386,2624,2061,2637,2119
"G2905100","2015","MO",,,"Missouri","29","St. Louis city","510",,,,,,,,,,,,,,,,,,"05000US29510","St. Louis city, Missouri",141312,17999,10903,10054,9878,8968,7756,7367,6013,5793,10643,12209,13222,9124,3416,3857,4110,"St. Louis city, Missouri",2891,2007,1523,1419,1422,1461,1282,1283,1081,976,1469,1502,1644,1307,818,840,941
"G3000130","2015","MT",,,"Montana","30","Cascade County","013",,,,,,,,,,,,,,,,,,"05000US30013","Cascade County, Montana",34375,3012,2565,1485,2582,2307,1968,1562,1447,2127,3177,3030,2937,2346,1352,1258,1220,"Cascade County, Montana",941,833,730,516,779,726,578,555,478,611,815,609,617,654,521,642,472
"G3000290","2015","MT",,,"Montana","30","Flathead County","029",,,,,,,,,,,,,,,,,,"05000US30029","Flathead County, Montana",37307,2240,2412,2137,3136,1811,2563,2218,1161,1628,2913,4337,4452,1893,1291,1153,1962,"Flathead County, Montana",1596,800,852,694,949,689,874,867,499,691,924,1077,1149,575,525,527,762
"G3000310","2015","MT",,,"Montana","30","Gallatin County","031",,,,,,,,,,,,,,,,,,"05000US30031","Gallatin County, Montana",40692,2678,1366,1266,2337,1561,1798,3056,1827,1618,4089,3908,4827,4012,1957,2140,2252,"Gallatin County, Montana",1138,746,503,512,797,486,585,885,625,594,1151,913,886,975,663,531,505
"G3000490","2015","MT",,,"Montana","30","Lewis and Clark County","049",,,,,,,,,,,,,,,,,,"05000US30049","Lewis and Clark County, Montana",27312,1763,893,929,808,1502,1577,1548,1786,984,1958,3399,4145,3057,1324,1039,600,"Lewis and Clark County, Montana",985,761,476,461,370,582,694,596,648,359,569,929,906,840,579,377,373
"G3000630","2015","MT",,,"Montana","30","Missoula County","063",,,,,,,,,,,,,,,,,,"05000US30063","Missoula County, Montana",47910,4733,2918,2832,2998,2346,3139,3117,2392,1580,4295,4239,5602,2686,2320,1098,1615,"Missoula County, Montana",910,1135,883,943,1002,778,1177,969,891,583,1116,884,1115,844,774,471,546
"G3001110","2015","MT",,,"Montana","30","Yellowstone County","111",,,,,,,,,,,,,,,,,,"05000US30111","Yellowstone County, Montana",62847,2503,2661,3419,3031,2481,3291,4033,3628,1300,6342,8497,8598,5139,3014,2309,2601,"Yellowstone County, Montana",1230,779,826,928,846,660,743,1229,1114,446,1208,1450,1350,1103,754,644,646
"G3100550","2015","NE",,,"Nebraska","31","Douglas County","055",,,,,,,,,,,,,,,,,,"05000US31055","Douglas County, Nebraska",212285,14209,9084,9133,11783,10416,9820,10614,8950,8874,15689,21848,25465,21452,11717,10705,12526,"Douglas County, Nebraska",2272,1885,1089,1233,1474,1596,1260,1264,1170,1167,1913,1954,2090,1582,1593,1132,1327
"G3101090","2015","NE",,,"Nebraska","31","Lancaster County","109",,,,,,,,,,,,,,,,,,"05000US31109","Lancaster County, Nebraska",120671,7176,6559,5958,6563,6316,5814,5909,5848,4624,10148,13101,15835,11351,6368,4830,4271,"Lancaster County, Nebraska",1696,1327,1031,1276,1205,1258,1163,1151,1160,920,1417,1471,1572,1346,1057,860,839
"G3101530","2015","NE",,,"Nebraska","31","Sarpy County","153",,,,,,,,,,,,,,,,,,"05000US31153","Sarpy County, Nebraska",64495,1211,1540,1776,2420,2030,3864,2615,2921,2302,4661,7642,10612,7219,5118,5921,2643,"Sarpy County, Nebraska",977,438,571,546,660,669,961,714,782,628,1003,1010,1358,933,1024,882,665
"G3200030","2015","NV",,,"Nevada","32","Clark County","003",,,,,,,,,,,,,,,,,,"05000US32003","Clark County, Nevada",740966,50620,34213,35793,41822,40732,45644,37732,35466,35638,60318,80962,95415,57610,29780,31450,27771,"Clark County, Nevada",6224,3309,2697,2590,3511,2700,3387,2702,2868,2975,3537,4330,4950,3678,2486,2554,2105
"G3200310","2015","NV",,,"Nevada","32","Washoe County","031",,,,,,,,,,,,,,,,,,"05000US32031","Washoe County, Nevada",172751,9167,7681,8445,9014,7955,8537,8917,10531,7913,11696,20956,22730,14799,7640,8519,8251,"Washoe County, Nevada",2212,1483,1522,1284,1347,1385,1493,1517,1787,1490,1656,2257,2349,1533,1215,1020,1326
"G3300050","2015","NH",,,"New Hampshire","33","Cheshire County","005",,,,,,,,,,,,,,,,,,"05000US33005","Cheshire County, New Hampshire",29657,1685,1049,1450,1470,1175,1578,1678,1242,790,2164,3285,4962,2370,1566,1463,1730,"Cheshire County, New Hampshire",1053,671,525,554,559,459,763,565,479,381,671,701,973,612,550,489,663
"G3300090","2015","NH",,,"New Hampshire","33","Grafton County","009",,,,,,,,,,,,,,,,,,"05000US33009","Grafton County, New Hampshire",35380,2523,1480,1600,1699,1048,2135,1330,1608,1661,3093,3595,4564,2709,1638,1545,3152,"Grafton County, New Hampshire",1494,900,668,472,585,344,705,451,526,631,908,806,965,698,508,442,747
"G3300110","2015","NH",,,"New Hampshire","33","Hillsborough County","011",,,,,,,,,,,,,,,,,,"05000US33011","Hillsborough County, New Hampshire",156678,6107,4731,5094,6536,4787,6047,5947,7317,5164,10808,16243,23651,16794,10407,14261,12784,"Hillsborough County, New Hampshire",1842,1242,1070,1091,1102,1085,1309,1142,1529,1009,1569,1818,2320,1755,1474,1715,1718
"G3300130","2015","NH",,,"New Hampshire","33","Merrimack County","013",,,,,,,,,,,,,,,,,,"05000US33013","Merrimack County, New Hampshire",55235,2324,2122,2121,2500,2342,2530,1814,1911,2718,3440,6541,8397,5301,3786,3976,3412,"Merrimack County, New Hampshire",1560,766,741,709,607,569,737,665,507,709,753,1146,1054,827,794,783,680
"G3300150","2015","NH",,,"New Hampshire","33","Rockingham County","015",,,,,,,,,,,,,,,,,,"05000US33015","Rockingham County, New Hampshire",118789,2810,2463,3144,3482,2740,3580,3640,4354,3671,8780,10591,17192,17861,9880,12212,12389,"Rockingham County, New Hampshire",1694,835,658,917,1051,822,816,911,1147,1004,1397,1572,1768,1727,1463,1570,1549
"G3300170","2015","NH",,,"New Hampshire","33","Strafford County","017",,,,,,,,,,,,,,,,,,"05000US33017","Strafford County, New Hampshire",47503,1756,2061,3121,2132,2773,1453,2424,2106,1389,3935,4990,6345,4997,3184,3100,1737,"Strafford County, New Hampshire",1389,637,754,934,859,985,556,951,799,729,999,1133,1097,1120,911,850,556
"G3400010","2015","NJ",,,"New Jersey","34","Atlantic County","001",,,,,,,,,,,,,,,,,,"05000US34001","Atlantic County, New Jersey",101813,6023,4936,5874,4398,5503,5845,4274,5104,5358,8649,7897,11532,9194,5093,6433,5700,"Atlantic County, New Jersey",2579,1171,1177,1092,1120,1135,1327,1014,1121,1280,1662,1495,1710,1277,1327,1183,1138
"G3400030","2015","NJ",,,"New Jersey","34","Bergen County","003",,,,,,,,,,,,,,,,,,"05000US34003","Bergen County, New Jersey",336675,15705,8750,10153,10576,8449,11867,10059,9648,8761,21621,29340,36687,35692,28456,37619,53292,"Bergen County, New Jersey",2646,2064,1440,1578,1382,1329,1994,1537,1692,1602,2224,2678,3149,2583,2410,2740,3690
"G3400050","2015","NJ",,,"New Jersey","34","Burlington County","005",,,,,,,,,,,,,,,,,,"05000US34005","Burlington County, New Jersey",163505,6792,4473,4221,6734,4923,7179,5532,7778,6539,11416,16307,22898,18641,12285,14000,13787,"Burlington County, New Jersey",2419,1218,1267,895,1284,759,1372,1172,1152,1376,1335,1806,2029,1790,1278,1198,1476
"G3400070","2015","NJ",,,"New Jersey","34","Camden County","007",,,,,,,,,,,,,,,,,,"05000US34007","Camden County, New Jersey",185113,14034,7725,8201,7505,7267,7320,7481,7258,8527,12122,15864,23306,19350,13859,13130,12164,"Camden County, New Jersey",2707,1841,1548,1335,1159,1388,1291,1433,1342,1545,1545,2013,2223,2068,1731,1615,1595
"G3400090","2015","NJ",,,"New Jersey","34","Cape May County","009",,,,,,,,,,,,,,,,,,"05000US34009","Cape May County, New Jersey",38708,1936,1659,2063,2082,1756,1876,1676,1810,2233,2982,3689,5496,3242,1776,2396,2036,"Cape May County, New Jersey",2290,597,538,664,644,550,662,621,739,698,789,871,826,758,522,610,448
"G3400110","2015","NJ",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,,"05000US34011","Cumberland County, New Jersey",50380,4891,2088,2729,2305,2668,2545,2852,2024,2350,4205,5361,5859,4498,3205,1699,1101,"Cumberland County, New Jersey",1347,1199,629,755,647,928,819,826,571,832,884,1064,1138,948,871,504,538
"G3400130","2015","NJ",,,"New Jersey","34","Essex County","013",,,,,,,,,,,,,,,,,,"05000US34013","Essex County, New Jersey",279874,28337,17159,15645,14973,14798,12879,10711,10036,9269,18937,22158,26764,20452,12645,16974,28137,"Essex County, New Jersey",2726,2563,2028,1940,1938,1830,1544,1643,1713,1582,2058,2392,2300,2025,1508,1693,1771
"G3400150","2015","NJ",,,"New Jersey","34","Gloucester County","015",,,,,,,,,,,,,,,,,,"05000US34015","Gloucester County, New Jersey",103876,3787,3412,3058,5387,3282,4105,3366,4195,2941,6260,10238,16554,11651,7624,9993,8023,"Gloucester County, New Jersey",1937,875,835,739,1209,1018,970,782,914,815,1246,1368,1656,1647,1360,1566,1421
"G3400170","2015","NJ",,,"New Jersey","34","Hudson County","017",,,,,,,,,,,,,,,,,,"05000US34017","Hudson County, New Jersey",255508,23376,12301,12105,12688,10485,10639,8872,9794,8965,17201,24611,26912,23199,14265,18895,21200,"Hudson County, New Jersey",2367,2313,1589,1436,1979,1854,1742,1536,1517,1608,2152,2693,2341,2297,1613,1931,1973
"G3400190","2015","NJ",,,"New Jersey","34","Hunterdon County","019",,,,,,,,,,,,,,,,,,"05000US34019","Hunterdon County, New Jersey",47057,1920,623,1453,1275,1072,1005,1100,686,737,2883,3870,5729,5919,3677,5410,9698,"Hunterdon County, New Jersey",1035,793,348,636,546,378,370,482,402,418,754,969,985,977,948,1047,1300
"G3400210","2015","NJ",,,"New Jersey","34","Mercer County","021",,,,,,,,,,,,,,,,,,"05000US34021","Mercer County, New Jersey",127965,7291,3922,6407,4267,4197,5536,5599,4547,3478,8554,11732,16158,10728,9272,10880,15397,"Mercer County, New Jersey",2274,1198,763,1358,819,987,1276,1273,1064,803,1434,1697,1736,1309,1424,1323,1425
"G3400230","2015","NJ",,,"New Jersey","34","Middlesex County","023",,,,,,,,,,,,,,,,,,"05000US34023","Middlesex County, New Jersey",280855,11601,9020,8658,10107,8662,11154,9993,9935,9232,19728,27297,36468,32029,22052,24682,30237,"Middlesex County, New Jersey",2654,1900,1450,1355,1685,1469,1528,1570,1519,1453,1982,2392,2864,2664,2041,1799,2374
"G3400250","2015","NJ",,,"New Jersey","34","Monmouth County","025",,,,,,,,,,,,,,,,,,"05000US34025","Monmouth County, New Jersey",234365,10392,7018,8355,10508,7937,7132,6722,6892,6105,14299,17373,29382,23840,18713,24619,35078,"Monmouth County, New Jersey",2554,1681,1284,1460,1810,1500,1240,1156,1259,1196,1733,2128,2215,2286,1659,2287,2321
"G3400270","2015","NJ",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,,"05000US34027","Morris County, New Jersey",179480,4755,3429,4872,4935,3784,4597,4933,5167,4371,9964,15160,21652,18648,15292,22341,35580,"Morris County, New Jersey",2294,914,852,1117,1058,967,1245,1082,1055,1149,1422,1863,2117,1966,1737,1903,2037
"G3400290","2015","NJ",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,,"05000US34029","Ocean County, New Jersey",222497,9776,6974,10556,11289,9934,10922,10845,8521,9392,15796,24772,26369,24595,14002,15582,13172,"Ocean County, New Jersey",3416,1594,1075,1604,1820,1740,1700,1501,1281,1505,1980,2278,2643,2153,1986,1665,1657
"G3400310","2015","NJ",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,,"05000US34031","Passaic County, New Jersey",157309,14373,8796,8531,7804,6942,7972,6288,6540,4821,8924,12931,18836,13351,9746,11561,9893,"Passaic County, New Jersey",2440,1754,1221,1448,1275,1196,1322,1305,1181,924,1484,1443,1979,1727,1469,1404,1358
"G3400330","2015","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",22747,1681,913,804,621,499,1051,575,1081,1291,1626,1861,3521,2598,2053,1670,902,"Salem County, New Jersey",1055,482,332,344,230,242,404,242,438,485,510,468,638,697,534,511,332
"G3400350","2015","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",117198,3364,2324,2760,3956,3375,2623,2737,3498,2603,6932,9205,16018,12548,9093,13379,22783,"Somerset County, New Jersey",1531,992,729,879,1258,1007,875,786,1124,769,1275,1338,2005,1599,1481,1491,1946
"G3400370","2015","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",53190,1164,996,1472,2481,1602,1584,1505,1424,1825,3299,5459,8149,6700,4559,6266,4705,"Sussex County, New Jersey",1440,458,404,556,686,556,432,555,481,543,726,1042,1027,944,754,936,791
"G3400390","2015","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",188035,8638,5714,7810,9151,6977,8272,8206,6869,6890,10360,19019,23988,19122,11368,15226,20425,"Union County, New Jersey",2212,1477,1090,1475,1615,1430,1565,1774,1449,1426,1366,2175,2198,2192,1632,1638,1647
"G3400410","2015","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",41813,1180,1471,1101,1802,2308,2343,1070,2409,978,3364,3713,5890,4557,3334,3119,3174,"Warren County, New Jersey",1179,373,620,475,620,787,856,479,744,402,782,862,1031,817,749,691,839
"G3500010","2015","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",263325,24319,13576,17087,17949,13963,14631,11593,11887,12092,21326,24316,28552,19865,11169,12504,8496,"Bernalillo County, New Mexico",2911,2507,2115,2032,2059,2137,2102,1870,1571,1976,2633,2435,2303,1846,1634,1847,1394
"G3500050","2015","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",22665,2137,1735,1934,1821,2113,1192,956,640,646,1734,2478,2730,1017,946,103,483,"Chaves County, New Mexico",1092,820,592,532,640,644,498,485,354,364,640,788,744,445,502,118,309
"G3500130","2015","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",74631,7468,6425,5597,4542,4934,3888,4523,5324,2906,5012,5750,7913,3322,3332,2125,1570,"Doña Ana County, New Mexico",2081,1506,1555,1371,1071,1261,948,1186,1452,883,1255,1265,1333,921,1186,805,693
"G3500250","2015","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",21101,1105,1107,929,1164,639,1165,860,1689,727,1768,1928,2803,2474,875,993,875,"Lea County, New Mexico",1035,595,410,505,446,342,418,380,875,328,505,646,864,715,381,467,458
"G3500310","2015","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",19735,4546,1654,1436,1264,1574,1031,499,605,754,1274,1730,1270,663,790,387,258,"McKinley County, New Mexico",837,697,503,395,469,404,288,220,219,310,534,588,388,347,442,239,268
"G3500350","2015","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",23919,3189,2010,1752,1817,1318,1539,1141,680,1121,1510,2820,2899,1040,510,486,87,"Otero County, New Mexico",1393,899,864,685,680,553,507,461,362,488,605,846,801,432,340,314,144
"G3500430","2015","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",47397,2976,1661,1852,2027,2006,2330,1939,1715,1546,4050,7264,7743,4149,2674,1898,1567,"Sandoval County, New Mexico",1573,817,556,611,642,710,804,675,671,639,889,1340,1153,928,830,606,531
"G3500450","2015","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",43030,3494,3324,1951,2749,1747,2623,2255,1316,2178,4040,3781,5842,3180,1995,1673,882,"San Juan County, New Mexico",951,741,828,591,776,571,640,713,521,626,801,735,1166,840,819,565,366
"G3500490","2015","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",60642,3941,2744,3144,2672,2962,3735,2621,2933,2539,4936,5659,6794,5408,3289,3384,3881,"Santa Fe County, New Mexico",1625,738,704,785,633,782,940,664,642,752,916,968,920,857,584,756,776
"G3500610","2015","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",27431,2492,1772,2405,2017,892,1665,1793,1277,2075,2225,2078,3199,1927,525,742,347,"Valencia County, New Mexico",1009,852,622,761,685,436,582,696,543,681,751,740,976,660,363,399,250
"G3600010","2015","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",123862,8025,7122,5492,6247,5816,6478,4996,4359,4603,11001,12144,16354,9576,6333,7771,7545,"Albany County, New York",1955,2016,1421,1345,1307,1027,1114,1025,955,1118,1737,1634,1781,1240,1037,1276,1215
"G3600050","2015","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",495513,81612,43148,39434,28694,30138,23813,22972,22837,19579,34721,42261,41273,25609,15615,14069,9738,"Bronx County, New York",2449,4767,3401,3728,2745,2729,2326,2367,3240,2260,3413,3407,2924,2695,1850,2302,1430
"G3600070","2015","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",78398,6264,5194,5304,5050,3533,5033,4070,3838,3018,5622,8411,8878,5347,4187,2597,2052,"Broome County, New York",1822,963,920,1086,921,681,1023,960,858,645,958,1444,1216,907,1002,665,548
"G3600090","2015","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",31174,2454,1960,2522,2213,2241,2444,1748,1337,1117,3123,3457,2812,1884,1042,483,337,"Cattaraugus County, New York",1083,611,516,454,536,499,539,435,389,272,582,555,466,465,360,200,149
"G3600110","2015","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",31368,1248,1528,1562,2345,1506,1496,1140,2139,1644,2682,4110,4153,2475,1398,1390,552,"Cayuga County, New York",1031,366,509,484,652,448,498,404,551,519,620,876,685,595,392,388,229
"G3600130","2015","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",51579,4330,3537,3486,3662,2555,2886,2723,2893,2587,3905,5713,6122,3587,1382,1384,827,"Chautauqua County, New York",1639,888,856,722,750,546,573,825,647,700,784,1038,882,636,396,489,358
"G3600150","2015","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",34546,2631,1495,1760,1632,1831,2044,1297,1543,1675,3854,4237,4183,2927,1740,861,836,"Chemung County, New York",1160,678,559,547,550,547,629,542,447,647,893,855,885,794,696,431,475
"G3600190","2015","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",31249,2444,1587,2449,1485,1856,2108,1588,1967,1626,2167,3863,3184,2464,1272,887,302,"Clinton County, New York",1188,691,602,868,573,614,700,688,687,518,724,938,725,641,470,335,220
"G3600270","2015","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",106319,5924,4468,2884,4329,3748,4538,3260,4244,3243,7949,10278,14657,13446,6320,10081,6950,"Dutchess County, New York",1894,1276,1076,756,936,842,1155,842,1167,748,1609,1443,1783,1676,1020,1271,990
"G3600290","2015","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",383099,33203,22323,21325,20102,17754,19081,17501,13913,16964,27526,36058,52660,33208,21259,17432,12790,"Erie County, New York",3236,2855,2344,2257,1920,2020,1927,1935,1642,1994,2256,2863,3445,2361,2219,1940,1635
"G3600450","2015","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",43145,2745,1832,2128,2746,2111,3005,1970,2581,1926,4462,4510,6090,3301,2159,833,746,"Jefferson County, New York",1352,753,621,528,845,596,783,606,771,663,1005,734,1011,702,576,341,258
"G3600470","2015","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",940176,101679,59907,54265,47215,45312,44718,39706,35019,31072,62053,83554,99181,74475,45655,55037,61328,"Kings County, New York",4456,4223,3607,3465,3127,2973,3072,2815,2999,2835,3571,4010,4300,4091,2882,2833,2650
"G3600510","2015","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",24189,1358,1903,1106,1288,1403,550,1450,1441,559,1764,2728,3717,2729,1095,498,600,"Livingston County, New York",1045,514,733,420,492,479,212,505,619,238,479,561,813,631,331,234,246
"G3600530","2015","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",26305,1785,767,1172,1056,1017,1339,569,874,1329,3178,2609,4336,2667,1382,1303,922,"Madison County, New York",1265,544,347,376,391,349,482,271,338,436,790,728,898,604,468,395,378
"G3600550","2015","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",298151,23523,15556,14155,14431,13418,14669,15250,14022,13915,21770,29080,39271,25839,15508,15084,12660,"Monroe County, New York",2928,2374,1853,1461,1836,1782,1780,2044,1780,1638,1978,2603,2640,2111,1544,1584,1330
"G3600590","2015","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",436567,13060,9548,11377,12568,10275,10225,12610,11550,11353,24680,33248,51269,49029,40940,58729,76106,"Nassau County, New York",3025,1652,1577,1605,1540,1276,1447,1745,1680,1713,2576,3080,3259,3061,3089,2568,3312
"G3600610","2015","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",751244,66746,41660,31111,28564,22222,25022,22994,19495,17701,40079,57515,69411,64452,39388,59561,145323,"New York County, New York",8616,5089,3728,3427,3394,3006,3257,3493,3450,2855,4417,4733,4901,5314,4291,4241,6682
"G3600630","2015","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",84893,6523,5108,5345,5819,4040,4494,4696,4298,2850,5850,9118,10725,6376,3601,4291,1759,"Niagara County, New York",1753,1206,1041,1064,1054,898,1144,858,942,635,995,1364,1205,1161,815,916,499
"G3600650","2015","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",90396,7179,5119,5568,4476,5939,4827,6311,3678,3058,8705,8516,10759,5881,4347,3170,2863,"Oneida County, New York",1738,1284,939,1064,893,1317,1151,1255,711,649,1262,1486,1239,1050,773,667,742
"G3600670","2015","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",182581,13529,8701,8589,8474,8421,8275,7952,7774,8436,14334,18960,24062,17213,9287,11330,7244,"Onondaga County, New York",2686,1580,1353,1223,1129,1330,1441,1061,1368,1283,1766,1699,2155,1666,1356,1423,962
"G3600690","2015","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",43692,1928,1580,2103,1956,1724,2873,2212,2438,2123,3484,4063,5658,4972,2351,2181,2046,"Ontario County, New York",1353,631,533,651,650,576,785,642,606,671,695,791,1054,1007,718,703,584
"G3600710","2015","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",125470,6384,4383,3995,4915,4938,5094,4799,4748,3794,8560,12314,17003,14284,10737,10181,9341,"Orange County, New York",2371,1156,1010,1162,1215,1209,1170,1172,1165,944,1303,1585,1937,1427,1688,1175,1281
"G3600750","2015","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",45115,3323,2272,2115,2532,2754,2198,2891,1775,2811,4061,5228,5957,3662,1591,996,949,"Oswego County, New York",1369,866,612,513,600,663,530,742,536,662,828,1001,1092,705,489,380,385
"G3600790","2015","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",34181,1205,597,1068,630,1151,1462,1146,587,704,2303,2949,5116,3553,2721,4943,4046,"Putnam County, New York",1273,628,356,506,324,554,599,573,335,478,716,901,1097,925,760,952,834
"G3600810","2015","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",774752,51225,31129,36609,36940,32495,38278,36484,30410,30913,59289,82282,98830,71703,45173,52561,40431,"Queens County, New York",3898,4173,2551,2665,3450,2266,3143,3353,2818,2966,3621,4289,4621,3785,2591,2864,2546
"G3600830","2015","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",62585,3621,2573,2628,3282,3289,3127,1746,2723,2838,4874,7124,8050,5707,4052,4390,2561,"Rensselaer County, New York",1694,927,664,721,892,929,864,517,846,886,1129,1459,1062,908,861,1052,651
