GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G0400190","2015","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",395992,32795,21690,25003,24424,22164,23082,19526,20294,18551,32827,40512,47804,25385,14946,14306,12683,"Pima County, Arizona",4480,2749,2391,2558,2536,2406,2530,1911,2295,2070,3046,3018,3246,2058,1943,1469,1454
"G0400210","2015","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",128395,12299,4715,7061,6404,6840,5903,6412,6612,6861,11699,16068,16392,9679,4518,4249,2683,"Pinal County, Arizona",3435,1999,919,1572,984,1420,1275,1141,1365,1328,1522,1866,2105,1705,1158,1321,975
"G0400250","2015","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",94920,5842,5193,4767,6533,6342,6062,4502,4441,5128,9690,10869,12327,5533,3049,2537,2105,"Yavapai County, Arizona",2480,1397,1260,1097,1341,1255,1390,993,1120,1265,1854,1717,1944,1387,794,911,652
"G0400270","2015","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",71751,5826,5628,4855,3896,6448,5157,3548,4367,3485,6016,7589,6273,4180,1347,1740,1396,"Yuma County, Arizona",1975,1229,1112,955,1061,1429,1241,900,903,899,1320,1295,1061,976,529,563,551
"G0500070","2015","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",91670,3521,4368,3685,4399,4557,4494,4931,4345,5001,7132,12286,9771,7612,4766,4412,6390,"Benton County, Arkansas",1659,953,1031,669,939,1081,1005,854,1097,1033,1282,1910,1406,1300,824,1104,984
"G0500310","2015","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",39826,3169,2742,3249,2939,3498,2585,1691,1854,1538,2227,4131,4941,1674,1218,1542,828,"Craighead County, Arkansas",1214,896,783,1277,951,1224,707,586,580,629,752,988,1242,513,457,778,388
"G0500450","2015","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",44011,3395,2348,3178,2587,2739,1756,1841,1933,1994,3416,4007,4929,4250,2312,1780,1546,"Faulkner County, Arkansas",1396,884,722,763,885,848,657,793,690,736,958,1067,982,934,668,638,655
"G0500510","2015","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",40134,3686,3657,3077,2879,2529,2678,3659,1494,1686,2969,3608,3537,2095,1003,559,1018,"Garland County, Arkansas",1908,1112,892,1019,992,716,773,1066,625,601,903,873,895,721,412,314,565
"G0500690","2015","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",26512,4032,2374,1348,1957,1376,2078,1247,1817,804,2127,2381,2139,1187,995,316,334,"Jefferson County, Arkansas",1274,1131,770,468,651,590,688,530,665,405,563,653,661,523,533,197,253
"G0500850","2015","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",26422,1625,1282,1349,1061,1086,1369,1056,1100,958,2952,2985,4266,2615,1890,551,277,"Lonoke County, Arkansas",989,607,572,574,455,425,552,501,539,417,826,928,937,813,528,329,188
