GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G2200190","2016","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",77029,8269,5519,5725,4207,3818,4009,3028,3197,4059,5571,5948,8938,5797,3114,3655,2175,"Calcasieu Parish, Louisiana",2177,1667,1423,1315,1022,1186,1281,991,1020,1182,1346,1435,1710,1163,899,1097,811
"G2200330","2016","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",163764,14517,8628,9615,9695,8374,9130,8243,6284,6395,12280,15945,17085,12376,6948,8469,9780,"East Baton Rouge Parish, Louisiana",3551,2220,1636,1801,1764,1599,1787,1636,1236,1311,1881,2240,2364,1947,1254,1331,1477
"G2200450","2016","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",26240,2325,1820,2437,1168,1021,1707,1798,2170,883,2085,2140,2353,2241,1213,470,409,"Iberia Parish, Louisiana",1181,849,668,840,617,465,622,680,876,459,636,741,710,750,687,359,353
"G2200510","2016","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",170710,11315,9817,10992,11052,10045,8867,7200,8939,7568,13139,16473,20763,11082,8701,7499,7258,"Jefferson Parish, Louisiana",2318,1831,1468,1503,1795,1760,1510,1159,1530,1555,1464,1996,2410,1575,1368,1139,1297
"G2200550","2016","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",89130,8908,4001,6432,3339,3959,4972,4664,5109,3202,5794,7440,9601,6998,5727,3971,5013,"Lafayette Parish, Louisiana",2127,1820,1135,1572,929,1161,1235,1098,1245,1115,1139,1396,1702,1555,1523,1126,1244
"G2200570","2016","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",37199,3000,2894,1943,2338,1832,1465,1631,1589,1140,3001,4379,4341,3722,853,2097,974,"Lafourche Parish, Louisiana",999,856,1052,781,656,847,574,574,670,572,799,984,1068,895,410,628,359
"G2200630","2016","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",47479,2279,1995,2986,1658,2364,1969,2433,2410,2281,4196,4731,5540,4556,3483,2861,1737,"Livingston Parish, Louisiana",1665,1000,817,966,759,899,938,935,916,1167,1290,1496,1294,1158,1193,1120,1015
"G2200710","2016","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",154355,21730,13519,10386,9181,8773,8171,6751,6813,6042,9626,12112,12855,7967,5778,6357,8294,"Orleans Parish, Louisiana",2906,1725,1718,1286,1459,1273,1062,1236,1151,1237,1258,1297,1362,1194,904,888,1067
"G2200730","2016","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",54349,7153,4082,3743,4169,3141,3304,3326,3060,2821,2982,3684,4734,2985,2367,1765,1033,"Ouachita Parish, Louisiana",1840,1403,1054,1248,1083,1014,939,1054,1162,879,909,869,1058,705,768,738,420
"G2200790","2016","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",47745,4307,3073,4247,2571,3280,2289,2758,1983,1994,3051,4696,5326,2860,1766,1695,1849,"Rapides Parish, Louisiana",1868,998,917,979,819,949,822,997,685,773,851,1099,1098,928,601,665,599
"G2200970","2016","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",30302,5378,2096,2897,2118,1971,2114,1153,966,1131,1872,2304,2103,2393,713,660,433,"St. Landry Parish, Louisiana",1333,1183,615,765,520,729,606,474,499,498,628,714,701,908,320,302,332
"G2201030","2016","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",92205,4553,4082,4854,3357,3826,4376,4154,3583,3730,6431,10090,12561,8117,5678,6934,5879,"St. Tammany Parish, Louisiana",1838,1303,1350,1271,1199,1012,1163,1291,881,931,1452,1780,1544,1411,1165,1615,1341
"G2201050","2016","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",47756,3892,3805,5703,2794,2074,1435,1746,1361,1496,2655,5782,5768,3098,2771,2097,1279,"Tangipahoa Parish, Louisiana",1780,1095,1343,1639,923,848,662,1003,607,743,846,1555,1381,934,888,769,600
"G2201090","2016","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",40102,3061,2893,2334,2600,2361,2037,1926,2567,1072,2789,4554,4902,3055,1419,1530,1002,"Terrebonne Parish, Louisiana",1546,924,937,919,834,906,746,674,919,595,1019,1136,1169,786,465,688,510
"G2300010","2016","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",44917,2583,2896,2483,1918,2077,3353,3357,1997,2277,3640,5481,5217,3275,2286,1400,677,"Androscoggin County, Maine",1105,858,814,760,642,626,967,981,827,647,939,1228,1025,680,784,551,327
"G2300030","2016","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",27514,2341,2027,2444,2367,1396,1536,1829,1327,1331,2231,2172,2749,1486,1049,866,363,"Aroostook County, Maine",916,611,594,565,598,482,467,585,423,405,491,452,569,375,487,353,178
"G2300050","2016","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",118049,7580,4826,4285,4373,4920,5572,3793,5205,4550,8820,12323,15896,13206,7130,7685,7885,"Cumberland County, Maine",2275,1449,1246,1083,1241,1211,966,909,1071,1209,1403,1616,1883,1716,1040,1253,1129
"G2300110","2016","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",47791,3812,1995,3186,3334,3294,1838,1656,1997,1999,3805,5293,6591,3317,2473,2050,1151,"Kennebec County, Maine",1833,989,626,1044,866,803,583,420,502,543,633,1064,1104,801,677,484,418
"G2300190","2016","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",60195,3843,3614,5187,3397,3604,3507,2770,2624,2436,5129,6631,7656,4337,2295,1637,1528,"Penobscot County, Maine",1491,946,834,1179,829,781,1022,775,607,667,925,1256,1041,914,729,630,472
